<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKBTC,D,20100719,000000,0.10075,0.10075,0.10075,0.10075,0,0
ISKBTC,D,20100720,000000,0.108958,0.108958,0.108958,0.108958,0,0
ISKBTC,D,20100721,000000,0.102636,0.102636,0.102636,0.102636,0,0
ISKBTC,D,20100722,000000,0.162331,0.162331,0.162331,0.162331,0,0
ISKBTC,D,20100723,000000,0.129719,0.129719,0.129719,0.129719,0,0
ISKBTC,D,20100726,000000,0.147748,0.147748,0.147748,0.147748,0,0
ISKBTC,D,20100727,000000,0.137745,0.137745,0.137745,0.137745,0,0
ISKBTC,D,20100728,000000,0.140486,0.140486,0.140486,0.140486,0,0
ISKBTC,D,20100729,000000,0.118599,0.118599,0.118599,0.118599,0,0
ISKBTC,D,20100730,000000,0.132903,0.132903,0.132903,0.132903,0,0
ISKBTC,D,20100802,000000,0.140442,0.140442,0.140442,0.140442,0,0
ISKBTC,D,20100803,000000,0.140026,0.140026,0.140026,0.140026,0,0
ISKBTC,D,20100804,000000,0.148643,0.148643,0.148643,0.148643,0,0
ISKBTC,D,20100805,000000,0.13754,0.13754,0.13754,0.13754,0,0
ISKBTC,D,20100806,000000,0.136915,0.136915,0.136915,0.136915,0,0
ISKBTC,D,20100809,000000,0.120343,0.120343,0.120343,0.120343,0,0
ISKBTC,D,20100810,000000,0.120699,0.120699,0.120699,0.120699,0,0
ISKBTC,D,20100811,000000,0.124564,0.124564,0.124564,0.124564,0,0
ISKBTC,D,20100812,000000,0.120146,0.120146,0.120146,0.120146,0,0
ISKBTC,D,20100813,000000,0.129376,0.129376,0.129376,0.129376,0,0
ISKBTC,D,20100816,000000,0.128776,0.128776,0.128776,0.128776,0,0
ISKBTC,D,20100817,000000,0.12063,0.12063,0.12063,0.12063,0,0
ISKBTC,D,20100818,000000,0.124095,0.124095,0.124095,0.124095,0,0
ISKBTC,D,20100819,000000,0.125125,0.125125,0.125125,0.125125,0,0
ISKBTC,D,20100820,000000,0.126715,0.126715,0.126715,0.126715,0,0
ISKBTC,D,20100823,000000,0.126908,0.126908,0.126908,0.126908,0,0
ISKBTC,D,20100824,000000,0.127474,0.127474,0.127474,0.127474,0,0
ISKBTC,D,20100825,000000,0.127532,0.127532,0.127532,0.127532,0,0
ISKBTC,D,20100826,000000,0.129996,0.129996,0.129996,0.129996,0,0
ISKBTC,D,20100827,000000,0.128795,0.128795,0.128795,0.128795,0,0
ISKBTC,D,20100830,000000,0.126793,0.126793,0.126793,0.126793,0,0
ISKBTC,D,20100831,000000,0.138368,0.138368,0.138368,0.138368,0,0
ISKBTC,D,20100901,000000,0.133479,0.133479,0.133479,0.133479,0,0
ISKBTC,D,20100902,000000,0.131749,0.131749,0.131749,0.131749,0,0
ISKBTC,D,20100903,000000,0.139905,0.139905,0.139905,0.139905,0,0
ISKBTC,D,20100906,000000,0.138439,0.138439,0.138439,0.138439,0,0
ISKBTC,D,20100907,000000,0.138594,0.138594,0.138594,0.138594,0,0
ISKBTC,D,20100908,000000,0.137168,0.137168,0.137168,0.137168,0,0
ISKBTC,D,20100909,000000,0.138063,0.138063,0.138063,0.138063,0,0
ISKBTC,D,20100910,000000,0.136402,0.136402,0.136402,0.136402,0,0
ISKBTC,D,20100913,000000,0.137411,0.137411,0.137411,0.137411,0,0
ISKBTC,D,20100914,000000,0.139683,0.139683,0.139683,0.139683,0,0
ISKBTC,D,20100915,000000,0.141627,0.141627,0.141627,0.141627,0,0
ISKBTC,D,20100916,000000,0.138513,0.138513,0.138513,0.138513,0,0
ISKBTC,D,20100917,000000,0.144789,0.144789,0.144789,0.144789,0,0
ISKBTC,D,20100920,000000,0.137918,0.137918,0.137918,0.137918,0,0
ISKBTC,D,20100921,000000,0.13636,0.13636,0.13636,0.13636,0,0
ISKBTC,D,20100922,000000,0.139989,0.139989,0.139989,0.139989,0,0
ISKBTC,D,20100923,000000,0.13997,0.13997,0.13997,0.13997,0,0
ISKBTC,D,20100924,000000,0.141163,0.141163,0.141163,0.141163,0,0
ISKBTC,D,20100927,000000,0.141081,0.141081,0.141081,0.141081,0,0
