<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKCAD,D,19951023,000000,0.021319,0.021319,0.021319,0.021319,0,0
ISKCAD,D,19951024,000000,0.021532,0.021532,0.021532,0.021532,0,0
ISKCAD,D,19951025,000000,0.02134,0.02134,0.02134,0.02134,0,0
ISKCAD,D,19951026,000000,0.021323,0.021323,0.021323,0.021323,0,0
ISKCAD,D,19951027,000000,0.021424,0.021424,0.021424,0.021424,0,0
ISKCAD,D,19951030,000000,0.021144,0.021144,0.021144,0.021144,0,0
ISKCAD,D,19951031,000000,0.020768,0.020768,0.020768,0.020768,0,0
ISKCAD,D,19951102,000000,0.020842,0.020842,0.020842,0.020842,0,0
ISKCAD,D,19951103,000000,0.02073,0.02073,0.02073,0.02073,0,0
ISKCAD,D,19951106,000000,0.020909,0.020909,0.020909,0.020909,0,0
ISKCAD,D,19951107,000000,0.021016,0.021016,0.021016,0.021016,0,0
ISKCAD,D,19951108,000000,0.02104,0.02104,0.02104,0.02104,0,0
ISKCAD,D,19951109,000000,0.020945,0.020945,0.020945,0.020945,0,0
ISKCAD,D,19951110,000000,0.020991,0.020991,0.020991,0.020991,0,0
ISKCAD,D,19951113,000000,0.02099,0.02099,0.02099,0.02099,0,0
ISKCAD,D,19951114,000000,0.020925,0.020925,0.020925,0.020925,0,0
ISKCAD,D,19951115,000000,0.021112,0.021112,0.021112,0.021112,0,0
ISKCAD,D,19951116,000000,0.020998,0.020998,0.020998,0.020998,0,0
ISKCAD,D,19951117,000000,0.021053,0.021053,0.021053,0.021053,0,0
ISKCAD,D,19951120,000000,0.020879,0.020879,0.020879,0.020879,0,0
ISKCAD,D,19951121,000000,0.020942,0.020942,0.020942,0.020942,0,0
ISKCAD,D,19951122,000000,0.021005,0.021005,0.021005,0.021005,0,0
ISKCAD,D,19951123,000000,0.021001,0.021001,0.021001,0.021001,0,0
ISKCAD,D,19951124,000000,0.020998,0.020998,0.020998,0.020998,0,0
ISKCAD,D,19951127,000000,0.020899,0.020899,0.020899,0.020899,0,0
ISKCAD,D,19951128,000000,0.020812,0.020812,0.020812,0.020812,0,0
ISKCAD,D,19951129,000000,0.020839,0.020839,0.020839,0.020839,0,0
ISKCAD,D,19951130,000000,0.02082,0.02082,0.02082,0.02082,0,0
ISKCAD,D,19951201,000000,0.020774,0.020774,0.020774,0.020774,0,0
ISKCAD,D,19951204,000000,0.020834,0.020834,0.020834,0.020834,0,0
ISKCAD,D,19951205,000000,0.020963,0.020963,0.020963,0.020963,0,0
ISKCAD,D,19951206,000000,0.020925,0.020925,0.020925,0.020925,0,0
ISKCAD,D,19951207,000000,0.020882,0.020882,0.020882,0.020882,0,0
