<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKDKK,D,19951023,000000,0.084534,0.084534,0.084534,0.084534,0,0
ISKDKK,D,19951024,000000,0.084697,0.084697,0.084697,0.084697,0,0
ISKDKK,D,19951025,000000,0.084734,0.084734,0.084734,0.084734,0,0
ISKDKK,D,19951026,000000,0.084893,0.084893,0.084893,0.084893,0,0
ISKDKK,D,19951027,000000,0.08425,0.08425,0.08425,0.08425,0,0
ISKDKK,D,19951030,000000,0.084774,0.084774,0.084774,0.084774,0,0
ISKDKK,D,19951031,000000,0.084977,0.084977,0.084977,0.084977,0,0
ISKDKK,D,19951102,000000,0.085132,0.085132,0.085132,0.085132,0,0
ISKDKK,D,19951103,000000,0.085068,0.085068,0.085068,0.085068,0,0
ISKDKK,D,19951106,000000,0.084848,0.084848,0.084848,0.084848,0,0
ISKDKK,D,19951107,000000,0.085016,0.085016,0.085016,0.085016,0,0
ISKDKK,D,19951108,000000,0.085045,0.085045,0.085045,0.085045,0,0
ISKDKK,D,19951109,000000,0.085352,0.085352,0.085352,0.085352,0,0
ISKDKK,D,19951110,000000,0.085146,0.085146,0.085146,0.085146,0,0
ISKDKK,D,19951113,000000,0.08481,0.08481,0.08481,0.08481,0,0
ISKDKK,D,19951114,000000,0.084986,0.084986,0.084986,0.084986,0,0
ISKDKK,D,19951115,000000,0.084615,0.084615,0.084615,0.084615,0,0
ISKDKK,D,19951116,000000,0.084539,0.084539,0.084539,0.084539,0,0
ISKDKK,D,19951117,000000,0.084375,0.084375,0.084375,0.084375,0,0
ISKDKK,D,19951120,000000,0.084694,0.084694,0.084694,0.084694,0,0
ISKDKK,D,19951121,000000,0.084693,0.084693,0.084693,0.084693,0,0
ISKDKK,D,19951122,000000,0.084717,0.084717,0.084717,0.084717,0,0
ISKDKK,D,19951123,000000,0.084889,0.084889,0.084889,0.084889,0,0
ISKDKK,D,19951124,000000,0.085002,0.085002,0.085002,0.085002,0,0
