<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKEUR,D,19951023,000000,0.011909,0.011909,0.011909,0.011909,0,0
ISKEUR,D,19951024,000000,0.011928,0.011928,0.011928,0.011928,0,0
ISKEUR,D,19951025,000000,0.011942,0.011942,0.011942,0.011942,0,0
ISKEUR,D,19951026,000000,0.011976,0.011976,0.011976,0.011976,0,0
ISKEUR,D,19951027,000000,0.011862,0.011862,0.011862,0.011862,0,0
ISKEUR,D,19951030,000000,0.01191,0.01191,0.01191,0.01191,0,0
ISKEUR,D,19951031,000000,0.01193,0.01193,0.01193,0.01193,0,0
ISKEUR,D,19951102,000000,0.011964,0.011964,0.011964,0.011964,0,0
ISKEUR,D,19951103,000000,0.011958,0.011958,0.011958,0.011958,0,0
ISKEUR,D,19951106,000000,0.011971,0.011971,0.011971,0.011971,0,0
ISKEUR,D,19951107,000000,0.011973,0.011973,0.011973,0.011973,0,0
ISKEUR,D,19951108,000000,0.011947,0.011947,0.011947,0.011947,0,0
ISKEUR,D,19951109,000000,0.011968,0.011968,0.011968,0.011968,0,0
ISKEUR,D,19951110,000000,0.011999,0.011999,0.011999,0.011999,0,0
ISKEUR,D,19951113,000000,0.011966,0.011966,0.011966,0.011966,0,0
ISKEUR,D,19951114,000000,0.01196,0.01196,0.01196,0.01196,0,0
ISKEUR,D,19951115,000000,0.011923,0.011923,0.011923,0.011923,0,0
ISKEUR,D,19951116,000000,0.011914,0.011914,0.011914,0.011914,0,0
ISKEUR,D,19951117,000000,0.011894,0.011894,0.011894,0.011894,0,0
ISKEUR,D,19951120,000000,0.011937,0.011937,0.011937,0.011937,0,0
ISKEUR,D,19951121,000000,0.011927,0.011927,0.011927,0.011927,0,0
ISKEUR,D,19951122,000000,0.011919,0.011919,0.011919,0.011919,0,0
ISKEUR,D,19951123,000000,0.011918,0.011918,0.011918,0.011918,0,0
ISKEUR,D,19951124,000000,0.01192,0.01192,0.01192,0.01192,0,0
ISKEUR,D,19951127,000000,0.011954,0.011954,0.011954,0.011954,0,0
ISKEUR,D,19951128,000000,0.01188,0.01188,0.01188,0.01188,0,0
