<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKGBP,D,19951023,000000,0.009902,0.009902,0.009902,0.009902,0,0
ISKGBP,D,19951024,000000,0.009903,0.009903,0.009903,0.009903,0,0
ISKGBP,D,19951025,000000,0.009884,0.009884,0.009884,0.009884,0,0
ISKGBP,D,19951026,000000,0.009902,0.009902,0.009902,0.009902,0,0
ISKGBP,D,19951027,000000,0.009869,0.009869,0.009869,0.009869,0,0
ISKGBP,D,19951030,000000,0.009845,0.009845,0.009845,0.009845,0,0
ISKGBP,D,19951031,000000,0.009839,0.009839,0.009839,0.009839,0,0
ISKGBP,D,19951102,000000,0.009776,0.009776,0.009776,0.009776,0,0
ISKGBP,D,19951103,000000,0.009782,0.009782,0.009782,0.009782,0,0
ISKGBP,D,19951106,000000,0.009814,0.009814,0.009814,0.009814,0,0
ISKGBP,D,19951107,000000,0.009823,0.009823,0.009823,0.009823,0,0
ISKGBP,D,19951108,000000,0.009792,0.009792,0.009792,0.009792,0,0
ISKGBP,D,19951109,000000,0.009798,0.009798,0.009798,0.009798,0,0
ISKGBP,D,19951110,000000,0.009869,0.009869,0.009869,0.009869,0,0
ISKGBP,D,19951113,000000,0.009912,0.009912,0.009912,0.009912,0,0
ISKGBP,D,19951114,000000,0.009926,0.009926,0.009926,0.009926,0,0
ISKGBP,D,19951115,000000,0.009978,0.009978,0.009978,0.009978,0,0
ISKGBP,D,19951116,000000,0.009942,0.009942,0.009942,0.009942,0,0
ISKGBP,D,19951117,000000,0.009966,0.009966,0.009966,0.009966,0,0
ISKGBP,D,19951120,000000,0.01,0.01,0.01,0.01,0,0
ISKGBP,D,19951121,000000,0.009977,0.009977,0.009977,0.009977,0,0
ISKGBP,D,19951122,000000,0.009956,0.009956,0.009956,0.009956,0,0
ISKGBP,D,19951123,000000,0.009919,0.009919,0.009919,0.009919,0,0
ISKGBP,D,19951124,000000,0.009926,0.009926,0.009926,0.009926,0,0
ISKGBP,D,19951127,000000,0.009927,0.009927,0.009927,0.009927,0,0
ISKGBP,D,19951128,000000,0.009904,0.009904,0.009904,0.009904,0,0
ISKGBP,D,19951129,000000,0.010037,0.010037,0.010037,0.010037,0,0
ISKGBP,D,19951130,000000,0.010016,0.010016,0.010016,0.010016,0,0
ISKGBP,D,19951201,000000,0.009982,0.009982,0.009982,0.009982,0,0
ISKGBP,D,19951204,000000,0.00993,0.00993,0.00993,0.00993,0,0
ISKGBP,D,19951205,000000,0.009938,0.009938,0.009938,0.009938,0,0
ISKGBP,D,19951206,000000,0.009957,0.009957,0.009957,0.009957,0,0
ISKGBP,D,19951207,000000,0.009936,0.009936,0.009936,0.009936,0,0
ISKGBP,D,19951208,000000,0.009974,0.009974,0.009974,0.009974,0,0
ISKGBP,D,19951211,000000,0.009955,0.009955,0.009955,0.009955,0,0
ISKGBP,D,19951212,000000,0.009939,0.009939,0.009939,0.009939,0,0
ISKGBP,D,19951213,000000,0.009932,0.009932,0.009932,0.009932,0,0
ISKGBP,D,19951214,000000,0.009915,0.009915,0.009915,0.009915,0,0
ISKGBP,D,19951215,000000,0.009919,0.009919,0.009919,0.009919,0,0
ISKGBP,D,19951218,000000,0.009935,0.009935,0.009935,0.009935,0,0
ISKGBP,D,19951219,000000,0.009924,0.009924,0.009924,0.009924,0,0
ISKGBP,D,19951220,000000,0.009945,0.009945,0.009945,0.009945,0,0
ISKGBP,D,19951221,000000,0.009956,0.009956,0.009956,0.009956,0,0
ISKGBP,D,19951222,000000,0.009939,0.009939,0.009939,0.009939,0,0
ISKGBP,D,19951227,000000,0.009882,0.009882,0.009882,0.009882,0,0
ISKGBP,D,19951228,000000,0.009874,0.009874,0.009874,0.009874,0,0
ISKGBP,D,19951229,000000,0.009879,0.009879,0.009879,0.009879,0,0
ISKGBP,D,19960102,000000,0.009871,0.009871,0.009871,0.009871,0,0
ISKGBP,D,19960103,000000,0.009878,0.009878,0.009878,0.009878,0,0
ISKGBP,D,19960104,000000,0.009889,0.009889,0.009889,0.009889,0,0
ISKGBP,D,19960105,000000,0.009839,0.009839,0.009839,0.009839,0,0
ISKGBP,D,19960108,000000,0.009854,0.009854,0.009854,0.009854,0,0
ISKGBP,D,19960109,000000,0.009848,0.009848,0.009848,0.009848,0,0
ISKGBP,D,19960110,000000,0.009882,0.009882,0.009882,0.009882,0,0
ISKGBP,D,19960111,000000,0.009899,0.009899,0.009899,0.009899,0,0
ISKGBP,D,19960112,000000,0.009875,0.009875,0.009875,0.009875,0,0
ISKGBP,D,19960115,000000,0.009861,0.009861,0.009861,0.009861,0,0
ISKGBP,D,19960116,000000,0.009835,0.009835,0.009835,0.009835,0,0
ISKGBP,D,19960117,000000,0.009896,0.009896,0.009896,0.009896,0,0
ISKGBP,D,19960118,000000,0.009905,0.009905,0.009905,0.009905,0,0
ISKGBP,D,19960119,000000,0.009921,0.009921,0.009921,0.009921,0,0
ISKGBP,D,19960122,000000,0.009909,0.009909,0.009909,0.009909,0,0
ISKGBP,D,19960123,000000,0.0099,0.0099,0.0099,0.0099,0,0
ISKGBP,D,19960124,000000,0.009924,0.009924,0.009924,0.009924,0,0
ISKGBP,D,19960125,000000,0.009889,0.009889,0.009889,0.009889,0,0
ISKGBP,D,19960126,000000,0.009908,0.009908,0.009908,0.009908,0,0
ISKGBP,D,19960129,000000,0.009915,0.009915,0.009915,0.009915,0,0
ISKGBP,D,19960130,000000,0.009935,0.009935,0.009935,0.009935,0,0
ISKGBP,D,19960131,000000,0.009883,0.009883,0.009883,0.009883,0,0
ISKGBP,D,19960201,000000,0.009842,0.009842,0.009842,0.009842,0,0
ISKGBP,D,19960202,000000,0.009831,0.009831,0.009831,0.009831,0,0
ISKGBP,D,19960205,000000,0.009829,0.009829,0.009829,0.009829,0,0
ISKGBP,D,19960206,000000,0.009814,0.009814,0.009814,0.009814,0,0
ISKGBP,D,19960207,000000,0.009801,0.009801,0.009801,0.009801,0,0
ISKGBP,D,19960208,000000,0.009764,0.009764,0.009764,0.009764,0,0
ISKGBP,D,19960209,000000,0.00977,0.00977,0.00977,0.00977,0,0
ISKGBP,D,19960212,000000,0.009812,0.009812,0.009812,0.009812,0,0
ISKGBP,D,19960213,000000,0.009802,0.009802,0.009802,0.009802,0,0
ISKGBP,D,19960214,000000,0.009783,0.009783,0.009783,0.009783,0,0
ISKGBP,D,19960215,000000,0.009805,0.009805,0.009805,0.009805,0,0
ISKGBP,D,19960216,000000,0.009788,0.009788,0.009788,0.009788,0,0
ISKGBP,D,19960219,000000,0.009738,0.009738,0.009738,0.009738,0,0
ISKGBP,D,19960220,000000,0.009805,0.009805,0.009805,0.009805,0,0
