<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKNOK,D,19951023,000000,0.09631,0.09631,0.09631,0.09631,0,0
ISKNOK,D,19951024,000000,0.09646,0.09646,0.09646,0.09646,0,0
ISKNOK,D,19951025,000000,0.09649,0.09649,0.09649,0.09649,0,0
ISKNOK,D,19951026,000000,0.09688,0.09688,0.09688,0.09688,0,0
ISKNOK,D,19951027,000000,0.0963,0.0963,0.0963,0.0963,0,0
ISKNOK,D,19951030,000000,0.09656,0.09656,0.09656,0.09656,0,0
ISKNOK,D,19951031,000000,0.09683,0.09683,0.09683,0.09683,0,0
ISKNOK,D,19951102,000000,0.09684,0.09684,0.09684,0.09684,0,0
ISKNOK,D,19951103,000000,0.09664,0.09664,0.09664,0.09664,0,0
ISKNOK,D,19951106,000000,0.09672,0.09672,0.09672,0.09672,0,0
ISKNOK,D,19951107,000000,0.09687,0.09687,0.09687,0.09687,0,0
ISKNOK,D,19951108,000000,0.09668,0.09668,0.09668,0.09668,0,0
ISKNOK,D,19951109,000000,0.09682,0.09682,0.09682,0.09682,0,0
ISKNOK,D,19951110,000000,0.09692,0.09692,0.09692,0.09692,0,0
ISKNOK,D,19951113,000000,0.09668,0.09668,0.09668,0.09668,0,0
ISKNOK,D,19951114,000000,0.09677,0.09677,0.09677,0.09677,0,0
ISKNOK,D,19951115,000000,0.0964,0.0964,0.0964,0.0964,0,0
ISKNOK,D,19951116,000000,0.09623,0.09623,0.09623,0.09623,0,0
ISKNOK,D,19951117,000000,0.09614,0.09614,0.09614,0.09614,0,0
ISKNOK,D,19951120,000000,0.09639,0.09639,0.09639,0.09639,0,0
ISKNOK,D,19951121,000000,0.09652,0.09652,0.09652,0.09652,0,0
ISKNOK,D,19951122,000000,0.09652,0.09652,0.09652,0.09652,0,0
ISKNOK,D,19951123,000000,0.09662,0.09662,0.09662,0.09662,0,0
ISKNOK,D,19951124,000000,0.09674,0.09674,0.09674,0.09674,0,0
ISKNOK,D,19951127,000000,0.09724,0.09724,0.09724,0.09724,0,0
ISKNOK,D,19951128,000000,0.09697,0.09697,0.09697,0.09697,0,0
ISKNOK,D,19951129,000000,0.09714,0.09714,0.09714,0.09714,0,0
ISKNOK,D,19951130,000000,0.09732,0.09732,0.09732,0.09732,0,0
ISKNOK,D,19951201,000000,0.09733,0.09733,0.09733,0.09733,0,0
ISKNOK,D,19951204,000000,0.09649,0.09649,0.09649,0.09649,0,0
ISKNOK,D,19951205,000000,0.09691,0.09691,0.09691,0.09691,0,0
ISKNOK,D,19951206,000000,0.09731,0.09731,0.09731,0.09731,0,0
ISKNOK,D,19951207,000000,0.09677,0.09677,0.09677,0.09677,0,0
ISKNOK,D,19951208,000000,0.09718,0.09718,0.09718,0.09718,0,0
ISKNOK,D,19951211,000000,0.09727,0.09727,0.09727,0.09727,0,0
ISKNOK,D,19951212,000000,0.09731,0.09731,0.09731,0.09731,0,0
ISKNOK,D,19951213,000000,0.09758,0.09758,0.09758,0.09758,0,0
ISKNOK,D,19951214,000000,0.09739,0.09739,0.09739,0.09739,0,0
ISKNOK,D,19951215,000000,0.09735,0.09735,0.09735,0.09735,0,0
ISKNOK,D,19951218,000000,0.0971,0.0971,0.0971,0.0971,0,0
ISKNOK,D,19951219,000000,0.09712,0.09712,0.09712,0.09712,0,0
ISKNOK,D,19951220,000000,0.09754,0.09754,0.09754,0.09754,0,0
ISKNOK,D,19951221,000000,0.09745,0.09745,0.09745,0.09745,0,0
ISKNOK,D,19951222,000000,0.09748,0.09748,0.09748,0.09748,0,0
ISKNOK,D,19951227,000000,0.0972,0.0972,0.0972,0.0972,0,0
ISKNOK,D,19951228,000000,0.09708,0.09708,0.09708,0.09708,0,0
ISKNOK,D,19951229,000000,0.09694,0.09694,0.09694,0.09694,0,0
ISKNOK,D,19960102,000000,0.09675,0.09675,0.09675,0.09675,0,0
ISKNOK,D,19960103,000000,0.09716,0.09716,0.09716,0.09716,0,0
ISKNOK,D,19960104,000000,0.09789,0.09789,0.09789,0.09789,0,0
ISKNOK,D,19960105,000000,0.09692,0.09692,0.09692,0.09692,0,0
ISKNOK,D,19960108,000000,0.09695,0.09695,0.09695,0.09695,0,0
ISKNOK,D,19960109,000000,0.09698,0.09698,0.09698,0.09698,0,0
ISKNOK,D,19960110,000000,0.09669,0.09669,0.09669,0.09669,0,0
ISKNOK,D,19960111,000000,0.09651,0.09651,0.09651,0.09651,0,0
ISKNOK,D,19960112,000000,0.0968,0.0968,0.0968,0.0968,0,0
ISKNOK,D,19960115,000000,0.09665,0.09665,0.09665,0.09665,0,0
ISKNOK,D,19960116,000000,0.0969,0.0969,0.0969,0.0969,0,0
ISKNOK,D,19960117,000000,0.0973,0.0973,0.0973,0.0973,0,0
ISKNOK,D,19960118,000000,0.09719,0.09719,0.09719,0.09719,0,0
ISKNOK,D,19960119,000000,0.09713,0.09713,0.09713,0.09713,0,0
ISKNOK,D,19960122,000000,0.09724,0.09724,0.09724,0.09724,0,0
ISKNOK,D,19960123,000000,0.09691,0.09691,0.09691,0.09691,0,0
ISKNOK,D,19960124,000000,0.09736,0.09736,0.09736,0.09736,0,0
ISKNOK,D,19960125,000000,0.09709,0.09709,0.09709,0.09709,0,0
ISKNOK,D,19960126,000000,0.09721,0.09721,0.09721,0.09721,0,0
