<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKPLN,D,19951023,000000,0.037947,0.037947,0.037947,0.037947,0,0
ISKPLN,D,19951024,000000,0.037987,0.037987,0.037987,0.037987,0,0
ISKPLN,D,19951025,000000,0.038054,0.038054,0.038054,0.038054,0,0
ISKPLN,D,19951026,000000,0.038083,0.038083,0.038083,0.038083,0,0
ISKPLN,D,19951027,000000,0.03798,0.03798,0.03798,0.03798,0,0
ISKPLN,D,19951030,000000,0.037979,0.037979,0.037979,0.037979,0,0
ISKPLN,D,19951031,000000,0.038053,0.038053,0.038053,0.038053,0,0
ISKPLN,D,19951102,000000,0.038037,0.038037,0.038037,0.038037,0,0
ISKPLN,D,19951103,000000,0.038017,0.038017,0.038017,0.038017,0,0
ISKPLN,D,19951106,000000,0.03808,0.03808,0.03808,0.03808,0,0
ISKPLN,D,19951107,000000,0.03813,0.03813,0.03813,0.03813,0,0
ISKPLN,D,19951108,000000,0.038151,0.038151,0.038151,0.038151,0,0
ISKPLN,D,19951109,000000,0.038203,0.038203,0.038203,0.038203,0,0
ISKPLN,D,19951110,000000,0.038273,0.038273,0.038273,0.038273,0,0
ISKPLN,D,19951113,000000,0.038266,0.038266,0.038266,0.038266,0,0
ISKPLN,D,19951114,000000,0.038244,0.038244,0.038244,0.038244,0,0
ISKPLN,D,19951115,000000,0.03828,0.03828,0.03828,0.03828,0,0
ISKPLN,D,19951116,000000,0.038262,0.038262,0.038262,0.038262,0,0
ISKPLN,D,19951117,000000,0.038256,0.038256,0.038256,0.038256,0,0
ISKPLN,D,19951120,000000,0.038307,0.038307,0.038307,0.038307,0,0
ISKPLN,D,19951121,000000,0.038366,0.038366,0.038366,0.038366,0,0
ISKPLN,D,19951122,000000,0.038385,0.038385,0.038385,0.038385,0,0
ISKPLN,D,19951123,000000,0.038446,0.038446,0.038446,0.038446,0,0
ISKPLN,D,19951124,000000,0.038463,0.038463,0.038463,0.038463,0,0
ISKPLN,D,19951127,000000,0.038536,0.038536,0.038536,0.038536,0,0
ISKPLN,D,19951128,000000,0.038401,0.038401,0.038401,0.038401,0,0
ISKPLN,D,19951129,000000,0.03844,0.03844,0.03844,0.03844,0,0
ISKPLN,D,19951130,000000,0.038511,0.038511,0.038511,0.038511,0,0
ISKPLN,D,19951201,000000,0.038523,0.038523,0.038523,0.038523,0,0
ISKPLN,D,19951204,000000,0.038355,0.038355,0.038355,0.038355,0,0
ISKPLN,D,19951205,000000,0.038561,0.038561,0.038561,0.038561,0,0
ISKPLN,D,19951206,000000,0.038613,0.038613,0.038613,0.038613,0,0
ISKPLN,D,19951207,000000,0.038542,0.038542,0.038542,0.038542,0,0
ISKPLN,D,19951208,000000,0.03862,0.03862,0.03862,0.03862,0,0
