<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKUSD,D,19951023,000000,0.015623,0.015623,0.015623,0.015623,0,0
ISKUSD,D,19951024,000000,0.015632,0.015632,0.015632,0.015632,0,0
ISKUSD,D,19951025,000000,0.015606,0.015606,0.015606,0.015606,0,0
ISKUSD,D,19951026,000000,0.015598,0.015598,0.015598,0.015598,0,0
ISKUSD,D,19951027,000000,0.01561,0.01561,0.01561,0.01561,0,0
ISKUSD,D,19951030,000000,0.015502,0.015502,0.015502,0.015502,0,0
ISKUSD,D,19951031,000000,0.015516,0.015516,0.015516,0.015516,0,0
ISKUSD,D,19951102,000000,0.015456,0.015456,0.015456,0.015456,0,0
ISKUSD,D,19951103,000000,0.015432,0.015432,0.015432,0.015432,0,0
ISKUSD,D,19951106,000000,0.015511,0.015511,0.015511,0.015511,0,0
ISKUSD,D,19951107,000000,0.015497,0.015497,0.015497,0.015497,0,0
ISKUSD,D,19951108,000000,0.015499,0.015499,0.015499,0.015499,0,0
ISKUSD,D,19951109,000000,0.015461,0.015461,0.015461,0.015461,0,0
ISKUSD,D,19951110,000000,0.015542,0.015542,0.015542,0.015542,0,0
ISKUSD,D,19951113,000000,0.015536,0.015536,0.015536,0.015536,0,0
ISKUSD,D,19951114,000000,0.015458,0.015458,0.015458,0.015458,0,0
ISKUSD,D,19951115,000000,0.015555,0.015555,0.015555,0.015555,0,0
ISKUSD,D,19951116,000000,0.015513,0.015513,0.015513,0.015513,0,0
ISKUSD,D,19951117,000000,0.015523,0.015523,0.015523,0.015523,0,0
ISKUSD,D,19951120,000000,0.015453,0.015453,0.015453,0.015453,0,0
ISKUSD,D,19951121,000000,0.015502,0.015502,0.015502,0.015502,0,0
ISKUSD,D,19951122,000000,0.015515,0.015515,0.015515,0.015515,0,0
ISKUSD,D,19951123,000000,0.015518,0.015518,0.015518,0.015518,0,0
ISKUSD,D,19951124,000000,0.015506,0.015506,0.015506,0.015506,0,0
ISKUSD,D,19951127,000000,0.015455,0.015455,0.015455,0.015455,0,0
ISKUSD,D,19951128,000000,0.015354,0.015354,0.015354,0.015354,0,0
