<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKXDR,D,19951023,000000,0.010425,0.010425,0.010425,0.010425,0,0
ISKXDR,D,19951024,000000,0.010363,0.010363,0.010363,0.010363,0,0
ISKXDR,D,19951025,000000,0.010342,0.010342,0.010342,0.010342,0,0
ISKXDR,D,19951026,000000,0.010377,0.010377,0.010377,0.010377,0,0
ISKXDR,D,19951027,000000,0.01039,0.01039,0.01039,0.01039,0,0
ISKXDR,D,19951030,000000,0.010309,0.010309,0.010309,0.010309,0,0
ISKXDR,D,19951031,000000,0.01036,0.01036,0.01036,0.01036,0,0
ISKXDR,D,19951102,000000,0.010343,0.010343,0.010343,0.010343,0,0
ISKXDR,D,19951103,000000,0.01037,0.01037,0.01037,0.01037,0,0
ISKXDR,D,19951106,000000,0.010436,0.010436,0.010436,0.010436,0,0
ISKXDR,D,19951107,000000,0.01037,0.01037,0.01037,0.01037,0,0
ISKXDR,D,19951108,000000,0.010387,0.010387,0.010387,0.010387,0,0
ISKXDR,D,19951109,000000,0.010345,0.010345,0.010345,0.010345,0,0
ISKXDR,D,19951110,000000,0.010413,0.010413,0.010413,0.010413,0,0
ISKXDR,D,19951113,000000,0.010336,0.010336,0.010336,0.010336,0,0
ISKXDR,D,19951114,000000,0.010298,0.010298,0.010298,0.010298,0,0
ISKXDR,D,19951115,000000,0.010417,0.010417,0.010417,0.010417,0,0
ISKXDR,D,19951116,000000,0.010328,0.010328,0.010328,0.010328,0,0
ISKXDR,D,19951117,000000,0.010355,0.010355,0.010355,0.010355,0,0
ISKXDR,D,19951120,000000,0.010305,0.010305,0.010305,0.010305,0,0
ISKXDR,D,19951121,000000,0.010383,0.010383,0.010383,0.010383,0,0
ISKXDR,D,19951122,000000,0.010367,0.010367,0.010367,0.010367,0,0
ISKXDR,D,19951123,000000,0.010357,0.010357,0.010357,0.010357,0,0
ISKXDR,D,19951124,000000,0.010349,0.010349,0.010349,0.010349,0,0
ISKXDR,D,19951127,000000,0.010314,0.010314,0.010314,0.010314,0,0
ISKXDR,D,19951128,000000,0.010277,0.010277,0.010277,0.010277,0,0
ISKXDR,D,19951129,000000,0.010295,0.010295,0.010295,0.010295,0,0
ISKXDR,D,19951130,000000,0.010312,0.010312,0.010312,0.010312,0,0
ISKXDR,D,19951201,000000,0.010262,0.010262,0.010262,0.010262,0,0
ISKXDR,D,19951204,000000,0.010294,0.010294,0.010294,0.010294,0,0
ISKXDR,D,19951205,000000,0.010304,0.010304,0.010304,0.010304,0,0
ISKXDR,D,19951206,000000,0.010301,0.010301,0.010301,0.010301,0,0
ISKXDR,D,19951207,000000,0.010283,0.010283,0.010283,0.010283,0,0
ISKXDR,D,19951208,000000,0.010268,0.010268,0.010268,0.010268,0,0
ISKXDR,D,19951211,000000,0.010292,0.010292,0.010292,0.010292,0,0
ISKXDR,D,19951212,000000,0.010254,0.010254,0.010254,0.010254,0,0
ISKXDR,D,19951213,000000,0.010258,0.010258,0.010258,0.010258,0,0
ISKXDR,D,19951214,000000,0.010278,0.010278,0.010278,0.010278,0,0
ISKXDR,D,19951215,000000,0.010298,0.010298,0.010298,0.010298,0,0
ISKXDR,D,19951218,000000,0.010305,0.010305,0.010305,0.010305,0,0
ISKXDR,D,19951219,000000,0.0103,0.0103,0.0103,0.0103,0,0
ISKXDR,D,19951220,000000,0.010289,0.010289,0.010289,0.010289,0,0
ISKXDR,D,19951221,000000,0.010311,0.010311,0.010311,0.010311,0,0
ISKXDR,D,19951222,000000,0.010303,0.010303,0.010303,0.010303,0,0
ISKXDR,D,19951227,000000,0.010306,0.010306,0.010306,0.010306,0,0
ISKXDR,D,19951228,000000,0.010323,0.010323,0.010323,0.010323,0,0
ISKXDR,D,19951229,000000,0.010307,0.010307,0.010307,0.010307,0,0
ISKXDR,D,19960102,000000,0.01031,0.01031,0.01031,0.01031,0,0
ISKXDR,D,19960103,000000,0.010329,0.010329,0.010329,0.010329,0,0
ISKXDR,D,19960104,000000,0.010344,0.010344,0.010344,0.010344,0,0
ISKXDR,D,19960105,000000,0.010342,0.010342,0.010342,0.010342,0,0
ISKXDR,D,19960108,000000,0.010358,0.010358,0.010358,0.010358,0,0
ISKXDR,D,19960109,000000,0.010342,0.010342,0.010342,0.010342,0,0
ISKXDR,D,19960110,000000,0.010358,0.010358,0.010358,0.010358,0,0
ISKXDR,D,19960111,000000,0.010357,0.010357,0.010357,0.010357,0,0
ISKXDR,D,19960112,000000,0.010305,0.010305,0.010305,0.010305,0,0
ISKXDR,D,19960115,000000,0.010302,0.010302,0.010302,0.010302,0,0
ISKXDR,D,19960116,000000,0.010248,0.010248,0.010248,0.010248,0,0
ISKXDR,D,19960117,000000,0.010318,0.010318,0.010318,0.010318,0,0
ISKXDR,D,19960118,000000,0.010275,0.010275,0.010275,0.010275,0,0
ISKXDR,D,19960119,000000,0.010248,0.010248,0.010248,0.010248,0,0
ISKXDR,D,19960122,000000,0.010255,0.010255,0.010255,0.010255,0,0
ISKXDR,D,19960123,000000,0.010278,0.010278,0.010278,0.010278,0,0
ISKXDR,D,19960124,000000,0.010234,0.010234,0.010234,0.010234,0,0
ISKXDR,D,19960125,000000,0.010303,0.010303,0.010303,0.010303,0,0
ISKXDR,D,19960126,000000,0.010239,0.010239,0.010239,0.010239,0,0
ISKXDR,D,19960129,000000,0.010245,0.010245,0.010245,0.010245,0,0
ISKXDR,D,19960130,000000,0.010282,0.010282,0.010282,0.010282,0,0
ISKXDR,D,19960131,000000,0.010248,0.010248,0.010248,0.010248,0,0
ISKXDR,D,19960201,000000,0.010277,0.010277,0.010277,0.010277,0,0
ISKXDR,D,19960202,000000,0.01028,0.01028,0.01028,0.01028,0,0
ISKXDR,D,19960205,000000,0.010324,0.010324,0.010324,0.010324,0,0
ISKXDR,D,19960206,000000,0.01031,0.01031,0.01031,0.01031,0,0
ISKXDR,D,19960207,000000,0.010257,0.010257,0.010257,0.010257,0,0
ISKXDR,D,19960208,000000,0.010253,0.010253,0.010253,0.010253,0,0
ISKXDR,D,19960209,000000,0.010294,0.010294,0.010294,0.010294,0,0
ISKXDR,D,19960212,000000,0.010283,0.010283,0.010283,0.010283,0,0
ISKXDR,D,19960213,000000,0.010284,0.010284,0.010284,0.010284,0,0
ISKXDR,D,19960214,000000,0.010313,0.010313,0.010313,0.010313,0,0
ISKXDR,D,19960215,000000,0.010311,0.010311,0.010311,0.010311,0,0
ISKXDR,D,19960216,000000,0.010292,0.010292,0.010292,0.010292,0,0
ISKXDR,D,19960219,000000,0.010288,0.010288,0.010288,0.010288,0,0
ISKXDR,D,19960220,000000,0.010334,0.010334,0.010334,0.010334,0,0
ISKXDR,D,19960221,000000,0.010314,0.010314,0.010314,0.010314,0,0
ISKXDR,D,19960222,000000,0.010323,0.010323,0.010323,0.010323,0,0
ISKXDR,D,19960223,000000,0.010303,0.010303,0.010303,0.010303,0,0
ISKXDR,D,19960226,000000,0.010367,0.010367,0.010367,0.010367,0,0
ISKXDR,D,19960227,000000,0.010309,0.010309,0.010309,0.010309,0,0
ISKXDR,D,19960228,000000,0.010294,0.010294,0.010294,0.010294,0,0
ISKXDR,D,19960229,000000,0.010268,0.010268,0.010268,0.010268,0,0
ISKXDR,D,19960301,000000,0.010245,0.010245,0.010245,0.010245,0,0
ISKXDR,D,19960304,000000,0.010313,0.010313,0.010313,0.010313,0,0
ISKXDR,D,19960305,000000,0.010274,0.010274,0.010274,0.010274,0,0
ISKXDR,D,19960306,000000,0.010294,0.010294,0.010294,0.010294,0,0
ISKXDR,D,19960307,000000,0.010272,0.010272,0.010272,0.010272,0,0
ISKXDR,D,19960308,000000,0.01031,0.01031,0.01031,0.01031,0,0
ISKXDR,D,19960311,000000,0.010281,0.010281,0.010281,0.010281,0,0
ISKXDR,D,19960312,000000,0.010282,0.010282,0.010282,0.010282,0,0
ISKXDR,D,19960313,000000,0.010339,0.010339,0.010339,0.010339,0,0
ISKXDR,D,19960314,000000,0.010308,0.010308,0.010308,0.010308,0,0
ISKXDR,D,19960315,000000,0.010305,0.010305,0.010305,0.010305,0,0
ISKXDR,D,19960318,000000,0.01032,0.01032,0.01032,0.01032,0,0
ISKXDR,D,19960319,000000,0.010306,0.010306,0.010306,0.010306,0,0
ISKXDR,D,19960320,000000,0.010355,0.010355,0.010355,0.010355,0,0
ISKXDR,D,19960321,000000,0.010328,0.010328,0.010328,0.010328,0,0
ISKXDR,D,19960322,000000,0.010327,0.010327,0.010327,0.010327,0,0
ISKXDR,D,19960325,000000,0.010348,0.010348,0.010348,0.010348,0,0
ISKXDR,D,19960326,000000,0.010336,0.010336,0.010336,0.010336,0,0
ISKXDR,D,19960327,000000,0.010303,0.010303,0.010303,0.010303,0,0
ISKXDR,D,19960328,000000,0.010319,0.010319,0.010319,0.010319,0,0
ISKXDR,D,19960329,000000,0.01036,0.01036,0.01036,0.01036,0,0
ISKXDR,D,19960401,000000,0.010317,0.010317,0.010317,0.010317,0,0
ISKXDR,D,19960402,000000,0.01034,0.01034,0.01034,0.01034,0,0
ISKXDR,D,19960403,000000,0.010351,0.010351,0.010351,0.010351,0,0
ISKXDR,D,19960404,000000,0.010346,0.010346,0.010346,0.010346,0,0
ISKXDR,D,19960405,000000,0.010342,0.010342,0.010342,0.010342,0,0
ISKXDR,D,19960409,000000,0.010313,0.010313,0.010313,0.010313,0,0
ISKXDR,D,19960410,000000,0.010298,0.010298,0.010298,0.010298,0,0
ISKXDR,D,19960411,000000,0.010334,0.010334,0.010334,0.010334,0,0
ISKXDR,D,19960412,000000,0.010348,0.010348,0.010348,0.010348,0,0
ISKXDR,D,19960415,000000,0.010299,0.010299,0.010299,0.010299,0,0
ISKXDR,D,19960416,000000,0.010332,0.010332,0.010332,0.010332,0,0
ISKXDR,D,19960417,000000,0.010319,0.010319,0.010319,0.010319,0,0
ISKXDR,D,19960418,000000,0.010343,0.010343,0.010343,0.010343,0,0
ISKXDR,D,19960419,000000,0.010153,0.010153,0.010153,0.010153,0,0
ISKXDR,D,19960422,000000,0.010282,0.010282,0.010282,0.010282,0,0
ISKXDR,D,19960423,000000,0.010304,0.010304,0.010304,0.010304,0,0
ISKXDR,D,19960424,000000,0.010308,0.010308,0.010308,0.010308,0,0
ISKXDR,D,19960425,000000,0.010307,0.010307,0.010307,0.010307,0,0
ISKXDR,D,19960426,000000,0.010286,0.010286,0.010286,0.010286,0,0
ISKXDR,D,19960429,000000,0.010345,0.010345,0.010345,0.010345,0,0
ISKXDR,D,19960430,000000,0.01031,0.01031,0.01031,0.01031,0,0
ISKXDR,D,19960506,000000,0.010279,0.010279,0.010279,0.010279,0,0
ISKXDR,D,19960507,000000,0.010275,0.010275,0.010275,0.010275,0,0
ISKXDR,D,19960508,000000,0.010275,0.010275,0.010275,0.010275,0,0
ISKXDR,D,19960509,000000,0.010313,0.010313,0.010313,0.010313,0,0
ISKXDR,D,19960510,000000,0.010287,0.010287,0.010287,0.010287,0,0
ISKXDR,D,19960513,000000,0.010225,0.010225,0.010225,0.010225,0,0
ISKXDR,D,19960514,000000,0.010223,0.010223,0.010223,0.010223,0,0
ISKXDR,D,19960515,000000,0.010281,0.010281,0.010281,0.010281,0,0
