<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYBTC,D,20100719,000000,0.14252,0.14252,0.14252,0.14252,0,0
JPYBTC,D,20100720,000000,0.153369,0.153369,0.153369,0.153369,0,0
JPYBTC,D,20100721,000000,0.144712,0.144712,0.144712,0.144712,0,0
JPYBTC,D,20100722,000000,0.227475,0.227475,0.227475,0.227475,0,0
JPYBTC,D,20100723,000000,0.183027,0.183027,0.183027,0.183027,0,0
JPYBTC,D,20100726,000000,0.205445,0.205445,0.205445,0.205445,0,0
JPYBTC,D,20100727,000000,0.189759,0.189759,0.189759,0.189759,0,0
JPYBTC,D,20100728,000000,0.193652,0.193652,0.193652,0.193652,0,0
JPYBTC,D,20100729,000000,0.165007,0.165007,0.165007,0.165007,0,0
JPYBTC,D,20100730,000000,0.18451,0.18451,0.18451,0.18451,0,0
JPYBTC,D,20100802,000000,0.192787,0.192787,0.192787,0.192787,0,0
JPYBTC,D,20100803,000000,0.194343,0.194343,0.194343,0.194343,0,0
JPYBTC,D,20100804,000000,0.203426,0.203426,0.203426,0.203426,0,0
JPYBTC,D,20100805,000000,0.19078,0.19078,0.19078,0.19078,0,0
JPYBTC,D,20100806,000000,0.188261,0.188261,0.188261,0.188261,0,0
JPYBTC,D,20100809,000000,0.164054,0.164054,0.164054,0.164054,0,0
JPYBTC,D,20100810,000000,0.166535,0.166535,0.166535,0.166535,0,0
JPYBTC,D,20100811,000000,0.175008,0.175008,0.175008,0.175008,0,0
JPYBTC,D,20100812,000000,0.166211,0.166211,0.166211,0.166211,0,0
JPYBTC,D,20100813,000000,0.179861,0.179861,0.179861,0.179861,0,0
JPYBTC,D,20100816,000000,0.178892,0.178892,0.178892,0.178892,0,0
JPYBTC,D,20100817,000000,0.167049,0.167049,0.167049,0.167049,0,0
JPYBTC,D,20100818,000000,0.17231,0.17231,0.17231,0.17231,0,0
JPYBTC,D,20100819,000000,0.175758,0.175758,0.175758,0.175758,0,0
JPYBTC,D,20100820,000000,0.17818,0.17818,0.17818,0.17818,0,0
JPYBTC,D,20100823,000000,0.180679,0.180679,0.180679,0.180679,0,0
JPYBTC,D,20100824,000000,0.182944,0.182944,0.182944,0.182944,0,0
JPYBTC,D,20100825,000000,0.182644,0.182644,0.182644,0.182644,0,0
JPYBTC,D,20100826,000000,0.184553,0.184553,0.184553,0.184553,0,0
JPYBTC,D,20100827,000000,0.180464,0.180464,0.180464,0.180464,0,0
JPYBTC,D,20100830,000000,0.181695,0.181695,0.181695,0.181695,0,0
JPYBTC,D,20100831,000000,0.198167,0.198167,0.198167,0.198167,0,0
JPYBTC,D,20100901,000000,0.18831,0.18831,0.18831,0.18831,0,0
JPYBTC,D,20100902,000000,0.187297,0.187297,0.187297,0.187297,0,0
JPYBTC,D,20100903,000000,0.194589,0.194589,0.194589,0.194589,0,0
JPYBTC,D,20100906,000000,0.192859,0.192859,0.192859,0.192859,0,0
JPYBTC,D,20100907,000000,0.195811,0.195811,0.195811,0.195811,0,0
JPYBTC,D,20100908,000000,0.192237,0.192237,0.192237,0.192237,0,0
JPYBTC,D,20100909,000000,0.195258,0.195258,0.195258,0.195258,0,0
JPYBTC,D,20100910,000000,0.192231,0.192231,0.192231,0.192231,0,0
JPYBTC,D,20100913,000000,0.192228,0.192228,0.192228,0.192228,0,0
JPYBTC,D,20100914,000000,0.194365,0.194365,0.194365,0.194365,0,0
JPYBTC,D,20100915,000000,0.193611,0.193611,0.193611,0.193611,0,0
JPYBTC,D,20100916,000000,0.188503,0.188503,0.188503,0.188503,0,0
JPYBTC,D,20100917,000000,0.197618,0.197618,0.197618,0.197618,0,0
JPYBTC,D,20100920,000000,0.187739,0.187739,0.187739,0.187739,0,0
JPYBTC,D,20100921,000000,0.186991,0.186991,0.186991,0.186991,0,0
JPYBTC,D,20100922,000000,0.190479,0.190479,0.190479,0.190479,0,0
JPYBTC,D,20100923,000000,0.190316,0.190316,0.190316,0.190316,0,0
JPYBTC,D,20100924,000000,0.190593,0.190593,0.190593,0.190593,0,0
JPYBTC,D,20100927,000000,0.191053,0.191053,0.191053,0.191053,0,0
JPYBTC,D,20100928,000000,0.192924,0.192924,0.192924,0.192924,0,0
JPYBTC,D,20100929,000000,0.193194,0.193194,0.193194,0.193194,0,0
JPYBTC,D,20100930,000000,0.193596,0.193596,0.193596,0.193596,0,0
JPYBTC,D,20101001,000000,0.193524,0.193524,0.193524,0.193524,0,0
JPYBTC,D,20101004,000000,0.195673,0.195673,0.195673,0.195673,0,0
JPYBTC,D,20101005,000000,0.195647,0.195647,0.195647,0.195647,0,0
JPYBTC,D,20101006,000000,0.192112,0.192112,0.192112,0.192112,0,0
JPYBTC,D,20101007,000000,0.181281,0.181281,0.181281,0.181281,0,0
JPYBTC,D,20101008,000000,0.140543,0.140543,0.140543,0.140543,0,0
JPYBTC,D,20101011,000000,0.128332,0.128332,0.128332,0.128332,0,0
JPYBTC,D,20101012,000000,0.128776,0.128776,0.128776,0.128776,0,0
JPYBTC,D,20101013,000000,0.116356,0.116356,0.116356,0.116356,0,0
JPYBTC,D,20101014,000000,0.120368,0.120368,0.120368,0.120368,0,0
JPYBTC,D,20101015,000000,0.117135,0.117135,0.117135,0.117135,0,0
JPYBTC,D,20101018,000000,0.120277,0.120277,0.120277,0.120277,0,0
JPYBTC,D,20101019,000000,0.126449,0.126449,0.126449,0.126449,0,0
JPYBTC,D,20101020,000000,0.124657,0.124657,0.124657,0.124657,0,0
JPYBTC,D,20101021,000000,0.114995,0.114995,0.114995,0.114995,0,0
JPYBTC,D,20101022,000000,0.11977,0.11977,0.11977,0.11977,0,0
