<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYCNY,D,19840109,000000,0.015163,0.015163,0.015163,0.015163,0,0
JPYCNY,D,19840116,000000,0.015498,0.015498,0.015498,0.015498,0,0
JPYCNY,D,19840123,000000,0.015498,0.015498,0.015498,0.015498,0,0
JPYCNY,D,19840130,000000,0.015498,0.015498,0.015498,0.015498,0,0
JPYCNY,D,19840206,000000,0.015498,0.015498,0.015498,0.015498,0,0
JPYCNY,D,19840213,000000,0.015498,0.015498,0.015498,0.015498,0,0
JPYCNY,D,19840220,000000,0.015849,0.015849,0.015849,0.015849,0,0
JPYCNY,D,19840301,000000,0.01541,0.01541,0.01541,0.01541,0,0
JPYCNY,D,19840305,000000,0.015719,0.015719,0.015719,0.015719,0,0
JPYCNY,D,19840312,000000,0.016667,0.016667,0.016667,0.016667,0,0
JPYCNY,D,19840319,000000,0.016327,0.016327,0.016327,0.016327,0,0
JPYCNY,D,19840326,000000,0.016667,0.016667,0.016667,0.016667,0,0
JPYCNY,D,19840402,000000,0.016388,0.016388,0.016388,0.016388,0,0
JPYCNY,D,19840409,000000,0.016667,0.016667,0.016667,0.016667,0,0
JPYCNY,D,19840416,000000,0.016667,0.016667,0.016667,0.016667,0,0
JPYCNY,D,19840424,000000,0.016667,0.016667,0.016667,0.016667,0,0
JPYCNY,D,19840502,000000,0.017014,0.017014,0.017014,0.017014,0,0
JPYCNY,D,19840507,000000,0.017014,0.017014,0.017014,0.017014,0,0
JPYCNY,D,19840514,000000,0.017014,0.017014,0.017014,0.017014,0,0
JPYCNY,D,19840521,000000,0.017021,0.017021,0.017021,0.017021,0,0
JPYCNY,D,19840528,000000,0.017021,0.017021,0.017021,0.017021,0,0
JPYCNY,D,19840604,000000,0.016667,0.016667,0.016667,0.016667,0,0
JPYCNY,D,19840611,000000,0.017021,0.017021,0.017021,0.017021,0,0
JPYCNY,D,19840618,000000,0.017021,0.017021,0.017021,0.017021,0,0
JPYCNY,D,19840625,000000,0.017021,0.017021,0.017021,0.017021,0,0
JPYCNY,D,19840702,000000,0.016667,0.016667,0.016667,0.016667,0,0
JPYCNY,D,19840709,000000,0.016968,0.016968,0.016968,0.016968,0,0
JPYCNY,D,19840716,000000,0.016968,0.016968,0.016968,0.016968,0,0
JPYCNY,D,19840723,000000,0.016968,0.016968,0.016968,0.016968,0,0
JPYCNY,D,19840730,000000,0.016974,0.016974,0.016974,0.016974,0,0
