<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYMYR,D,19900108,000000,0.018526,0.018526,0.018526,0.018526,0,0
JPYMYR,D,19900115,000000,0.018575,0.018575,0.018575,0.018575,0,0
JPYMYR,D,19900122,000000,0.018613,0.018613,0.018613,0.018613,0,0
JPYMYR,D,19900129,000000,0.018449,0.018449,0.018449,0.018449,0,0
JPYMYR,D,19900205,000000,0.018757,0.018757,0.018757,0.018757,0,0
JPYMYR,D,19900212,000000,0.018636,0.018636,0.018636,0.018636,0,0
JPYMYR,D,19900219,000000,0.018727,0.018727,0.018727,0.018727,0,0
JPYMYR,D,19900226,000000,0.018581,0.018581,0.018581,0.018581,0,0
JPYMYR,D,19900305,000000,0.018208,0.018208,0.018208,0.018208,0,0
JPYMYR,D,19900312,000000,0.018059,0.018059,0.018059,0.018059,0,0
JPYMYR,D,19900319,000000,0.017868,0.017868,0.017868,0.017868,0,0
JPYMYR,D,19900326,000000,0.017778,0.017778,0.017778,0.017778,0,0
JPYMYR,D,19900402,000000,0.017476,0.017476,0.017476,0.017476,0,0
JPYMYR,D,19900409,000000,0.017128,0.017128,0.017128,0.017128,0,0
JPYMYR,D,19900417,000000,0.017391,0.017391,0.017391,0.017391,0,0
JPYMYR,D,19900423,000000,0.016968,0.016968,0.016968,0.016968,0,0
JPYMYR,D,19900430,000000,0.017224,0.017224,0.017224,0.017224,0,0
JPYMYR,D,19900507,000000,0.017006,0.017006,0.017006,0.017006,0,0
JPYMYR,D,19900514,000000,0.017072,0.017072,0.017072,0.017072,0,0
JPYMYR,D,19900521,000000,0.017694,0.017694,0.017694,0.017694,0,0
JPYMYR,D,19900528,000000,0.017584,0.017584,0.017584,0.017584,0,0
JPYMYR,D,19900604,000000,0.017968,0.017968,0.017968,0.017968,0,0
JPYMYR,D,19900611,000000,0.017728,0.017728,0.017728,0.017728,0,0
JPYMYR,D,19900618,000000,0.017561,0.017561,0.017561,0.017561,0,0
JPYMYR,D,19900625,000000,0.017602,0.017602,0.017602,0.017602,0,0
JPYMYR,D,19900702,000000,0.01743,0.01743,0.01743,0.01743,0,0
JPYMYR,D,19900709,000000,0.017902,0.017902,0.017902,0.017902,0,0
JPYMYR,D,19900716,000000,0.017915,0.017915,0.017915,0.017915,0,0
JPYMYR,D,19900723,000000,0.018288,0.018288,0.018288,0.018288,0,0
JPYMYR,D,19900730,000000,0.018183,0.018183,0.018183,0.018183,0,0
JPYMYR,D,19900806,000000,0.018454,0.018454,0.018454,0.018454,0,0
JPYMYR,D,19900813,000000,0.018061,0.018061,0.018061,0.018061,0,0
JPYMYR,D,19900820,000000,0.017915,0.017915,0.017915,0.017915,0,0
JPYMYR,D,19900827,000000,0.018386,0.018386,0.018386,0.018386,0,0
JPYMYR,D,19900903,000000,0.018777,0.018777,0.018777,0.018777,0,0
JPYMYR,D,19900910,000000,0.01874,0.01874,0.01874,0.01874,0,0
JPYMYR,D,19900917,000000,0.019274,0.019274,0.019274,0.019274,0,0
JPYMYR,D,19900924,000000,0.019659,0.019659,0.019659,0.019659,0,0
JPYMYR,D,19901001,000000,0.019676,0.019676,0.019676,0.019676,0,0
JPYMYR,D,19901008,000000,0.019709,0.019709,0.019709,0.019709,0,0
JPYMYR,D,19901010,000000,0.020625,0.020625,0.020625,0.020625,0,0
JPYMYR,D,19901015,000000,0.020713,0.020713,0.020713,0.020713,0,0
JPYMYR,D,19901022,000000,0.021092,0.021092,0.021092,0.021092,0,0
JPYMYR,D,19901029,000000,0.0212,0.0212,0.0212,0.0212,0,0
JPYMYR,D,19901105,000000,0.021037,0.021037,0.021037,0.021037,0,0
JPYMYR,D,19901112,000000,0.021215,0.021215,0.021215,0.021215,0,0
JPYMYR,D,19901119,000000,0.020783,0.020783,0.020783,0.020783,0,0
JPYMYR,D,19901126,000000,0.020818,0.020818,0.020818,0.020818,0,0
JPYMYR,D,19901203,000000,0.020972,0.020972,0.020972,0.020972,0,0
JPYMYR,D,19901210,000000,0.020136,0.020136,0.020136,0.020136,0,0
JPYMYR,D,19901217,000000,0.020485,0.020485,0.020485,0.020485,0,0
JPYMYR,D,19901224,000000,0.020356,0.020356,0.020356,0.020356,0,0
JPYMYR,D,19910102,000000,0.019959,0.019959,0.019959,0.019959,0,0
JPYMYR,D,19910103,000000,0.020112,0.020112,0.020112,0.020112,0,0
JPYMYR,D,19910104,000000,0.020351,0.020351,0.020351,0.020351,0,0
JPYMYR,D,19910107,000000,0.020386,0.020386,0.020386,0.020386,0,0
JPYMYR,D,19910108,000000,0.01992,0.01992,0.01992,0.01992,0,0
JPYMYR,D,19910109,000000,0.019975,0.019975,0.019975,0.019975,0,0
JPYMYR,D,19910110,000000,0.020092,0.020092,0.020092,0.020092,0,0
JPYMYR,D,19910111,000000,0.020142,0.020142,0.020142,0.020142,0,0
JPYMYR,D,19910114,000000,0.020338,0.020338,0.020338,0.020338,0,0
JPYMYR,D,19910115,000000,0.020095,0.020095,0.020095,0.020095,0,0
JPYMYR,D,19910116,000000,0.020146,0.020146,0.020146,0.020146,0,0
JPYMYR,D,19910117,000000,0.019939,0.019939,0.019939,0.019939,0,0
JPYMYR,D,19910118,000000,0.020368,0.020368,0.020368,0.020368,0,0
JPYMYR,D,19910121,000000,0.020367,0.020367,0.020367,0.020367,0,0
JPYMYR,D,19910122,000000,0.020482,0.020482,0.020482,0.020482,0,0
JPYMYR,D,19910123,000000,0.020692,0.020692,0.020692,0.020692,0,0
JPYMYR,D,19910124,000000,0.020417,0.020417,0.020417,0.020417,0,0
JPYMYR,D,19910125,000000,0.020494,0.020494,0.020494,0.020494,0,0
JPYMYR,D,19910128,000000,0.020475,0.020475,0.020475,0.020475,0,0
JPYMYR,D,19910129,000000,0.020374,0.020374,0.020374,0.020374,0,0
JPYMYR,D,19910130,000000,0.020573,0.020573,0.020573,0.020573,0,0
JPYMYR,D,19910131,000000,0.020485,0.020485,0.020485,0.020485,0,0
JPYMYR,D,19910201,000000,0.020152,0.020152,0.020152,0.020152,0,0
JPYMYR,D,19910204,000000,0.020407,0.020407,0.020407,0.020407,0,0
JPYMYR,D,19910205,000000,0.020557,0.020557,0.020557,0.020557,0,0
JPYMYR,D,19910206,000000,0.020685,0.020685,0.020685,0.020685,0,0
JPYMYR,D,19910207,000000,0.020911,0.020911,0.020911,0.020911,0,0
JPYMYR,D,19910208,000000,0.020933,0.020933,0.020933,0.020933,0,0
JPYMYR,D,19910211,000000,0.021028,0.021028,0.021028,0.021028,0,0
JPYMYR,D,19910212,000000,0.021092,0.021092,0.021092,0.021092,0,0
JPYMYR,D,19910213,000000,0.021015,0.021015,0.021015,0.021015,0,0
JPYMYR,D,19910214,000000,0.020867,0.020867,0.020867,0.020867,0,0
JPYMYR,D,19910215,000000,0.020761,0.020761,0.020761,0.020761,0,0
JPYMYR,D,19910218,000000,0.020945,0.020945,0.020945,0.020945,0,0
JPYMYR,D,19910219,000000,0.020692,0.020692,0.020692,0.020692,0,0
JPYMYR,D,19910220,000000,0.020579,0.020579,0.020579,0.020579,0,0
JPYMYR,D,19910221,000000,0.020551,0.020551,0.020551,0.020551,0,0
JPYMYR,D,19910222,000000,0.020603,0.020603,0.020603,0.020603,0,0
JPYMYR,D,19910225,000000,0.020636,0.020636,0.020636,0.020636,0,0
JPYMYR,D,19910226,000000,0.020445,0.020445,0.020445,0.020445,0,0
JPYMYR,D,19910227,000000,0.020396,0.020396,0.020396,0.020396,0,0
JPYMYR,D,19910228,000000,0.020508,0.020508,0.020508,0.020508,0,0
JPYMYR,D,19910301,000000,0.020566,0.020566,0.020566,0.020566,0,0
JPYMYR,D,19910304,000000,0.0203,0.0203,0.0203,0.0203,0,0
JPYMYR,D,19910305,000000,0.02015,0.02015,0.02015,0.02015,0,0
JPYMYR,D,19910306,000000,0.020227,0.020227,0.020227,0.020227,0,0
JPYMYR,D,19910307,000000,0.02002,0.02002,0.02002,0.02002,0,0
JPYMYR,D,19910308,000000,0.020086,0.020086,0.020086,0.020086,0,0
JPYMYR,D,19910311,000000,0.020128,0.020128,0.020128,0.020128,0,0
JPYMYR,D,19910312,000000,0.019883,0.019883,0.019883,0.019883,0,0
JPYMYR,D,19910313,000000,0.020079,0.020079,0.020079,0.020079,0,0
JPYMYR,D,19910314,000000,0.020005,0.020005,0.020005,0.020005,0,0
JPYMYR,D,19910315,000000,0.020155,0.020155,0.020155,0.020155,0,0
JPYMYR,D,19910318,000000,0.020087,0.020087,0.020087,0.020087,0,0
JPYMYR,D,19910319,000000,0.019889,0.019889,0.019889,0.019889,0,0
JPYMYR,D,19910320,000000,0.020062,0.020062,0.020062,0.020062,0,0
JPYMYR,D,19910321,000000,0.019712,0.019712,0.019712,0.019712,0,0
JPYMYR,D,19910322,000000,0.019919,0.019919,0.019919,0.019919,0,0
JPYMYR,D,19910325,000000,0.020021,0.020021,0.020021,0.020021,0,0
JPYMYR,D,19910326,000000,0.019951,0.019951,0.019951,0.019951,0,0
JPYMYR,D,19910327,000000,0.019844,0.019844,0.019844,0.019844,0,0
JPYMYR,D,19910328,000000,0.020132,0.020132,0.020132,0.020132,0,0
JPYMYR,D,19910329,000000,0.019694,0.019694,0.019694,0.019694,0,0
