<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYRON,D,19951023,000000,0.0022211,0.0022211,0.0022211,0.0022211,0,0
JPYRON,D,19951024,000000,0.0022169,0.0022169,0.0022169,0.0022169,0,0
JPYRON,D,19951025,000000,0.0022008,0.0022008,0.0022008,0.0022008,0,0
JPYRON,D,19951026,000000,0.0022025,0.0022025,0.0022025,0.0022025,0,0
JPYRON,D,19951027,000000,0.0022162,0.0022162,0.0022162,0.0022162,0,0
JPYRON,D,19951030,000000,0.0021968,0.0021968,0.0021968,0.0021968,0,0
JPYRON,D,19951031,000000,0.0021931,0.0021931,0.0021931,0.0021931,0,0
JPYRON,D,19951102,000000,0.0021867,0.0021867,0.0021867,0.0021867,0,0
JPYRON,D,19951103,000000,0.0022133,0.0022133,0.0022133,0.0022133,0,0
JPYRON,D,19951106,000000,0.0022306,0.0022306,0.0022306,0.0022306,0,0
JPYRON,D,19951107,000000,0.0022763,0.0022763,0.0022763,0.0022763,0,0
JPYRON,D,19951108,000000,0.0022809,0.0022809,0.0022809,0.0022809,0,0
JPYRON,D,19951109,000000,0.0023004,0.0023004,0.0023004,0.0023004,0,0
JPYRON,D,19951110,000000,0.002357,0.002357,0.002357,0.002357,0,0
JPYRON,D,19951113,000000,0.0023644,0.0023644,0.0023644,0.0023644,0,0
JPYRON,D,19951114,000000,0.0023322,0.0023322,0.0023322,0.0023322,0,0
JPYRON,D,19951115,000000,0.0023523,0.0023523,0.0023523,0.0023523,0,0
JPYRON,D,19951116,000000,0.0024195,0.0024195,0.0024195,0.0024195,0,0
JPYRON,D,19951117,000000,0.0025013,0.0025013,0.0025013,0.0025013,0,0
JPYRON,D,19951120,000000,0.0024956,0.0024956,0.0024956,0.0024956,0,0
JPYRON,D,19951121,000000,0.0025098,0.0025098,0.0025098,0.0025098,0,0
JPYRON,D,19951122,000000,0.0025157,0.0025157,0.0025157,0.0025157,0,0
JPYRON,D,19951123,000000,0.0025339,0.0025339,0.0025339,0.0025339,0,0
JPYRON,D,19951124,000000,0.0025125,0.0025125,0.0025125,0.0025125,0,0
JPYRON,D,19951127,000000,0.0025023,0.0025023,0.0025023,0.0025023,0,0
JPYRON,D,19951128,000000,0.0025524,0.0025524,0.0025524,0.0025524,0,0
JPYRON,D,19951129,000000,0.002507,0.002507,0.002507,0.002507,0,0
JPYRON,D,19951130,000000,0.0025081,0.0025081,0.0025081,0.0025081,0,0
JPYRON,D,19951201,000000,0.0025038,0.0025038,0.0025038,0.0025038,0,0
JPYRON,D,19951204,000000,0.0025595,0.0025595,0.0025595,0.0025595,0,0
JPYRON,D,19951205,000000,0.0025636,0.0025636,0.0025636,0.0025636,0,0
JPYRON,D,19951206,000000,0.0025319,0.0025319,0.0025319,0.0025319,0,0
JPYRON,D,19951207,000000,0.0025792,0.0025792,0.0025792,0.0025792,0,0
JPYRON,D,19951208,000000,0.0025679,0.0025679,0.0025679,0.0025679,0,0
JPYRON,D,19951211,000000,0.0025829,0.0025829,0.0025829,0.0025829,0,0
JPYRON,D,19951212,000000,0.0025474,0.0025474,0.0025474,0.0025474,0,0
JPYRON,D,19951213,000000,0.0025556,0.0025556,0.0025556,0.0025556,0,0
JPYRON,D,19951214,000000,0.0025486,0.0025486,0.0025486,0.0025486,0,0
JPYRON,D,19951215,000000,0.00256,0.00256,0.00256,0.00256,0,0
JPYRON,D,19951218,000000,0.0025675,0.0025675,0.0025675,0.0025675,0,0
JPYRON,D,19951219,000000,0.0025676,0.0025676,0.0025676,0.0025676,0,0
JPYRON,D,19951220,000000,0.0025587,0.0025587,0.0025587,0.0025587,0,0
JPYRON,D,19951221,000000,0.0025597,0.0025597,0.0025597,0.0025597,0,0
JPYRON,D,19951222,000000,0.0025426,0.0025426,0.0025426,0.0025426,0,0
JPYRON,D,19951227,000000,0.0025387,0.0025387,0.0025387,0.0025387,0,0
JPYRON,D,19951228,000000,0.0025446,0.0025446,0.0025446,0.0025446,0,0
JPYRON,D,19951229,000000,0.0025476,0.0025476,0.0025476,0.0025476,0,0
JPYRON,D,19960102,000000,0.0025342,0.0025342,0.0025342,0.0025342,0,0
JPYRON,D,19960103,000000,0.0025151,0.0025151,0.0025151,0.0025151,0,0
JPYRON,D,19960104,000000,0.0024753,0.0024753,0.0024753,0.0024753,0,0
JPYRON,D,19960105,000000,0.0025093,0.0025093,0.0025093,0.0025093,0,0
JPYRON,D,19960108,000000,0.0024894,0.0024894,0.0024894,0.0024894,0,0
JPYRON,D,19960109,000000,0.0025052,0.0025052,0.0025052,0.0025052,0,0
JPYRON,D,19960110,000000,0.0025415,0.0025415,0.0025415,0.0025415,0,0
JPYRON,D,19960111,000000,0.0025041,0.0025041,0.0025041,0.0025041,0,0
JPYRON,D,19960112,000000,0.0025075,0.0025075,0.0025075,0.0025075,0,0
JPYRON,D,19960115,000000,0.0025488,0.0025488,0.0025488,0.0025488,0,0
JPYRON,D,19960116,000000,0.0025369,0.0025369,0.0025369,0.0025369,0,0
JPYRON,D,19960117,000000,0.002523,0.002523,0.002523,0.002523,0,0
JPYRON,D,19960118,000000,0.0025585,0.0025585,0.0025585,0.0025585,0,0
JPYRON,D,19960119,000000,0.0025496,0.0025496,0.0025496,0.0025496,0,0
JPYRON,D,19960122,000000,0.0025295,0.0025295,0.0025295,0.0025295,0,0
JPYRON,D,19960123,000000,0.0024995,0.0024995,0.0024995,0.0024995,0,0
JPYRON,D,19960124,000000,0.0025741,0.0025741,0.0025741,0.0025741,0,0
JPYRON,D,19960125,000000,0.0026417,0.0026417,0.0026417,0.0026417,0,0
JPYRON,D,19960126,000000,0.0026534,0.0026534,0.0026534,0.0026534,0,0
JPYRON,D,19960129,000000,0.0026607,0.0026607,0.0026607,0.0026607,0,0
JPYRON,D,19960130,000000,0.0025942,0.0025942,0.0025942,0.0025942,0,0
JPYRON,D,19960131,000000,0.0025792,0.0025792,0.0025792,0.0025792,0,0
JPYRON,D,19960201,000000,0.0025859,0.0025859,0.0025859,0.0025859,0,0
JPYRON,D,19960202,000000,0.0025939,0.0025939,0.0025939,0.0025939,0,0
JPYRON,D,19960205,000000,0.0026357,0.0026357,0.0026357,0.0026357,0,0
JPYRON,D,19960206,000000,0.0026315,0.0026315,0.0026315,0.0026315,0,0
JPYRON,D,19960207,000000,0.002613,0.002613,0.002613,0.002613,0,0
JPYRON,D,19960208,000000,0.0026018,0.0026018,0.0026018,0.0026018,0,0
JPYRON,D,19960209,000000,0.0026569,0.0026569,0.0026569,0.0026569,0,0
JPYRON,D,19960212,000000,0.0026329,0.0026329,0.0026329,0.0026329,0,0
JPYRON,D,19960213,000000,0.0026878,0.0026878,0.0026878,0.0026878,0,0
JPYRON,D,19960214,000000,0.0026988,0.0026988,0.0026988,0.0026988,0,0
JPYRON,D,19960215,000000,0.0027415,0.0027415,0.0027415,0.0027415,0,0
JPYRON,D,19960216,000000,0.0027565,0.0027565,0.0027565,0.0027565,0,0
JPYRON,D,19960219,000000,0.0028176,0.0028176,0.0028176,0.0028176,0,0
JPYRON,D,19960220,000000,0.0027704,0.0027704,0.0027704,0.0027704,0,0
JPYRON,D,19960221,000000,0.0027464,0.0027464,0.0027464,0.0027464,0,0
JPYRON,D,19960222,000000,0.0027617,0.0027617,0.0027617,0.0027617,0,0
JPYRON,D,19960223,000000,0.0027398,0.0027398,0.0027398,0.0027398,0,0
JPYRON,D,19960226,000000,0.0027631,0.0027631,0.0027631,0.0027631,0,0
JPYRON,D,19960227,000000,0.0027732,0.0027732,0.0027732,0.0027732,0,0
JPYRON,D,19960228,000000,0.0028069,0.0028069,0.0028069,0.0028069,0,0
JPYRON,D,19960229,000000,0.002727,0.002727,0.002727,0.002727,0,0
JPYRON,D,19960301,000000,0.0027718,0.0027718,0.0027718,0.0027718,0,0
JPYRON,D,19960304,000000,0.0027617,0.0027617,0.0027617,0.0027617,0,0
JPYRON,D,19960305,000000,0.0028247,0.0028247,0.0028247,0.0028247,0,0
JPYRON,D,19960306,000000,0.0027627,0.0027627,0.0027627,0.0027627,0,0
JPYRON,D,19960307,000000,0.0027695,0.0027695,0.0027695,0.0027695,0,0
JPYRON,D,19960308,000000,0.0028276,0.0028276,0.0028276,0.0028276,0,0
JPYRON,D,19960311,000000,0.0028035,0.0028035,0.0028035,0.0028035,0,0
JPYRON,D,19960312,000000,0.0027893,0.0027893,0.0027893,0.0027893,0,0
JPYRON,D,19960313,000000,0.002876,0.002876,0.002876,0.002876,0,0
JPYRON,D,19960314,000000,0.0027125,0.0027125,0.0027125,0.0027125,0,0
JPYRON,D,19960315,000000,0.0027409,0.0027409,0.0027409,0.0027409,0,0
JPYRON,D,19960318,000000,0.0028008,0.0028008,0.0028008,0.0028008,0,0
JPYRON,D,19960319,000000,0.0027739,0.0027739,0.0027739,0.0027739,0,0
JPYRON,D,19960320,000000,0.0028404,0.0028404,0.0028404,0.0028404,0,0
JPYRON,D,19960321,000000,0.0027826,0.0027826,0.0027826,0.0027826,0,0
JPYRON,D,19960322,000000,0.0027653,0.0027653,0.0027653,0.0027653,0,0
JPYRON,D,19960325,000000,0.0027295,0.0027295,0.0027295,0.0027295,0,0
JPYRON,D,19960326,000000,0.0027456,0.0027456,0.0027456,0.0027456,0,0
JPYRON,D,19960327,000000,0.0027183,0.0027183,0.0027183,0.0027183,0,0
JPYRON,D,19960328,000000,0.0027294,0.0027294,0.0027294,0.0027294,0,0
JPYRON,D,19960329,000000,0.002729,0.002729,0.002729,0.002729,0,0
JPYRON,D,19960401,000000,0.0027018,0.0027018,0.0027018,0.0027018,0,0
JPYRON,D,19960402,000000,0.0027103,0.0027103,0.0027103,0.0027103,0,0
JPYRON,D,19960403,000000,0.0027137,0.0027137,0.0027137,0.0027137,0,0
JPYRON,D,19960404,000000,0.0027105,0.0027105,0.0027105,0.0027105,0,0
JPYRON,D,19960405,000000,0.002705,0.002705,0.002705,0.002705,0,0
JPYRON,D,19960409,000000,0.0026796,0.0026796,0.0026796,0.0026796,0,0
JPYRON,D,19960410,000000,0.0026749,0.0026749,0.0026749,0.0026749,0,0
JPYRON,D,19960411,000000,0.0026701,0.0026701,0.0026701,0.0026701,0,0
JPYRON,D,19960412,000000,0.0026801,0.0026801,0.0026801,0.0026801,0,0
JPYRON,D,19960415,000000,0.002682,0.002682,0.002682,0.002682,0,0
JPYRON,D,19960416,000000,0.0026891,0.0026891,0.0026891,0.0026891,0,0
JPYRON,D,19960417,000000,0.0026883,0.0026883,0.0026883,0.0026883,0,0
JPYRON,D,19960418,000000,0.0027001,0.0027001,0.0027001,0.0027001,0,0
JPYRON,D,19960419,000000,0.0027241,0.0027241,0.0027241,0.0027241,0,0
JPYRON,D,19960422,000000,0.0027264,0.0027264,0.0027264,0.0027264,0,0
JPYRON,D,19960423,000000,0.0027297,0.0027297,0.0027297,0.0027297,0,0
JPYRON,D,19960424,000000,0.002725,0.002725,0.002725,0.002725,0,0
JPYRON,D,19960425,000000,0.0027266,0.0027266,0.0027266,0.0027266,0,0
JPYRON,D,19960426,000000,0.0027397,0.0027397,0.0027397,0.0027397,0,0
JPYRON,D,19960429,000000,0.0027868,0.0027868,0.0027868,0.0027868,0,0
JPYRON,D,19960430,000000,0.0027926,0.0027926,0.0027926,0.0027926,0,0
JPYRON,D,19960506,000000,0.00278,0.00278,0.00278,0.00278,0,0
JPYRON,D,19960507,000000,0.0027788,0.0027788,0.0027788,0.0027788,0,0
JPYRON,D,19960508,000000,0.0027627,0.0027627,0.0027627,0.0027627,0,0
JPYRON,D,19960509,000000,0.0027864,0.0027864,0.0027864,0.0027864,0,0
JPYRON,D,19960510,000000,0.0027839,0.0027839,0.0027839,0.0027839,0,0
JPYRON,D,19960513,000000,0.0027772,0.0027772,0.0027772,0.0027772,0,0
JPYRON,D,19960514,000000,0.0027759,0.0027759,0.0027759,0.0027759,0,0
JPYRON,D,19960515,000000,0.0027471,0.0027471,0.0027471,0.0027471,0,0
JPYRON,D,19960516,000000,0.0027319,0.0027319,0.0027319,0.0027319,0,0
JPYRON,D,19960517,000000,0.0027452,0.0027452,0.0027452,0.0027452,0,0
JPYRON,D,19960520,000000,0.0027374,0.0027374,0.0027374,0.0027374,0,0
JPYRON,D,19960521,000000,0.0027468,0.0027468,0.0027468,0.0027468,0,0
JPYRON,D,19960522,000000,0.0027506,0.0027506,0.0027506,0.0027506,0,0
JPYRON,D,19960523,000000,0.0027579,0.0027579,0.0027579,0.0027579,0,0
JPYRON,D,19960524,000000,0.0027328,0.0027328,0.0027328,0.0027328,0,0
JPYRON,D,19960527,000000,0.0027372,0.0027372,0.0027372,0.0027372,0,0
JPYRON,D,19960528,000000,0.0027133,0.0027133,0.0027133,0.0027133,0,0
JPYRON,D,19960529,000000,0.0027081,0.0027081,0.0027081,0.0027081,0,0
JPYRON,D,19960530,000000,0.0027617,0.0027617,0.0027617,0.0027617,0,0
JPYRON,D,19960531,000000,0.0027276,0.0027276,0.0027276,0.0027276,0,0
JPYRON,D,19960603,000000,0.0027383,0.0027383,0.0027383,0.0027383,0,0
JPYRON,D,19960604,000000,0.002722,0.002722,0.002722,0.002722,0,0
JPYRON,D,19960605,000000,0.0027312,0.0027312,0.0027312,0.0027312,0,0
JPYRON,D,19960607,000000,0.0027326,0.0027326,0.0027326,0.0027326,0,0
JPYRON,D,19960610,000000,0.0027214,0.0027214,0.0027214,0.0027214,0,0
JPYRON,D,19960611,000000,0.002718,0.002718,0.002718,0.002718,0,0
JPYRON,D,19960612,000000,0.0027306,0.0027306,0.0027306,0.0027306,0,0
JPYRON,D,19960613,000000,0.0027327,0.0027327,0.0027327,0.0027327,0,0
JPYRON,D,19960614,000000,0.0027654,0.0027654,0.0027654,0.0027654,0,0
JPYRON,D,19960617,000000,0.0027561,0.0027561,0.0027561,0.0027561,0,0
JPYRON,D,19960618,000000,0.0027834,0.0027834,0.0027834,0.0027834,0,0
