<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYRUB,D,19951023,000000,0.04511,0.04511,0.04511,0.04511,0,0
JPYRUB,D,19951024,000000,0.04497,0.04497,0.04497,0.04497,0,0
JPYRUB,D,19951025,000000,0.04437,0.04437,0.04437,0.04437,0,0
JPYRUB,D,19951026,000000,0.04443,0.04443,0.04443,0.04443,0,0
JPYRUB,D,19951027,000000,0.04475,0.04475,0.04475,0.04475,0,0
JPYRUB,D,19951030,000000,0.04421,0.04421,0.04421,0.04421,0,0
JPYRUB,D,19951031,000000,0.04414,0.04414,0.04414,0.04414,0,0
JPYRUB,D,19951102,000000,0.04358,0.04358,0.04358,0.04358,0,0
JPYRUB,D,19951103,000000,0.04358,0.04358,0.04358,0.04358,0,0
JPYRUB,D,19951106,000000,0.04391,0.04391,0.04391,0.04391,0,0
JPYRUB,D,19951107,000000,0.04389,0.04389,0.04389,0.04389,0,0
JPYRUB,D,19951108,000000,0.04425,0.04425,0.04425,0.04425,0,0
JPYRUB,D,19951109,000000,0.04428,0.04428,0.04428,0.04428,0,0
JPYRUB,D,19951110,000000,0.04495,0.04495,0.04495,0.04495,0,0
JPYRUB,D,19951113,000000,0.04511,0.04511,0.04511,0.04511,0,0
JPYRUB,D,19951114,000000,0.04455,0.04455,0.04455,0.04455,0,0
JPYRUB,D,19951115,000000,0.04484,0.04484,0.04484,0.04484,0,0
JPYRUB,D,19951116,000000,0.04462,0.04462,0.04462,0.04462,0,0
JPYRUB,D,19951117,000000,0.04468,0.04468,0.04468,0.04468,0,0
JPYRUB,D,19951120,000000,0.0447,0.0447,0.0447,0.0447,0,0
JPYRUB,D,19951121,000000,0.04487,0.04487,0.04487,0.04487,0,0
JPYRUB,D,19951122,000000,0.04511,0.04511,0.04511,0.04511,0,0
JPYRUB,D,19951123,000000,0.04547,0.04547,0.04547,0.04547,0,0
JPYRUB,D,19951124,000000,0.04508,0.04508,0.04508,0.04508,0,0
JPYRUB,D,19951127,000000,0.0451,0.0451,0.0451,0.0451,0,0
JPYRUB,D,19951128,000000,0.04534,0.04534,0.04534,0.04534,0,0
JPYRUB,D,19951129,000000,0.0451,0.0451,0.0451,0.0451,0,0
JPYRUB,D,19951130,000000,0.0452,0.0452,0.0452,0.0452,0,0
JPYRUB,D,19951201,000000,0.04524,0.04524,0.04524,0.04524,0,0
JPYRUB,D,19951204,000000,0.04553,0.04553,0.04553,0.04553,0,0
JPYRUB,D,19951205,000000,0.04538,0.04538,0.04538,0.04538,0,0
JPYRUB,D,19951206,000000,0.0452,0.0452,0.0452,0.0452,0,0
JPYRUB,D,19951207,000000,0.0454,0.0454,0.0454,0.0454,0,0
JPYRUB,D,19951208,000000,0.04516,0.04516,0.04516,0.04516,0,0
JPYRUB,D,19951211,000000,0.04538,0.04538,0.04538,0.04538,0,0
JPYRUB,D,19951212,000000,0.0451,0.0451,0.0451,0.0451,0,0
JPYRUB,D,19951213,000000,0.04545,0.04545,0.04545,0.04545,0,0
JPYRUB,D,19951214,000000,0.04557,0.04557,0.04557,0.04557,0,0
JPYRUB,D,19951215,000000,0.04543,0.04543,0.04543,0.04543,0,0
JPYRUB,D,19951218,000000,0.04561,0.04561,0.04561,0.04561,0,0
JPYRUB,D,19951219,000000,0.04564,0.04564,0.04564,0.04564,0,0
JPYRUB,D,19951220,000000,0.04548,0.04548,0.04548,0.04548,0,0
JPYRUB,D,19951221,000000,0.0455,0.0455,0.0455,0.0455,0,0
JPYRUB,D,19951222,000000,0.0452,0.0452,0.0452,0.0452,0,0
JPYRUB,D,19951227,000000,0.04509,0.04509,0.04509,0.04509,0,0
JPYRUB,D,19951228,000000,0.04524,0.04524,0.04524,0.04524,0,0
JPYRUB,D,19951229,000000,0.04498,0.04498,0.04498,0.04498,0,0
JPYRUB,D,19960102,000000,0.04474,0.04474,0.04474,0.04474,0,0
JPYRUB,D,19960103,000000,0.04442,0.04442,0.04442,0.04442,0,0
JPYRUB,D,19960104,000000,0.04376,0.04376,0.04376,0.04376,0,0
JPYRUB,D,19960105,000000,0.04422,0.04422,0.04422,0.04422,0,0
JPYRUB,D,19960108,000000,0.044,0.044,0.044,0.044,0,0
JPYRUB,D,19960109,000000,0.04425,0.04425,0.04425,0.04425,0,0
JPYRUB,D,19960110,000000,0.04459,0.04459,0.04459,0.04459,0,0
JPYRUB,D,19960111,000000,0.04461,0.04461,0.04461,0.04461,0,0
JPYRUB,D,19960112,000000,0.04421,0.04421,0.04421,0.04421,0,0
JPYRUB,D,19960115,000000,0.04445,0.04445,0.04445,0.04445,0,0
JPYRUB,D,19960116,000000,0.04416,0.04416,0.04416,0.04416,0,0
JPYRUB,D,19960117,000000,0.04428,0.04428,0.04428,0.04428,0,0
JPYRUB,D,19960118,000000,0.04459,0.04459,0.04459,0.04459,0,0
JPYRUB,D,19960119,000000,0.04457,0.04457,0.04457,0.04457,0,0
JPYRUB,D,19960122,000000,0.04418,0.04418,0.04418,0.04418,0,0
JPYRUB,D,19960123,000000,0.04432,0.04432,0.04432,0.04432,0,0
JPYRUB,D,19960124,000000,0.04412,0.04412,0.04412,0.04412,0,0
JPYRUB,D,19960125,000000,0.04411,0.04411,0.04411,0.04411,0,0
JPYRUB,D,19960126,000000,0.04427,0.04427,0.04427,0.04427,0,0
JPYRUB,D,19960129,000000,0.04434,0.04434,0.04434,0.04434,0,0
JPYRUB,D,19960130,000000,0.04421,0.04421,0.04421,0.04421,0,0
JPYRUB,D,19960131,000000,0.04431,0.04431,0.04431,0.04431,0,0
JPYRUB,D,19960201,000000,0.04432,0.04432,0.04432,0.04432,0,0
JPYRUB,D,19960202,000000,0.04453,0.04453,0.04453,0.04453,0,0
JPYRUB,D,19960205,000000,0.04501,0.04501,0.04501,0.04501,0,0
JPYRUB,D,19960206,000000,0.04494,0.04494,0.04494,0.04494,0,0
JPYRUB,D,19960207,000000,0.04463,0.04463,0.04463,0.04463,0,0
JPYRUB,D,19960208,000000,0.04443,0.04443,0.04443,0.04443,0,0
