<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYSEK,D,19710104,000000,0.014441,0.014441,0.014441,0.014441,0,0
JPYSEK,D,19710105,000000,0.014427,0.014427,0.014427,0.014427,0,0
JPYSEK,D,19710106,000000,0.01443,0.01443,0.01443,0.01443,0,0
JPYSEK,D,19710107,000000,0.014434,0.014434,0.014434,0.014434,0,0
JPYSEK,D,19710108,000000,0.014416,0.014416,0.014416,0.014416,0,0
JPYSEK,D,19710111,000000,0.014418,0.014418,0.014418,0.014418,0,0
JPYSEK,D,19710112,000000,0.014429,0.014429,0.014429,0.014429,0,0
JPYSEK,D,19710113,000000,0.014402,0.014402,0.014402,0.014402,0,0
JPYSEK,D,19710114,000000,0.014391,0.014391,0.014391,0.014391,0,0
JPYSEK,D,19710115,000000,0.014422,0.014422,0.014422,0.014422,0,0
JPYSEK,D,19710118,000000,0.014414,0.014414,0.014414,0.014414,0,0
JPYSEK,D,19710119,000000,0.014418,0.014418,0.014418,0.014418,0,0
JPYSEK,D,19710120,000000,0.014393,0.014393,0.014393,0.014393,0,0
JPYSEK,D,19710121,000000,0.014418,0.014418,0.014418,0.014418,0,0
JPYSEK,D,19710122,000000,0.014417,0.014417,0.014417,0.014417,0,0
JPYSEK,D,19710125,000000,0.014443,0.014443,0.014443,0.014443,0,0
JPYSEK,D,19710126,000000,0.014435,0.014435,0.014435,0.014435,0,0
JPYSEK,D,19710127,000000,0.014426,0.014426,0.014426,0.014426,0,0
JPYSEK,D,19710128,000000,0.014438,0.014438,0.014438,0.014438,0,0
JPYSEK,D,19710129,000000,0.014456,0.014456,0.014456,0.014456,0,0
JPYSEK,D,19710201,000000,0.01448,0.01448,0.01448,0.01448,0,0
JPYSEK,D,19710202,000000,0.014472,0.014472,0.014472,0.014472,0,0
JPYSEK,D,19710203,000000,0.01447,0.01447,0.01447,0.01447,0,0
JPYSEK,D,19710204,000000,0.014462,0.014462,0.014462,0.014462,0,0
JPYSEK,D,19710205,000000,0.014489,0.014489,0.014489,0.014489,0,0
JPYSEK,D,19710208,000000,0.014497,0.014497,0.014497,0.014497,0,0
JPYSEK,D,19710209,000000,0.014497,0.014497,0.014497,0.014497,0,0
