<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYXAG,D,19840109,000000,0.00053632,0.00053632,0.00053632,0.00053632,0,0
JPYXAG,D,19840116,000000,0.00052513,0.00052513,0.00052513,0.00052513,0,0
JPYXAG,D,19840123,000000,0.00052544,0.00052544,0.00052544,0.00052544,0,0
JPYXAG,D,19840130,000000,0.00050768,0.00050768,0.00050768,0.00050768,0,0
JPYXAG,D,19840206,000000,0.00048361,0.00048361,0.00048361,0.00048361,0,0
JPYXAG,D,19840213,000000,0.00048723,0.00048723,0.00048723,0.00048723,0,0
JPYXAG,D,19840220,000000,0.00048932,0.00048932,0.00048932,0.00048932,0,0
JPYXAG,D,19840301,000000,0.00043685,0.00043685,0.00043685,0.00043685,0,0
JPYXAG,D,19840305,000000,0.00042043,0.00042043,0.00042043,0.00042043,0,0
JPYXAG,D,19840312,000000,0.00045795,0.00045795,0.00045795,0.00045795,0,0
JPYXAG,D,19840319,000000,0.00046153,0.00046153,0.00046153,0.00046153,0,0
JPYXAG,D,19840326,000000,0.00046329,0.00046329,0.00046329,0.00046329,0,0
JPYXAG,D,19840402,000000,0.00047462,0.00047462,0.00047462,0.00047462,0,0
JPYXAG,D,19840409,000000,0.00047842,0.00047842,0.00047842,0.00047842,0,0
JPYXAG,D,19840416,000000,0.00048401,0.00048401,0.00048401,0.00048401,0,0
JPYXAG,D,19840424,000000,0.00047877,0.00047877,0.00047877,0.00047877,0,0
JPYXAG,D,19840502,000000,0.00048215,0.00048215,0.00048215,0.00048215,0,0
JPYXAG,D,19840507,000000,0.00050314,0.00050314,0.00050314,0.00050314,0,0
JPYXAG,D,19840514,000000,0.00048934,0.00048934,0.00048934,0.00048934,0,0
JPYXAG,D,19840521,000000,0.00047121,0.00047121,0.00047121,0.00047121,0,0
JPYXAG,D,19840528,000000,0.00046641,0.00046641,0.00046641,0.00046641,0,0
JPYXAG,D,19840604,000000,0.00045519,0.00045519,0.00045519,0.00045519,0,0
JPYXAG,D,19840611,000000,0.00050367,0.00050367,0.00050367,0.00050367,0,0
JPYXAG,D,19840618,000000,0.00049838,0.00049838,0.00049838,0.00049838,0,0
JPYXAG,D,19840625,000000,0.00051473,0.00051473,0.00051473,0.00051473,0,0
JPYXAG,D,19840702,000000,0.00049778,0.00049778,0.00049778,0.00049778,0,0
JPYXAG,D,19840709,000000,0.00053661,0.00053661,0.00053661,0.00053661,0,0
JPYXAG,D,19840716,000000,0.00054688,0.00054688,0.00054688,0.00054688,0,0
