<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWAUD,D,19840109,000000,0.0014013,0.0014013,0.0014013,0.0014013,0,0
KRWAUD,D,19840116,000000,0.0013747,0.0013747,0.0013747,0.0013747,0,0
KRWAUD,D,19840123,000000,0.001392,0.001392,0.001392,0.001392,0,0
KRWAUD,D,19840130,000000,0.0013807,0.0013807,0.0013807,0.0013807,0,0
KRWAUD,D,19840206,000000,0.0013644,0.0013644,0.0013644,0.0013644,0,0
KRWAUD,D,19840213,000000,0.0013658,0.0013658,0.0013658,0.0013658,0,0
KRWAUD,D,19840220,000000,0.0013283,0.0013283,0.0013283,0.0013283,0,0
KRWAUD,D,19840301,000000,0.0013318,0.0013318,0.0013318,0.0013318,0,0
KRWAUD,D,19840305,000000,0.0013322,0.0013322,0.0013322,0.0013322,0,0
KRWAUD,D,19840312,000000,0.0013133,0.0013133,0.0013133,0.0013133,0,0
KRWAUD,D,19840319,000000,0.0012998,0.0012998,0.0012998,0.0012998,0,0
KRWAUD,D,19840326,000000,0.0013075,0.0013075,0.0013075,0.0013075,0,0
KRWAUD,D,19840402,000000,0.0013279,0.0013279,0.0013279,0.0013279,0,0
KRWAUD,D,19840409,000000,0.0013322,0.0013322,0.0013322,0.0013322,0,0
KRWAUD,D,19840416,000000,0.0013645,0.0013645,0.0013645,0.0013645,0,0
KRWAUD,D,19840424,000000,0.0013657,0.0013657,0.0013657,0.0013657,0,0
KRWAUD,D,19840502,000000,0.0013522,0.0013522,0.0013522,0.0013522,0,0
KRWAUD,D,19840507,000000,0.0013531,0.0013531,0.0013531,0.0013531,0,0
KRWAUD,D,19840514,000000,0.0013533,0.0013533,0.0013533,0.0013533,0,0
KRWAUD,D,19840521,000000,0.0013807,0.0013807,0.0013807,0.0013807,0,0
KRWAUD,D,19840528,000000,0.0013777,0.0013777,0.0013777,0.0013777,0,0
KRWAUD,D,19840604,000000,0.001395,0.001395,0.001395,0.001395,0,0
KRWAUD,D,19840611,000000,0.0013823,0.0013823,0.0013823,0.0013823,0,0
KRWAUD,D,19840618,000000,0.0013921,0.0013921,0.0013921,0.0013921,0,0
KRWAUD,D,19840625,000000,0.001403,0.001403,0.001403,0.001403,0,0
