<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWCHF,D,19840109,000000,0.0028035,0.0028035,0.0028035,0.0028035,0,0
KRWCHF,D,19840116,000000,0.002815,0.002815,0.002815,0.002815,0,0
KRWCHF,D,19840123,000000,0.0027915,0.0027915,0.0027915,0.0027915,0,0
KRWCHF,D,19840130,000000,0.0028105,0.0028105,0.0028105,0.0028105,0,0
KRWCHF,D,19840206,000000,0.0028099,0.0028099,0.0028099,0.0028099,0,0
KRWCHF,D,19840213,000000,0.0028105,0.0028105,0.0028105,0.0028105,0,0
KRWCHF,D,19840220,000000,0.0027803,0.0027803,0.0027803,0.0027803,0,0
KRWCHF,D,19840301,000000,0.0027567,0.0027567,0.0027567,0.0027567,0,0
KRWCHF,D,19840305,000000,0.0027161,0.0027161,0.0027161,0.0027161,0,0
KRWCHF,D,19840312,000000,0.0026428,0.0026428,0.0026428,0.0026428,0,0
KRWCHF,D,19840319,000000,0.0026526,0.0026526,0.0026526,0.0026526,0,0
KRWCHF,D,19840326,000000,0.0027,0.0027,0.0027,0.0027,0,0
KRWCHF,D,19840402,000000,0.0027027,0.0027027,0.0027027,0.0027027,0,0
KRWCHF,D,19840409,000000,0.0027107,0.0027107,0.0027107,0.0027107,0,0
KRWCHF,D,19840416,000000,0.0027247,0.0027247,0.0027247,0.0027247,0,0
KRWCHF,D,19840424,000000,0.0027517,0.0027517,0.0027517,0.0027517,0,0
KRWCHF,D,19840502,000000,0.0027549,0.0027549,0.0027549,0.0027549,0,0
KRWCHF,D,19840507,000000,0.0028155,0.0028155,0.0028155,0.0028155,0,0
KRWCHF,D,19840514,000000,0.0028279,0.0028279,0.0028279,0.0028279,0,0
KRWCHF,D,19840521,000000,0.002829,0.002829,0.002829,0.002829,0,0
KRWCHF,D,19840528,000000,0.0028198,0.0028198,0.0028198,0.0028198,0,0
KRWCHF,D,19840604,000000,0.0028269,0.0028269,0.0028269,0.0028269,0,0
KRWCHF,D,19840611,000000,0.0027666,0.0027666,0.0027666,0.0027666,0,0
KRWCHF,D,19840618,000000,0.0028238,0.0028238,0.0028238,0.0028238,0,0
KRWCHF,D,19840625,000000,0.0028395,0.0028395,0.0028395,0.0028395,0,0
KRWCHF,D,19840702,000000,0.0028868,0.0028868,0.0028868,0.0028868,0,0
KRWCHF,D,19840709,000000,0.0029022,0.0029022,0.0029022,0.0029022,0,0
KRWCHF,D,19840716,000000,0.0029256,0.0029256,0.0029256,0.0029256,0,0
KRWCHF,D,19840723,000000,0.0029688,0.0029688,0.0029688,0.0029688,0,0
KRWCHF,D,19840730,000000,0.0030145,0.0030145,0.0030145,0.0030145,0,0
KRWCHF,D,19840806,000000,0.0030211,0.0030211,0.0030211,0.0030211,0,0
KRWCHF,D,19840813,000000,0.0029989,0.0029989,0.0029989,0.0029989,0,0
KRWCHF,D,19840820,000000,0.0030127,0.0030127,0.0030127,0.0030127,0,0
KRWCHF,D,19840827,000000,0.0029625,0.0029625,0.0029625,0.0029625,0,0
KRWCHF,D,19840901,000000,0.0029572,0.0029572,0.0029572,0.0029572,0,0
KRWCHF,D,19840910,000000,0.0029969,0.0029969,0.0029969,0.0029969,0,0
KRWCHF,D,19840917,000000,0.0030588,0.0030588,0.0030588,0.0030588,0,0
KRWCHF,D,19840924,000000,0.0031042,0.0031042,0.0031042,0.0031042,0,0
KRWCHF,D,19841001,000000,0.0030899,0.0030899,0.0030899,0.0030899,0,0
KRWCHF,D,19841008,000000,0.0030631,0.0030631,0.0030631,0.0030631,0,0
KRWCHF,D,19841015,000000,0.0030779,0.0030779,0.0030779,0.0030779,0,0
