<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWILS,D,19931025,000000,0.0035543,0.0035543,0.0035543,0.0035543,0,0
KRWILS,D,19931026,000000,0.0035646,0.0035646,0.0035646,0.0035646,0,0
KRWILS,D,19931027,000000,0.0035648,0.0035648,0.0035648,0.0035648,0,0
KRWILS,D,19931028,000000,0.0035752,0.0035752,0.0035752,0.0035752,0,0
KRWILS,D,19931029,000000,0.0035822,0.0035822,0.0035822,0.0035822,0,0
KRWILS,D,19931102,000000,0.0035924,0.0035924,0.0035924,0.0035924,0,0
KRWILS,D,19931103,000000,0.0036047,0.0036047,0.0036047,0.0036047,0,0
KRWILS,D,19931104,000000,0.0035979,0.0035979,0.0035979,0.0035979,0,0
KRWILS,D,19931105,000000,0.0035965,0.0035965,0.0035965,0.0035965,0,0
KRWILS,D,19931108,000000,0.003597,0.003597,0.003597,0.003597,0,0
KRWILS,D,19931109,000000,0.0036257,0.0036257,0.0036257,0.0036257,0,0
KRWILS,D,19931110,000000,0.0036346,0.0036346,0.0036346,0.0036346,0,0
KRWILS,D,19931112,000000,0.0036174,0.0036174,0.0036174,0.0036174,0,0
KRWILS,D,19931115,000000,0.0036044,0.0036044,0.0036044,0.0036044,0,0
KRWILS,D,19931116,000000,0.0036004,0.0036004,0.0036004,0.0036004,0,0
KRWILS,D,19931117,000000,0.0036069,0.0036069,0.0036069,0.0036069,0,0
KRWILS,D,19931118,000000,0.0036047,0.0036047,0.0036047,0.0036047,0,0
KRWILS,D,19931119,000000,0.0036212,0.0036212,0.0036212,0.0036212,0,0
KRWILS,D,19931122,000000,0.0036303,0.0036303,0.0036303,0.0036303,0,0
KRWILS,D,19931123,000000,0.0036342,0.0036342,0.0036342,0.0036342,0,0
KRWILS,D,19931124,000000,0.0036317,0.0036317,0.0036317,0.0036317,0,0
KRWILS,D,19931125,000000,0.0036136,0.0036136,0.0036136,0.0036136,0,0
