<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWMYR,D,19900108,000000,0.0039512,0.0039512,0.0039512,0.0039512,0,0
KRWMYR,D,19900115,000000,0.0039453,0.0039453,0.0039453,0.0039453,0,0
KRWMYR,D,19900122,000000,0.003931,0.003931,0.003931,0.003931,0,0
KRWMYR,D,19900129,000000,0.0039276,0.0039276,0.0039276,0.0039276,0,0
KRWMYR,D,19900205,000000,0.003907,0.003907,0.003907,0.003907,0,0
KRWMYR,D,19900212,000000,0.0039097,0.0039097,0.0039097,0.0039097,0,0
KRWMYR,D,19900219,000000,0.0039072,0.0039072,0.0039072,0.0039072,0,0
KRWMYR,D,19900226,000000,0.0038907,0.0038907,0.0038907,0.0038907,0,0
KRWMYR,D,19900305,000000,0.0038903,0.0038903,0.0038903,0.0038903,0,0
KRWMYR,D,19900312,000000,0.0038599,0.0038599,0.0038599,0.0038599,0,0
KRWMYR,D,19900319,000000,0.0038942,0.0038942,0.0038942,0.0038942,0,0
KRWMYR,D,19900326,000000,0.0038849,0.0038849,0.0038849,0.0038849,0,0
KRWMYR,D,19900402,000000,0.003875,0.003875,0.003875,0.003875,0,0
KRWMYR,D,19900409,000000,0.0038458,0.0038458,0.0038458,0.0038458,0,0
KRWMYR,D,19900417,000000,0.0038507,0.0038507,0.0038507,0.0038507,0,0
KRWMYR,D,19900423,000000,0.0038388,0.0038388,0.0038388,0.0038388,0,0
KRWMYR,D,19900430,000000,0.0038268,0.0038268,0.0038268,0.0038268,0,0
KRWMYR,D,19900507,000000,0.0038185,0.0038185,0.0038185,0.0038185,0,0
KRWMYR,D,19900514,000000,0.0037932,0.0037932,0.0037932,0.0037932,0,0
KRWMYR,D,19900521,000000,0.0037913,0.0037913,0.0037913,0.0037913,0,0
KRWMYR,D,19900528,000000,0.0037824,0.0037824,0.0037824,0.0037824,0,0
KRWMYR,D,19900604,000000,0.0037933,0.0037933,0.0037933,0.0037933,0,0
KRWMYR,D,19900611,000000,0.003774,0.003774,0.003774,0.003774,0,0
KRWMYR,D,19900618,000000,0.0037701,0.0037701,0.0037701,0.0037701,0,0
KRWMYR,D,19900625,000000,0.0037675,0.0037675,0.0037675,0.0037675,0,0
KRWMYR,D,19900702,000000,0.0037662,0.0037662,0.0037662,0.0037662,0,0
KRWMYR,D,19900709,000000,0.0037591,0.0037591,0.0037591,0.0037591,0,0
KRWMYR,D,19900716,000000,0.0037639,0.0037639,0.0037639,0.0037639,0,0
KRWMYR,D,19900723,000000,0.003764,0.003764,0.003764,0.003764,0,0
KRWMYR,D,19900730,000000,0.0037626,0.0037626,0.0037626,0.0037626,0,0
KRWMYR,D,19900806,000000,0.0037635,0.0037635,0.0037635,0.0037635,0,0
KRWMYR,D,19900813,000000,0.0037495,0.0037495,0.0037495,0.0037495,0,0
KRWMYR,D,19900820,000000,0.0037391,0.0037391,0.0037391,0.0037391,0,0
KRWMYR,D,19900827,000000,0.0037501,0.0037501,0.0037501,0.0037501,0,0
KRWMYR,D,19900903,000000,0.0037403,0.0037403,0.0037403,0.0037403,0,0
KRWMYR,D,19900910,000000,0.0037379,0.0037379,0.0037379,0.0037379,0,0
KRWMYR,D,19900917,000000,0.0037473,0.0037473,0.0037473,0.0037473,0,0
KRWMYR,D,19900924,000000,0.0037583,0.0037583,0.0037583,0.0037583,0,0
KRWMYR,D,19901001,000000,0.0037677,0.0037677,0.0037677,0.0037677,0,0
KRWMYR,D,19901008,000000,0.0037703,0.0037703,0.0037703,0.0037703,0,0
KRWMYR,D,19901010,000000,0.0037643,0.0037643,0.0037643,0.0037643,0,0
KRWMYR,D,19901015,000000,0.0037572,0.0037572,0.0037572,0.0037572,0,0
KRWMYR,D,19901022,000000,0.0037512,0.0037512,0.0037512,0.0037512,0,0
KRWMYR,D,19901029,000000,0.0037624,0.0037624,0.0037624,0.0037624,0,0
KRWMYR,D,19901105,000000,0.0037635,0.0037635,0.0037635,0.0037635,0,0
KRWMYR,D,19901112,000000,0.0037628,0.0037628,0.0037628,0.0037628,0,0
KRWMYR,D,19901119,000000,0.0037553,0.0037553,0.0037553,0.0037553,0,0
KRWMYR,D,19901126,000000,0.0037428,0.0037428,0.0037428,0.0037428,0,0
KRWMYR,D,19901203,000000,0.0037665,0.0037665,0.0037665,0.0037665,0,0
KRWMYR,D,19901210,000000,0.0037557,0.0037557,0.0037557,0.0037557,0,0
KRWMYR,D,19901217,000000,0.0037483,0.0037483,0.0037483,0.0037483,0,0
KRWMYR,D,19901224,000000,0.0037659,0.0037659,0.0037659,0.0037659,0,0
KRWMYR,D,19910102,000000,0.0037551,0.0037551,0.0037551,0.0037551,0,0
KRWMYR,D,19910103,000000,0.0037609,0.0037609,0.0037609,0.0037609,0,0
KRWMYR,D,19910104,000000,0.0037653,0.0037653,0.0037653,0.0037653,0,0
KRWMYR,D,19910107,000000,0.0037793,0.0037793,0.0037793,0.0037793,0,0
KRWMYR,D,19910108,000000,0.0037845,0.0037845,0.0037845,0.0037845,0,0
KRWMYR,D,19910109,000000,0.0037847,0.0037847,0.0037847,0.0037847,0,0
KRWMYR,D,19910110,000000,0.003783,0.003783,0.003783,0.003783,0,0
KRWMYR,D,19910111,000000,0.0037958,0.0037958,0.0037958,0.0037958,0,0
KRWMYR,D,19910114,000000,0.0037842,0.0037842,0.0037842,0.0037842,0,0
KRWMYR,D,19910115,000000,0.0037804,0.0037804,0.0037804,0.0037804,0,0
KRWMYR,D,19910116,000000,0.0037839,0.0037839,0.0037839,0.0037839,0,0
KRWMYR,D,19910117,000000,0.0037789,0.0037789,0.0037789,0.0037789,0,0
KRWMYR,D,19910118,000000,0.0037771,0.0037771,0.0037771,0.0037771,0,0
KRWMYR,D,19910121,000000,0.0037626,0.0037626,0.0037626,0.0037626,0,0
KRWMYR,D,19910122,000000,0.0037615,0.0037615,0.0037615,0.0037615,0,0
KRWMYR,D,19910123,000000,0.0037584,0.0037584,0.0037584,0.0037584,0,0
KRWMYR,D,19910124,000000,0.0037441,0.0037441,0.0037441,0.0037441,0,0
KRWMYR,D,19910125,000000,0.003745,0.003745,0.003745,0.003745,0,0
KRWMYR,D,19910128,000000,0.0037413,0.0037413,0.0037413,0.0037413,0,0
KRWMYR,D,19910129,000000,0.0037361,0.0037361,0.0037361,0.0037361,0,0
KRWMYR,D,19910130,000000,0.0037378,0.0037378,0.0037378,0.0037378,0,0
KRWMYR,D,19910131,000000,0.0037386,0.0037386,0.0037386,0.0037386,0,0
KRWMYR,D,19910201,000000,0.003735,0.003735,0.003735,0.003735,0,0
KRWMYR,D,19910204,000000,0.0037312,0.0037312,0.0037312,0.0037312,0,0
KRWMYR,D,19910205,000000,0.0037241,0.0037241,0.0037241,0.0037241,0,0
KRWMYR,D,19910206,000000,0.0037221,0.0037221,0.0037221,0.0037221,0,0
KRWMYR,D,19910207,000000,0.0037287,0.0037287,0.0037287,0.0037287,0,0
KRWMYR,D,19910208,000000,0.0037182,0.0037182,0.0037182,0.0037182,0,0
KRWMYR,D,19910211,000000,0.0037104,0.0037104,0.0037104,0.0037104,0,0
KRWMYR,D,19910212,000000,0.0037274,0.0037274,0.0037274,0.0037274,0,0
KRWMYR,D,19910213,000000,0.0037291,0.0037291,0.0037291,0.0037291,0,0
KRWMYR,D,19910214,000000,0.0037205,0.0037205,0.0037205,0.0037205,0,0
KRWMYR,D,19910215,000000,0.0037101,0.0037101,0.0037101,0.0037101,0,0
KRWMYR,D,19910218,000000,0.0037103,0.0037103,0.0037103,0.0037103,0,0
KRWMYR,D,19910219,000000,0.0037197,0.0037197,0.0037197,0.0037197,0,0
KRWMYR,D,19910220,000000,0.0037217,0.0037217,0.0037217,0.0037217,0,0
KRWMYR,D,19910221,000000,0.0037254,0.0037254,0.0037254,0.0037254,0,0
KRWMYR,D,19910222,000000,0.0037232,0.0037232,0.0037232,0.0037232,0,0
KRWMYR,D,19910225,000000,0.0037302,0.0037302,0.0037302,0.0037302,0,0
KRWMYR,D,19910226,000000,0.0037307,0.0037307,0.0037307,0.0037307,0,0
KRWMYR,D,19910227,000000,0.0037358,0.0037358,0.0037358,0.0037358,0,0
KRWMYR,D,19910228,000000,0.0037357,0.0037357,0.0037357,0.0037357,0,0
KRWMYR,D,19910301,000000,0.0037391,0.0037391,0.0037391,0.0037391,0,0
KRWMYR,D,19910304,000000,0.0037531,0.0037531,0.0037531,0.0037531,0,0
KRWMYR,D,19910305,000000,0.0037482,0.0037482,0.0037482,0.0037482,0,0
KRWMYR,D,19910306,000000,0.0037549,0.0037549,0.0037549,0.0037549,0,0
KRWMYR,D,19910307,000000,0.0037532,0.0037532,0.0037532,0.0037532,0,0
KRWMYR,D,19910308,000000,0.0037534,0.0037534,0.0037534,0.0037534,0,0
KRWMYR,D,19910311,000000,0.0037637,0.0037637,0.0037637,0.0037637,0,0
KRWMYR,D,19910312,000000,0.0037676,0.0037676,0.0037676,0.0037676,0,0
KRWMYR,D,19910313,000000,0.0037691,0.0037691,0.0037691,0.0037691,0,0
KRWMYR,D,19910314,000000,0.0037504,0.0037504,0.0037504,0.0037504,0,0
KRWMYR,D,19910315,000000,0.003758,0.003758,0.003758,0.003758,0,0
KRWMYR,D,19910318,000000,0.0037611,0.0037611,0.0037611,0.0037611,0,0
KRWMYR,D,19910319,000000,0.0037607,0.0037607,0.0037607,0.0037607,0,0
KRWMYR,D,19910320,000000,0.0037657,0.0037657,0.0037657,0.0037657,0,0
KRWMYR,D,19910321,000000,0.0037651,0.0037651,0.0037651,0.0037651,0,0
KRWMYR,D,19910322,000000,0.0037664,0.0037664,0.0037664,0.0037664,0,0
KRWMYR,D,19910325,000000,0.0037759,0.0037759,0.0037759,0.0037759,0,0
KRWMYR,D,19910326,000000,0.0037796,0.0037796,0.0037796,0.0037796,0,0
KRWMYR,D,19910327,000000,0.0037871,0.0037871,0.0037871,0.0037871,0,0
KRWMYR,D,19910328,000000,0.00381,0.00381,0.00381,0.00381,0,0
KRWMYR,D,19910329,000000,0.0038028,0.0038028,0.0038028,0.0038028,0,0
KRWMYR,D,19910402,000000,0.0037851,0.0037851,0.0037851,0.0037851,0,0
KRWMYR,D,19910403,000000,0.003775,0.003775,0.003775,0.003775,0,0
KRWMYR,D,19910404,000000,0.0037793,0.0037793,0.0037793,0.0037793,0,0
KRWMYR,D,19910405,000000,0.0037633,0.0037633,0.0037633,0.0037633,0,0
KRWMYR,D,19910408,000000,0.0037727,0.0037727,0.0037727,0.0037727,0,0
KRWMYR,D,19910409,000000,0.0037713,0.0037713,0.0037713,0.0037713,0,0
KRWMYR,D,19910410,000000,0.0037585,0.0037585,0.0037585,0.0037585,0,0
KRWMYR,D,19910411,000000,0.0037636,0.0037636,0.0037636,0.0037636,0,0
