<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWRUB,D,19951023,000000,0.005888,0.005888,0.005888,0.005888,0,0
KRWRUB,D,19951024,000000,0.005884,0.005884,0.005884,0.005884,0,0
KRWRUB,D,19951025,000000,0.005887,0.005887,0.005887,0.005887,0,0
KRWRUB,D,19951026,000000,0.005889,0.005889,0.005889,0.005889,0,0
KRWRUB,D,19951027,000000,0.005893,0.005893,0.005893,0.005893,0,0
KRWRUB,D,19951030,000000,0.005892,0.005892,0.005892,0.005892,0,0
KRWRUB,D,19951031,000000,0.005894,0.005894,0.005894,0.005894,0,0
KRWRUB,D,19951102,000000,0.005877,0.005877,0.005877,0.005877,0,0
KRWRUB,D,19951103,000000,0.005864,0.005864,0.005864,0.005864,0,0
KRWRUB,D,19951106,000000,0.005866,0.005866,0.005866,0.005866,0,0
KRWRUB,D,19951107,000000,0.005864,0.005864,0.005864,0.005864,0,0
KRWRUB,D,19951108,000000,0.005869,0.005869,0.005869,0.005869,0,0
KRWRUB,D,19951109,000000,0.005874,0.005874,0.005874,0.005874,0,0
KRWRUB,D,19951110,000000,0.005879,0.005879,0.005879,0.005879,0,0
KRWRUB,D,19951113,000000,0.005894,0.005894,0.005894,0.005894,0,0
KRWRUB,D,19951114,000000,0.005899,0.005899,0.005899,0.005899,0,0
KRWRUB,D,19951115,000000,0.005904,0.005904,0.005904,0.005904,0,0
KRWRUB,D,19951116,000000,0.005891,0.005891,0.005891,0.005891,0,0
KRWRUB,D,19951117,000000,0.005917,0.005917,0.005917,0.005917,0,0
KRWRUB,D,19951120,000000,0.0059,0.0059,0.0059,0.0059,0,0
KRWRUB,D,19951121,000000,0.005928,0.005928,0.005928,0.005928,0,0
KRWRUB,D,19951122,000000,0.00595,0.00595,0.00595,0.00595,0,0
KRWRUB,D,19951123,000000,0.005956,0.005956,0.005956,0.005956,0,0
KRWRUB,D,19951124,000000,0.005953,0.005953,0.005953,0.005953,0,0
KRWRUB,D,19951127,000000,0.005962,0.005962,0.005962,0.005962,0,0
KRWRUB,D,19951128,000000,0.005963,0.005963,0.005963,0.005963,0,0
KRWRUB,D,19951129,000000,0.005951,0.005951,0.005951,0.005951,0,0
KRWRUB,D,19951130,000000,0.005941,0.005941,0.005941,0.005941,0,0
KRWRUB,D,19951201,000000,0.005961,0.005961,0.005961,0.005961,0,0
KRWRUB,D,19951204,000000,0.005965,0.005965,0.005965,0.005965,0,0
KRWRUB,D,19951205,000000,0.005967,0.005967,0.005967,0.005967,0,0
KRWRUB,D,19951206,000000,0.005962,0.005962,0.005962,0.005962,0,0
KRWRUB,D,19951207,000000,0.005973,0.005973,0.005973,0.005973,0,0
KRWRUB,D,19951208,000000,0.005951,0.005951,0.005951,0.005951,0,0
KRWRUB,D,19951211,000000,0.005956,0.005956,0.005956,0.005956,0,0
KRWRUB,D,19951212,000000,0.005945,0.005945,0.005945,0.005945,0,0
KRWRUB,D,19951213,000000,0.006008,0.006008,0.006008,0.006008,0,0
KRWRUB,D,19951214,000000,0.006007,0.006007,0.006007,0.006007,0,0
KRWRUB,D,19951215,000000,0.006002,0.006002,0.006002,0.006002,0,0
KRWRUB,D,19951218,000000,0.006009,0.006009,0.006009,0.006009,0,0
KRWRUB,D,19951219,000000,0.006015,0.006015,0.006015,0.006015,0,0
KRWRUB,D,19951220,000000,0.006014,0.006014,0.006014,0.006014,0,0
KRWRUB,D,19951221,000000,0.006008,0.006008,0.006008,0.006008,0,0
KRWRUB,D,19951222,000000,0.006006,0.006006,0.006006,0.006006,0,0
KRWRUB,D,19951227,000000,0.006004,0.006004,0.006004,0.006004,0,0
KRWRUB,D,19951228,000000,0.005996,0.005996,0.005996,0.005996,0,0
KRWRUB,D,19951229,000000,0.005982,0.005982,0.005982,0.005982,0,0
KRWRUB,D,19960102,000000,0.005984,0.005984,0.005984,0.005984,0,0
KRWRUB,D,19960103,000000,0.005962,0.005962,0.005962,0.005962,0,0
KRWRUB,D,19960104,000000,0.005895,0.005895,0.005895,0.005895,0,0
KRWRUB,D,19960105,000000,0.005887,0.005887,0.005887,0.005887,0,0
KRWRUB,D,19960108,000000,0.005887,0.005887,0.005887,0.005887,0,0
KRWRUB,D,19960109,000000,0.005916,0.005916,0.005916,0.005916,0,0
KRWRUB,D,19960110,000000,0.005925,0.005925,0.005925,0.005925,0,0
KRWRUB,D,19960111,000000,0.005889,0.005889,0.005889,0.005889,0,0
KRWRUB,D,19960112,000000,0.005894,0.005894,0.005894,0.005894,0,0
KRWRUB,D,19960115,000000,0.005893,0.005893,0.005893,0.005893,0,0
KRWRUB,D,19960116,000000,0.005897,0.005897,0.005897,0.005897,0,0
KRWRUB,D,19960117,000000,0.005905,0.005905,0.005905,0.005905,0,0
KRWRUB,D,19960118,000000,0.005942,0.005942,0.005942,0.005942,0,0
KRWRUB,D,19960119,000000,0.005945,0.005945,0.005945,0.005945,0,0
KRWRUB,D,19960122,000000,0.005931,0.005931,0.005931,0.005931,0,0
KRWRUB,D,19960123,000000,0.005943,0.005943,0.005943,0.005943,0,0
KRWRUB,D,19960124,000000,0.005988,0.005988,0.005988,0.005988,0,0
KRWRUB,D,19960125,000000,0.005989,0.005989,0.005989,0.005989,0,0
KRWRUB,D,19960126,000000,0.006,0.006,0.006,0.006,0,0
KRWRUB,D,19960129,000000,0.006032,0.006032,0.006032,0.006032,0,0
KRWRUB,D,19960130,000000,0.006037,0.006037,0.006037,0.006037,0,0
KRWRUB,D,19960131,000000,0.006038,0.006038,0.006038,0.006038,0,0
KRWRUB,D,19960201,000000,0.006039,0.006039,0.006039,0.006039,0,0
KRWRUB,D,19960202,000000,0.006041,0.006041,0.006041,0.006041,0,0
KRWRUB,D,19960205,000000,0.006092,0.006092,0.006092,0.006092,0,0
KRWRUB,D,19960206,000000,0.006097,0.006097,0.006097,0.006097,0,0
KRWRUB,D,19960207,000000,0.006073,0.006073,0.006073,0.006073,0,0
KRWRUB,D,19960208,000000,0.006069,0.006069,0.006069,0.006069,0,0
KRWRUB,D,19960209,000000,0.006052,0.006052,0.006052,0.006052,0,0
KRWRUB,D,19960212,000000,0.0061,0.0061,0.0061,0.0061,0,0
KRWRUB,D,19960213,000000,0.006093,0.006093,0.006093,0.006093,0,0
KRWRUB,D,19960214,000000,0.00611,0.00611,0.00611,0.00611,0,0
KRWRUB,D,19960215,000000,0.006114,0.006114,0.006114,0.006114,0,0
KRWRUB,D,19960216,000000,0.006096,0.006096,0.006096,0.006096,0,0
KRWRUB,D,19960219,000000,0.006113,0.006113,0.006113,0.006113,0,0
KRWRUB,D,19960220,000000,0.006109,0.006109,0.006109,0.006109,0,0
KRWRUB,D,19960221,000000,0.006121,0.006121,0.006121,0.006121,0,0
KRWRUB,D,19960222,000000,0.006128,0.006128,0.006128,0.006128,0,0
KRWRUB,D,19960223,000000,0.006128,0.006128,0.006128,0.006128,0,0
KRWRUB,D,19960226,000000,0.006118,0.006118,0.006118,0.006118,0,0
KRWRUB,D,19960227,000000,0.006139,0.006139,0.006139,0.006139,0,0
KRWRUB,D,19960228,000000,0.006167,0.006167,0.006167,0.006167,0,0
KRWRUB,D,19960229,000000,0.006157,0.006157,0.006157,0.006157,0,0
KRWRUB,D,19960301,000000,0.006174,0.006174,0.006174,0.006174,0,0
KRWRUB,D,19960304,000000,0.006174,0.006174,0.006174,0.006174,0,0
KRWRUB,D,19960305,000000,0.006181,0.006181,0.006181,0.006181,0,0
KRWRUB,D,19960306,000000,0.006206,0.006206,0.006206,0.006206,0,0
KRWRUB,D,19960307,000000,0.006203,0.006203,0.006203,0.006203,0,0
KRWRUB,D,19960308,000000,0.006222,0.006222,0.006222,0.006222,0,0
KRWRUB,D,19960311,000000,0.006181,0.006181,0.006181,0.006181,0,0
KRWRUB,D,19960312,000000,0.00617,0.00617,0.00617,0.00617,0,0
KRWRUB,D,19960313,000000,0.006188,0.006188,0.006188,0.006188,0,0
KRWRUB,D,19960314,000000,0.006184,0.006184,0.006184,0.006184,0,0
KRWRUB,D,19960315,000000,0.006184,0.006184,0.006184,0.006184,0,0
KRWRUB,D,19960318,000000,0.006174,0.006174,0.006174,0.006174,0,0
KRWRUB,D,19960319,000000,0.00617,0.00617,0.00617,0.00617,0,0
KRWRUB,D,19960320,000000,0.006174,0.006174,0.006174,0.006174,0,0
