<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWTWD,D,19840109,000000,0.048721,0.048721,0.048721,0.048721,0,0
KRWTWD,D,19840116,000000,0.048721,0.048721,0.048721,0.048721,0,0
KRWTWD,D,19840123,000000,0.048721,0.048721,0.048721,0.048721,0,0
KRWTWD,D,19840130,000000,0.048761,0.048761,0.048761,0.048761,0,0
KRWTWD,D,19840206,000000,0.048761,0.048761,0.048761,0.048761,0,0
KRWTWD,D,19840213,000000,0.048761,0.048761,0.048761,0.048761,0,0
KRWTWD,D,19840220,000000,0.049261,0.049261,0.049261,0.049261,0,0
KRWTWD,D,19840301,000000,0.05117,0.05117,0.05117,0.05117,0,0
KRWTWD,D,19840305,000000,0.051603,0.051603,0.051603,0.051603,0,0
KRWTWD,D,19840312,000000,0.051987,0.051987,0.051987,0.051987,0,0
KRWTWD,D,19840319,000000,0.05191,0.05191,0.05191,0.05191,0,0
KRWTWD,D,19840326,000000,0.05132,0.05132,0.05132,0.05132,0,0
KRWTWD,D,19840402,000000,0.05132,0.05132,0.05132,0.05132,0,0
KRWTWD,D,19840409,000000,0.05132,0.05132,0.05132,0.05132,0,0
KRWTWD,D,19840416,000000,0.051095,0.051095,0.051095,0.051095,0,0
KRWTWD,D,19840424,000000,0.050523,0.050523,0.050523,0.050523,0,0
KRWTWD,D,19840502,000000,0.050487,0.050487,0.050487,0.050487,0,0
KRWTWD,D,19840507,000000,0.05,0.05,0.05,0.05,0,0
KRWTWD,D,19840514,000000,0.05,0.05,0.05,0.05,0,0
KRWTWD,D,19840521,000000,0.050143,0.050143,0.050143,0.050143,0,0
KRWTWD,D,19840528,000000,0.050143,0.050143,0.050143,0.050143,0,0
KRWTWD,D,19840604,000000,0.050451,0.050451,0.050451,0.050451,0,0
KRWTWD,D,19840611,000000,0.050725,0.050725,0.050725,0.050725,0,0
KRWTWD,D,19840618,000000,0.050215,0.050215,0.050215,0.050215,0,0
KRWTWD,D,19840625,000000,0.050197,0.050197,0.050197,0.050197,0,0
KRWTWD,D,19840702,000000,0.049593,0.049593,0.049593,0.049593,0,0
KRWTWD,D,19840709,000000,0.049453,0.049453,0.049453,0.049453,0,0
KRWTWD,D,19840716,000000,0.049383,0.049383,0.049383,0.049383,0,0
KRWTWD,D,19840723,000000,0.048951,0.048951,0.048951,0.048951,0,0
KRWTWD,D,19840730,000000,0.048645,0.048645,0.048645,0.048645,0,0
KRWTWD,D,19840806,000000,0.04846,0.04846,0.04846,0.04846,0,0
KRWTWD,D,19840813,000000,0.04846,0.04846,0.04846,0.04846,0,0
KRWTWD,D,19840820,000000,0.048409,0.048409,0.048409,0.048409,0,0
KRWTWD,D,19840827,000000,0.048426,0.048426,0.048426,0.048426,0,0
KRWTWD,D,19840901,000000,0.047664,0.047664,0.047664,0.047664,0,0
KRWTWD,D,19840910,000000,0.047274,0.047274,0.047274,0.047274,0,0
KRWTWD,D,19840917,000000,0.046963,0.046963,0.046963,0.046963,0,0
KRWTWD,D,19840924,000000,0.046729,0.046729,0.046729,0.046729,0,0
KRWTWD,D,19841001,000000,0.046685,0.046685,0.046685,0.046685,0,0
KRWTWD,D,19841008,000000,0.047051,0.047051,0.047051,0.047051,0,0
KRWTWD,D,19841015,000000,0.046642,0.046642,0.046642,0.046642,0,0
KRWTWD,D,19841022,000000,0.046411,0.046411,0.046411,0.046411,0,0
KRWTWD,D,19841029,000000,0.046846,0.046846,0.046846,0.046846,0,0
KRWTWD,D,19841105,000000,0.046714,0.046714,0.046714,0.046714,0,0
KRWTWD,D,19841112,000000,0.047468,0.047468,0.047468,0.047468,0,0
KRWTWD,D,19841119,000000,0.047771,0.047771,0.047771,0.047771,0,0
KRWTWD,D,19841126,000000,0.047408,0.047408,0.047408,0.047408,0,0
KRWTWD,D,19841201,000000,0.047022,0.047022,0.047022,0.047022,0,0
KRWTWD,D,19841210,000000,0.047051,0.047051,0.047051,0.047051,0,0
KRWTWD,D,19841217,000000,0.047066,0.047066,0.047066,0.047066,0,0
KRWTWD,D,19841224,000000,0.047037,0.047037,0.047037,0.047037,0,0
KRWTWD,D,19850101,000000,0.048669,0.048669,0.048669,0.048669,0,0
KRWTWD,D,19850107,000000,0.048282,0.048282,0.048282,0.048282,0,0
KRWTWD,D,19850114,000000,0.048516,0.048516,0.048516,0.048516,0,0
KRWTWD,D,19850121,000000,0.048159,0.048159,0.048159,0.048159,0,0
KRWTWD,D,19850128,000000,0.047914,0.047914,0.047914,0.047914,0,0
KRWTWD,D,19850204,000000,0.047928,0.047928,0.047928,0.047928,0,0
KRWTWD,D,19850211,000000,0.047579,0.047579,0.047579,0.047579,0,0
KRWTWD,D,19850218,000000,0.047235,0.047235,0.047235,0.047235,0,0
KRWTWD,D,19850225,000000,0.047354,0.047354,0.047354,0.047354,0,0
KRWTWD,D,19850304,000000,0.047513,0.047513,0.047513,0.047513,0,0
KRWTWD,D,19850311,000000,0.046884,0.046884,0.046884,0.046884,0,0
KRWTWD,D,19850318,000000,0.044906,0.044906,0.044906,0.044906,0,0
KRWTWD,D,19850325,000000,0.045377,0.045377,0.045377,0.045377,0,0
KRWTWD,D,19850329,000000,0.045898,0.045898,0.045898,0.045898,0,0
KRWTWD,D,19850401,000000,0.045898,0.045898,0.045898,0.045898,0,0
KRWTWD,D,19850409,000000,0.046283,0.046283,0.046283,0.046283,0,0
KRWTWD,D,19850415,000000,0.045951,0.045951,0.045951,0.045951,0,0
KRWTWD,D,19850422,000000,0.046838,0.046838,0.046838,0.046838,0,0
KRWTWD,D,19850429,000000,0.047017,0.047017,0.047017,0.047017,0,0
KRWTWD,D,19850506,000000,0.046661,0.046661,0.046661,0.046661,0,0
KRWTWD,D,19850513,000000,0.046004,0.046004,0.046004,0.046004,0,0
KRWTWD,D,19850520,000000,0.046948,0.046948,0.046948,0.046948,0,0
KRWTWD,D,19850527,000000,0.046948,0.046948,0.046948,0.046948,0,0
KRWTWD,D,19850601,000000,0.045181,0.045181,0.045181,0.045181,0,0
KRWTWD,D,19850610,000000,0.045363,0.045363,0.045363,0.045363,0,0
KRWTWD,D,19850617,000000,0.045079,0.045079,0.045079,0.045079,0,0
KRWTWD,D,19850624,000000,0.045466,0.045466,0.045466,0.045466,0,0
KRWTWD,D,19850701,000000,0.045512,0.045512,0.045512,0.045512,0,0
