<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWZAR,D,19840109,000000,0.0015938,0.0015938,0.0015938,0.0015938,0,0
KRWZAR,D,19840116,000000,0.0015637,0.0015637,0.0015637,0.0015637,0,0
KRWZAR,D,19840123,000000,0.0015657,0.0015657,0.0015657,0.0015657,0,0
KRWZAR,D,19840130,000000,0.0015918,0.0015918,0.0015918,0.0015918,0,0
KRWZAR,D,19840206,000000,0.0015597,0.0015597,0.0015597,0.0015597,0,0
KRWZAR,D,19840213,000000,0.0015597,0.0015597,0.0015597,0.0015597,0,0
KRWZAR,D,19840220,000000,0.0015502,0.0015502,0.0015502,0.0015502,0,0
KRWZAR,D,19840301,000000,0.0015115,0.0015115,0.0015115,0.0015115,0,0
KRWZAR,D,19840305,000000,0.0014989,0.0014989,0.0014989,0.0014989,0,0
KRWZAR,D,19840312,000000,0.0015247,0.0015247,0.0015247,0.0015247,0,0
KRWZAR,D,19840319,000000,0.0015596,0.0015596,0.0015596,0.0015596,0,0
KRWZAR,D,19840326,000000,0.0015515,0.0015515,0.0015515,0.0015515,0,0
KRWZAR,D,19840402,000000,0.0015621,0.0015621,0.0015621,0.0015621,0,0
KRWZAR,D,19840409,000000,0.0015711,0.0015711,0.0015711,0.0015711,0,0
KRWZAR,D,19840416,000000,0.0015657,0.0015657,0.0015657,0.0015657,0,0
KRWZAR,D,19840424,000000,0.0015718,0.0015718,0.0015718,0.0015718,0,0
KRWZAR,D,19840502,000000,0.0015657,0.0015657,0.0015657,0.0015657,0,0
KRWZAR,D,19840507,000000,0.0015813,0.0015813,0.0015813,0.0015813,0,0
KRWZAR,D,19840514,000000,0.0016103,0.0016103,0.0016103,0.0016103,0,0
KRWZAR,D,19840521,000000,0.0015917,0.0015917,0.0015917,0.0015917,0,0
KRWZAR,D,19840528,000000,0.0015917,0.0015917,0.0015917,0.0015917,0,0
KRWZAR,D,19840604,000000,0.0015868,0.0015868,0.0015868,0.0015868,0,0
KRWZAR,D,19840611,000000,0.001608,0.001608,0.001608,0.001608,0,0
KRWZAR,D,19840618,000000,0.0016293,0.0016293,0.0016293,0.0016293,0,0
KRWZAR,D,19840625,000000,0.0016748,0.0016748,0.0016748,0.0016748,0,0
KRWZAR,D,19840702,000000,0.0016972,0.0016972,0.0016972,0.0016972,0,0
KRWZAR,D,19840709,000000,0.0018278,0.0018278,0.0018278,0.0018278,0,0
KRWZAR,D,19840716,000000,0.0018087,0.0018087,0.0018087,0.0018087,0,0
KRWZAR,D,19840723,000000,0.0018937,0.0018937,0.0018937,0.0018937,0,0
KRWZAR,D,19840730,000000,0.0020029,0.0020029,0.0020029,0.0020029,0,0
KRWZAR,D,19840806,000000,0.0019252,0.0019252,0.0019252,0.0019252,0,0
KRWZAR,D,19840813,000000,0.0019716,0.0019716,0.0019716,0.0019716,0,0
