<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXNBTC,D,20100719,000000,0.959745,0.959745,0.959745,0.959745,0,0
MXNBTC,D,20100720,000000,1.0445,1.0445,1.0445,1.0445,0,0
MXNBTC,D,20100721,000000,0.988161,0.988161,0.988161,0.988161,0,0
MXNBTC,D,20100722,000000,1.5525,1.5525,1.5525,1.5525,0,0
MXNBTC,D,20100723,000000,1.2529,1.2529,1.2529,1.2529,0,0
MXNBTC,D,20100726,000000,1.4062,1.4062,1.4062,1.4062,0,0
MXNBTC,D,20100727,000000,1.3166,1.3166,1.3166,1.3166,0,0
MXNBTC,D,20100728,000000,1.3403,1.3403,1.3403,1.3403,0,0
MXNBTC,D,20100729,000000,1.1238,1.1238,1.1238,1.1238,0,0
MXNBTC,D,20100730,000000,1.2604,1.2604,1.2604,1.2604,0,0
MXNBTC,D,20100802,000000,1.3256,1.3256,1.3256,1.3256,0,0
MXNBTC,D,20100803,000000,1.3237,1.3237,1.3237,1.3237,0,0
MXNBTC,D,20100804,000000,1.3984,1.3984,1.3984,1.3984,0,0
MXNBTC,D,20100805,000000,1.3053,1.3053,1.3053,1.3053,0,0
MXNBTC,D,20100806,000000,1.2636,1.2636,1.2636,1.2636,0,0
MXNBTC,D,20100809,000000,1.115,1.115,1.115,1.115,0,0
MXNBTC,D,20100810,000000,1.1285,1.1285,1.1285,1.1285,0,0
MXNBTC,D,20100811,000000,1.1712,1.1712,1.1712,1.1712,0,0
MXNBTC,D,20100812,000000,1.1237,1.1237,1.1237,1.1237,0,0
MXNBTC,D,20100813,000000,1.2194,1.2194,1.2194,1.2194,0,0
MXNBTC,D,20100816,000000,1.2078,1.2078,1.2078,1.2078,0,0
MXNBTC,D,20100817,000000,1.1341,1.1341,1.1341,1.1341,0,0
MXNBTC,D,20100818,000000,1.1679,1.1679,1.1679,1.1679,0,0
MXNBTC,D,20100819,000000,1.1779,1.1779,1.1779,1.1779,0,0
MXNBTC,D,20100820,000000,1.1958,1.1958,1.1958,1.1958,0,0
MXNBTC,D,20100823,000000,1.1983,1.1983,1.1983,1.1983,0,0
MXNBTC,D,20100824,000000,1.1893,1.1893,1.1893,1.1893,0,0
MXNBTC,D,20100825,000000,1.1857,1.1857,1.1857,1.1857,0,0
MXNBTC,D,20100826,000000,1.2031,1.2031,1.2031,1.2031,0,0
MXNBTC,D,20100827,000000,1.1805,1.1805,1.1805,1.1805,0,0
MXNBTC,D,20100830,000000,1.1744,1.1744,1.1744,1.1744,0,0
MXNBTC,D,20100831,000000,1.262,1.262,1.262,1.262,0,0
MXNBTC,D,20100901,000000,1.2156,1.2156,1.2156,1.2156,0,0
MXNBTC,D,20100902,000000,1.2081,1.2081,1.2081,1.2081,0,0
MXNBTC,D,20100903,000000,1.269,1.269,1.269,1.269,0,0
MXNBTC,D,20100906,000000,1.2545,1.2545,1.2545,1.2545,0,0
MXNBTC,D,20100907,000000,1.255,1.255,1.255,1.255,0,0
MXNBTC,D,20100908,000000,1.2417,1.2417,1.2417,1.2417,0,0
MXNBTC,D,20100909,000000,1.2538,1.2538,1.2538,1.2538,0,0
MXNBTC,D,20100910,000000,1.2493,1.2493,1.2493,1.2493,0,0
MXNBTC,D,20100913,000000,1.2465,1.2465,1.2465,1.2465,0,0
MXNBTC,D,20100914,000000,1.2575,1.2575,1.2575,1.2575,0,0
MXNBTC,D,20100915,000000,1.2948,1.2948,1.2948,1.2948,0,0
MXNBTC,D,20100916,000000,1.2561,1.2561,1.2561,1.2561,0,0
MXNBTC,D,20100917,000000,1.3279,1.3279,1.3279,1.3279,0,0
MXNBTC,D,20100920,000000,1.262,1.262,1.262,1.262,0,0
MXNBTC,D,20100921,000000,1.2495,1.2495,1.2495,1.2495,0,0
MXNBTC,D,20100922,000000,1.2663,1.2663,1.2663,1.2663,0,0
MXNBTC,D,20100923,000000,1.2718,1.2718,1.2718,1.2718,0,0
MXNBTC,D,20100924,000000,1.2811,1.2811,1.2811,1.2811,0,0
MXNBTC,D,20100927,000000,1.2847,1.2847,1.2847,1.2847,0,0
MXNBTC,D,20100928,000000,1.2925,1.2925,1.2925,1.2925,0,0
MXNBTC,D,20100929,000000,1.2914,1.2914,1.2914,1.2914,0,0
MXNBTC,D,20100930,000000,1.282,1.282,1.282,1.282,0,0
MXNBTC,D,20101001,000000,1.284,1.284,1.284,1.284,0,0
MXNBTC,D,20101004,000000,1.2942,1.2942,1.2942,1.2942,0,0
MXNBTC,D,20101005,000000,1.302,1.302,1.302,1.302,0,0
MXNBTC,D,20101006,000000,1.2765,1.2765,1.2765,1.2765,0,0
MXNBTC,D,20101007,000000,1.1879,1.1879,1.1879,1.1879,0,0
MXNBTC,D,20101008,000000,0.925274,0.925274,0.925274,0.925274,0,0
MXNBTC,D,20101011,000000,0.847113,0.847113,0.847113,0.847113,0,0
MXNBTC,D,20101012,000000,0.847126,0.847126,0.847126,0.847126,0,0
MXNBTC,D,20101013,000000,0.770279,0.770279,0.770279,0.770279,0,0
MXNBTC,D,20101014,000000,0.78848,0.78848,0.78848,0.78848,0,0
MXNBTC,D,20101015,000000,0.766757,0.766757,0.766757,0.766757,0,0
MXNBTC,D,20101018,000000,0.788098,0.788098,0.788098,0.788098,0,0
MXNBTC,D,20101019,000000,0.8283,0.8283,0.8283,0.8283,0,0
MXNBTC,D,20101020,000000,0.814061,0.814061,0.814061,0.814061,0,0
MXNBTC,D,20101021,000000,0.752685,0.752685,0.752685,0.752685,0,0
MXNBTC,D,20101022,000000,0.788138,0.788138,0.788138,0.788138,0,0
MXNBTC,D,20101025,000000,0.613074,0.613074,0.613074,0.613074,0,0
MXNBTC,D,20101026,000000,0.53662,0.53662,0.53662,0.53662,0,0
