<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXNCHF,D,19900108,000000,0.58469,0.58469,0.58469,0.58469,0,0
MXNCHF,D,19900115,000000,0.56492,0.56492,0.56492,0.56492,0,0
MXNCHF,D,19900122,000000,0.55972,0.55972,0.55972,0.55972,0,0
MXNCHF,D,19900129,000000,0.56403,0.56403,0.56403,0.56403,0,0
MXNCHF,D,19900205,000000,0.5469,0.5469,0.5469,0.5469,0,0
MXNCHF,D,19900212,000000,0.5426,0.5426,0.5426,0.5426,0,0
MXNCHF,D,19900219,000000,0.54917,0.54917,0.54917,0.54917,0,0
MXNCHF,D,19900226,000000,0.54104,0.54104,0.54104,0.54104,0,0
MXNCHF,D,19900305,000000,0.53904,0.53904,0.53904,0.53904,0,0
MXNCHF,D,19900312,000000,0.54425,0.54425,0.54425,0.54425,0,0
MXNCHF,D,19900319,000000,0.54998,0.54998,0.54998,0.54998,0,0
MXNCHF,D,19900326,000000,0.54408,0.54408,0.54408,0.54408,0,0
MXNCHF,D,19900402,000000,0.55131,0.55131,0.55131,0.55131,0,0
MXNCHF,D,19900409,000000,0.5391,0.5391,0.5391,0.5391,0,0
MXNCHF,D,19900417,000000,0.53549,0.53549,0.53549,0.53549,0,0
MXNCHF,D,19900423,000000,0.53272,0.53272,0.53272,0.53272,0,0
MXNCHF,D,19900430,000000,0.53148,0.53148,0.53148,0.53148,0,0
MXNCHF,D,19900507,000000,0.51762,0.51762,0.51762,0.51762,0,0
MXNCHF,D,19900514,000000,0.50789,0.50789,0.50789,0.50789,0,0
MXNCHF,D,19900521,000000,0.49311,0.49311,0.49311,0.49311,0,0
MXNCHF,D,19900528,000000,0.50227,0.50227,0.50227,0.50227,0,0
MXNCHF,D,19900604,000000,0.49667,0.49667,0.49667,0.49667,0,0
MXNCHF,D,19900611,000000,0.50614,0.50614,0.50614,0.50614,0,0
MXNCHF,D,19900618,000000,0.50614,0.50614,0.50614,0.50614,0,0
MXNCHF,D,19900625,000000,0.5005,0.5005,0.5005,0.5005,0,0
MXNCHF,D,19900702,000000,0.49275,0.49275,0.49275,0.49275,0,0
MXNCHF,D,19900709,000000,0.48952,0.48952,0.48952,0.48952,0,0
MXNCHF,D,19900716,000000,0.48627,0.48627,0.48627,0.48627,0,0
MXNCHF,D,19900723,000000,0.49219,0.49219,0.49219,0.49219,0,0
MXNCHF,D,19900730,000000,0.47946,0.47946,0.47946,0.47946,0,0
MXNCHF,D,19900806,000000,0.46955,0.46955,0.46955,0.46955,0,0
MXNCHF,D,19900813,000000,0.46132,0.46132,0.46132,0.46132,0,0
MXNCHF,D,19900820,000000,0.45716,0.45716,0.45716,0.45716,0,0
MXNCHF,D,19900827,000000,0.44797,0.44797,0.44797,0.44797,0,0
MXNCHF,D,19900903,000000,0.44276,0.44276,0.44276,0.44276,0,0
MXNCHF,D,19900910,000000,0.45591,0.45591,0.45591,0.45591,0,0
MXNCHF,D,19900917,000000,0.45967,0.45967,0.45967,0.45967,0,0
MXNCHF,D,19900924,000000,0.44364,0.44364,0.44364,0.44364,0,0
MXNCHF,D,19901001,000000,0.44784,0.44784,0.44784,0.44784,0,0
MXNCHF,D,19901008,000000,0.44815,0.44815,0.44815,0.44815,0,0
MXNCHF,D,19901010,000000,0.44405,0.44405,0.44405,0.44405,0,0
MXNCHF,D,19901015,000000,0.43815,0.43815,0.43815,0.43815,0,0
MXNCHF,D,19901022,000000,0.4389,0.4389,0.4389,0.4389,0,0
MXNCHF,D,19901029,000000,0.4396,0.4396,0.4396,0.4396,0,0
MXNCHF,D,19901105,000000,0.43879,0.43879,0.43879,0.43879,0,0
MXNCHF,D,19901112,000000,0.42785,0.42785,0.42785,0.42785,0,0
MXNCHF,D,19901119,000000,0.42538,0.42538,0.42538,0.42538,0,0
MXNCHF,D,19901126,000000,0.42483,0.42483,0.42483,0.42483,0,0
MXNCHF,D,19901203,000000,0.42848,0.42848,0.42848,0.42848,0,0
MXNCHF,D,19901210,000000,0.43682,0.43682,0.43682,0.43682,0,0
MXNCHF,D,19901217,000000,0.42909,0.42909,0.42909,0.42909,0,0
MXNCHF,D,19901224,000000,0.43112,0.43112,0.43112,0.43112,0,0
MXNCHF,D,19910102,000000,0.43156,0.43156,0.43156,0.43156,0,0
MXNCHF,D,19910103,000000,0.42909,0.42909,0.42909,0.42909,0,0
MXNCHF,D,19910104,000000,0.42904,0.42904,0.42904,0.42904,0,0
MXNCHF,D,19910107,000000,0.42907,0.42907,0.42907,0.42907,0,0
MXNCHF,D,19910108,000000,0.44077,0.44077,0.44077,0.44077,0,0
MXNCHF,D,19910109,000000,0.43894,0.43894,0.43894,0.43894,0,0
MXNCHF,D,19910110,000000,0.436,0.436,0.436,0.436,0,0
MXNCHF,D,19910111,000000,0.43472,0.43472,0.43472,0.43472,0,0
MXNCHF,D,19910114,000000,0.43594,0.43594,0.43594,0.43594,0,0
MXNCHF,D,19910115,000000,0.43545,0.43545,0.43545,0.43545,0,0
MXNCHF,D,19910116,000000,0.43553,0.43553,0.43553,0.43553,0,0
MXNCHF,D,19910117,000000,0.4354,0.4354,0.4354,0.4354,0,0
MXNCHF,D,19910118,000000,0.43319,0.43319,0.43319,0.43319,0,0
MXNCHF,D,19910121,000000,0.43089,0.43089,0.43089,0.43089,0,0
MXNCHF,D,19910122,000000,0.4258,0.4258,0.4258,0.4258,0,0
MXNCHF,D,19910123,000000,0.42291,0.42291,0.42291,0.42291,0,0
MXNCHF,D,19910124,000000,0.42636,0.42636,0.42636,0.42636,0,0
MXNCHF,D,19910125,000000,0.42297,0.42297,0.42297,0.42297,0,0
MXNCHF,D,19910128,000000,0.42377,0.42377,0.42377,0.42377,0,0
MXNCHF,D,19910129,000000,0.42591,0.42591,0.42591,0.42591,0,0
MXNCHF,D,19910130,000000,0.42413,0.42413,0.42413,0.42413,0,0
MXNCHF,D,19910131,000000,0.427,0.427,0.427,0.427,0,0
MXNCHF,D,19910201,000000,0.42718,0.42718,0.42718,0.42718,0,0
MXNCHF,D,19910204,000000,0.42509,0.42509,0.42509,0.42509,0,0
MXNCHF,D,19910205,000000,0.42274,0.42274,0.42274,0.42274,0,0
MXNCHF,D,19910206,000000,0.42139,0.42139,0.42139,0.42139,0,0
MXNCHF,D,19910207,000000,0.41878,0.41878,0.41878,0.41878,0,0
MXNCHF,D,19910208,000000,0.41743,0.41743,0.41743,0.41743,0,0
MXNCHF,D,19910211,000000,0.4204,0.4204,0.4204,0.4204,0,0
MXNCHF,D,19910212,000000,0.41919,0.41919,0.41919,0.41919,0,0
MXNCHF,D,19910213,000000,0.41985,0.41985,0.41985,0.41985,0,0
MXNCHF,D,19910214,000000,0.42107,0.42107,0.42107,0.42107,0,0
MXNCHF,D,19910215,000000,0.423,0.423,0.423,0.423,0,0
