<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXNGBP,D,19900108,000000,0.23036,0.23036,0.23036,0.23036,0,0
MXNGBP,D,19900115,000000,0.22384,0.22384,0.22384,0.22384,0,0
MXNGBP,D,19900122,000000,0.22317,0.22317,0.22317,0.22317,0,0
MXNGBP,D,19900129,000000,0.22447,0.22447,0.22447,0.22447,0,0
MXNGBP,D,19900205,000000,0.21845,0.21845,0.21845,0.21845,0,0
MXNGBP,D,19900212,000000,0.21585,0.21585,0.21585,0.21585,0,0
MXNGBP,D,19900219,000000,0.21705,0.21705,0.21705,0.21705,0,0
MXNGBP,D,19900226,000000,0.21388,0.21388,0.21388,0.21388,0,0
MXNGBP,D,19900305,000000,0.21438,0.21438,0.21438,0.21438,0,0
MXNGBP,D,19900312,000000,0.21998,0.21998,0.21998,0.21998,0,0
MXNGBP,D,19900319,000000,0.2246,0.2246,0.2246,0.2246,0,0
MXNGBP,D,19900326,000000,0.22389,0.22389,0.22389,0.22389,0,0
MXNGBP,D,19900402,000000,0.22347,0.22347,0.22347,0.22347,0,0
MXNGBP,D,19900409,000000,0.21931,0.21931,0.21931,0.21931,0,0
MXNGBP,D,19900417,000000,0.21833,0.21833,0.21833,0.21833,0,0
MXNGBP,D,19900423,000000,0.21982,0.21982,0.21982,0.21982,0,0
MXNGBP,D,19900430,000000,0.21778,0.21778,0.21778,0.21778,0,0
MXNGBP,D,19900507,000000,0.21734,0.21734,0.21734,0.21734,0,0
MXNGBP,D,19900514,000000,0.21195,0.21195,0.21195,0.21195,0,0
MXNGBP,D,19900521,000000,0.21022,0.21022,0.21022,0.21022,0,0
MXNGBP,D,19900528,000000,0.20911,0.20911,0.20911,0.20911,0,0
MXNGBP,D,19900604,000000,0.20815,0.20815,0.20815,0.20815,0,0
MXNGBP,D,19900611,000000,0.20891,0.20891,0.20891,0.20891,0,0
MXNGBP,D,19900618,000000,0.20847,0.20847,0.20847,0.20847,0,0
MXNGBP,D,19900625,000000,0.20515,0.20515,0.20515,0.20515,0,0
MXNGBP,D,19900702,000000,0.20189,0.20189,0.20189,0.20189,0,0
MXNGBP,D,19900709,000000,0.19818,0.19818,0.19818,0.19818,0,0
MXNGBP,D,19900716,000000,0.19318,0.19318,0.19318,0.19318,0,0
MXNGBP,D,19900723,000000,0.19314,0.19314,0.19314,0.19314,0,0
MXNGBP,D,19900730,000000,0.19077,0.19077,0.19077,0.19077,0,0
MXNGBP,D,19900806,000000,0.18712,0.18712,0.18712,0.18712,0,0
MXNGBP,D,19900813,000000,0.18515,0.18515,0.18515,0.18515,0,0
MXNGBP,D,19900820,000000,0.18426,0.18426,0.18426,0.18426,0,0
MXNGBP,D,19900827,000000,0.18054,0.18054,0.18054,0.18054,0,0
MXNGBP,D,19900903,000000,0.17752,0.17752,0.17752,0.17752,0,0
MXNGBP,D,19900910,000000,0.18521,0.18521,0.18521,0.18521,0,0
MXNGBP,D,19900917,000000,0.18746,0.18746,0.18746,0.18746,0,0
MXNGBP,D,19900924,000000,0.17998,0.17998,0.17998,0.17998,0,0
MXNGBP,D,19901001,000000,0.18315,0.18315,0.18315,0.18315,0,0
MXNGBP,D,19901008,000000,0.18341,0.18341,0.18341,0.18341,0,0
MXNGBP,D,19901010,000000,0.17455,0.17455,0.17455,0.17455,0,0
MXNGBP,D,19901015,000000,0.1743,0.1743,0.1743,0.1743,0,0
MXNGBP,D,19901022,000000,0.17533,0.17533,0.17533,0.17533,0,0
MXNGBP,D,19901029,000000,0.17607,0.17607,0.17607,0.17607,0,0
MXNGBP,D,19901105,000000,0.17501,0.17501,0.17501,0.17501,0,0
MXNGBP,D,19901112,000000,0.17368,0.17368,0.17368,0.17368,0,0
MXNGBP,D,19901119,000000,0.17394,0.17394,0.17394,0.17394,0,0
MXNGBP,D,19901126,000000,0.173,0.173,0.173,0.173,0,0
MXNGBP,D,19901203,000000,0.17242,0.17242,0.17242,0.17242,0,0
MXNGBP,D,19901210,000000,0.17647,0.17647,0.17647,0.17647,0,0
