<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXNUSD,D,19900108,000000,0.37137,0.37137,0.37137,0.37137,0,0
MXNUSD,D,19900115,000000,0.37023,0.37023,0.37023,0.37023,0,0
MXNUSD,D,19900122,000000,0.37077,0.37077,0.37077,0.37077,0,0
MXNUSD,D,19900129,000000,0.36804,0.36804,0.36804,0.36804,0,0
MXNUSD,D,19900205,000000,0.36752,0.36752,0.36752,0.36752,0,0
MXNUSD,D,19900212,000000,0.36697,0.36697,0.36697,0.36697,0,0
MXNUSD,D,19900219,000000,0.36696,0.36696,0.36696,0.36696,0,0
MXNUSD,D,19900226,000000,0.36443,0.36443,0.36443,0.36443,0,0
MXNUSD,D,19900305,000000,0.36337,0.36337,0.36337,0.36337,0,0
MXNUSD,D,19900312,000000,0.36287,0.36287,0.36287,0.36287,0,0
MXNUSD,D,19900319,000000,0.3616,0.3616,0.3616,0.3616,0,0
MXNUSD,D,19900326,000000,0.36081,0.36081,0.36081,0.36081,0,0
MXNUSD,D,19900402,000000,0.36056,0.36056,0.36056,0.36056,0,0
MXNUSD,D,19900409,000000,0.35881,0.35881,0.35881,0.35881,0,0
MXNUSD,D,19900417,000000,0.35804,0.35804,0.35804,0.35804,0,0
MXNUSD,D,19900423,000000,0.35715,0.35715,0.35715,0.35715,0,0
MXNUSD,D,19900430,000000,0.35632,0.35632,0.35632,0.35632,0,0
MXNUSD,D,19900507,000000,0.35536,0.35536,0.35536,0.35536,0,0
MXNUSD,D,19900514,000000,0.35461,0.35461,0.35461,0.35461,0,0
MXNUSD,D,19900521,000000,0.35348,0.35348,0.35348,0.35348,0,0
MXNUSD,D,19900528,000000,0.35381,0.35381,0.35381,0.35381,0,0
MXNUSD,D,19900604,000000,0.35274,0.35274,0.35274,0.35274,0,0
MXNUSD,D,19900611,000000,0.35212,0.35212,0.35212,0.35212,0,0
MXNUSD,D,19900618,000000,0.35137,0.35137,0.35137,0.35137,0,0
MXNUSD,D,19900625,000000,0.35051,0.35051,0.35051,0.35051,0,0
MXNUSD,D,19900702,000000,0.34959,0.34959,0.34959,0.34959,0,0
MXNUSD,D,19900709,000000,0.34916,0.34916,0.34916,0.34916,0,0
MXNUSD,D,19900716,000000,0.34858,0.34858,0.34858,0.34858,0,0
MXNUSD,D,19900723,000000,0.34832,0.34832,0.34832,0.34832,0,0
MXNUSD,D,19900730,000000,0.34819,0.34819,0.34819,0.34819,0,0
MXNUSD,D,19900806,000000,0.34806,0.34806,0.34806,0.34806,0,0
MXNUSD,D,19900813,000000,0.34788,0.34788,0.34788,0.34788,0,0
MXNUSD,D,19900820,000000,0.34754,0.34754,0.34754,0.34754,0,0
MXNUSD,D,19900827,000000,0.34659,0.34659,0.34659,0.34659,0,0
MXNUSD,D,19900903,000000,0.34638,0.34638,0.34638,0.34638,0,0
MXNUSD,D,19900910,000000,0.34644,0.34644,0.34644,0.34644,0,0
