<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXNXPD,D,19900108,000000,0.0027207,0.0027207,0.0027207,0.0027207,0,0
MXNXPD,D,19900115,000000,0.0026674,0.0026674,0.0026674,0.0026674,0,0
MXNXPD,D,19900122,000000,0.0027464,0.0027464,0.0027464,0.0027464,0,0
MXNXPD,D,19900129,000000,0.0026767,0.0026767,0.0026767,0.0026767,0,0
MXNXPD,D,19900205,000000,0.0026885,0.0026885,0.0026885,0.0026885,0,0
MXNXPD,D,19900212,000000,0.0026904,0.0026904,0.0026904,0.0026904,0,0
MXNXPD,D,19900219,000000,0.0026903,0.0026903,0.0026903,0.0026903,0,0
MXNXPD,D,19900226,000000,0.0028229,0.0028229,0.0028229,0.0028229,0,0
MXNXPD,D,19900305,000000,0.0027507,0.0027507,0.0027507,0.0027507,0,0
MXNXPD,D,19900312,000000,0.0027532,0.0027532,0.0027532,0.0027532,0,0
MXNXPD,D,19900319,000000,0.0027477,0.0027477,0.0027477,0.0027477,0,0
MXNXPD,D,19900326,000000,0.0028013,0.0028013,0.0028013,0.0028013,0,0
MXNXPD,D,19900402,000000,0.002795,0.002795,0.002795,0.002795,0,0
MXNXPD,D,19900409,000000,0.0027793,0.0027793,0.0027793,0.0027793,0,0
MXNXPD,D,19900417,000000,0.0027798,0.0027798,0.0027798,0.0027798,0,0
MXNXPD,D,19900423,000000,0.0028012,0.0028012,0.0028012,0.0028012,0,0
MXNXPD,D,19900430,000000,0.0030428,0.0030428,0.0030428,0.0030428,0,0
MXNXPD,D,19900507,000000,0.0029812,0.0029812,0.0029812,0.0029812,0,0
MXNXPD,D,19900514,000000,0.0029749,0.0029749,0.0029749,0.0029749,0,0
MXNXPD,D,19900521,000000,0.0029189,0.0029189,0.0029189,0.0029189,0,0
MXNXPD,D,19900528,000000,0.0029216,0.0029216,0.0029216,0.0029216,0,0
MXNXPD,D,19900604,000000,0.0029767,0.0029767,0.0029767,0.0029767,0,0
MXNXPD,D,19900611,000000,0.0029815,0.0029815,0.0029815,0.0029815,0,0
MXNXPD,D,19900618,000000,0.0030607,0.0030607,0.0030607,0.0030607,0,0
MXNXPD,D,19900625,000000,0.0030612,0.0030612,0.0030612,0.0030612,0,0
MXNXPD,D,19900702,000000,0.0030034,0.0030034,0.0030034,0.0030034,0,0
MXNXPD,D,19900709,000000,0.0029868,0.0029868,0.0029868,0.0029868,0,0
MXNXPD,D,19900716,000000,0.0029819,0.0029819,0.0029819,0.0029819,0,0
MXNXPD,D,19900723,000000,0.0029295,0.0029295,0.0029295,0.0029295,0,0
MXNXPD,D,19900730,000000,0.0030277,0.0030277,0.0030277,0.0030277,0,0
MXNXPD,D,19900806,000000,0.0030721,0.0030721,0.0030721,0.0030721,0,0
MXNXPD,D,19900813,000000,0.0030705,0.0030705,0.0030705,0.0030705,0,0
MXNXPD,D,19900820,000000,0.0029502,0.0029502,0.0029502,0.0029502,0,0
MXNXPD,D,19900827,000000,0.0030863,0.0030863,0.0030863,0.0030863,0,0
MXNXPD,D,19900903,000000,0.0030844,0.0030844,0.0030844,0.0030844,0,0
MXNXPD,D,19900910,000000,0.0033121,0.0033121,0.0033121,0.0033121,0,0
