<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYRRUB,D,19951023,000000,1.7918,1.7918,1.7918,1.7918,0,0
MYRRUB,D,19951024,000000,1.7863,1.7863,1.7863,1.7863,0,0
MYRRUB,D,19951025,000000,1.7798,1.7798,1.7798,1.7798,0,0
MYRRUB,D,19951026,000000,1.7759,1.7759,1.7759,1.7759,0,0
MYRRUB,D,19951027,000000,1.7829,1.7829,1.7829,1.7829,0,0
MYRRUB,D,19951030,000000,1.7733,1.7733,1.7733,1.7733,0,0
MYRRUB,D,19951031,000000,1.7747,1.7747,1.7747,1.7747,0,0
MYRRUB,D,19951102,000000,1.7782,1.7782,1.7782,1.7782,0,0
MYRRUB,D,19951103,000000,1.7779,1.7779,1.7779,1.7779,0,0
MYRRUB,D,19951106,000000,1.7816,1.7816,1.7816,1.7816,0,0
MYRRUB,D,19951107,000000,1.781,1.781,1.781,1.781,0,0
MYRRUB,D,19951108,000000,1.7835,1.7835,1.7835,1.7835,0,0
MYRRUB,D,19951109,000000,1.7853,1.7853,1.7853,1.7853,0,0
MYRRUB,D,19951110,000000,1.7846,1.7846,1.7846,1.7846,0,0
MYRRUB,D,19951113,000000,1.7853,1.7853,1.7853,1.7853,0,0
MYRRUB,D,19951114,000000,1.7931,1.7931,1.7931,1.7931,0,0
MYRRUB,D,19951115,000000,1.7916,1.7916,1.7916,1.7916,0,0
MYRRUB,D,19951116,000000,1.7877,1.7877,1.7877,1.7877,0,0
MYRRUB,D,19951117,000000,1.7999,1.7999,1.7999,1.7999,0,0
MYRRUB,D,19951120,000000,1.7999,1.7999,1.7999,1.7999,0,0
MYRRUB,D,19951121,000000,1.7941,1.7941,1.7941,1.7941,0,0
MYRRUB,D,19951122,000000,1.7997,1.7997,1.7997,1.7997,0,0
MYRRUB,D,19951123,000000,1.8027,1.8027,1.8027,1.8027,0,0
MYRRUB,D,19951124,000000,1.8002,1.8002,1.8002,1.8002,0,0
MYRRUB,D,19951127,000000,1.8027,1.8027,1.8027,1.8027,0,0
MYRRUB,D,19951128,000000,1.8032,1.8032,1.8032,1.8032,0,0
MYRRUB,D,19951129,000000,1.8003,1.8003,1.8003,1.8003,0,0
MYRRUB,D,19951130,000000,1.8048,1.8048,1.8048,1.8048,0,0
MYRRUB,D,19951201,000000,1.8134,1.8134,1.8134,1.8134,0,0
MYRRUB,D,19951204,000000,1.8115,1.8115,1.8115,1.8115,0,0
MYRRUB,D,19951205,000000,1.8079,1.8079,1.8079,1.8079,0,0
MYRRUB,D,19951206,000000,1.8067,1.8067,1.8067,1.8067,0,0
MYRRUB,D,19951207,000000,1.8115,1.8115,1.8115,1.8115,0,0
MYRRUB,D,19951208,000000,1.8049,1.8049,1.8049,1.8049,0,0
MYRRUB,D,19951211,000000,1.8054,1.8054,1.8054,1.8054,0,0
