<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NADAUD,D,19840109,000000,0.90142,0.90142,0.90142,0.90142,0,0
NADAUD,D,19840116,000000,0.89269,0.89269,0.89269,0.89269,0,0
NADAUD,D,19840123,000000,0.90272,0.90272,0.90272,0.90272,0,0
NADAUD,D,19840130,000000,0.88139,0.88139,0.88139,0.88139,0,0
NADAUD,D,19840206,000000,0.89405,0.89405,0.89405,0.89405,0,0
NADAUD,D,19840213,000000,0.89405,0.89405,0.89405,0.89405,0,0
NADAUD,D,19840220,000000,0.87328,0.87328,0.87328,0.87328,0,0
NADAUD,D,19840301,000000,0.88986,0.88986,0.88986,0.88986,0,0
NADAUD,D,19840305,000000,0.8985,0.8985,0.8985,0.8985,0,0
NADAUD,D,19840312,000000,0.8703,0.8703,0.8703,0.8703,0,0
NADAUD,D,19840319,000000,0.84264,0.84264,0.84264,0.84264,0,0
NADAUD,D,19840326,000000,0.85233,0.85233,0.85233,0.85233,0,0
NADAUD,D,19840402,000000,0.86888,0.86888,0.86888,0.86888,0,0
NADAUD,D,19840409,000000,0.85901,0.85901,0.85901,0.85901,0,0
NADAUD,D,19840416,000000,0.89495,0.89495,0.89495,0.89495,0,0
NADAUD,D,19840424,000000,0.88609,0.88609,0.88609,0.88609,0,0
NADAUD,D,19840502,000000,0.88609,0.88609,0.88609,0.88609,0,0
NADAUD,D,19840507,000000,0.86888,0.86888,0.86888,0.86888,0,0
NADAUD,D,19840514,000000,0.85746,0.85746,0.85746,0.85746,0,0
NADAUD,D,19840521,000000,0.88478,0.88478,0.88478,0.88478,0,0
NADAUD,D,19840528,000000,0.88478,0.88478,0.88478,0.88478,0,0
NADAUD,D,19840604,000000,0.89495,0.89495,0.89495,0.89495,0,0
NADAUD,D,19840611,000000,0.87317,0.87317,0.87317,0.87317,0,0
NADAUD,D,19840618,000000,0.87317,0.87317,0.87317,0.87317,0,0
NADAUD,D,19840625,000000,0.85095,0.85095,0.85095,0.85095,0,0
NADAUD,D,19840702,000000,0.85972,0.85972,0.85972,0.85972,0,0
NADAUD,D,19840709,000000,0.80511,0.80511,0.80511,0.80511,0,0
NADAUD,D,19840716,000000,0.83108,0.83108,0.83108,0.83108,0,0
NADAUD,D,19840723,000000,0.78979,0.78979,0.78979,0.78979,0,0
NADAUD,D,19840730,000000,0.75454,0.75454,0.75454,0.75454,0,0
NADAUD,D,19840806,000000,0.77897,0.77897,0.77897,0.77897,0,0
NADAUD,D,19840813,000000,0.74936,0.74936,0.74936,0.74936,0,0
NADAUD,D,19840820,000000,0.78147,0.78147,0.78147,0.78147,0,0
NADAUD,D,19840827,000000,0.76536,0.76536,0.76536,0.76536,0,0
NADAUD,D,19840901,000000,0.76516,0.76516,0.76516,0.76516,0,0
NADAUD,D,19840910,000000,0.7334,0.7334,0.7334,0.7334,0,0
NADAUD,D,19840917,000000,0.72362,0.72362,0.72362,0.72362,0,0
NADAUD,D,19840924,000000,0.74318,0.74318,0.74318,0.74318,0,0
NADAUD,D,19841001,000000,0.7334,0.7334,0.7334,0.7334,0,0
NADAUD,D,19841008,000000,0.72362,0.72362,0.72362,0.72362,0,0
NADAUD,D,19841015,000000,0.68768,0.68768,0.68768,0.68768,0,0
NADAUD,D,19841022,000000,0.68768,0.68768,0.68768,0.68768,0,0
NADAUD,D,19841029,000000,0.62956,0.62956,0.62956,0.62956,0,0
NADAUD,D,19841105,000000,0.67159,0.67159,0.67159,0.67159,0,0
NADAUD,D,19841112,000000,0.65581,0.65581,0.65581,0.65581,0,0
NADAUD,D,19841119,000000,0.65581,0.65581,0.65581,0.65581,0,0
NADAUD,D,19841126,000000,0.65581,0.65581,0.65581,0.65581,0,0
NADAUD,D,19841201,000000,0.65581,0.65581,0.65581,0.65581,0,0
NADAUD,D,19841210,000000,0.64974,0.64974,0.64974,0.64974,0,0
NADAUD,D,19841217,000000,0.63322,0.63322,0.63322,0.63322,0,0
NADAUD,D,19841224,000000,0.61988,0.61988,0.61988,0.61988,0,0
NADAUD,D,19850101,000000,0.61903,0.61903,0.61903,0.61903,0,0
NADAUD,D,19850107,000000,0.58878,0.58878,0.58878,0.58878,0,0
NADAUD,D,19850114,000000,0.54899,0.54899,0.54899,0.54899,0,0
NADAUD,D,19850121,000000,0.5531,0.5531,0.5531,0.5531,0,0
NADAUD,D,19850128,000000,0.58499,0.58499,0.58499,0.58499,0,0
NADAUD,D,19850204,000000,0.61554,0.61554,0.61554,0.61554,0,0
NADAUD,D,19850211,000000,0.69043,0.69043,0.69043,0.69043,0,0
NADAUD,D,19850218,000000,0.71957,0.71957,0.71957,0.71957,0,0
NADAUD,D,19850225,000000,0.66772,0.66772,0.66772,0.66772,0,0
NADAUD,D,19850304,000000,0.67799,0.67799,0.67799,0.67799,0,0
NADAUD,D,19850311,000000,0.74439,0.74439,0.74439,0.74439,0,0
NADAUD,D,19850318,000000,0.71908,0.71908,0.71908,0.71908,0,0
NADAUD,D,19850325,000000,0.73391,0.73391,0.73391,0.73391,0,0
NADAUD,D,19850329,000000,0.77333,0.77333,0.77333,0.77333,0,0
NADAUD,D,19850401,000000,0.7368,0.7368,0.7368,0.7368,0,0
NADAUD,D,19850409,000000,0.77969,0.77969,0.77969,0.77969,0,0
NADAUD,D,19850415,000000,0.80696,0.80696,0.80696,0.80696,0,0
NADAUD,D,19850422,000000,0.79347,0.79347,0.79347,0.79347,0,0
NADAUD,D,19850429,000000,0.79988,0.79988,0.79988,0.79988,0,0
NADAUD,D,19850506,000000,0.7656,0.7656,0.7656,0.7656,0,0
NADAUD,D,19850513,000000,0.77641,0.77641,0.77641,0.77641,0,0
NADAUD,D,19850520,000000,0.73865,0.73865,0.73865,0.73865,0,0
NADAUD,D,19850527,000000,0.73865,0.73865,0.73865,0.73865,0,0
NADAUD,D,19850601,000000,0.75332,0.75332,0.75332,0.75332,0,0
NADAUD,D,19850610,000000,0.76516,0.76516,0.76516,0.76516,0,0
NADAUD,D,19850617,000000,0.76754,0.76754,0.76754,0.76754,0,0
NADAUD,D,19850624,000000,0.77485,0.77485,0.77485,0.77485,0,0
NADAUD,D,19850701,000000,0.77485,0.77485,0.77485,0.77485,0,0
NADAUD,D,19850708,000000,0.78453,0.78453,0.78453,0.78453,0,0
NADAUD,D,19850715,000000,0.78672,0.78672,0.78672,0.78672,0,0
NADAUD,D,19850723,000000,0.75812,0.75812,0.75812,0.75812,0,0
NADAUD,D,19850729,000000,0.68715,0.68715,0.68715,0.68715,0,0
NADAUD,D,19850805,000000,0.63218,0.63218,0.63218,0.63218,0,0
NADAUD,D,19850812,000000,0.68415,0.68415,0.68415,0.68415,0,0
NADAUD,D,19850819,000000,0.5878,0.5878,0.5878,0.5878,0,0
NADAUD,D,19850826,000000,0.56499,0.56499,0.56499,0.56499,0,0
NADAUD,D,19850902,000000,0.57027,0.57027,0.57027,0.57027,0,0
NADAUD,D,19850909,000000,0.56606,0.56606,0.56606,0.56606,0,0
NADAUD,D,19850916,000000,0.61988,0.61988,0.61988,0.61988,0,0
NADAUD,D,19850923,000000,0.59484,0.59484,0.59484,0.59484,0,0
NADAUD,D,19850930,000000,0.56077,0.56077,0.56077,0.56077,0,0
NADAUD,D,19851007,000000,0.54687,0.54687,0.54687,0.54687,0,0
