<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKCHF,D,19840102,000000,0.28209,0.28209,0.28209,0.28209,0,0
NOKCHF,D,19840109,000000,0.2851,0.2851,0.2851,0.2851,0,0
NOKCHF,D,19840116,000000,0.28377,0.28377,0.28377,0.28377,0,0
NOKCHF,D,19840123,000000,0.28433,0.28433,0.28433,0.28433,0,0
NOKCHF,D,19840130,000000,0.28491,0.28491,0.28491,0.28491,0,0
NOKCHF,D,19840206,000000,0.28529,0.28529,0.28529,0.28529,0,0
NOKCHF,D,19840213,000000,0.28559,0.28559,0.28559,0.28559,0,0
NOKCHF,D,19840220,000000,0.28829,0.28829,0.28829,0.28829,0,0
NOKCHF,D,19840301,000000,0.28706,0.28706,0.28706,0.28706,0,0
NOKCHF,D,19840305,000000,0.28787,0.28787,0.28787,0.28787,0,0
NOKCHF,D,19840312,000000,0.2841,0.2841,0.2841,0.2841,0,0
NOKCHF,D,19840319,000000,0.28516,0.28516,0.28516,0.28516,0,0
NOKCHF,D,19840326,000000,0.28538,0.28538,0.28538,0.28538,0,0
NOKCHF,D,19840402,000000,0.28724,0.28724,0.28724,0.28724,0,0
NOKCHF,D,19840409,000000,0.28651,0.28651,0.28651,0.28651,0,0
NOKCHF,D,19840416,000000,0.28759,0.28759,0.28759,0.28759,0,0
NOKCHF,D,19840424,000000,0.28834,0.28834,0.28834,0.28834,0,0
NOKCHF,D,19840502,000000,0.28936,0.28936,0.28936,0.28936,0,0
NOKCHF,D,19840507,000000,0.28924,0.28924,0.28924,0.28924,0,0
NOKCHF,D,19840514,000000,0.29139,0.29139,0.29139,0.29139,0,0
NOKCHF,D,19840521,000000,0.29008,0.29008,0.29008,0.29008,0,0
NOKCHF,D,19840528,000000,0.29056,0.29056,0.29056,0.29056,0,0
NOKCHF,D,19840604,000000,0.2892,0.2892,0.2892,0.2892,0,0
NOKCHF,D,19840611,000000,0.28978,0.28978,0.28978,0.28978,0,0
NOKCHF,D,19840618,000000,0.2918,0.2918,0.2918,0.2918,0,0
NOKCHF,D,19840625,000000,0.29259,0.29259,0.29259,0.29259,0,0
NOKCHF,D,19840702,000000,0.29097,0.29097,0.29097,0.29097,0,0
NOKCHF,D,19840709,000000,0.29232,0.29232,0.29232,0.29232,0,0
