<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKXAG,D,19840109,000000,0.016041,0.016041,0.016041,0.016041,0,0
NOKXAG,D,19840116,000000,0.015474,0.015474,0.015474,0.015474,0,0
NOKXAG,D,19840123,000000,0.015711,0.015711,0.015711,0.015711,0,0
NOKXAG,D,19840130,000000,0.015079,0.015079,0.015079,0.015079,0,0
NOKXAG,D,19840206,000000,0.014435,0.014435,0.014435,0.014435,0,0
NOKXAG,D,19840213,000000,0.014561,0.014561,0.014561,0.014561,0,0
NOKXAG,D,19840220,000000,0.014769,0.014769,0.014769,0.014769,0,0
NOKXAG,D,19840301,000000,0.013317,0.013317,0.013317,0.013317,0,0
NOKXAG,D,19840305,000000,0.013047,0.013047,0.013047,0.013047,0,0
NOKXAG,D,19840312,000000,0.013785,0.013785,0.013785,0.013785,0,0
NOKXAG,D,19840319,000000,0.013956,0.013956,0.013956,0.013956,0,0
NOKXAG,D,19840326,000000,0.013823,0.013823,0.013823,0.013823,0,0
NOKXAG,D,19840402,000000,0.01421,0.01421,0.01421,0.01421,0,0
NOKXAG,D,19840409,000000,0.014269,0.014269,0.014269,0.014269,0,0
NOKXAG,D,19840416,000000,0.014404,0.014404,0.014404,0.014404,0,0
NOKXAG,D,19840424,000000,0.014181,0.014181,0.014181,0.014181,0,0
NOKXAG,D,19840502,000000,0.014189,0.014189,0.014189,0.014189,0,0
NOKXAG,D,19840507,000000,0.014702,0.014702,0.014702,0.014702,0,0
NOKXAG,D,19840514,000000,0.014297,0.014297,0.014297,0.014297,0,0
NOKXAG,D,19840521,000000,0.013856,0.013856,0.013856,0.013856,0,0
NOKXAG,D,19840528,000000,0.013925,0.013925,0.013925,0.013925,0,0
NOKXAG,D,19840604,000000,0.013527,0.013527,0.013527,0.013527,0,0
NOKXAG,D,19840611,000000,0.015029,0.015029,0.015029,0.015029,0,0
NOKXAG,D,19840618,000000,0.014887,0.014887,0.014887,0.014887,0,0
NOKXAG,D,19840625,000000,0.015342,0.015342,0.015342,0.015342,0,0
NOKXAG,D,19840702,000000,0.014804,0.014804,0.014804,0.014804,0,0
NOKXAG,D,19840709,000000,0.015951,0.015951,0.015951,0.015951,0,0
NOKXAG,D,19840716,000000,0.016189,0.016189,0.016189,0.016189,0,0
NOKXAG,D,19840723,000000,0.016722,0.016722,0.016722,0.016722,0,0
NOKXAG,D,19840730,000000,0.016811,0.016811,0.016811,0.016811,0,0
NOKXAG,D,19840806,000000,0.015774,0.015774,0.015774,0.015774,0,0
NOKXAG,D,19840813,000000,0.015194,0.015194,0.015194,0.015194,0,0
NOKXAG,D,19840820,000000,0.016115,0.016115,0.016115,0.016115,0,0
NOKXAG,D,19840827,000000,0.01582,0.01582,0.01582,0.01582,0,0
NOKXAG,D,19840901,000000,0.015855,0.015855,0.015855,0.015855,0,0
NOKXAG,D,19840910,000000,0.016118,0.016118,0.016118,0.016118,0,0
NOKXAG,D,19840917,000000,0.016323,0.016323,0.016323,0.016323,0,0
NOKXAG,D,19840924,000000,0.014821,0.014821,0.014821,0.014821,0,0
NOKXAG,D,19841001,000000,0.014745,0.014745,0.014745,0.014745,0,0
NOKXAG,D,19841008,000000,0.015364,0.015364,0.015364,0.015364,0,0
NOKXAG,D,19841015,000000,0.015219,0.015219,0.015219,0.015219,0,0
NOKXAG,D,19841022,000000,0.015187,0.015187,0.015187,0.015187,0,0
