<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKXAU,D,19840109,000000,0.00034641,0.00034641,0.00034641,0.00034641,0,0
NOKXAU,D,19840116,000000,0.00034006,0.00034006,0.00034006,0.00034006,0,0
NOKXAU,D,19840123,000000,0.00034828,0.00034828,0.00034828,0.00034828,0,0
NOKXAU,D,19840130,000000,0.00033787,0.00033787,0.00033787,0.00033787,0,0
NOKXAU,D,19840206,000000,0.00032861,0.00032861,0.00032861,0.00032861,0,0
NOKXAU,D,19840213,000000,0.00033335,0.00033335,0.00033335,0.00033335,0,0
NOKXAU,D,19840220,000000,0.00033809,0.00033809,0.00033809,0.00033809,0,0
NOKXAU,D,19840301,000000,0.0003284,0.0003284,0.0003284,0.0003284,0,0
NOKXAU,D,19840305,000000,0.00032706,0.00032706,0.00032706,0.00032706,0,0
NOKXAU,D,19840312,000000,0.00033987,0.00033987,0.00033987,0.00033987,0,0
NOKXAU,D,19840319,000000,0.00034228,0.00034228,0.00034228,0.00034228,0,0
NOKXAU,D,19840326,000000,0.00034194,0.00034194,0.00034194,0.00034194,0,0
NOKXAU,D,19840402,000000,0.00034633,0.00034633,0.00034633,0.00034633,0,0
NOKXAU,D,19840409,000000,0.00034238,0.00034238,0.00034238,0.00034238,0,0
NOKXAU,D,19840416,000000,0.00034502,0.00034502,0.00034502,0.00034502,0,0
NOKXAU,D,19840424,000000,0.00034047,0.00034047,0.00034047,0.00034047,0,0
NOKXAU,D,19840502,000000,0.00034309,0.00034309,0.00034309,0.00034309,0,0
NOKXAU,D,19840507,000000,0.00034352,0.00034352,0.00034352,0.00034352,0,0
NOKXAU,D,19840514,000000,0.00034117,0.00034117,0.00034117,0.00034117,0,0
NOKXAU,D,19840521,000000,0.00033529,0.00033529,0.00033529,0.00033529,0,0
NOKXAU,D,19840528,000000,0.00033695,0.00033695,0.00033695,0.00033695,0,0
NOKXAU,D,19840604,000000,0.00031852,0.00031852,0.00031852,0.00031852,0,0
NOKXAU,D,19840611,000000,0.0003443,0.0003443,0.0003443,0.0003443,0,0
NOKXAU,D,19840618,000000,0.00034194,0.00034194,0.00034194,0.00034194,0,0
NOKXAU,D,19840625,000000,0.00034391,0.00034391,0.00034391,0.00034391,0,0
NOKXAU,D,19840702,000000,0.00033482,0.00033482,0.00033482,0.00033482,0,0
NOKXAU,D,19840709,000000,0.0003548,0.0003548,0.0003548,0.0003548,0,0
NOKXAU,D,19840716,000000,0.00035173,0.00035173,0.00035173,0.00035173,0,0
NOKXAU,D,19840723,000000,0.00035891,0.00035891,0.00035891,0.00035891,0,0
NOKXAU,D,19840730,000000,0.00033943,0.00033943,0.00033943,0.00033943,0,0
NOKXAU,D,19840806,000000,0.00033293,0.00033293,0.00033293,0.00033293,0,0
NOKXAU,D,19840813,000000,0.00033134,0.00033134,0.00033134,0.00033134,0,0
NOKXAU,D,19840820,000000,0.00034021,0.00034021,0.00034021,0.00034021,0,0
NOKXAU,D,19840827,000000,0.00033633,0.00033633,0.00033633,0.00033633,0,0
NOKXAU,D,19840901,000000,0.00033707,0.00033707,0.00033707,0.00033707,0,0
NOKXAU,D,19840910,000000,0.00034353,0.00034353,0.00034353,0.00034353,0,0
NOKXAU,D,19840917,000000,0.00034119,0.00034119,0.00034119,0.00034119,0,0
NOKXAU,D,19840924,000000,0.00032688,0.00032688,0.00032688,0.00032688,0,0
NOKXAU,D,19841001,000000,0.0003223,0.0003223,0.0003223,0.0003223,0,0
NOKXAU,D,19841008,000000,0.00032778,0.00032778,0.00032778,0.00032778,0,0
NOKXAU,D,19841015,000000,0.0003267,0.0003267,0.0003267,0.0003267,0,0
NOKXAU,D,19841022,000000,0.00032417,0.00032417,0.00032417,0.00032417,0,0
NOKXAU,D,19841029,000000,0.00033249,0.00033249,0.00033249,0.00033249,0,0
NOKXAU,D,19841105,000000,0.00032263,0.00032263,0.00032263,0.00032263,0,0
NOKXAU,D,19841112,000000,0.00033394,0.00033394,0.00033394,0.00033394,0,0
NOKXAU,D,19841119,000000,0.00033968,0.00033968,0.00033968,0.00033968,0,0
NOKXAU,D,19841126,000000,0.00034631,0.00034631,0.00034631,0.00034631,0,0
NOKXAU,D,19841201,000000,0.00033997,0.00033997,0.00033997,0.00033997,0,0
NOKXAU,D,19841210,000000,0.00034045,0.00034045,0.00034045,0.00034045,0,0
NOKXAU,D,19841217,000000,0.00035463,0.00035463,0.00035463,0.00035463,0,0
NOKXAU,D,19841224,000000,0.00035362,0.00035362,0.00035362,0.00035362,0,0
NOKXAU,D,19850101,000000,0.00035054,0.00035054,0.00035054,0.00035054,0,0
NOKXAU,D,19850107,000000,0.0003603,0.0003603,0.0003603,0.0003603,0,0
NOKXAU,D,19850114,000000,0.00036363,0.00036363,0.00036363,0.00036363,0,0
NOKXAU,D,19850121,000000,0.00035225,0.00035225,0.00035225,0.00035225,0,0
NOKXAU,D,19850128,000000,0.00035513,0.00035513,0.00035513,0.00035513,0,0
NOKXAU,D,19850204,000000,0.00035736,0.00035736,0.00035736,0.00035736,0,0
NOKXAU,D,19850211,000000,0.00035029,0.00035029,0.00035029,0.00035029,0,0
NOKXAU,D,19850218,000000,0.0003455,0.0003455,0.0003455,0.0003455,0,0
NOKXAU,D,19850225,000000,0.00037221,0.00037221,0.00037221,0.00037221,0,0
NOKXAU,D,19850304,000000,0.00036008,0.00036008,0.00036008,0.00036008,0,0
NOKXAU,D,19850311,000000,0.00035001,0.00035001,0.00035001,0.00035001,0,0
NOKXAU,D,19850318,000000,0.00034551,0.00034551,0.00034551,0.00034551,0,0
