<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKXPD,D,19840109,000000,0.000897,0.000897,0.000897,0.000897,0,0
NOKXPD,D,19840116,000000,0.00082042,0.00082042,0.00082042,0.00082042,0,0
NOKXPD,D,19840123,000000,0.00083987,0.00083987,0.00083987,0.00083987,0,0
NOKXPD,D,19840130,000000,0.00080412,0.00080412,0.00080412,0.00080412,0,0
NOKXPD,D,19840206,000000,0.00081364,0.00081364,0.00081364,0.00081364,0,0
NOKXPD,D,19840213,000000,0.00081428,0.00081428,0.00081428,0.00081428,0,0
NOKXPD,D,19840220,000000,0.00082586,0.00082586,0.00082586,0.00082586,0,0
NOKXPD,D,19840301,000000,0.00083155,0.00083155,0.00083155,0.00083155,0,0
NOKXPD,D,19840305,000000,0.00081976,0.00081976,0.00081976,0.00081976,0,0
NOKXPD,D,19840312,000000,0.00084872,0.00084872,0.00084872,0.00084872,0,0
NOKXPD,D,19840319,000000,0.00085569,0.00085569,0.00085569,0.00085569,0,0
NOKXPD,D,19840326,000000,0.0008175,0.0008175,0.0008175,0.0008175,0,0
NOKXPD,D,19840402,000000,0.0008433,0.0008433,0.0008433,0.0008433,0,0
NOKXPD,D,19840409,000000,0.0008334,0.0008334,0.0008334,0.0008334,0,0
NOKXPD,D,19840416,000000,0.00083645,0.00083645,0.00083645,0.00083645,0,0
NOKXPD,D,19840424,000000,0.00079815,0.00079815,0.00079815,0.00079815,0,0
NOKXPD,D,19840502,000000,0.00082901,0.00082901,0.00082901,0.00082901,0,0
NOKXPD,D,19840507,000000,0.00084471,0.00084471,0.00084471,0.00084471,0,0
NOKXPD,D,19840514,000000,0.00083458,0.00083458,0.00083458,0.00083458,0,0
NOKXPD,D,19840521,000000,0.00082403,0.00082403,0.00082403,0.00082403,0,0
NOKXPD,D,19840528,000000,0.00082811,0.00082811,0.00082811,0.00082811,0,0
NOKXPD,D,19840604,000000,0.00082544,0.00082544,0.00082544,0.00082544,0,0
NOKXPD,D,19840611,000000,0.00087495,0.00087495,0.00087495,0.00087495,0,0
NOKXPD,D,19840618,000000,0.00084854,0.00084854,0.00084854,0.00084854,0,0
NOKXPD,D,19840625,000000,0.00086501,0.00086501,0.00086501,0.00086501,0,0
NOKXPD,D,19840702,000000,0.00084806,0.00084806,0.00084806,0.00084806,0,0
NOKXPD,D,19840709,000000,0.00090063,0.00090063,0.00090063,0.00090063,0,0
NOKXPD,D,19840716,000000,0.00089351,0.00089351,0.00089351,0.00089351,0,0
NOKXPD,D,19840723,000000,0.0009531,0.0009531,0.0009531,0.0009531,0,0
NOKXPD,D,19840730,000000,0.0009513,0.0009513,0.0009513,0.0009513,0,0
NOKXPD,D,19840806,000000,0.00089884,0.00089884,0.00089884,0.00089884,0,0
NOKXPD,D,19840813,000000,0.00089351,0.00089351,0.00089351,0.00089351,0,0
NOKXPD,D,19840820,000000,0.00092003,0.00092003,0.00092003,0.00092003,0,0
