<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKXPT,D,19840109,000000,0.00034379,0.00034379,0.00034379,0.00034379,0,0
NOKXPT,D,19840116,000000,0.00033914,0.00033914,0.00033914,0.00033914,0,0
NOKXPT,D,19840123,000000,0.00034527,0.00034527,0.00034527,0.00034527,0,0
NOKXPT,D,19840130,000000,0.00033117,0.00033117,0.00033117,0.00033117,0,0
NOKXPT,D,19840206,000000,0.00032997,0.00032997,0.00032997,0.00032997,0,0
NOKXPT,D,19840213,000000,0.00033581,0.00033581,0.00033581,0.00033581,0,0
NOKXPT,D,19840220,000000,0.00034059,0.00034059,0.00034059,0.00034059,0,0
NOKXPT,D,19840301,000000,0.00032716,0.00032716,0.00032716,0.00032716,0,0
NOKXPT,D,19840305,000000,0.00032602,0.00032602,0.00032602,0.00032602,0,0
NOKXPT,D,19840312,000000,0.00034124,0.00034124,0.00034124,0.00034124,0,0
NOKXPT,D,19840319,000000,0.00034254,0.00034254,0.00034254,0.00034254,0,0
NOKXPT,D,19840326,000000,0.00033353,0.00033353,0.00033353,0.00033353,0,0
NOKXPT,D,19840402,000000,0.00034339,0.00034339,0.00034339,0.00034339,0,0
NOKXPT,D,19840409,000000,0.00033657,0.00033657,0.00033657,0.00033657,0,0
NOKXPT,D,19840416,000000,0.00033782,0.00033782,0.00033782,0.00033782,0,0
NOKXPT,D,19840424,000000,0.00032466,0.00032466,0.00032466,0.00032466,0,0
NOKXPT,D,19840502,000000,0.0003369,0.0003369,0.0003369,0.0003369,0,0
NOKXPT,D,19840507,000000,0.00033634,0.00033634,0.00033634,0.00033634,0,0
NOKXPT,D,19840514,000000,0.00033111,0.00033111,0.00033111,0.00033111,0,0
NOKXPT,D,19840521,000000,0.00032421,0.00032421,0.00032421,0.00032421,0,0
NOKXPT,D,19840528,000000,0.00032581,0.00032581,0.00032581,0.00032581,0,0
NOKXPT,D,19840604,000000,0.00032359,0.00032359,0.00032359,0.00032359,0,0
NOKXPT,D,19840611,000000,0.00034594,0.00034594,0.00034594,0.00034594,0,0
NOKXPT,D,19840618,000000,0.00033395,0.00033395,0.00033395,0.00033395,0,0
NOKXPT,D,19840625,000000,0.00034008,0.00034008,0.00034008,0.00034008,0,0
NOKXPT,D,19840702,000000,0.00033446,0.00033446,0.00033446,0.00033446,0,0
NOKXPT,D,19840709,000000,0.00034813,0.00034813,0.00034813,0.00034813,0,0
NOKXPT,D,19840716,000000,0.00035033,0.00035033,0.00035033,0.00035033,0,0
NOKXPT,D,19840723,000000,0.00036375,0.00036375,0.00036375,0.00036375,0,0
NOKXPT,D,19840730,000000,0.00036436,0.00036436,0.00036436,0.00036436,0,0
NOKXPT,D,19840806,000000,0.0003582,0.0003582,0.0003582,0.0003582,0,0
NOKXPT,D,19840813,000000,0.00035767,0.00035767,0.00035767,0.00035767,0,0
NOKXPT,D,19840820,000000,0.00035936,0.00035936,0.00035936,0.00035936,0,0
NOKXPT,D,19840827,000000,0.00035576,0.00035576,0.00035576,0.00035576,0,0
NOKXPT,D,19840901,000000,0.00035655,0.00035655,0.00035655,0.00035655,0,0
NOKXPT,D,19840910,000000,0.00036893,0.00036893,0.00036893,0.00036893,0,0
NOKXPT,D,19840917,000000,0.00037301,0.00037301,0.00037301,0.00037301,0,0
NOKXPT,D,19840924,000000,0.00035185,0.00035185,0.00035185,0.00035185,0,0
NOKXPT,D,19841001,000000,0.00034809,0.00034809,0.00034809,0.00034809,0,0
NOKXPT,D,19841008,000000,0.00035327,0.00035327,0.00035327,0.00035327,0,0
NOKXPT,D,19841015,000000,0.00034289,0.00034289,0.00034289,0.00034289,0,0
NOKXPT,D,19841022,000000,0.00034176,0.00034176,0.00034176,0.00034176,0,0
NOKXPT,D,19841029,000000,0.00035451,0.00035451,0.00035451,0.00035451,0,0
NOKXPT,D,19841105,000000,0.00033649,0.00033649,0.00033649,0.00033649,0,0
NOKXPT,D,19841112,000000,0.00034998,0.00034998,0.00034998,0.00034998,0,0
NOKXPT,D,19841119,000000,0.00036204,0.00036204,0.00036204,0.00036204,0,0
NOKXPT,D,19841126,000000,0.0003641,0.0003641,0.0003641,0.0003641,0,0
NOKXPT,D,19841201,000000,0.00035743,0.00035743,0.00035743,0.00035743,0,0
NOKXPT,D,19841210,000000,0.00035886,0.00035886,0.00035886,0.00035886,0,0
NOKXPT,D,19841217,000000,0.00037839,0.00037839,0.00037839,0.00037839,0,0
NOKXPT,D,19841224,000000,0.00037732,0.00037732,0.00037732,0.00037732,0,0
NOKXPT,D,19850101,000000,0.00037403,0.00037403,0.00037403,0.00037403,0,0
NOKXPT,D,19850107,000000,0.0003969,0.0003969,0.0003969,0.0003969,0,0
NOKXPT,D,19850114,000000,0.00041111,0.00041111,0.00041111,0.00041111,0,0
NOKXPT,D,19850121,000000,0.00039232,0.00039232,0.00039232,0.00039232,0,0
NOKXPT,D,19850128,000000,0.00039933,0.00039933,0.00039933,0.00039933,0,0
NOKXPT,D,19850204,000000,0.00039773,0.00039773,0.00039773,0.00039773,0,0
NOKXPT,D,19850211,000000,0.0003924,0.0003924,0.0003924,0.0003924,0,0
NOKXPT,D,19850218,000000,0.00038704,0.00038704,0.00038704,0.00038704,0,0
NOKXPT,D,19850225,000000,0.00043481,0.00043481,0.00043481,0.00043481,0,0
NOKXPT,D,19850304,000000,0.00041725,0.00041725,0.00041725,0.00041725,0,0
NOKXPT,D,19850311,000000,0.00042361,0.00042361,0.00042361,0.00042361,0,0
NOKXPT,D,19850318,000000,0.00040874,0.00040874,0.00040874,0.00040874,0,0
NOKXPT,D,19850325,000000,0.00039862,0.00039862,0.00039862,0.00039862,0,0
NOKXPT,D,19850329,000000,0.00038891,0.00038891,0.00038891,0.00038891,0,0
NOKXPT,D,19850401,000000,0.00041392,0.00041392,0.00041392,0.00041392,0,0
NOKXPT,D,19850409,000000,0.00038965,0.00038965,0.00038965,0.00038965,0,0
NOKXPT,D,19850415,000000,0.00037259,0.00037259,0.00037259,0.00037259,0,0
NOKXPT,D,19850422,000000,0.00040274,0.00040274,0.00040274,0.00040274,0,0
NOKXPT,D,19850429,000000,0.00039966,0.00039966,0.00039966,0.00039966,0,0
NOKXPT,D,19850506,000000,0.00043462,0.00043462,0.00043462,0.00043462,0,0
NOKXPT,D,19850513,000000,0.000384,0.000384,0.000384,0.000384,0,0
NOKXPT,D,19850520,000000,0.0004226,0.0004226,0.0004226,0.0004226,0,0
NOKXPT,D,19850527,000000,0.0004259,0.0004259,0.0004259,0.0004259,0,0
NOKXPT,D,19850601,000000,0.0004207,0.0004207,0.0004207,0.0004207,0,0
NOKXPT,D,19850610,000000,0.00043881,0.00043881,0.00043881,0.00043881,0,0
NOKXPT,D,19850617,000000,0.00042411,0.00042411,0.00042411,0.00042411,0,0
NOKXPT,D,19850624,000000,0.00042438,0.00042438,0.00042438,0.00042438,0,0
NOKXPT,D,19850701,000000,0.00045879,0.00045879,0.00045879,0.00045879,0,0
NOKXPT,D,19850708,000000,0.0004326,0.0004326,0.0004326,0.0004326,0,0
NOKXPT,D,19850715,000000,0.00043554,0.00043554,0.00043554,0.00043554,0,0
NOKXPT,D,19850723,000000,0.00044403,0.00044403,0.00044403,0.00044403,0,0
NOKXPT,D,19850729,000000,0.00043508,0.00043508,0.00043508,0.00043508,0,0
NOKXPT,D,19850805,000000,0.00043205,0.00043205,0.00043205,0.00043205,0,0
NOKXPT,D,19850812,000000,0.0004088,0.0004088,0.0004088,0.0004088,0,0
NOKXPT,D,19850819,000000,0.00036507,0.00036507,0.00036507,0.00036507,0,0
NOKXPT,D,19850826,000000,0.00037166,0.00037166,0.00037166,0.00037166,0,0
NOKXPT,D,19850902,000000,0.00036987,0.00036987,0.00036987,0.00036987,0,0
NOKXPT,D,19850909,000000,0.00038544,0.00038544,0.00038544,0.00038544,0,0
NOKXPT,D,19850916,000000,0.00038189,0.00038189,0.00038189,0.00038189,0,0
NOKXPT,D,19850923,000000,0.00037718,0.00037718,0.00037718,0.00037718,0,0
NOKXPT,D,19850930,000000,0.00041042,0.00041042,0.00041042,0.00041042,0,0
NOKXPT,D,19851007,000000,0.00039514,0.00039514,0.00039514,0.00039514,0,0
NOKXPT,D,19851014,000000,0.00039548,0.00039548,0.00039548,0.00039548,0,0
NOKXPT,D,19851021,000000,0.00038794,0.00038794,0.00038794,0.00038794,0,0
NOKXPT,D,19851028,000000,0.00037956,0.00037956,0.00037956,0.00037956,0,0
NOKXPT,D,19851104,000000,0.00039107,0.00039107,0.00039107,0.00039107,0,0
NOKXPT,D,19851111,000000,0.00039097,0.00039097,0.00039097,0.00039097,0,0
NOKXPT,D,19851118,000000,0.00038349,0.00038349,0.00038349,0.00038349,0,0
NOKXPT,D,19851125,000000,0.00036166,0.00036166,0.00036166,0.00036166,0,0
NOKXPT,D,19851202,000000,0.00037352,0.00037352,0.00037352,0.00037352,0,0
NOKXPT,D,19851209,000000,0.00041078,0.00041078,0.00041078,0.00041078,0,0
NOKXPT,D,19851216,000000,0.00038846,0.00038846,0.00038846,0.00038846,0,0
NOKXPT,D,19851223,000000,0.00039115,0.00039115,0.00039115,0.00039115,0,0
NOKXPT,D,19860101,000000,0.00038974,0.00038974,0.00038974,0.00038974,0,0
NOKXPT,D,19860106,000000,0.00036823,0.00036823,0.00036823,0.00036823,0,0
NOKXPT,D,19860113,000000,0.000367,0.000367,0.000367,0.000367,0,0
NOKXPT,D,19860120,000000,0.0003546,0.0003546,0.0003546,0.0003546,0,0
NOKXPT,D,19860127,000000,0.00035304,0.00035304,0.00035304,0.00035304,0,0
NOKXPT,D,19860201,000000,0.00035668,0.00035668,0.00035668,0.00035668,0,0
NOKXPT,D,19860210,000000,0.00037387,0.00037387,0.00037387,0.00037387,0,0
NOKXPT,D,19860217,000000,0.00038006,0.00038006,0.00038006,0.00038006,0,0
NOKXPT,D,19860224,000000,0.00032969,0.00032969,0.00032969,0.00032969,0,0
NOKXPT,D,19860301,000000,0.00034236,0.00034236,0.00034236,0.00034236,0,0
NOKXPT,D,19860303,000000,0.00035715,0.00035715,0.00035715,0.00035715,0,0
NOKXPT,D,19860310,000000,0.00036275,0.00036275,0.00036275,0.00036275,0,0
NOKXPT,D,19860317,000000,0.00033464,0.00033464,0.00033464,0.00033464,0,0
NOKXPT,D,19860318,000000,0.00033216,0.00033216,0.00033216,0.00033216,0,0
NOKXPT,D,19860324,000000,0.0003319,0.0003319,0.0003319,0.0003319,0,0
NOKXPT,D,19860401,000000,0.00034916,0.00034916,0.00034916,0.00034916,0,0
NOKXPT,D,19860407,000000,0.00032757,0.00032757,0.00032757,0.00032757,0,0
NOKXPT,D,19860409,000000,0.00032302,0.00032302,0.00032302,0.00032302,0,0
NOKXPT,D,19860414,000000,0.0003221,0.0003221,0.0003221,0.0003221,0,0
NOKXPT,D,19860421,000000,0.00033449,0.00033449,0.00033449,0.00033449,0,0
NOKXPT,D,19860428,000000,0.00034095,0.00034095,0.00034095,0.00034095,0,0
NOKXPT,D,19860505,000000,0.00035499,0.00035499,0.00035499,0.00035499,0,0
NOKXPT,D,19860512,000000,0.00034242,0.00034242,0.00034242,0.00034242,0,0
NOKXPT,D,19860519,000000,0.00033508,0.00033508,0.00033508,0.00033508,0,0
NOKXPT,D,19860526,000000,0.00033033,0.00033033,0.00033033,0.00033033,0,0
NOKXPT,D,19860602,000000,0.00031124,0.00031124,0.00031124,0.00031124,0,0
NOKXPT,D,19860609,000000,0.00029458,0.00029458,0.00029458,0.00029458,0,0
NOKXPT,D,19860616,000000,0.00031055,0.00031055,0.00031055,0.00031055,0,0
NOKXPT,D,19860623,000000,0.00030296,0.00030296,0.00030296,0.00030296,0,0
NOKXPT,D,19860630,000000,0.00030641,0.00030641,0.00030641,0.00030641,0,0
NOKXPT,D,19860707,000000,0.00030982,0.00030982,0.00030982,0.00030982,0,0
NOKXPT,D,19860714,000000,0.00031054,0.00031054,0.00031054,0.00031054,0,0
NOKXPT,D,19860721,000000,0.00029587,0.00029587,0.00029587,0.00029587,0,0
NOKXPT,D,19860728,000000,0.00030213,0.00030213,0.00030213,0.00030213,0,0
NOKXPT,D,19860804,000000,0.0002869,0.0002869,0.0002869,0.0002869,0,0
NOKXPT,D,19860811,000000,0.00024924,0.00024924,0.00024924,0.00024924,0,0
NOKXPT,D,19860818,000000,0.00025538,0.00025538,0.00025538,0.00025538,0,0
NOKXPT,D,19860825,000000,0.00023422,0.00023422,0.00023422,0.00023422,0,0
NOKXPT,D,19860901,000000,0.0002354,0.0002354,0.0002354,0.0002354,0,0
NOKXPT,D,19860908,000000,0.00021385,0.00021385,0.00021385,0.00021385,0,0
NOKXPT,D,19860915,000000,0.00023679,0.00023679,0.00023679,0.00023679,0,0
NOKXPT,D,19860922,000000,0.00022635,0.00022635,0.00022635,0.00022635,0,0
NOKXPT,D,19860929,000000,0.00024664,0.00024664,0.00024664,0.00024664,0,0
NOKXPT,D,19861006,000000,0.0002234,0.0002234,0.0002234,0.0002234,0,0
NOKXPT,D,19861013,000000,0.00023183,0.00023183,0.00023183,0.00023183,0,0
NOKXPT,D,19861020,000000,0.00023163,0.00023163,0.00023163,0.00023163,0,0
NOKXPT,D,19861027,000000,0.00023862,0.00023862,0.00023862,0.00023862,0,0
NOKXPT,D,19861101,000000,0.00023467,0.00023467,0.00023467,0.00023467,0,0
NOKXPT,D,19861110,000000,0.00024409,0.00024409,0.00024409,0.00024409,0,0
NOKXPT,D,19861117,000000,0.0002791,0.0002791,0.0002791,0.0002791,0,0
NOKXPT,D,19861124,000000,0.00028312,0.00028312,0.00028312,0.00028312,0,0
NOKXPT,D,19861201,000000,0.00027119,0.00027119,0.00027119,0.00027119,0,0
NOKXPT,D,19861208,000000,0.00028196,0.00028196,0.00028196,0.00028196,0,0
NOKXPT,D,19861215,000000,0.00027209,0.00027209,0.00027209,0.00027209,0,0
NOKXPT,D,19861222,000000,0.00027884,0.00027884,0.00027884,0.00027884,0,0
NOKXPT,D,19861231,000000,0.00028476,0.00028476,0.00028476,0.00028476,0,0
NOKXPT,D,19870112,000000,0.00025718,0.00025718,0.00025718,0.00025718,0,0
NOKXPT,D,19870119,000000,0.00025489,0.00025489,0.00025489,0.00025489,0,0
NOKXPT,D,19870126,000000,0.00026618,0.00026618,0.00026618,0.00026618,0,0
NOKXPT,D,19870201,000000,0.00026852,0.00026852,0.00026852,0.00026852,0,0
NOKXPT,D,19870209,000000,0.00027537,0.00027537,0.00027537,0.00027537,0,0
NOKXPT,D,19870216,000000,0.00027279,0.00027279,0.00027279,0.00027279,0,0
NOKXPT,D,19870223,000000,0.00028221,0.00028221,0.00028221,0.00028221,0,0
NOKXPT,D,19870302,000000,0.00027494,0.00027494,0.00027494,0.00027494,0,0
NOKXPT,D,19870309,000000,0.00027427,0.00027427,0.00027427,0.00027427,0,0
NOKXPT,D,19870316,000000,0.00027859,0.00027859,0.00027859,0.00027859,0,0
NOKXPT,D,19870323,000000,0.00027552,0.00027552,0.00027552,0.00027552,0,0
NOKXPT,D,19870330,000000,0.00026015,0.00026015,0.00026015,0.00026015,0,0
NOKXPT,D,19870406,000000,0.00026142,0.00026142,0.00026142,0.00026142,0,0
NOKXPT,D,19870413,000000,0.00025285,0.00025285,0.00025285,0.00025285,0,0
NOKXPT,D,19870421,000000,0.00025105,0.00025105,0.00025105,0.00025105,0,0
NOKXPT,D,19870427,000000,0.00024951,0.00024951,0.00024951,0.00024951,0,0
NOKXPT,D,19870504,000000,0.00023862,0.00023862,0.00023862,0.00023862,0,0
NOKXPT,D,19870511,000000,0.00024845,0.00024845,0.00024845,0.00024845,0,0
NOKXPT,D,19870518,000000,0.00024494,0.00024494,0.00024494,0.00024494,0,0
NOKXPT,D,19870525,000000,0.00024621,0.00024621,0.00024621,0.00024621,0,0
NOKXPT,D,19870601,000000,0.00026748,0.00026748,0.00026748,0.00026748,0,0
NOKXPT,D,19870608,000000,0.00026066,0.00026066,0.00026066,0.00026066,0,0
NOKXPT,D,19870615,000000,0.00025812,0.00025812,0.00025812,0.00025812,0,0
NOKXPT,D,19870622,000000,0.00027296,0.00027296,0.00027296,0.00027296,0,0
NOKXPT,D,19870629,000000,0.00026808,0.00026808,0.00026808,0.00026808,0,0
NOKXPT,D,19870706,000000,0.00026626,0.00026626,0.00026626,0.00026626,0,0
NOKXPT,D,19870713,000000,0.00026436,0.00026436,0.00026436,0.00026436,0,0
NOKXPT,D,19870720,000000,0.00026221,0.00026221,0.00026221,0.00026221,0,0
NOKXPT,D,19870727,000000,0.00025091,0.00025091,0.00025091,0.00025091,0,0
NOKXPT,D,19870803,000000,0.00023317,0.00023317,0.00023317,0.00023317,0,0
NOKXPT,D,19870810,000000,0.0002355,0.0002355,0.0002355,0.0002355,0,0
NOKXPT,D,19870817,000000,0.00024798,0.00024798,0.00024798,0.00024798,0,0
NOKXPT,D,19870824,000000,0.00024412,0.00024412,0.00024412,0.00024412,0,0
NOKXPT,D,19870831,000000,0.00025269,0.00025269,0.00025269,0.00025269,0,0
NOKXPT,D,19870907,000000,0.00025532,0.00025532,0.00025532,0.00025532,0,0
NOKXPT,D,19870914,000000,0.00026379,0.00026379,0.00026379,0.00026379,0,0
NOKXPT,D,19870921,000000,0.0002509,0.0002509,0.0002509,0.0002509,0,0
NOKXPT,D,19870928,000000,0.00025457,0.00025457,0.00025457,0.00025457,0,0
NOKXPT,D,19871005,000000,0.00025796,0.00025796,0.00025796,0.00025796,0,0
