<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPCAD,D,19931025,000000,0.04499,0.04499,0.04499,0.04499,0,0
PHPCAD,D,19931026,000000,0.045073,0.045073,0.045073,0.045073,0,0
PHPCAD,D,19931027,000000,0.04542,0.04542,0.04542,0.04542,0,0
PHPCAD,D,19931028,000000,0.045464,0.045464,0.045464,0.045464,0,0
PHPCAD,D,19931029,000000,0.046176,0.046176,0.046176,0.046176,0,0
PHPCAD,D,19931102,000000,0.046194,0.046194,0.046194,0.046194,0,0
PHPCAD,D,19931103,000000,0.04582,0.04582,0.04582,0.04582,0,0
PHPCAD,D,19931104,000000,0.045909,0.045909,0.045909,0.045909,0,0
PHPCAD,D,19931105,000000,0.046316,0.046316,0.046316,0.046316,0,0
PHPCAD,D,19931108,000000,0.046502,0.046502,0.046502,0.046502,0,0
PHPCAD,D,19931109,000000,0.046679,0.046679,0.046679,0.046679,0,0
PHPCAD,D,19931110,000000,0.04668,0.04668,0.04668,0.04668,0,0
PHPCAD,D,19931112,000000,0.04703,0.04703,0.04703,0.04703,0,0
PHPCAD,D,19931115,000000,0.046707,0.046707,0.046707,0.046707,0,0
PHPCAD,D,19931116,000000,0.0468,0.0468,0.0468,0.0468,0,0
PHPCAD,D,19931117,000000,0.046438,0.046438,0.046438,0.046438,0,0
PHPCAD,D,19931118,000000,0.046295,0.046295,0.046295,0.046295,0,0
PHPCAD,D,19931119,000000,0.046323,0.046323,0.046323,0.046323,0,0
PHPCAD,D,19931122,000000,0.046586,0.046586,0.046586,0.046586,0,0
PHPCAD,D,19931123,000000,0.046718,0.046718,0.046718,0.046718,0,0
PHPCAD,D,19931124,000000,0.046994,0.046994,0.046994,0.046994,0,0
PHPCAD,D,19931125,000000,0.047348,0.047348,0.047348,0.047348,0,0
PHPCAD,D,19931126,000000,0.047331,0.047331,0.047331,0.047331,0,0
PHPCAD,D,19931129,000000,0.04786,0.04786,0.04786,0.04786,0,0
PHPCAD,D,19931130,000000,0.047945,0.047945,0.047945,0.047945,0,0
PHPCAD,D,19931201,000000,0.048148,0.048148,0.048148,0.048148,0,0
PHPCAD,D,19931202,000000,0.048496,0.048496,0.048496,0.048496,0,0
PHPCAD,D,19931203,000000,0.048493,0.048493,0.048493,0.048493,0,0
PHPCAD,D,19931206,000000,0.048124,0.048124,0.048124,0.048124,0,0
PHPCAD,D,19931207,000000,0.048126,0.048126,0.048126,0.048126,0,0
PHPCAD,D,19931208,000000,0.048141,0.048141,0.048141,0.048141,0,0
PHPCAD,D,19931209,000000,0.048174,0.048174,0.048174,0.048174,0,0
PHPCAD,D,19931210,000000,0.047911,0.047911,0.047911,0.047911,0,0
PHPCAD,D,19931213,000000,0.048137,0.048137,0.048137,0.048137,0,0
PHPCAD,D,19931214,000000,0.048006,0.048006,0.048006,0.048006,0,0
PHPCAD,D,19931215,000000,0.047965,0.047965,0.047965,0.047965,0,0
PHPCAD,D,19931216,000000,0.048239,0.048239,0.048239,0.048239,0,0
PHPCAD,D,19931217,000000,0.048093,0.048093,0.048093,0.048093,0,0
PHPCAD,D,19931220,000000,0.048169,0.048169,0.048169,0.048169,0,0
PHPCAD,D,19931221,000000,0.04877,0.04877,0.04877,0.04877,0,0
PHPCAD,D,19931222,000000,0.048846,0.048846,0.048846,0.048846,0,0
PHPCAD,D,19931223,000000,0.049092,0.049092,0.049092,0.049092,0,0
PHPCAD,D,19931224,000000,0.048528,0.048528,0.048528,0.048528,0,0
PHPCAD,D,19931227,000000,0.048625,0.048625,0.048625,0.048625,0,0
PHPCAD,D,19931228,000000,0.048571,0.048571,0.048571,0.048571,0,0
PHPCAD,D,19931229,000000,0.048565,0.048565,0.048565,0.048565,0,0
PHPCAD,D,19931230,000000,0.048732,0.048732,0.048732,0.048732,0,0
PHPCAD,D,19931231,000000,0.048776,0.048776,0.048776,0.048776,0,0
PHPCAD,D,19940103,000000,0.048303,0.048303,0.048303,0.048303,0,0
PHPCAD,D,19940104,000000,0.048177,0.048177,0.048177,0.048177,0,0
PHPCAD,D,19940105,000000,0.047838,0.047838,0.047838,0.047838,0,0
PHPCAD,D,19940106,000000,0.047809,0.047809,0.047809,0.047809,0,0
PHPCAD,D,19940107,000000,0.04804,0.04804,0.04804,0.04804,0,0
PHPCAD,D,19940110,000000,0.048122,0.048122,0.048122,0.048122,0,0
PHPCAD,D,19940111,000000,0.048052,0.048052,0.048052,0.048052,0,0
PHPCAD,D,19940112,000000,0.048159,0.048159,0.048159,0.048159,0,0
PHPCAD,D,19940113,000000,0.047949,0.047949,0.047949,0.047949,0,0
PHPCAD,D,19940114,000000,0.04806,0.04806,0.04806,0.04806,0,0
PHPCAD,D,19940117,000000,0.047829,0.047829,0.047829,0.047829,0,0
PHPCAD,D,19940118,000000,0.047717,0.047717,0.047717,0.047717,0,0
PHPCAD,D,19940119,000000,0.047515,0.047515,0.047515,0.047515,0,0
PHPCAD,D,19940120,000000,0.047404,0.047404,0.047404,0.047404,0,0
PHPCAD,D,19940121,000000,0.04731,0.04731,0.04731,0.04731,0,0
PHPCAD,D,19940124,000000,0.047461,0.047461,0.047461,0.047461,0,0
PHPCAD,D,19940125,000000,0.047602,0.047602,0.047602,0.047602,0,0
PHPCAD,D,19940126,000000,0.047683,0.047683,0.047683,0.047683,0,0
PHPCAD,D,19940127,000000,0.047785,0.047785,0.047785,0.047785,0,0
PHPCAD,D,19940128,000000,0.04771,0.04771,0.04771,0.04771,0,0
PHPCAD,D,19940131,000000,0.047972,0.047972,0.047972,0.047972,0,0
PHPCAD,D,19940201,000000,0.048165,0.048165,0.048165,0.048165,0,0
PHPCAD,D,19940202,000000,0.048439,0.048439,0.048439,0.048439,0,0
PHPCAD,D,19940203,000000,0.048451,0.048451,0.048451,0.048451,0,0
PHPCAD,D,19940204,000000,0.048299,0.048299,0.048299,0.048299,0,0
PHPCAD,D,19940207,000000,0.048506,0.048506,0.048506,0.048506,0,0
PHPCAD,D,19940208,000000,0.048913,0.048913,0.048913,0.048913,0,0
PHPCAD,D,19940209,000000,0.04906,0.04906,0.04906,0.04906,0,0
PHPCAD,D,19940210,000000,0.049032,0.049032,0.049032,0.049032,0,0
PHPCAD,D,19940211,000000,0.049033,0.049033,0.049033,0.049033,0,0
PHPCAD,D,19940214,000000,0.049098,0.049098,0.049098,0.049098,0,0
PHPCAD,D,19940215,000000,0.049195,0.049195,0.049195,0.049195,0,0
PHPCAD,D,19940216,000000,0.049183,0.049183,0.049183,0.049183,0,0
PHPCAD,D,19940217,000000,0.049109,0.049109,0.049109,0.049109,0,0
