<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPEUR,D,19931025,000000,0.030117,0.030117,0.030117,0.030117,0,0
PHPEUR,D,19931026,000000,0.030195,0.030195,0.030195,0.030195,0,0
PHPEUR,D,19931027,000000,0.030302,0.030302,0.030302,0.030302,0,0
PHPEUR,D,19931028,000000,0.030196,0.030196,0.030196,0.030196,0,0
PHPEUR,D,19931029,000000,0.030781,0.030781,0.030781,0.030781,0,0
PHPEUR,D,19931102,000000,0.030664,0.030664,0.030664,0.030664,0,0
PHPEUR,D,19931103,000000,0.03098,0.03098,0.03098,0.03098,0,0
PHPEUR,D,19931104,000000,0.030994,0.030994,0.030994,0.030994,0,0
PHPEUR,D,19931105,000000,0.031159,0.031159,0.031159,0.031159,0,0
PHPEUR,D,19931108,000000,0.031812,0.031812,0.031812,0.031812,0,0
PHPEUR,D,19931109,000000,0.031699,0.031699,0.031699,0.031699,0,0
PHPEUR,D,19931110,000000,0.031782,0.031782,0.031782,0.031782,0,0
PHPEUR,D,19931112,000000,0.03184,0.03184,0.03184,0.03184,0,0
PHPEUR,D,19931115,000000,0.031512,0.031512,0.031512,0.031512,0,0
PHPEUR,D,19931116,000000,0.031228,0.031228,0.031228,0.031228,0,0
PHPEUR,D,19931117,000000,0.031089,0.031089,0.031089,0.031089,0,0
PHPEUR,D,19931118,000000,0.031334,0.031334,0.031334,0.031334,0,0
PHPEUR,D,19931119,000000,0.0313,0.0313,0.0313,0.0313,0,0
PHPEUR,D,19931122,000000,0.03142,0.03142,0.03142,0.03142,0,0
PHPEUR,D,19931123,000000,0.031364,0.031364,0.031364,0.031364,0,0
PHPEUR,D,19931124,000000,0.03155,0.03155,0.03155,0.03155,0,0
PHPEUR,D,19931125,000000,0.03151,0.03151,0.03151,0.03151,0,0
PHPEUR,D,19931126,000000,0.031628,0.031628,0.031628,0.031628,0,0
PHPEUR,D,19931129,000000,0.032052,0.032052,0.032052,0.032052,0,0
PHPEUR,D,19931130,000000,0.032107,0.032107,0.032107,0.032107,0,0
PHPEUR,D,19931201,000000,0.032039,0.032039,0.032039,0.032039,0,0
PHPEUR,D,19931202,000000,0.03246,0.03246,0.03246,0.03246,0,0
PHPEUR,D,19931203,000000,0.03241,0.03241,0.03241,0.03241,0,0
PHPEUR,D,19931206,000000,0.032445,0.032445,0.032445,0.032445,0,0
PHPEUR,D,19931207,000000,0.032148,0.032148,0.032148,0.032148,0,0
PHPEUR,D,19931208,000000,0.032094,0.032094,0.032094,0.032094,0,0
PHPEUR,D,19931209,000000,0.032214,0.032214,0.032214,0.032214,0,0
PHPEUR,D,19931210,000000,0.032039,0.032039,0.032039,0.032039,0,0
PHPEUR,D,19931213,000000,0.031905,0.031905,0.031905,0.031905,0,0
PHPEUR,D,19931214,000000,0.031774,0.031774,0.031774,0.031774,0,0
PHPEUR,D,19931215,000000,0.032027,0.032027,0.032027,0.032027,0,0
PHPEUR,D,19931216,000000,0.032083,0.032083,0.032083,0.032083,0,0
PHPEUR,D,19931217,000000,0.032038,0.032038,0.032038,0.032038,0,0
PHPEUR,D,19931220,000000,0.031956,0.031956,0.031956,0.031956,0,0
PHPEUR,D,19931221,000000,0.032261,0.032261,0.032261,0.032261,0,0
PHPEUR,D,19931222,000000,0.032149,0.032149,0.032149,0.032149,0,0
PHPEUR,D,19931223,000000,0.032208,0.032208,0.032208,0.032208,0,0
PHPEUR,D,19931224,000000,0.032086,0.032086,0.032086,0.032086,0,0
PHPEUR,D,19931227,000000,0.031972,0.031972,0.031972,0.031972,0,0
PHPEUR,D,19931228,000000,0.032157,0.032157,0.032157,0.032157,0,0
PHPEUR,D,19931229,000000,0.032149,0.032149,0.032149,0.032149,0,0
PHPEUR,D,19931230,000000,0.032308,0.032308,0.032308,0.032308,0,0
PHPEUR,D,19931231,000000,0.032563,0.032563,0.032563,0.032563,0,0
