<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPXAG,D,19931025,000000,0.0078015,0.0078015,0.0078015,0.0078015,0,0
PHPXAG,D,19931026,000000,0.0078545,0.0078545,0.0078545,0.0078545,0,0
PHPXAG,D,19931027,000000,0.0077321,0.0077321,0.0077321,0.0077321,0,0
PHPXAG,D,19931028,000000,0.0078548,0.0078548,0.0078548,0.0078548,0,0
PHPXAG,D,19931029,000000,0.0080014,0.0080014,0.0080014,0.0080014,0,0
PHPXAG,D,19931102,000000,0.0083447,0.0083447,0.0083447,0.0083447,0,0
PHPXAG,D,19931103,000000,0.0081127,0.0081127,0.0081127,0.0081127,0,0
PHPXAG,D,19931104,000000,0.0080106,0.0080106,0.0080106,0.0080106,0,0
PHPXAG,D,19931105,000000,0.0078525,0.0078525,0.0078525,0.0078525,0,0
PHPXAG,D,19931108,000000,0.0079932,0.0079932,0.0079932,0.0079932,0,0
PHPXAG,D,19931109,000000,0.007941,0.007941,0.007941,0.007941,0,0
PHPXAG,D,19931110,000000,0.0078536,0.0078536,0.0078536,0.0078536,0,0
PHPXAG,D,19931112,000000,0.0079757,0.0079757,0.0079757,0.0079757,0,0
PHPXAG,D,19931115,000000,0.0078211,0.0078211,0.0078211,0.0078211,0,0
PHPXAG,D,19931116,000000,0.0077769,0.0077769,0.0077769,0.0077769,0,0
PHPXAG,D,19931117,000000,0.007655,0.007655,0.007655,0.007655,0,0
PHPXAG,D,19931118,000000,0.0075397,0.0075397,0.0075397,0.0075397,0,0
PHPXAG,D,19931119,000000,0.0074761,0.0074761,0.0074761,0.0074761,0,0
PHPXAG,D,19931122,000000,0.0074921,0.0074921,0.0074921,0.0074921,0,0
PHPXAG,D,19931123,000000,0.0074762,0.0074762,0.0074762,0.0074762,0,0
PHPXAG,D,19931124,000000,0.0075476,0.0075476,0.0075476,0.0075476,0,0
PHPXAG,D,19931125,000000,0.0075881,0.0075881,0.0075881,0.0075881,0,0
PHPXAG,D,19931126,000000,0.0075874,0.0075874,0.0075874,0.0075874,0,0
PHPXAG,D,19931129,000000,0.0080118,0.0080118,0.0080118,0.0080118,0,0
PHPXAG,D,19931130,000000,0.0080648,0.0080648,0.0080648,0.0080648,0,0
PHPXAG,D,19931201,000000,0.0076696,0.0076696,0.0076696,0.0076696,0,0
PHPXAG,D,19931202,000000,0.0077916,0.0077916,0.0077916,0.0077916,0,0
PHPXAG,D,19931203,000000,0.0074706,0.0074706,0.0074706,0.0074706,0,0
PHPXAG,D,19931206,000000,0.0074549,0.0074549,0.0074549,0.0074549,0,0
PHPXAG,D,19931207,000000,0.0073193,0.0073193,0.0073193,0.0073193,0,0
PHPXAG,D,19931208,000000,0.0072583,0.0072583,0.0072583,0.0072583,0,0
PHPXAG,D,19931209,000000,0.0072726,0.0072726,0.0072726,0.0072726,0,0
PHPXAG,D,19931210,000000,0.0071602,0.0071602,0.0071602,0.0071602,0,0
PHPXAG,D,19931213,000000,0.007008,0.007008,0.007008,0.007008,0,0
PHPXAG,D,19931214,000000,0.007079,0.007079,0.007079,0.007079,0,0
PHPXAG,D,19931215,000000,0.0070789,0.0070789,0.0070789,0.0070789,0,0
PHPXAG,D,19931216,000000,0.0072058,0.0072058,0.0072058,0.0072058,0,0
PHPXAG,D,19931217,000000,0.007177,0.007177,0.007177,0.007177,0,0
PHPXAG,D,19931220,000000,0.0070645,0.0070645,0.0070645,0.0070645,0,0
PHPXAG,D,19931221,000000,0.0071863,0.0071863,0.0071863,0.0071863,0,0
PHPXAG,D,19931222,000000,0.0072006,0.0072006,0.0072006,0.0072006,0,0
PHPXAG,D,19931223,000000,0.007227,0.007227,0.007227,0.007227,0,0
PHPXAG,D,19931224,000000,0.0072704,0.0072704,0.0072704,0.0072704,0,0
PHPXAG,D,19931227,000000,0.0071564,0.0071564,0.0071564,0.0071564,0,0
PHPXAG,D,19931228,000000,0.0071844,0.0071844,0.0071844,0.0071844,0,0
PHPXAG,D,19931229,000000,0.0071417,0.0071417,0.0071417,0.0071417,0,0
PHPXAG,D,19931230,000000,0.0071698,0.0071698,0.0071698,0.0071698,0,0
PHPXAG,D,19931231,000000,0.0071564,0.0071564,0.0071564,0.0071564,0,0
PHPXAG,D,19940103,000000,0.006966,0.006966,0.006966,0.006966,0,0
PHPXAG,D,19940104,000000,0.0070067,0.0070067,0.0070067,0.0070067,0,0
PHPXAG,D,19940105,000000,0.0072149,0.0072149,0.0072149,0.0072149,0,0
PHPXAG,D,19940106,000000,0.0071304,0.0071304,0.0071304,0.0071304,0,0
PHPXAG,D,19940107,000000,0.0072728,0.0072728,0.0072728,0.0072728,0,0
PHPXAG,D,19940110,000000,0.0072706,0.0072706,0.0072706,0.0072706,0,0
PHPXAG,D,19940111,000000,0.0071423,0.0071423,0.0071423,0.0071423,0,0
PHPXAG,D,19940112,000000,0.0071988,0.0071988,0.0071988,0.0071988,0,0
PHPXAG,D,19940113,000000,0.0070065,0.0070065,0.0070065,0.0070065,0,0
PHPXAG,D,19940114,000000,0.0069663,0.0069663,0.0069663,0.0069663,0,0
