<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPXPT,D,19931025,000000,0.00009307,0.00009307,0.00009307,0.00009307,0,0
PHPXPT,D,19931026,000000,0.00009345,0.00009345,0.00009345,0.00009345,0,0
PHPXPT,D,19931027,000000,0.00009293,0.00009293,0.00009293,0.00009293,0,0
PHPXPT,D,19931028,000000,0.00009353,0.00009353,0.00009353,0.00009353,0,0
PHPXPT,D,19931029,000000,0.00009497,0.00009497,0.00009497,0.00009497,0,0
PHPXPT,D,19931102,000000,0.00009587,0.00009587,0.00009587,0.00009587,0,0
PHPXPT,D,19931103,000000,0.00009468,0.00009468,0.00009468,0.00009468,0,0
PHPXPT,D,19931104,000000,0.0000946,0.0000946,0.0000946,0.0000946,0,0
PHPXPT,D,19931105,000000,0.00009423,0.00009423,0.00009423,0.00009423,0,0
PHPXPT,D,19931108,000000,0.00009641,0.00009641,0.00009641,0.00009641,0,0
PHPXPT,D,19931109,000000,0.00009606,0.00009606,0.00009606,0.00009606,0,0
PHPXPT,D,19931110,000000,0.000096,0.000096,0.000096,0.000096,0,0
PHPXPT,D,19931112,000000,0.00009651,0.00009651,0.00009651,0.00009651,0,0
PHPXPT,D,19931115,000000,0.00009495,0.00009495,0.00009495,0.00009495,0,0
PHPXPT,D,19931116,000000,0.00009487,0.00009487,0.00009487,0.00009487,0,0
PHPXPT,D,19931117,000000,0.00009428,0.00009428,0.00009428,0.00009428,0,0
PHPXPT,D,19931118,000000,0.00009427,0.00009427,0.00009427,0.00009427,0,0
PHPXPT,D,19931119,000000,0.0000939,0.0000939,0.0000939,0.0000939,0,0
PHPXPT,D,19931122,000000,0.00009368,0.00009368,0.00009368,0.00009368,0,0
PHPXPT,D,19931123,000000,0.00009538,0.00009538,0.00009538,0.00009538,0,0
PHPXPT,D,19931124,000000,0.00009547,0.00009547,0.00009547,0.00009547,0,0
PHPXPT,D,19931125,000000,0.00009598,0.00009598,0.00009598,0.00009598,0,0
PHPXPT,D,19931126,000000,0.00009597,0.00009597,0.00009597,0.00009597,0,0
PHPXPT,D,19931129,000000,0.00009951,0.00009951,0.00009951,0.00009951,0,0
PHPXPT,D,19931130,000000,0.00009914,0.00009914,0.00009914,0.00009914,0,0
PHPXPT,D,19931201,000000,0.00009722,0.00009722,0.00009722,0.00009722,0,0
