<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLN_I,D,19840102,000000,100,100,100,100,0,0
PLN_I,D,19840109,000000,100.487,100.487,100.487,100.487,0,0
PLN_I,D,19840116,000000,100.301,100.301,100.301,100.301,0,0
PLN_I,D,19840123,000000,99.9431,99.9431,99.9431,99.9431,0,0
PLN_I,D,19840130,000000,100.301,100.301,100.301,100.301,0,0
PLN_I,D,19840206,000000,99.9405,99.9405,99.9405,99.9405,0,0
PLN_I,D,19840213,000000,99.9405,99.9405,99.9405,99.9405,0,0
PLN_I,D,19840220,000000,100.375,100.375,100.375,100.375,0,0
PLN_I,D,19840301,000000,87.4918,87.4918,87.4918,87.4918,0,0
PLN_I,D,19840305,000000,87.4199,87.4199,87.4199,87.4199,0,0
PLN_I,D,19840312,000000,87.5922,87.5922,87.5922,87.5922,0,0
PLN_I,D,19840319,000000,88.0016,88.0016,88.0016,88.0016,0,0
PLN_I,D,19840326,000000,87.5336,87.5336,87.5336,87.5336,0,0
PLN_I,D,19840402,000000,87.5336,87.5336,87.5336,87.5336,0,0
PLN_I,D,19840409,000000,88.0826,88.0826,88.0826,88.0826,0,0
PLN_I,D,19840416,000000,88.5197,88.5197,88.5197,88.5197,0,0
PLN_I,D,19840424,000000,88.5926,88.5926,88.5926,88.5926,0,0
PLN_I,D,19840502,000000,89.0146,89.0146,89.0146,89.0146,0,0
PLN_I,D,19840507,000000,89.5479,89.5479,89.5479,89.5479,0,0
PLN_I,D,19840514,000000,89.2631,89.2631,89.2631,89.2631,0,0
PLN_I,D,19840521,000000,89.4077,89.4077,89.4077,89.4077,0,0
PLN_I,D,19840528,000000,89.2631,89.2631,89.2631,89.2631,0,0
PLN_I,D,19840604,000000,88.9954,88.9954,88.9954,88.9954,0,0
PLN_I,D,19840611,000000,89.1588,89.1588,89.1588,89.1588,0,0
PLN_I,D,19840618,000000,89.5534,89.5534,89.5534,89.5534,0,0
PLN_I,D,19840625,000000,90.1294,90.1294,90.1294,90.1294,0,0
