<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLNBTC,D,20100719,000000,3.8856,3.8856,3.8856,3.8856,0,0
PLNBTC,D,20100720,000000,4.198,4.198,4.198,4.198,0,0
PLNBTC,D,20100721,000000,3.9463,3.9463,3.9463,3.9463,0,0
PLNBTC,D,20100722,000000,6.25,6.25,6.25,6.25,0,0
PLNBTC,D,20100723,000000,5.05,5.05,5.05,5.05,0,0
PLNBTC,D,20100726,000000,5.768,5.768,5.768,5.768,0,0
PLNBTC,D,20100727,000000,5.4069,5.4069,5.4069,5.4069,0,0
PLNBTC,D,20100728,000000,5.5203,5.5203,5.5203,5.5203,0,0
PLNBTC,D,20100729,000000,4.6707,4.6707,4.6707,4.6707,0,0
PLNBTC,D,20100730,000000,5.1997,5.1997,5.1997,5.1997,0,0
PLNBTC,D,20100802,000000,5.5188,5.5188,5.5188,5.5188,0,0
PLNBTC,D,20100803,000000,5.5133,5.5133,5.5133,5.5133,0,0
PLNBTC,D,20100804,000000,5.7978,5.7978,5.7978,5.7978,0,0
PLNBTC,D,20100805,000000,5.4139,5.4139,5.4139,5.4139,0,0
PLNBTC,D,20100806,000000,5.3385,5.3385,5.3385,5.3385,0,0
PLNBTC,D,20100809,000000,4.7026,4.7026,4.7026,4.7026,0,0
PLNBTC,D,20100810,000000,4.7001,4.7001,4.7001,4.7001,0,0
PLNBTC,D,20100811,000000,4.8061,4.8061,4.8061,4.8061,0,0
PLNBTC,D,20100812,000000,4.5922,4.5922,4.5922,4.5922,0,0
PLNBTC,D,20100813,000000,4.9689,4.9689,4.9689,4.9689,0,0
PLNBTC,D,20100816,000000,4.9317,4.9317,4.9317,4.9317,0,0
PLNBTC,D,20100817,000000,4.6633,4.6633,4.6633,4.6633,0,0
PLNBTC,D,20100818,000000,4.8181,4.8181,4.8181,4.8181,0,0
PLNBTC,D,20100819,000000,4.8532,4.8532,4.8532,4.8532,0,0
PLNBTC,D,20100820,000000,4.8847,4.8847,4.8847,4.8847,0,0
PLNBTC,D,20100823,000000,4.8693,4.8693,4.8693,4.8693,0,0
PLNBTC,D,20100824,000000,4.8662,4.8662,4.8662,4.8662,0,0
PLNBTC,D,20100825,000000,4.8876,4.8876,4.8876,4.8876,0,0
PLNBTC,D,20100826,000000,4.986,4.986,4.986,4.986,0,0
PLNBTC,D,20100827,000000,4.9434,4.9434,4.9434,4.9434,0,0
PLNBTC,D,20100830,000000,4.8893,4.8893,4.8893,4.8893,0,0
PLNBTC,D,20100831,000000,5.298,5.298,5.298,5.298,0,0
PLNBTC,D,20100901,000000,5.1293,5.1293,5.1293,5.1293,0,0
PLNBTC,D,20100902,000000,5.0994,5.0994,5.0994,5.0994,0,0
PLNBTC,D,20100903,000000,5.3839,5.3839,5.3839,5.3839,0,0
PLNBTC,D,20100906,000000,5.3291,5.3291,5.3291,5.3291,0,0
PLNBTC,D,20100907,000000,5.2955,5.2955,5.2955,5.2955,0,0
PLNBTC,D,20100908,000000,5.2238,5.2238,5.2238,5.2238,0,0
PLNBTC,D,20100909,000000,5.2748,5.2748,5.2748,5.2748,0,0
PLNBTC,D,20100910,000000,5.2249,5.2249,5.2249,5.2249,0,0
PLNBTC,D,20100913,000000,5.2618,5.2618,5.2618,5.2618,0,0
PLNBTC,D,20100914,000000,5.351,5.351,5.351,5.351,0,0
PLNBTC,D,20100915,000000,5.4657,5.4657,5.4657,5.4657,0,0
PLNBTC,D,20100916,000000,5.3476,5.3476,5.3476,5.3476,0,0
