<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLNXPD,D,19840102,000000,0.715331,0.715331,0.715331,0.715331,0,0
PLNXPD,D,19840109,000000,0.708105,0.708105,0.708105,0.708105,0,0
PLNXPD,D,19840116,000000,0.65859,0.65859,0.65859,0.65859,0,0
PLNXPD,D,19840123,000000,0.662291,0.662291,0.662291,0.662291,0,0
PLNXPD,D,19840130,000000,0.640873,0.640873,0.640873,0.640873,0,0
PLNXPD,D,19840206,000000,0.646389,0.646389,0.646389,0.646389,0,0
PLNXPD,D,19840213,000000,0.643124,0.643124,0.643124,0.643124,0,0
PLNXPD,D,19840220,000000,0.654717,0.654717,0.654717,0.654717,0,0
PLNXPD,D,19840301,000000,0.57867,0.57867,0.57867,0.57867,0,0
PLNXPD,D,19840305,000000,0.564573,0.564573,0.564573,0.564573,0,0
PLNXPD,D,19840312,000000,0.58256,0.58256,0.58256,0.58256,0,0
PLNXPD,D,19840319,000000,0.587239,0.587239,0.587239,0.587239,0,0
PLNXPD,D,19840326,000000,0.566541,0.566541,0.566541,0.566541,0,0
PLNXPD,D,19840402,000000,0.578602,0.578602,0.578602,0.578602,0,0
PLNXPD,D,19840409,000000,0.577348,0.577348,0.577348,0.577348,0,0
PLNXPD,D,19840416,000000,0.581056,0.581056,0.581056,0.581056,0,0
PLNXPD,D,19840424,000000,0.550111,0.550111,0.550111,0.550111,0,0
PLNXPD,D,19840502,000000,0.57736,0.57736,0.57736,0.57736,0,0
PLNXPD,D,19840507,000000,0.590891,0.590891,0.590891,0.590891,0,0
PLNXPD,D,19840514,000000,0.589232,0.589232,0.589232,0.589232,0,0
PLNXPD,D,19840521,000000,0.583298,0.583298,0.583298,0.583298,0,0
PLNXPD,D,19840528,000000,0.582511,0.582511,0.582511,0.582511,0,0
PLNXPD,D,19840604,000000,0.580268,0.580268,0.580268,0.580268,0,0
PLNXPD,D,19840611,000000,0.610052,0.610052,0.610052,0.610052,0,0
PLNXPD,D,19840618,000000,0.593599,0.593599,0.593599,0.593599,0,0
PLNXPD,D,19840625,000000,0.609457,0.609457,0.609457,0.609457,0,0
