<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBAUD,D,19951023,000000,0.29648,0.29648,0.29648,0.29648,0,0
RUBAUD,D,19951024,000000,0.29628,0.29628,0.29628,0.29628,0,0
RUBAUD,D,19951025,000000,0.29572,0.29572,0.29572,0.29572,0,0
RUBAUD,D,19951026,000000,0.29291,0.29291,0.29291,0.29291,0,0
RUBAUD,D,19951027,000000,0.29392,0.29392,0.29392,0.29392,0,0
RUBAUD,D,19951030,000000,0.29202,0.29202,0.29202,0.29202,0,0
RUBAUD,D,19951031,000000,0.29166,0.29166,0.29166,0.29166,0,0
RUBAUD,D,19951102,000000,0.29136,0.29136,0.29136,0.29136,0,0
RUBAUD,D,19951103,000000,0.29198,0.29198,0.29198,0.29198,0,0
RUBAUD,D,19951106,000000,0.29216,0.29216,0.29216,0.29216,0,0
RUBAUD,D,19951107,000000,0.29431,0.29431,0.29431,0.29431,0,0
RUBAUD,D,19951108,000000,0.29464,0.29464,0.29464,0.29464,0,0
RUBAUD,D,19951109,000000,0.29965,0.29965,0.29965,0.29965,0,0
RUBAUD,D,19951110,000000,0.29878,0.29878,0.29878,0.29878,0,0
RUBAUD,D,19951113,000000,0.29886,0.29886,0.29886,0.29886,0,0
RUBAUD,D,19951114,000000,0.2968,0.2968,0.2968,0.2968,0,0
RUBAUD,D,19951115,000000,0.2986,0.2986,0.2986,0.2986,0,0
RUBAUD,D,19951116,000000,0.29917,0.29917,0.29917,0.29917,0,0
RUBAUD,D,19951117,000000,0.29701,0.29701,0.29701,0.29701,0,0
RUBAUD,D,19951120,000000,0.29442,0.29442,0.29442,0.29442,0,0
RUBAUD,D,19951121,000000,0.29465,0.29465,0.29465,0.29465,0,0
RUBAUD,D,19951122,000000,0.29503,0.29503,0.29503,0.29503,0,0
RUBAUD,D,19951123,000000,0.29626,0.29626,0.29626,0.29626,0,0
RUBAUD,D,19951124,000000,0.29584,0.29584,0.29584,0.29584,0,0
RUBAUD,D,19951127,000000,0.2951,0.2951,0.2951,0.2951,0,0
RUBAUD,D,19951128,000000,0.29123,0.29123,0.29123,0.29123,0,0
RUBAUD,D,19951129,000000,0.29115,0.29115,0.29115,0.29115,0,0
RUBAUD,D,19951130,000000,0.29355,0.29355,0.29355,0.29355,0,0
RUBAUD,D,19951201,000000,0.29405,0.29405,0.29405,0.29405,0,0
RUBAUD,D,19951204,000000,0.29477,0.29477,0.29477,0.29477,0,0
RUBAUD,D,19951205,000000,0.29536,0.29536,0.29536,0.29536,0,0
RUBAUD,D,19951206,000000,0.29411,0.29411,0.29411,0.29411,0,0
RUBAUD,D,19951207,000000,0.29353,0.29353,0.29353,0.29353,0,0
RUBAUD,D,19951208,000000,0.29609,0.29609,0.29609,0.29609,0,0
RUBAUD,D,19951211,000000,0.29618,0.29618,0.29618,0.29618,0,0
RUBAUD,D,19951212,000000,0.29458,0.29458,0.29458,0.29458,0,0
RUBAUD,D,19951213,000000,0.29097,0.29097,0.29097,0.29097,0,0
RUBAUD,D,19951214,000000,0.29162,0.29162,0.29162,0.29162,0,0
RUBAUD,D,19951215,000000,0.29188,0.29188,0.29188,0.29188,0,0
RUBAUD,D,19951218,000000,0.291,0.291,0.291,0.291,0,0
RUBAUD,D,19951219,000000,0.29068,0.29068,0.29068,0.29068,0,0
RUBAUD,D,19951220,000000,0.29066,0.29066,0.29066,0.29066,0,0
RUBAUD,D,19951221,000000,0.2906,0.2906,0.2906,0.2906,0,0
RUBAUD,D,19951222,000000,0.29089,0.29089,0.29089,0.29089,0,0
RUBAUD,D,19951227,000000,0.2884,0.2884,0.2884,0.2884,0,0
RUBAUD,D,19951228,000000,0.28976,0.28976,0.28976,0.28976,0,0
RUBAUD,D,19951229,000000,0.2895,0.2895,0.2895,0.2895,0,0
RUBAUD,D,19960102,000000,0.29029,0.29029,0.29029,0.29029,0,0
RUBAUD,D,19960103,000000,0.28854,0.28854,0.28854,0.28854,0,0
RUBAUD,D,19960104,000000,0.28883,0.28883,0.28883,0.28883,0,0
RUBAUD,D,19960105,000000,0.28951,0.28951,0.28951,0.28951,0,0
RUBAUD,D,19960108,000000,0.28907,0.28907,0.28907,0.28907,0,0
RUBAUD,D,19960109,000000,0.28879,0.28879,0.28879,0.28879,0,0
RUBAUD,D,19960110,000000,0.28807,0.28807,0.28807,0.28807,0,0
RUBAUD,D,19960111,000000,0.28696,0.28696,0.28696,0.28696,0,0
RUBAUD,D,19960112,000000,0.28825,0.28825,0.28825,0.28825,0,0
RUBAUD,D,19960115,000000,0.28854,0.28854,0.28854,0.28854,0,0
RUBAUD,D,19960116,000000,0.28722,0.28722,0.28722,0.28722,0,0
RUBAUD,D,19960117,000000,0.28864,0.28864,0.28864,0.28864,0,0
RUBAUD,D,19960118,000000,0.28786,0.28786,0.28786,0.28786,0,0
RUBAUD,D,19960119,000000,0.2891,0.2891,0.2891,0.2891,0,0
RUBAUD,D,19960122,000000,0.29182,0.29182,0.29182,0.29182,0,0
RUBAUD,D,19960123,000000,0.29122,0.29122,0.29122,0.29122,0,0
RUBAUD,D,19960124,000000,0.28805,0.28805,0.28805,0.28805,0,0
RUBAUD,D,19960125,000000,0.28881,0.28881,0.28881,0.28881,0,0
RUBAUD,D,19960126,000000,0.28719,0.28719,0.28719,0.28719,0,0
RUBAUD,D,19960129,000000,0.28604,0.28604,0.28604,0.28604,0,0
RUBAUD,D,19960130,000000,0.28445,0.28445,0.28445,0.28445,0,0
RUBAUD,D,19960131,000000,0.28323,0.28323,0.28323,0.28323,0,0
RUBAUD,D,19960201,000000,0.2833,0.2833,0.2833,0.2833,0,0
RUBAUD,D,19960202,000000,0.27898,0.27898,0.27898,0.27898,0,0
RUBAUD,D,19960205,000000,0.27977,0.27977,0.27977,0.27977,0,0
RUBAUD,D,19960206,000000,0.27989,0.27989,0.27989,0.27989,0,0
RUBAUD,D,19960207,000000,0.27937,0.27937,0.27937,0.27937,0,0
RUBAUD,D,19960208,000000,0.27821,0.27821,0.27821,0.27821,0,0
RUBAUD,D,19960209,000000,0.27964,0.27964,0.27964,0.27964,0,0
RUBAUD,D,19960212,000000,0.27834,0.27834,0.27834,0.27834,0,0
RUBAUD,D,19960213,000000,0.27959,0.27959,0.27959,0.27959,0,0
RUBAUD,D,19960214,000000,0.27855,0.27855,0.27855,0.27855,0,0
RUBAUD,D,19960215,000000,0.27825,0.27825,0.27825,0.27825,0,0
RUBAUD,D,19960216,000000,0.27869,0.27869,0.27869,0.27869,0,0
RUBAUD,D,19960219,000000,0.27801,0.27801,0.27801,0.27801,0,0
RUBAUD,D,19960220,000000,0.27759,0.27759,0.27759,0.27759,0,0
RUBAUD,D,19960221,000000,0.27912,0.27912,0.27912,0.27912,0,0
RUBAUD,D,19960222,000000,0.27834,0.27834,0.27834,0.27834,0,0
RUBAUD,D,19960223,000000,0.27682,0.27682,0.27682,0.27682,0,0
RUBAUD,D,19960226,000000,0.27566,0.27566,0.27566,0.27566,0,0
RUBAUD,D,19960227,000000,0.27542,0.27542,0.27542,0.27542,0,0
RUBAUD,D,19960228,000000,0.27285,0.27285,0.27285,0.27285,0,0
RUBAUD,D,19960229,000000,0.27062,0.27062,0.27062,0.27062,0,0
RUBAUD,D,19960301,000000,0.27209,0.27209,0.27209,0.27209,0,0
RUBAUD,D,19960304,000000,0.27369,0.27369,0.27369,0.27369,0,0
RUBAUD,D,19960305,000000,0.27375,0.27375,0.27375,0.27375,0,0
RUBAUD,D,19960306,000000,0.27187,0.27187,0.27187,0.27187,0,0
RUBAUD,D,19960307,000000,0.27118,0.27118,0.27118,0.27118,0,0
RUBAUD,D,19960308,000000,0.27022,0.27022,0.27022,0.27022,0,0
RUBAUD,D,19960311,000000,0.27006,0.27006,0.27006,0.27006,0,0
RUBAUD,D,19960312,000000,0.2697,0.2697,0.2697,0.2697,0,0
RUBAUD,D,19960313,000000,0.26757,0.26757,0.26757,0.26757,0,0
RUBAUD,D,19960314,000000,0.26735,0.26735,0.26735,0.26735,0,0
RUBAUD,D,19960315,000000,0.26845,0.26845,0.26845,0.26845,0,0
RUBAUD,D,19960318,000000,0.268,0.268,0.268,0.268,0,0
RUBAUD,D,19960319,000000,0.26799,0.26799,0.26799,0.26799,0,0
RUBAUD,D,19960320,000000,0.26688,0.26688,0.26688,0.26688,0,0
RUBAUD,D,19960321,000000,0.26622,0.26622,0.26622,0.26622,0,0
RUBAUD,D,19960322,000000,0.26626,0.26626,0.26626,0.26626,0,0
RUBAUD,D,19960325,000000,0.26675,0.26675,0.26675,0.26675,0,0
RUBAUD,D,19960326,000000,0.26651,0.26651,0.26651,0.26651,0,0
RUBAUD,D,19960327,000000,0.2656,0.2656,0.2656,0.2656,0,0
RUBAUD,D,19960328,000000,0.2639,0.2639,0.2639,0.2639,0,0
RUBAUD,D,19960329,000000,0.26361,0.26361,0.26361,0.26361,0,0
RUBAUD,D,19960401,000000,0.26302,0.26302,0.26302,0.26302,0,0
RUBAUD,D,19960402,000000,0.26324,0.26324,0.26324,0.26324,0,0
RUBAUD,D,19960403,000000,0.26372,0.26372,0.26372,0.26372,0,0
RUBAUD,D,19960404,000000,0.26292,0.26292,0.26292,0.26292,0,0
RUBAUD,D,19960405,000000,0.26275,0.26275,0.26275,0.26275,0,0
RUBAUD,D,19960409,000000,0.25995,0.25995,0.25995,0.25995,0,0
RUBAUD,D,19960410,000000,0.25879,0.25879,0.25879,0.25879,0,0
RUBAUD,D,19960411,000000,0.25876,0.25876,0.25876,0.25876,0,0
RUBAUD,D,19960412,000000,0.25859,0.25859,0.25859,0.25859,0,0
RUBAUD,D,19960415,000000,0.25822,0.25822,0.25822,0.25822,0,0
RUBAUD,D,19960416,000000,0.25839,0.25839,0.25839,0.25839,0,0
RUBAUD,D,19960417,000000,0.25932,0.25932,0.25932,0.25932,0,0
RUBAUD,D,19960418,000000,0.25899,0.25899,0.25899,0.25899,0,0
RUBAUD,D,19960419,000000,0.26015,0.26015,0.26015,0.26015,0,0
RUBAUD,D,19960422,000000,0.25853,0.25853,0.25853,0.25853,0,0
RUBAUD,D,19960423,000000,0.25766,0.25766,0.25766,0.25766,0,0
RUBAUD,D,19960424,000000,0.25833,0.25833,0.25833,0.25833,0,0
RUBAUD,D,19960425,000000,0.25815,0.25815,0.25815,0.25815,0,0
RUBAUD,D,19960426,000000,0.25631,0.25631,0.25631,0.25631,0,0
RUBAUD,D,19960429,000000,0.25777,0.25777,0.25777,0.25777,0,0
RUBAUD,D,19960430,000000,0.25766,0.25766,0.25766,0.25766,0,0
RUBAUD,D,19960506,000000,0.25414,0.25414,0.25414,0.25414,0,0
RUBAUD,D,19960507,000000,0.25185,0.25185,0.25185,0.25185,0,0
RUBAUD,D,19960508,000000,0.25176,0.25176,0.25176,0.25176,0,0
RUBAUD,D,19960509,000000,0.25314,0.25314,0.25314,0.25314,0,0
RUBAUD,D,19960510,000000,0.25131,0.25131,0.25131,0.25131,0,0
RUBAUD,D,19960513,000000,0.25279,0.25279,0.25279,0.25279,0,0
RUBAUD,D,19960514,000000,0.25181,0.25181,0.25181,0.25181,0,0
RUBAUD,D,19960515,000000,0.25114,0.25114,0.25114,0.25114,0,0
RUBAUD,D,19960516,000000,0.25043,0.25043,0.25043,0.25043,0,0
RUBAUD,D,19960517,000000,0.25078,0.25078,0.25078,0.25078,0,0
RUBAUD,D,19960520,000000,0.25174,0.25174,0.25174,0.25174,0,0
RUBAUD,D,19960521,000000,0.25208,0.25208,0.25208,0.25208,0,0
RUBAUD,D,19960522,000000,0.25173,0.25173,0.25173,0.25173,0,0
RUBAUD,D,19960523,000000,0.25158,0.25158,0.25158,0.25158,0,0
RUBAUD,D,19960524,000000,0.25254,0.25254,0.25254,0.25254,0,0
RUBAUD,D,19960527,000000,0.252,0.252,0.252,0.252,0,0
RUBAUD,D,19960528,000000,0.25069,0.25069,0.25069,0.25069,0,0
RUBAUD,D,19960529,000000,0.24942,0.24942,0.24942,0.24942,0,0
RUBAUD,D,19960530,000000,0.25065,0.25065,0.25065,0.25065,0,0
RUBAUD,D,19960531,000000,0.24827,0.24827,0.24827,0.24827,0,0
RUBAUD,D,19960603,000000,0.24729,0.24729,0.24729,0.24729,0,0
RUBAUD,D,19960604,000000,0.24844,0.24844,0.24844,0.24844,0,0
RUBAUD,D,19960605,000000,0.24981,0.24981,0.24981,0.24981,0,0
RUBAUD,D,19960607,000000,0.25104,0.25104,0.25104,0.25104,0,0
RUBAUD,D,19960610,000000,0.24959,0.24959,0.24959,0.24959,0,0
RUBAUD,D,19960611,000000,0.24834,0.24834,0.24834,0.24834,0,0
RUBAUD,D,19960612,000000,0.24862,0.24862,0.24862,0.24862,0,0
RUBAUD,D,19960613,000000,0.25044,0.25044,0.25044,0.25044,0,0
RUBAUD,D,19960614,000000,0.24955,0.24955,0.24955,0.24955,0,0
RUBAUD,D,19960617,000000,0.24994,0.24994,0.24994,0.24994,0,0
RUBAUD,D,19960618,000000,0.25074,0.25074,0.25074,0.25074,0,0
RUBAUD,D,19960619,000000,0.25068,0.25068,0.25068,0.25068,0,0
RUBAUD,D,19960620,000000,0.2507,0.2507,0.2507,0.2507,0,0
RUBAUD,D,19960621,000000,0.24894,0.24894,0.24894,0.24894,0,0
RUBAUD,D,19960624,000000,0.24941,0.24941,0.24941,0.24941,0,0
RUBAUD,D,19960625,000000,0.24778,0.24778,0.24778,0.24778,0,0
RUBAUD,D,19960626,000000,0.24801,0.24801,0.24801,0.24801,0,0
RUBAUD,D,19960627,000000,0.24823,0.24823,0.24823,0.24823,0,0
RUBAUD,D,19960628,000000,0.24756,0.24756,0.24756,0.24756,0,0
RUBAUD,D,19960701,000000,0.24786,0.24786,0.24786,0.24786,0,0
RUBAUD,D,19960702,000000,0.2484,0.2484,0.2484,0.2484,0,0
RUBAUD,D,19960703,000000,0.24878,0.24878,0.24878,0.24878,0,0
RUBAUD,D,19960704,000000,0.24894,0.24894,0.24894,0.24894,0,0
RUBAUD,D,19960705,000000,0.24797,0.24797,0.24797,0.24797,0,0
RUBAUD,D,19960708,000000,0.24602,0.24602,0.24602,0.24602,0,0
RUBAUD,D,19960709,000000,0.24534,0.24534,0.24534,0.24534,0,0
RUBAUD,D,19960710,000000,0.24505,0.24505,0.24505,0.24505,0,0
RUBAUD,D,19960711,000000,0.24386,0.24386,0.24386,0.24386,0,0
RUBAUD,D,19960712,000000,0.24534,0.24534,0.24534,0.24534,0,0
RUBAUD,D,19960715,000000,0.24502,0.24502,0.24502,0.24502,0,0
RUBAUD,D,19960716,000000,0.24579,0.24579,0.24579,0.24579,0,0
RUBAUD,D,19960717,000000,0.24645,0.24645,0.24645,0.24645,0,0
RUBAUD,D,19960718,000000,0.24523,0.24523,0.24523,0.24523,0,0
RUBAUD,D,19960719,000000,0.24515,0.24515,0.24515,0.24515,0,0
RUBAUD,D,19960722,000000,0.24529,0.24529,0.24529,0.24529,0,0
RUBAUD,D,19960723,000000,0.24595,0.24595,0.24595,0.24595,0,0
RUBAUD,D,19960724,000000,0.24506,0.24506,0.24506,0.24506,0,0
RUBAUD,D,19960725,000000,0.245,0.245,0.245,0.245,0,0
RUBAUD,D,19960726,000000,0.24412,0.24412,0.24412,0.24412,0,0
RUBAUD,D,19960729,000000,0.2452,0.2452,0.2452,0.2452,0,0
RUBAUD,D,19960730,000000,0.24477,0.24477,0.24477,0.24477,0,0
RUBAUD,D,19960731,000000,0.24761,0.24761,0.24761,0.24761,0,0
RUBAUD,D,19960801,000000,0.24654,0.24654,0.24654,0.24654,0,0
RUBAUD,D,19960802,000000,0.24812,0.24812,0.24812,0.24812,0,0
RUBAUD,D,19960805,000000,0.24778,0.24778,0.24778,0.24778,0,0
RUBAUD,D,19960806,000000,0.24581,0.24581,0.24581,0.24581,0,0
RUBAUD,D,19960807,000000,0.24474,0.24474,0.24474,0.24474,0,0
RUBAUD,D,19960808,000000,0.24302,0.24302,0.24302,0.24302,0,0
RUBAUD,D,19960809,000000,0.24338,0.24338,0.24338,0.24338,0,0
RUBAUD,D,19960812,000000,0.24303,0.24303,0.24303,0.24303,0,0
RUBAUD,D,19960813,000000,0.24264,0.24264,0.24264,0.24264,0,0
RUBAUD,D,19960814,000000,0.24257,0.24257,0.24257,0.24257,0,0
RUBAUD,D,19960816,000000,0.24075,0.24075,0.24075,0.24075,0,0
RUBAUD,D,19960819,000000,0.23871,0.23871,0.23871,0.23871,0,0
RUBAUD,D,19960820,000000,0.23979,0.23979,0.23979,0.23979,0,0
RUBAUD,D,19960821,000000,0.23731,0.23731,0.23731,0.23731,0,0
RUBAUD,D,19960822,000000,0.23688,0.23688,0.23688,0.23688,0,0
RUBAUD,D,19960823,000000,0.2374,0.2374,0.2374,0.2374,0,0
RUBAUD,D,19960826,000000,0.23717,0.23717,0.23717,0.23717,0,0
RUBAUD,D,19960827,000000,0.23633,0.23633,0.23633,0.23633,0,0
RUBAUD,D,19960828,000000,0.23613,0.23613,0.23613,0.23613,0,0
RUBAUD,D,19960829,000000,0.23591,0.23591,0.23591,0.23591,0,0
RUBAUD,D,19960830,000000,0.2359,0.2359,0.2359,0.2359,0,0
RUBAUD,D,19960902,000000,0.23595,0.23595,0.23595,0.23595,0,0
RUBAUD,D,19960903,000000,0.23541,0.23541,0.23541,0.23541,0,0
RUBAUD,D,19960904,000000,0.23498,0.23498,0.23498,0.23498,0,0
RUBAUD,D,19960905,000000,0.23458,0.23458,0.23458,0.23458,0,0
RUBAUD,D,19960906,000000,0.23443,0.23443,0.23443,0.23443,0,0
RUBAUD,D,19960909,000000,0.23205,0.23205,0.23205,0.23205,0,0
RUBAUD,D,19960910,000000,0.23267,0.23267,0.23267,0.23267,0,0
RUBAUD,D,19960911,000000,0.23227,0.23227,0.23227,0.23227,0,0
RUBAUD,D,19960912,000000,0.23292,0.23292,0.23292,0.23292,0,0
RUBAUD,D,19960913,000000,0.23263,0.23263,0.23263,0.23263,0,0
RUBAUD,D,19960916,000000,0.23565,0.23565,0.23565,0.23565,0,0
RUBAUD,D,19960917,000000,0.23473,0.23473,0.23473,0.23473,0,0
RUBAUD,D,19960918,000000,0.23486,0.23486,0.23486,0.23486,0,0
RUBAUD,D,19960919,000000,0.23425,0.23425,0.23425,0.23425,0,0
RUBAUD,D,19960920,000000,0.23354,0.23354,0.23354,0.23354,0,0
RUBAUD,D,19960923,000000,0.23402,0.23402,0.23402,0.23402,0,0
RUBAUD,D,19960924,000000,0.23455,0.23455,0.23455,0.23455,0,0
RUBAUD,D,19960925,000000,0.23439,0.23439,0.23439,0.23439,0,0
RUBAUD,D,19960926,000000,0.23351,0.23351,0.23351,0.23351,0,0
RUBAUD,D,19960927,000000,0.23437,0.23437,0.23437,0.23437,0,0
RUBAUD,D,19960930,000000,0.23332,0.23332,0.23332,0.23332,0,0
RUBAUD,D,19961001,000000,0.23393,0.23393,0.23393,0.23393,0,0
RUBAUD,D,19961002,000000,0.23198,0.23198,0.23198,0.23198,0,0
RUBAUD,D,19961003,000000,0.23364,0.23364,0.23364,0.23364,0,0
RUBAUD,D,19961004,000000,0.23342,0.23342,0.23342,0.23342,0,0
RUBAUD,D,19961007,000000,0.23486,0.23486,0.23486,0.23486,0,0
RUBAUD,D,19961008,000000,0.23415,0.23415,0.23415,0.23415,0,0
RUBAUD,D,19961009,000000,0.23383,0.23383,0.23383,0.23383,0,0
RUBAUD,D,19961010,000000,0.23363,0.23363,0.23363,0.23363,0,0
RUBAUD,D,19961011,000000,0.23243,0.23243,0.23243,0.23243,0,0
RUBAUD,D,19961014,000000,0.23236,0.23236,0.23236,0.23236,0,0
RUBAUD,D,19961015,000000,0.23209,0.23209,0.23209,0.23209,0,0
RUBAUD,D,19961016,000000,0.23193,0.23193,0.23193,0.23193,0,0
RUBAUD,D,19961017,000000,0.23239,0.23239,0.23239,0.23239,0,0
RUBAUD,D,19961018,000000,0.23144,0.23144,0.23144,0.23144,0,0
RUBAUD,D,19961021,000000,0.23082,0.23082,0.23082,0.23082,0,0
RUBAUD,D,19961022,000000,0.23062,0.23062,0.23062,0.23062,0,0
RUBAUD,D,19961023,000000,0.23114,0.23114,0.23114,0.23114,0,0
RUBAUD,D,19961024,000000,0.23159,0.23159,0.23159,0.23159,0,0
RUBAUD,D,19961025,000000,0.23056,0.23056,0.23056,0.23056,0,0
RUBAUD,D,19961028,000000,0.23213,0.23213,0.23213,0.23213,0,0
RUBAUD,D,19961029,000000,0.23234,0.23234,0.23234,0.23234,0,0
RUBAUD,D,19961030,000000,0.23095,0.23095,0.23095,0.23095,0,0
RUBAUD,D,19961031,000000,0.23134,0.23134,0.23134,0.23134,0,0
RUBAUD,D,19961104,000000,0.23207,0.23207,0.23207,0.23207,0,0
RUBAUD,D,19961105,000000,0.23244,0.23244,0.23244,0.23244,0,0
RUBAUD,D,19961106,000000,0.23048,0.23048,0.23048,0.23048,0,0
