<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBBGN,D,19951023,000000,0.015187,0.015187,0.015187,0.015187,0,0
RUBBGN,D,19951024,000000,0.0152,0.0152,0.0152,0.0152,0,0
RUBBGN,D,19951025,000000,0.015202,0.015202,0.015202,0.015202,0,0
RUBBGN,D,19951026,000000,0.015207,0.015207,0.015207,0.015207,0,0
RUBBGN,D,19951027,000000,0.015203,0.015203,0.015203,0.015203,0,0
RUBBGN,D,19951030,000000,0.015217,0.015217,0.015217,0.015217,0,0
RUBBGN,D,19951031,000000,0.01522,0.01522,0.01522,0.01522,0,0
RUBBGN,D,19951102,000000,0.01519,0.01519,0.01519,0.01519,0,0
RUBBGN,D,19951103,000000,0.015195,0.015195,0.015195,0.015195,0,0
RUBBGN,D,19951106,000000,0.015186,0.015186,0.015186,0.015186,0,0
RUBBGN,D,19951107,000000,0.015186,0.015186,0.015186,0.015186,0,0
RUBBGN,D,19951108,000000,0.015206,0.015206,0.015206,0.015206,0,0
RUBBGN,D,19951109,000000,0.015231,0.015231,0.015231,0.015231,0,0
RUBBGN,D,19951110,000000,0.015237,0.015237,0.015237,0.015237,0,0
RUBBGN,D,19951113,000000,0.015231,0.015231,0.015231,0.015231,0,0
RUBBGN,D,19951114,000000,0.015203,0.015203,0.015203,0.015203,0,0
RUBBGN,D,19951115,000000,0.015215,0.015215,0.015215,0.015215,0,0
RUBBGN,D,19951116,000000,0.015261,0.015261,0.015261,0.015261,0,0
RUBBGN,D,19951117,000000,0.015194,0.015194,0.015194,0.015194,0,0
RUBBGN,D,19951120,000000,0.015164,0.015164,0.015164,0.015164,0,0
RUBBGN,D,19951121,000000,0.01522,0.01522,0.01522,0.01522,0,0
RUBBGN,D,19951122,000000,0.015173,0.015173,0.015173,0.015173,0,0
RUBBGN,D,19951123,000000,0.015186,0.015186,0.015186,0.015186,0,0
RUBBGN,D,19951124,000000,0.015209,0.015209,0.015209,0.015209,0,0
RUBBGN,D,19951127,000000,0.015211,0.015211,0.015211,0.015211,0,0
RUBBGN,D,19951128,000000,0.015227,0.015227,0.015227,0.015227,0,0
RUBBGN,D,19951129,000000,0.015247,0.015247,0.015247,0.015247,0,0
RUBBGN,D,19951130,000000,0.015261,0.015261,0.015261,0.015261,0,0
RUBBGN,D,19951201,000000,0.015243,0.015243,0.015243,0.015243,0,0
RUBBGN,D,19951204,000000,0.015254,0.015254,0.015254,0.015254,0,0
RUBBGN,D,19951205,000000,0.015249,0.015249,0.015249,0.015249,0,0
RUBBGN,D,19951206,000000,0.015276,0.015276,0.015276,0.015276,0,0
RUBBGN,D,19951207,000000,0.015264,0.015264,0.015264,0.015264,0,0
RUBBGN,D,19951208,000000,0.015368,0.015368,0.015368,0.015368,0,0
RUBBGN,D,19951211,000000,0.01532,0.01532,0.01532,0.01532,0,0
RUBBGN,D,19951212,000000,0.015311,0.015311,0.015311,0.015311,0,0
RUBBGN,D,19951213,000000,0.015178,0.015178,0.015178,0.015178,0,0
RUBBGN,D,19951214,000000,0.015185,0.015185,0.015185,0.015185,0,0
RUBBGN,D,19951215,000000,0.01519,0.01519,0.01519,0.01519,0,0
RUBBGN,D,19951218,000000,0.015168,0.015168,0.015168,0.015168,0,0
RUBBGN,D,19951219,000000,0.015153,0.015153,0.015153,0.015153,0,0
RUBBGN,D,19951220,000000,0.015166,0.015166,0.015166,0.015166,0,0
RUBBGN,D,19951221,000000,0.015211,0.015211,0.015211,0.015211,0,0
RUBBGN,D,19951222,000000,0.015228,0.015228,0.015228,0.015228,0,0
RUBBGN,D,19951227,000000,0.01524,0.01524,0.01524,0.01524,0,0
RUBBGN,D,19951228,000000,0.015267,0.015267,0.015267,0.015267,0,0
RUBBGN,D,19951229,000000,0.015265,0.015265,0.015265,0.015265,0,0
RUBBGN,D,19960102,000000,0.015274,0.015274,0.015274,0.015274,0,0
RUBBGN,D,19960103,000000,0.015338,0.015338,0.015338,0.015338,0,0
RUBBGN,D,19960104,000000,0.01542,0.01542,0.01542,0.01542,0,0
RUBBGN,D,19960105,000000,0.015489,0.015489,0.015489,0.015489,0,0
RUBBGN,D,19960108,000000,0.015575,0.015575,0.015575,0.015575,0,0
RUBBGN,D,19960109,000000,0.015579,0.015579,0.015579,0.015579,0,0
RUBBGN,D,19960110,000000,0.015469,0.015469,0.015469,0.015469,0,0
RUBBGN,D,19960111,000000,0.015502,0.015502,0.015502,0.015502,0,0
RUBBGN,D,19960112,000000,0.015549,0.015549,0.015549,0.015549,0,0
RUBBGN,D,19960115,000000,0.015574,0.015574,0.015574,0.015574,0,0
RUBBGN,D,19960116,000000,0.015585,0.015585,0.015585,0.015585,0,0
RUBBGN,D,19960117,000000,0.015574,0.015574,0.015574,0.015574,0,0
RUBBGN,D,19960118,000000,0.015539,0.015539,0.015539,0.015539,0,0
RUBBGN,D,19960119,000000,0.015547,0.015547,0.015547,0.015547,0,0
RUBBGN,D,19960122,000000,0.015631,0.015631,0.015631,0.015631,0,0
RUBBGN,D,19960123,000000,0.015625,0.015625,0.015625,0.015625,0,0
RUBBGN,D,19960124,000000,0.015533,0.015533,0.015533,0.015533,0,0
RUBBGN,D,19960125,000000,0.015609,0.015609,0.015609,0.015609,0,0
RUBBGN,D,19960126,000000,0.015637,0.015637,0.015637,0.015637,0,0
RUBBGN,D,19960129,000000,0.015625,0.015625,0.015625,0.015625,0,0
RUBBGN,D,19960130,000000,0.015617,0.015617,0.015617,0.015617,0,0
RUBBGN,D,19960131,000000,0.015607,0.015607,0.015607,0.015607,0,0
RUBBGN,D,19960201,000000,0.015646,0.015646,0.015646,0.015646,0,0
RUBBGN,D,19960202,000000,0.015551,0.015551,0.015551,0.015551,0,0
RUBBGN,D,19960205,000000,0.015588,0.015588,0.015588,0.015588,0,0
RUBBGN,D,19960206,000000,0.015562,0.015562,0.015562,0.015562,0,0
RUBBGN,D,19960207,000000,0.015566,0.015566,0.015566,0.015566,0,0
RUBBGN,D,19960208,000000,0.015608,0.015608,0.015608,0.015608,0,0
RUBBGN,D,19960209,000000,0.015652,0.015652,0.015652,0.015652,0,0
RUBBGN,D,19960212,000000,0.015641,0.015641,0.015641,0.015641,0,0
RUBBGN,D,19960213,000000,0.015658,0.015658,0.015658,0.015658,0,0
RUBBGN,D,19960214,000000,0.015631,0.015631,0.015631,0.015631,0,0
RUBBGN,D,19960215,000000,0.015676,0.015676,0.015676,0.015676,0,0
RUBBGN,D,19960216,000000,0.015716,0.015716,0.015716,0.015716,0,0
RUBBGN,D,19960219,000000,0.015773,0.015773,0.015773,0.015773,0,0
RUBBGN,D,19960220,000000,0.015824,0.015824,0.015824,0.015824,0,0
RUBBGN,D,19960221,000000,0.015733,0.015733,0.015733,0.015733,0,0
RUBBGN,D,19960222,000000,0.015772,0.015772,0.015772,0.015772,0,0
RUBBGN,D,19960223,000000,0.015768,0.015768,0.015768,0.015768,0,0
RUBBGN,D,19960226,000000,0.015839,0.015839,0.015839,0.015839,0,0
RUBBGN,D,19960227,000000,0.01586,0.01586,0.01586,0.01586,0,0
RUBBGN,D,19960228,000000,0.01576,0.01576,0.01576,0.01576,0,0
RUBBGN,D,19960229,000000,0.015946,0.015946,0.015946,0.015946,0,0
RUBBGN,D,19960301,000000,0.015954,0.015954,0.015954,0.015954,0,0
RUBBGN,D,19960304,000000,0.016056,0.016056,0.016056,0.016056,0,0
RUBBGN,D,19960305,000000,0.016083,0.016083,0.016083,0.016083,0,0
RUBBGN,D,19960306,000000,0.016183,0.016183,0.016183,0.016183,0,0
RUBBGN,D,19960307,000000,0.016103,0.016103,0.016103,0.016103,0,0
RUBBGN,D,19960308,000000,0.015792,0.015792,0.015792,0.015792,0,0
RUBBGN,D,19960311,000000,0.016156,0.016156,0.016156,0.016156,0,0
RUBBGN,D,19960312,000000,0.016181,0.016181,0.016181,0.016181,0,0
RUBBGN,D,19960313,000000,0.016133,0.016133,0.016133,0.016133,0,0
RUBBGN,D,19960314,000000,0.016153,0.016153,0.016153,0.016153,0,0
RUBBGN,D,19960315,000000,0.016198,0.016198,0.016198,0.016198,0,0
RUBBGN,D,19960318,000000,0.016185,0.016185,0.016185,0.016185,0,0
RUBBGN,D,19960319,000000,0.01618,0.01618,0.01618,0.01618,0,0
RUBBGN,D,19960320,000000,0.01618,0.01618,0.01618,0.01618,0,0
RUBBGN,D,19960321,000000,0.016226,0.016226,0.016226,0.016226,0,0
RUBBGN,D,19960322,000000,0.016251,0.016251,0.016251,0.016251,0,0
RUBBGN,D,19960325,000000,0.016266,0.016266,0.016266,0.016266,0,0
RUBBGN,D,19960326,000000,0.016205,0.016205,0.016205,0.016205,0,0
RUBBGN,D,19960327,000000,0.016222,0.016222,0.016222,0.016222,0,0
RUBBGN,D,19960328,000000,0.016289,0.016289,0.016289,0.016289,0,0
RUBBGN,D,19960329,000000,0.016273,0.016273,0.016273,0.016273,0,0
RUBBGN,D,19960401,000000,0.0163,0.0163,0.0163,0.0163,0,0
RUBBGN,D,19960402,000000,0.016284,0.016284,0.016284,0.016284,0,0
RUBBGN,D,19960403,000000,0.016263,0.016263,0.016263,0.016263,0,0
RUBBGN,D,19960404,000000,0.016266,0.016266,0.016266,0.016266,0,0
RUBBGN,D,19960405,000000,0.016264,0.016264,0.016264,0.016264,0,0
RUBBGN,D,19960409,000000,0.016169,0.016169,0.016169,0.016169,0,0
RUBBGN,D,19960410,000000,0.016156,0.016156,0.016156,0.016156,0,0
RUBBGN,D,19960411,000000,0.01619,0.01619,0.01619,0.01619,0,0
RUBBGN,D,19960412,000000,0.016232,0.016232,0.016232,0.016232,0,0
RUBBGN,D,19960415,000000,0.016302,0.016302,0.016302,0.016302,0,0
RUBBGN,D,19960416,000000,0.016341,0.016341,0.016341,0.016341,0,0
RUBBGN,D,19960417,000000,0.016497,0.016497,0.016497,0.016497,0,0
RUBBGN,D,19960418,000000,0.016827,0.016827,0.016827,0.016827,0,0
RUBBGN,D,19960419,000000,0.016991,0.016991,0.016991,0.016991,0,0
RUBBGN,D,19960422,000000,0.017152,0.017152,0.017152,0.017152,0,0
RUBBGN,D,19960423,000000,0.01751,0.01751,0.01751,0.01751,0,0
RUBBGN,D,19960424,000000,0.017942,0.017942,0.017942,0.017942,0,0
RUBBGN,D,19960425,000000,0.017665,0.017665,0.017665,0.017665,0,0
RUBBGN,D,19960426,000000,0.017785,0.017785,0.017785,0.017785,0,0
RUBBGN,D,19960429,000000,0.018145,0.018145,0.018145,0.018145,0,0
RUBBGN,D,19960430,000000,0.018871,0.018871,0.018871,0.018871,0,0
