<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBBRL,D,19951023,000000,0.21329,0.21329,0.21329,0.21329,0,0
RUBBRL,D,19951024,000000,0.21338,0.21338,0.21338,0.21338,0,0
RUBBRL,D,19951025,000000,0.21338,0.21338,0.21338,0.21338,0,0
RUBBRL,D,19951026,000000,0.21322,0.21322,0.21322,0.21322,0,0
RUBBRL,D,19951027,000000,0.21303,0.21303,0.21303,0.21303,0,0
RUBBRL,D,19951030,000000,0.21324,0.21324,0.21324,0.21324,0,0
RUBBRL,D,19951031,000000,0.2134,0.2134,0.2134,0.2134,0,0
RUBBRL,D,19951102,000000,0.21276,0.21276,0.21276,0.21276,0,0
RUBBRL,D,19951103,000000,0.21267,0.21267,0.21267,0.21267,0,0
RUBBRL,D,19951106,000000,0.21251,0.21251,0.21251,0.21251,0,0
RUBBRL,D,19951107,000000,0.21242,0.21242,0.21242,0.21242,0,0
RUBBRL,D,19951108,000000,0.2127,0.2127,0.2127,0.2127,0,0
RUBBRL,D,19951109,000000,0.2127,0.2127,0.2127,0.2127,0,0
RUBBRL,D,19951110,000000,0.21266,0.21266,0.21266,0.21266,0,0
RUBBRL,D,19951113,000000,0.21229,0.21229,0.21229,0.21229,0,0
RUBBRL,D,19951114,000000,0.21211,0.21211,0.21211,0.21211,0,0
RUBBRL,D,19951115,000000,0.21215,0.21215,0.21215,0.21215,0,0
RUBBRL,D,19951116,000000,0.21261,0.21261,0.21261,0.21261,0,0
RUBBRL,D,19951117,000000,0.21112,0.21112,0.21112,0.21112,0,0
RUBBRL,D,19951120,000000,0.21073,0.21073,0.21073,0.21073,0,0
RUBBRL,D,19951121,000000,0.21151,0.21151,0.21151,0.21151,0,0
RUBBRL,D,19951122,000000,0.21097,0.21097,0.21097,0.21097,0,0
RUBBRL,D,19951123,000000,0.21082,0.21082,0.21082,0.21082,0,0
RUBBRL,D,19951124,000000,0.21089,0.21089,0.21089,0.21089,0,0
RUBBRL,D,19951127,000000,0.21048,0.21048,0.21048,0.21048,0,0
RUBBRL,D,19951128,000000,0.21037,0.21037,0.21037,0.21037,0,0
RUBBRL,D,19951129,000000,0.21061,0.21061,0.21061,0.21061,0,0
RUBBRL,D,19951130,000000,0.21104,0.21104,0.21104,0.21104,0,0
RUBBRL,D,19951201,000000,0.21052,0.21052,0.21052,0.21052,0,0
RUBBRL,D,19951204,000000,0.21061,0.21061,0.21061,0.21061,0,0
RUBBRL,D,19951205,000000,0.21036,0.21036,0.21036,0.21036,0,0
RUBBRL,D,19951206,000000,0.21067,0.21067,0.21067,0.21067,0,0
RUBBRL,D,19951207,000000,0.21021,0.21021,0.21021,0.21021,0,0
RUBBRL,D,19951208,000000,0.21093,0.21093,0.21093,0.21093,0,0
