<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBCAD,D,19951023,000000,0.30281,0.30281,0.30281,0.30281,0,0
RUBCAD,D,19951024,000000,0.30568,0.30568,0.30568,0.30568,0,0
RUBCAD,D,19951025,000000,0.30348,0.30348,0.30348,0.30348,0,0
RUBCAD,D,19951026,000000,0.30318,0.30318,0.30318,0.30318,0,0
RUBCAD,D,19951027,000000,0.3041,0.3041,0.3041,0.3041,0,0
RUBCAD,D,19951030,000000,0.30257,0.30257,0.30257,0.30257,0,0
RUBCAD,D,19951031,000000,0.29691,0.29691,0.29691,0.29691,0,0
RUBCAD,D,19951102,000000,0.29808,0.29808,0.29808,0.29808,0,0
RUBCAD,D,19951103,000000,0.29693,0.29693,0.29693,0.29693,0,0
RUBCAD,D,19951106,000000,0.29784,0.29784,0.29784,0.29784,0,0
RUBCAD,D,19951107,000000,0.29964,0.29964,0.29964,0.29964,0,0
RUBCAD,D,19951108,000000,0.30033,0.30033,0.30033,0.30033,0,0
RUBCAD,D,19951109,000000,0.29978,0.29978,0.29978,0.29978,0,0
RUBCAD,D,19951110,000000,0.2988,0.2988,0.2988,0.2988,0,0
RUBCAD,D,19951113,000000,0.29817,0.29817,0.29817,0.29817,0,0
RUBCAD,D,19951114,000000,0.29815,0.29815,0.29815,0.29815,0,0
RUBCAD,D,19951115,000000,0.29916,0.29916,0.29916,0.29916,0,0
RUBCAD,D,19951116,000000,0.29894,0.29894,0.29894,0.29894,0,0
RUBCAD,D,19951117,000000,0.29774,0.29774,0.29774,0.29774,0,0
RUBCAD,D,19951120,000000,0.29583,0.29583,0.29583,0.29583,0,0
RUBCAD,D,19951121,000000,0.29636,0.29636,0.29636,0.29636,0,0
RUBCAD,D,19951122,000000,0.29607,0.29607,0.29607,0.29607,0,0
RUBCAD,D,19951123,000000,0.29575,0.29575,0.29575,0.29575,0,0
RUBCAD,D,19951124,000000,0.29596,0.29596,0.29596,0.29596,0,0
RUBCAD,D,19951127,000000,0.29511,0.29511,0.29511,0.29511,0,0
RUBCAD,D,19951128,000000,0.29575,0.29575,0.29575,0.29575,0,0
RUBCAD,D,19951129,000000,0.29669,0.29669,0.29669,0.29669,0,0
RUBCAD,D,19951130,000000,0.29643,0.29643,0.29643,0.29643,0,0
RUBCAD,D,19951201,000000,0.29682,0.29682,0.29682,0.29682,0,0
RUBCAD,D,19951204,000000,0.29769,0.29769,0.29769,0.29769,0,0
RUBCAD,D,19951205,000000,0.29779,0.29779,0.29779,0.29779,0,0
RUBCAD,D,19951206,000000,0.29756,0.29756,0.29756,0.29756,0,0
RUBCAD,D,19951207,000000,0.29707,0.29707,0.29707,0.29707,0,0
RUBCAD,D,19951208,000000,0.29901,0.29901,0.29901,0.29901,0,0
RUBCAD,D,19951211,000000,0.30076,0.30076,0.30076,0.30076,0,0
RUBCAD,D,19951212,000000,0.30108,0.30108,0.30108,0.30108,0,0
RUBCAD,D,19951213,000000,0.29725,0.29725,0.29725,0.29725,0,0
RUBCAD,D,19951214,000000,0.29664,0.29664,0.29664,0.29664,0,0
