<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBCHF,D,19951023,000000,0.25088,0.25088,0.25088,0.25088,0,0
RUBCHF,D,19951024,000000,0.25155,0.25155,0.25155,0.25155,0,0
RUBCHF,D,19951025,000000,0.2528,0.2528,0.2528,0.2528,0,0
RUBCHF,D,19951026,000000,0.25227,0.25227,0.25227,0.25227,0,0
RUBCHF,D,19951027,000000,0.25005,0.25005,0.25005,0.25005,0,0
RUBCHF,D,19951030,000000,0.25266,0.25266,0.25266,0.25266,0,0
RUBCHF,D,19951031,000000,0.25273,0.25273,0.25273,0.25273,0,0
RUBCHF,D,19951102,000000,0.25298,0.25298,0.25298,0.25298,0,0
RUBCHF,D,19951103,000000,0.25298,0.25298,0.25298,0.25298,0,0
RUBCHF,D,19951106,000000,0.25055,0.25055,0.25055,0.25055,0,0
RUBCHF,D,19951107,000000,0.25211,0.25211,0.25211,0.25211,0,0
RUBCHF,D,19951108,000000,0.2521,0.2521,0.2521,0.2521,0,0
RUBCHF,D,19951109,000000,0.25388,0.25388,0.25388,0.25388,0,0
RUBCHF,D,19951110,000000,0.25177,0.25177,0.25177,0.25177,0,0
RUBCHF,D,19951113,000000,0.24984,0.24984,0.24984,0.24984,0,0
RUBCHF,D,19951114,000000,0.25174,0.25174,0.25174,0.25174,0,0
RUBCHF,D,19951115,000000,0.24957,0.24957,0.24957,0.24957,0,0
RUBCHF,D,19951116,000000,0.25099,0.25099,0.25099,0.25099,0,0
RUBCHF,D,19951117,000000,0.24894,0.24894,0.24894,0.24894,0,0
RUBCHF,D,19951120,000000,0.25036,0.25036,0.25036,0.25036,0,0
RUBCHF,D,19951121,000000,0.24992,0.24992,0.24992,0.24992,0,0
RUBCHF,D,19951122,000000,0.24853,0.24853,0.24853,0.24853,0,0
RUBCHF,D,19951123,000000,0.24898,0.24898,0.24898,0.24898,0,0
RUBCHF,D,19951124,000000,0.24937,0.24937,0.24937,0.24937,0,0
RUBCHF,D,19951127,000000,0.25108,0.25108,0.25108,0.25108,0,0
RUBCHF,D,19951128,000000,0.25212,0.25212,0.25212,0.25212,0,0
RUBCHF,D,19951129,000000,0.25405,0.25405,0.25405,0.25405,0,0
RUBCHF,D,19951130,000000,0.25493,0.25493,0.25493,0.25493,0,0
RUBCHF,D,19951201,000000,0.25674,0.25674,0.25674,0.25674,0,0
RUBCHF,D,19951204,000000,0.25393,0.25393,0.25393,0.25393,0,0
RUBCHF,D,19951205,000000,0.25358,0.25358,0.25358,0.25358,0,0
RUBCHF,D,19951206,000000,0.25431,0.25431,0.25431,0.25431,0,0
RUBCHF,D,19951207,000000,0.25358,0.25358,0.25358,0.25358,0,0
RUBCHF,D,19951208,000000,0.25573,0.25573,0.25573,0.25573,0,0
RUBCHF,D,19951211,000000,0.25476,0.25476,0.25476,0.25476,0,0
RUBCHF,D,19951212,000000,0.25619,0.25619,0.25619,0.25619,0,0
RUBCHF,D,19951213,000000,0.25465,0.25465,0.25465,0.25465,0,0
RUBCHF,D,19951214,000000,0.25379,0.25379,0.25379,0.25379,0,0
RUBCHF,D,19951215,000000,0.25123,0.25123,0.25123,0.25123,0,0
RUBCHF,D,19951218,000000,0.24866,0.24866,0.24866,0.24866,0,0
RUBCHF,D,19951219,000000,0.24798,0.24798,0.24798,0.24798,0,0
RUBCHF,D,19951220,000000,0.24981,0.24981,0.24981,0.24981,0,0
RUBCHF,D,19951221,000000,0.24966,0.24966,0.24966,0.24966,0,0
RUBCHF,D,19951222,000000,0.25078,0.25078,0.25078,0.25078,0,0
RUBCHF,D,19951227,000000,0.24959,0.24959,0.24959,0.24959,0,0
RUBCHF,D,19951228,000000,0.2489,0.2489,0.2489,0.2489,0,0
