<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBMYR,D,19951023,000000,0.5581,0.5581,0.5581,0.5581,0,0
RUBMYR,D,19951024,000000,0.55981,0.55981,0.55981,0.55981,0,0
RUBMYR,D,19951025,000000,0.56185,0.56185,0.56185,0.56185,0,0
RUBMYR,D,19951026,000000,0.56309,0.56309,0.56309,0.56309,0,0
RUBMYR,D,19951027,000000,0.56087,0.56087,0.56087,0.56087,0,0
RUBMYR,D,19951030,000000,0.56393,0.56393,0.56393,0.56393,0,0
RUBMYR,D,19951031,000000,0.56346,0.56346,0.56346,0.56346,0,0
RUBMYR,D,19951102,000000,0.56236,0.56236,0.56236,0.56236,0,0
RUBMYR,D,19951103,000000,0.56247,0.56247,0.56247,0.56247,0,0
RUBMYR,D,19951106,000000,0.56129,0.56129,0.56129,0.56129,0,0
RUBMYR,D,19951107,000000,0.56149,0.56149,0.56149,0.56149,0,0
RUBMYR,D,19951108,000000,0.56071,0.56071,0.56071,0.56071,0,0
RUBMYR,D,19951109,000000,0.56014,0.56014,0.56014,0.56014,0,0
RUBMYR,D,19951110,000000,0.56036,0.56036,0.56036,0.56036,0,0
RUBMYR,D,19951113,000000,0.56014,0.56014,0.56014,0.56014,0,0
RUBMYR,D,19951114,000000,0.55768,0.55768,0.55768,0.55768,0,0
RUBMYR,D,19951115,000000,0.55817,0.55817,0.55817,0.55817,0,0
RUBMYR,D,19951116,000000,0.55936,0.55936,0.55936,0.55936,0,0
RUBMYR,D,19951117,000000,0.55559,0.55559,0.55559,0.55559,0,0
RUBMYR,D,19951120,000000,0.55559,0.55559,0.55559,0.55559,0,0
RUBMYR,D,19951121,000000,0.55739,0.55739,0.55739,0.55739,0,0
RUBMYR,D,19951122,000000,0.55564,0.55564,0.55564,0.55564,0,0
RUBMYR,D,19951123,000000,0.55473,0.55473,0.55473,0.55473,0,0
RUBMYR,D,19951124,000000,0.55548,0.55548,0.55548,0.55548,0,0
RUBMYR,D,19951127,000000,0.55472,0.55472,0.55472,0.55472,0,0
RUBMYR,D,19951128,000000,0.55458,0.55458,0.55458,0.55458,0,0
RUBMYR,D,19951129,000000,0.55547,0.55547,0.55547,0.55547,0,0
RUBMYR,D,19951130,000000,0.55407,0.55407,0.55407,0.55407,0,0
RUBMYR,D,19951201,000000,0.55146,0.55146,0.55146,0.55146,0,0
RUBMYR,D,19951204,000000,0.55203,0.55203,0.55203,0.55203,0,0
RUBMYR,D,19951205,000000,0.55313,0.55313,0.55313,0.55313,0,0
RUBMYR,D,19951206,000000,0.55349,0.55349,0.55349,0.55349,0,0
RUBMYR,D,19951207,000000,0.55203,0.55203,0.55203,0.55203,0,0
RUBMYR,D,19951208,000000,0.55406,0.55406,0.55406,0.55406,0,0
RUBMYR,D,19951211,000000,0.55391,0.55391,0.55391,0.55391,0,0
RUBMYR,D,19951212,000000,0.55469,0.55469,0.55469,0.55469,0,0
RUBMYR,D,19951213,000000,0.54999,0.54999,0.54999,0.54999,0,0
RUBMYR,D,19951214,000000,0.54859,0.54859,0.54859,0.54859,0,0
RUBMYR,D,19951215,000000,0.54923,0.54923,0.54923,0.54923,0,0
RUBMYR,D,19951218,000000,0.54861,0.54861,0.54861,0.54861,0,0
RUBMYR,D,19951219,000000,0.54791,0.54791,0.54791,0.54791,0,0
RUBMYR,D,19951220,000000,0.54817,0.54817,0.54817,0.54817,0,0
RUBMYR,D,19951221,000000,0.54654,0.54654,0.54654,0.54654,0,0
RUBMYR,D,19951222,000000,0.547,0.547,0.547,0.547,0,0
RUBMYR,D,19951227,000000,0.54798,0.54798,0.54798,0.54798,0,0
RUBMYR,D,19951228,000000,0.54771,0.54771,0.54771,0.54771,0,0
RUBMYR,D,19951229,000000,0.54729,0.54729,0.54729,0.54729,0,0
RUBMYR,D,19960102,000000,0.54742,0.54742,0.54742,0.54742,0,0
RUBMYR,D,19960103,000000,0.54875,0.54875,0.54875,0.54875,0,0
RUBMYR,D,19960104,000000,0.55177,0.55177,0.55177,0.55177,0,0
RUBMYR,D,19960105,000000,0.55008,0.55008,0.55008,0.55008,0,0
RUBMYR,D,19960108,000000,0.55129,0.55129,0.55129,0.55129,0,0
RUBMYR,D,19960109,000000,0.54952,0.54952,0.54952,0.54952,0,0
RUBMYR,D,19960110,000000,0.54734,0.54734,0.54734,0.54734,0,0
RUBMYR,D,19960111,000000,0.54784,0.54784,0.54784,0.54784,0,0
RUBMYR,D,19960112,000000,0.54988,0.54988,0.54988,0.54988,0,0
RUBMYR,D,19960115,000000,0.54912,0.54912,0.54912,0.54912,0,0
RUBMYR,D,19960116,000000,0.54833,0.54833,0.54833,0.54833,0,0
RUBMYR,D,19960117,000000,0.54703,0.54703,0.54703,0.54703,0,0
RUBMYR,D,19960118,000000,0.54406,0.54406,0.54406,0.54406,0,0
RUBMYR,D,19960119,000000,0.54319,0.54319,0.54319,0.54319,0,0
RUBMYR,D,19960122,000000,0.54548,0.54548,0.54548,0.54548,0,0
RUBMYR,D,19960123,000000,0.54583,0.54583,0.54583,0.54583,0,0
RUBMYR,D,19960124,000000,0.54346,0.54346,0.54346,0.54346,0,0
RUBMYR,D,19960125,000000,0.54389,0.54389,0.54389,0.54389,0,0
RUBMYR,D,19960126,000000,0.54187,0.54187,0.54187,0.54187,0,0
RUBMYR,D,19960129,000000,0.54153,0.54153,0.54153,0.54153,0,0
RUBMYR,D,19960130,000000,0.54034,0.54034,0.54034,0.54034,0,0
RUBMYR,D,19960131,000000,0.53995,0.53995,0.53995,0.53995,0,0
RUBMYR,D,19960201,000000,0.5396,0.5396,0.5396,0.5396,0,0
RUBMYR,D,19960202,000000,0.53825,0.53825,0.53825,0.53825,0,0
RUBMYR,D,19960205,000000,0.5378,0.5378,0.5378,0.5378,0,0
RUBMYR,D,19960206,000000,0.5368,0.5368,0.5368,0.5368,0,0
RUBMYR,D,19960207,000000,0.53659,0.53659,0.53659,0.53659,0,0
RUBMYR,D,19960208,000000,0.53844,0.53844,0.53844,0.53844,0,0
RUBMYR,D,19960209,000000,0.53797,0.53797,0.53797,0.53797,0,0
RUBMYR,D,19960212,000000,0.53613,0.53613,0.53613,0.53613,0,0
RUBMYR,D,19960213,000000,0.53641,0.53641,0.53641,0.53641,0,0
RUBMYR,D,19960214,000000,0.53449,0.53449,0.53449,0.53449,0,0
RUBMYR,D,19960215,000000,0.53449,0.53449,0.53449,0.53449,0,0
RUBMYR,D,19960216,000000,0.53721,0.53721,0.53721,0.53721,0,0
RUBMYR,D,19960219,000000,0.53489,0.53489,0.53489,0.53489,0,0
RUBMYR,D,19960220,000000,0.53477,0.53477,0.53477,0.53477,0,0
RUBMYR,D,19960221,000000,0.53498,0.53498,0.53498,0.53498,0,0
RUBMYR,D,19960222,000000,0.53486,0.53486,0.53486,0.53486,0,0
RUBMYR,D,19960223,000000,0.53457,0.53457,0.53457,0.53457,0,0
RUBMYR,D,19960226,000000,0.53314,0.53314,0.53314,0.53314,0,0
RUBMYR,D,19960227,000000,0.53247,0.53247,0.53247,0.53247,0,0
RUBMYR,D,19960228,000000,0.52793,0.52793,0.52793,0.52793,0,0
RUBMYR,D,19960229,000000,0.52934,0.52934,0.52934,0.52934,0,0
RUBMYR,D,19960301,000000,0.52785,0.52785,0.52785,0.52785,0,0
RUBMYR,D,19960304,000000,0.52877,0.52877,0.52877,0.52877,0,0
RUBMYR,D,19960305,000000,0.52821,0.52821,0.52821,0.52821,0,0
RUBMYR,D,19960306,000000,0.52529,0.52529,0.52529,0.52529,0,0
RUBMYR,D,19960307,000000,0.52613,0.52613,0.52613,0.52613,0,0
RUBMYR,D,19960308,000000,0.5268,0.5268,0.5268,0.5268,0,0
RUBMYR,D,19960311,000000,0.5269,0.5269,0.5269,0.5269,0,0
RUBMYR,D,19960312,000000,0.5287,0.5287,0.5287,0.5287,0,0
RUBMYR,D,19960313,000000,0.52663,0.52663,0.52663,0.52663,0,0
RUBMYR,D,19960314,000000,0.52606,0.52606,0.52606,0.52606,0,0
RUBMYR,D,19960315,000000,0.52777,0.52777,0.52777,0.52777,0,0
RUBMYR,D,19960318,000000,0.52621,0.52621,0.52621,0.52621,0,0
RUBMYR,D,19960319,000000,0.5276,0.5276,0.5276,0.5276,0,0
