<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBRON,D,19951023,000000,0.04924,0.04924,0.04924,0.04924,0,0
RUBRON,D,19951024,000000,0.049301,0.049301,0.049301,0.049301,0,0
RUBRON,D,19951025,000000,0.049601,0.049601,0.049601,0.049601,0,0
RUBRON,D,19951026,000000,0.049568,0.049568,0.049568,0.049568,0,0
RUBRON,D,19951027,000000,0.049524,0.049524,0.049524,0.049524,0,0
RUBRON,D,19951030,000000,0.04969,0.04969,0.04969,0.04969,0,0
RUBRON,D,19951031,000000,0.049689,0.049689,0.049689,0.049689,0,0
RUBRON,D,19951102,000000,0.050177,0.050177,0.050177,0.050177,0,0
RUBRON,D,19951103,000000,0.050785,0.050785,0.050785,0.050785,0,0
RUBRON,D,19951106,000000,0.050795,0.050795,0.050795,0.050795,0,0
RUBRON,D,19951107,000000,0.051867,0.051867,0.051867,0.051867,0,0
RUBRON,D,19951108,000000,0.051549,0.051549,0.051549,0.051549,0,0
RUBRON,D,19951109,000000,0.051947,0.051947,0.051947,0.051947,0,0
RUBRON,D,19951110,000000,0.052434,0.052434,0.052434,0.052434,0,0
RUBRON,D,19951113,000000,0.052417,0.052417,0.052417,0.052417,0,0
RUBRON,D,19951114,000000,0.052345,0.052345,0.052345,0.052345,0,0
RUBRON,D,19951115,000000,0.052458,0.052458,0.052458,0.052458,0,0
RUBRON,D,19951116,000000,0.054218,0.054218,0.054218,0.054218,0,0
RUBRON,D,19951117,000000,0.05598,0.05598,0.05598,0.05598,0,0
RUBRON,D,19951120,000000,0.055831,0.055831,0.055831,0.055831,0,0
RUBRON,D,19951121,000000,0.055938,0.055938,0.055938,0.055938,0,0
RUBRON,D,19951122,000000,0.055765,0.055765,0.055765,0.055765,0,0
RUBRON,D,19951123,000000,0.055726,0.055726,0.055726,0.055726,0,0
RUBRON,D,19951124,000000,0.055732,0.055732,0.055732,0.055732,0,0
RUBRON,D,19951127,000000,0.055485,0.055485,0.055485,0.055485,0,0
RUBRON,D,19951128,000000,0.056292,0.056292,0.056292,0.056292,0,0
RUBRON,D,19951129,000000,0.055591,0.055591,0.055591,0.055591,0,0
RUBRON,D,19951130,000000,0.055485,0.055485,0.055485,0.055485,0,0
RUBRON,D,19951201,000000,0.055348,0.055348,0.055348,0.055348,0,0
RUBRON,D,19951204,000000,0.05622,0.05622,0.05622,0.05622,0,0
RUBRON,D,19951205,000000,0.056498,0.056498,0.056498,0.056498,0,0
RUBRON,D,19951206,000000,0.05602,0.05602,0.05602,0.05602,0,0
RUBRON,D,19951207,000000,0.05681,0.05681,0.05681,0.05681,0,0
RUBRON,D,19951208,000000,0.056864,0.056864,0.056864,0.056864,0,0
RUBRON,D,19951211,000000,0.056919,0.056919,0.056919,0.056919,0,0
RUBRON,D,19951212,000000,0.056482,0.056482,0.056482,0.056482,0,0
RUBRON,D,19951213,000000,0.056229,0.056229,0.056229,0.056229,0,0
RUBRON,D,19951214,000000,0.055927,0.055927,0.055927,0.055927,0,0
RUBRON,D,19951215,000000,0.056355,0.056355,0.056355,0.056355,0,0
RUBRON,D,19951218,000000,0.056289,0.056289,0.056289,0.056289,0,0
RUBRON,D,19951219,000000,0.056256,0.056256,0.056256,0.056256,0,0
RUBRON,D,19951220,000000,0.056256,0.056256,0.056256,0.056256,0,0
RUBRON,D,19951221,000000,0.056256,0.056256,0.056256,0.056256,0,0
RUBRON,D,19951222,000000,0.056256,0.056256,0.056256,0.056256,0,0
RUBRON,D,19951227,000000,0.056299,0.056299,0.056299,0.056299,0,0
RUBRON,D,19951228,000000,0.05625,0.05625,0.05625,0.05625,0,0
RUBRON,D,19951229,000000,0.056638,0.056638,0.056638,0.056638,0,0
RUBRON,D,19960102,000000,0.056638,0.056638,0.056638,0.056638,0,0
RUBRON,D,19960103,000000,0.056616,0.056616,0.056616,0.056616,0,0
RUBRON,D,19960104,000000,0.056562,0.056562,0.056562,0.056562,0,0
RUBRON,D,19960105,000000,0.056745,0.056745,0.056745,0.056745,0,0
RUBRON,D,19960108,000000,0.056573,0.056573,0.056573,0.056573,0,0
RUBRON,D,19960109,000000,0.056608,0.056608,0.056608,0.056608,0,0
RUBRON,D,19960110,000000,0.056992,0.056992,0.056992,0.056992,0,0
RUBRON,D,19960111,000000,0.056136,0.056136,0.056136,0.056136,0,0
RUBRON,D,19960112,000000,0.056713,0.056713,0.056713,0.056713,0,0
RUBRON,D,19960115,000000,0.057343,0.057343,0.057343,0.057343,0,0
RUBRON,D,19960116,000000,0.057448,0.057448,0.057448,0.057448,0,0
RUBRON,D,19960117,000000,0.056977,0.056977,0.056977,0.056977,0,0
RUBRON,D,19960118,000000,0.057378,0.057378,0.057378,0.057378,0,0
RUBRON,D,19960119,000000,0.057203,0.057203,0.057203,0.057203,0,0
