<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBTRY,D,19951023,000000,0.011117,0.011117,0.011117,0.011117,0,0
RUBTRY,D,19951024,000000,0.011185,0.011185,0.011185,0.011185,0,0
RUBTRY,D,19951025,000000,0.011163,0.011163,0.011163,0.011163,0,0
RUBTRY,D,19951026,000000,0.011178,0.011178,0.011178,0.011178,0,0
RUBTRY,D,19951027,000000,0.011256,0.011256,0.011256,0.011256,0,0
RUBTRY,D,19951030,000000,0.011313,0.011313,0.011313,0.011313,0,0
RUBTRY,D,19951031,000000,0.011291,0.011291,0.011291,0.011291,0,0
RUBTRY,D,19951102,000000,0.01134,0.01134,0.01134,0.01134,0,0
RUBTRY,D,19951103,000000,0.011406,0.011406,0.011406,0.011406,0,0
RUBTRY,D,19951106,000000,0.011379,0.011379,0.011379,0.011379,0,0
RUBTRY,D,19951107,000000,0.011401,0.011401,0.011401,0.011401,0,0
RUBTRY,D,19951108,000000,0.011438,0.011438,0.011438,0.011438,0,0
RUBTRY,D,19951109,000000,0.011463,0.011463,0.011463,0.011463,0,0
RUBTRY,D,19951110,000000,0.011438,0.011438,0.011438,0.011438,0,0
RUBTRY,D,19951113,000000,0.011455,0.011455,0.011455,0.011455,0,0
RUBTRY,D,19951114,000000,0.011498,0.011498,0.011498,0.011498,0,0
RUBTRY,D,19951115,000000,0.011505,0.011505,0.011505,0.011505,0,0
RUBTRY,D,19951116,000000,0.011572,0.011572,0.011572,0.011572,0,0
RUBTRY,D,19951117,000000,0.011503,0.011503,0.011503,0.011503,0,0
RUBTRY,D,19951120,000000,0.011582,0.011582,0.011582,0.011582,0,0
RUBTRY,D,19951121,000000,0.011604,0.011604,0.011604,0.011604,0,0
RUBTRY,D,19951122,000000,0.01159,0.01159,0.01159,0.01159,0,0
RUBTRY,D,19951123,000000,0.011582,0.011582,0.011582,0.011582,0,0
RUBTRY,D,19951124,000000,0.011737,0.011737,0.011737,0.011737,0,0
RUBTRY,D,19951127,000000,0.011785,0.011785,0.011785,0.011785,0,0
RUBTRY,D,19951128,000000,0.011847,0.011847,0.011847,0.011847,0,0
RUBTRY,D,19951129,000000,0.011883,0.011883,0.011883,0.011883,0,0
RUBTRY,D,19951130,000000,0.011905,0.011905,0.011905,0.011905,0,0
RUBTRY,D,19951201,000000,0.011963,0.011963,0.011963,0.011963,0,0
RUBTRY,D,19951204,000000,0.011941,0.011941,0.011941,0.011941,0,0
RUBTRY,D,19951205,000000,0.011975,0.011975,0.011975,0.011975,0,0
RUBTRY,D,19951206,000000,0.012032,0.012032,0.012032,0.012032,0,0
RUBTRY,D,19951207,000000,0.012049,0.012049,0.012049,0.012049,0,0
RUBTRY,D,19951208,000000,0.012093,0.012093,0.012093,0.012093,0,0
RUBTRY,D,19951211,000000,0.012159,0.012159,0.012159,0.012159,0,0
RUBTRY,D,19951212,000000,0.012224,0.012224,0.012224,0.012224,0,0
RUBTRY,D,19951213,000000,0.012154,0.012154,0.012154,0.012154,0,0
RUBTRY,D,19951214,000000,0.012179,0.012179,0.012179,0.012179,0,0
RUBTRY,D,19951215,000000,0.012199,0.012199,0.012199,0.012199,0,0
RUBTRY,D,19951218,000000,0.01225,0.01225,0.01225,0.01225,0,0
RUBTRY,D,19951219,000000,0.012243,0.012243,0.012243,0.012243,0,0
RUBTRY,D,19951220,000000,0.012286,0.012286,0.012286,0.012286,0,0
RUBTRY,D,19951221,000000,0.012372,0.012372,0.012372,0.012372,0,0
RUBTRY,D,19951222,000000,0.012372,0.012372,0.012372,0.012372,0,0
RUBTRY,D,19951227,000000,0.01318,0.01318,0.01318,0.01318,0,0
RUBTRY,D,19951228,000000,0.01319,0.01319,0.01319,0.01319,0,0
RUBTRY,D,19951229,000000,0.012867,0.012867,0.012867,0.012867,0,0
RUBTRY,D,19960102,000000,0.013082,0.013082,0.013082,0.013082,0,0
RUBTRY,D,19960103,000000,0.012931,0.012931,0.012931,0.012931,0,0
RUBTRY,D,19960104,000000,0.012759,0.012759,0.012759,0.012759,0,0
RUBTRY,D,19960105,000000,0.012672,0.012672,0.012672,0.012672,0,0
RUBTRY,D,19960108,000000,0.012737,0.012737,0.012737,0.012737,0,0
RUBTRY,D,19960109,000000,0.012737,0.012737,0.012737,0.012737,0,0
RUBTRY,D,19960110,000000,0.012705,0.012705,0.012705,0.012705,0,0
RUBTRY,D,19960111,000000,0.012748,0.012748,0.012748,0.012748,0,0
RUBTRY,D,19960112,000000,0.012813,0.012813,0.012813,0.012813,0,0
RUBTRY,D,19960115,000000,0.012862,0.012862,0.012862,0.012862,0,0
