<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUBXAG,D,19951023,000000,0.041477,0.041477,0.041477,0.041477,0,0
RUBXAG,D,19951024,000000,0.041482,0.041482,0.041482,0.041482,0,0
RUBXAG,D,19951025,000000,0.040871,0.040871,0.040871,0.040871,0,0
RUBXAG,D,19951026,000000,0.040919,0.040919,0.040919,0.040919,0,0
RUBXAG,D,19951027,000000,0.041729,0.041729,0.041729,0.041729,0,0
RUBXAG,D,19951030,000000,0.041619,0.041619,0.041619,0.041619,0,0
RUBXAG,D,19951031,000000,0.04154,0.04154,0.04154,0.04154,0,0
RUBXAG,D,19951102,000000,0.041472,0.041472,0.041472,0.041472,0,0
RUBXAG,D,19951103,000000,0.041785,0.041785,0.041785,0.041785,0,0
RUBXAG,D,19951106,000000,0.041846,0.041846,0.041846,0.041846,0,0
RUBXAG,D,19951107,000000,0.041221,0.041221,0.041221,0.041221,0,0
RUBXAG,D,19951108,000000,0.041276,0.041276,0.041276,0.041276,0,0
RUBXAG,D,19951109,000000,0.041131,0.041131,0.041131,0.041131,0,0
RUBXAG,D,19951110,000000,0.040669,0.040669,0.040669,0.040669,0,0
RUBXAG,D,19951113,000000,0.041485,0.041485,0.041485,0.041485,0,0
RUBXAG,D,19951114,000000,0.041403,0.041403,0.041403,0.041403,0,0
RUBXAG,D,19951115,000000,0.041276,0.041276,0.041276,0.041276,0,0
RUBXAG,D,19951116,000000,0.041513,0.041513,0.041513,0.041513,0,0
RUBXAG,D,19951117,000000,0.040957,0.040957,0.040957,0.040957,0,0
RUBXAG,D,19951120,000000,0.040924,0.040924,0.040924,0.040924,0,0
RUBXAG,D,19951121,000000,0.041468,0.041468,0.041468,0.041468,0,0
RUBXAG,D,19951122,000000,0.042136,0.042136,0.042136,0.042136,0,0
RUBXAG,D,19951123,000000,0.041945,0.041945,0.041945,0.041945,0,0
RUBXAG,D,19951124,000000,0.041709,0.041709,0.041709,0.041709,0,0
RUBXAG,D,19951127,000000,0.041807,0.041807,0.041807,0.041807,0,0
RUBXAG,D,19951128,000000,0.041718,0.041718,0.041718,0.041718,0,0
RUBXAG,D,19951129,000000,0.042168,0.042168,0.042168,0.042168,0,0
RUBXAG,D,19951130,000000,0.041768,0.041768,0.041768,0.041768,0,0
RUBXAG,D,19951201,000000,0.041905,0.041905,0.041905,0.041905,0,0
RUBXAG,D,19951204,000000,0.041906,0.041906,0.041906,0.041906,0,0
RUBXAG,D,19951205,000000,0.04155,0.04155,0.04155,0.04155,0,0
RUBXAG,D,19951206,000000,0.041519,0.041519,0.041519,0.041519,0,0
RUBXAG,D,19951207,000000,0.041507,0.041507,0.041507,0.041507,0,0
RUBXAG,D,19951208,000000,0.041818,0.041818,0.041818,0.041818,0,0
RUBXAG,D,19951211,000000,0.041898,0.041898,0.041898,0.041898,0,0
RUBXAG,D,19951212,000000,0.042222,0.042222,0.042222,0.042222,0,0
RUBXAG,D,19951213,000000,0.042239,0.042239,0.042239,0.042239,0,0
RUBXAG,D,19951214,000000,0.042011,0.042011,0.042011,0.042011,0,0
RUBXAG,D,19951215,000000,0.04209,0.04209,0.04209,0.04209,0,0
RUBXAG,D,19951218,000000,0.041715,0.041715,0.041715,0.041715,0,0
RUBXAG,D,19951219,000000,0.041934,0.041934,0.041934,0.041934,0,0
RUBXAG,D,19951220,000000,0.041691,0.041691,0.041691,0.041691,0,0
RUBXAG,D,19951221,000000,0.041853,0.041853,0.041853,0.041853,0,0
RUBXAG,D,19951222,000000,0.041771,0.041771,0.041771,0.041771,0,0
RUBXAG,D,19951227,000000,0.041885,0.041885,0.041885,0.041885,0,0
RUBXAG,D,19951228,000000,0.041848,0.041848,0.041848,0.041848,0,0
RUBXAG,D,19951229,000000,0.041606,0.041606,0.041606,0.041606,0,0
RUBXAG,D,19960102,000000,0.040359,0.040359,0.040359,0.040359,0,0
RUBXAG,D,19960103,000000,0.040284,0.040284,0.040284,0.040284,0,0
RUBXAG,D,19960104,000000,0.040059,0.040059,0.040059,0.040059,0,0
RUBXAG,D,19960105,000000,0.039043,0.039043,0.039043,0.039043,0,0
RUBXAG,D,19960108,000000,0.038972,0.038972,0.038972,0.038972,0,0
RUBXAG,D,19960109,000000,0.038841,0.038841,0.038841,0.038841,0,0
RUBXAG,D,19960110,000000,0.03826,0.03826,0.03826,0.03826,0,0
RUBXAG,D,19960111,000000,0.038956,0.038956,0.038956,0.038956,0,0
RUBXAG,D,19960112,000000,0.038951,0.038951,0.038951,0.038951,0,0
RUBXAG,D,19960115,000000,0.039406,0.039406,0.039406,0.039406,0,0
RUBXAG,D,19960116,000000,0.039115,0.039115,0.039115,0.039115,0,0
RUBXAG,D,19960117,000000,0.038901,0.038901,0.038901,0.038901,0,0
RUBXAG,D,19960118,000000,0.039188,0.039188,0.039188,0.039188,0,0
RUBXAG,D,19960119,000000,0.039076,0.039076,0.039076,0.039076,0,0
RUBXAG,D,19960122,000000,0.038216,0.038216,0.038216,0.038216,0,0
RUBXAG,D,19960123,000000,0.038423,0.038423,0.038423,0.038423,0,0
RUBXAG,D,19960124,000000,0.038574,0.038574,0.038574,0.038574,0,0
RUBXAG,D,19960125,000000,0.038128,0.038128,0.038128,0.038128,0,0
RUBXAG,D,19960126,000000,0.0383,0.0383,0.0383,0.0383,0,0
RUBXAG,D,19960129,000000,0.038207,0.038207,0.038207,0.038207,0,0
RUBXAG,D,19960130,000000,0.037964,0.037964,0.037964,0.037964,0,0
RUBXAG,D,19960131,000000,0.037797,0.037797,0.037797,0.037797,0,0
RUBXAG,D,19960201,000000,0.036506,0.036506,0.036506,0.036506,0,0
RUBXAG,D,19960202,000000,0.036169,0.036169,0.036169,0.036169,0,0
RUBXAG,D,19960205,000000,0.03632,0.03632,0.03632,0.03632,0,0
RUBXAG,D,19960206,000000,0.036574,0.036574,0.036574,0.036574,0,0
RUBXAG,D,19960207,000000,0.037015,0.037015,0.037015,0.037015,0,0
RUBXAG,D,19960208,000000,0.036895,0.036895,0.036895,0.036895,0,0
RUBXAG,D,19960209,000000,0.037324,0.037324,0.037324,0.037324,0,0
RUBXAG,D,19960212,000000,0.037136,0.037136,0.037136,0.037136,0,0
RUBXAG,D,19960213,000000,0.037022,0.037022,0.037022,0.037022,0,0
RUBXAG,D,19960214,000000,0.036691,0.036691,0.036691,0.036691,0,0
RUBXAG,D,19960215,000000,0.037211,0.037211,0.037211,0.037211,0,0
RUBXAG,D,19960216,000000,0.037106,0.037106,0.037106,0.037106,0,0
RUBXAG,D,19960219,000000,0.036733,0.036733,0.036733,0.036733,0,0
RUBXAG,D,19960220,000000,0.03708,0.03708,0.03708,0.03708,0,0
RUBXAG,D,19960221,000000,0.037913,0.037913,0.037913,0.037913,0,0
RUBXAG,D,19960222,000000,0.037818,0.037818,0.037818,0.037818,0,0
RUBXAG,D,19960223,000000,0.038187,0.038187,0.038187,0.038187,0,0
RUBXAG,D,19960226,000000,0.038102,0.038102,0.038102,0.038102,0,0
RUBXAG,D,19960227,000000,0.037874,0.037874,0.037874,0.037874,0,0
RUBXAG,D,19960228,000000,0.038025,0.038025,0.038025,0.038025,0,0
RUBXAG,D,19960229,000000,0.037613,0.037613,0.037613,0.037613,0,0
RUBXAG,D,19960301,000000,0.037695,0.037695,0.037695,0.037695,0,0
RUBXAG,D,19960304,000000,0.038403,0.038403,0.038403,0.038403,0,0
RUBXAG,D,19960305,000000,0.038597,0.038597,0.038597,0.038597,0,0
RUBXAG,D,19960306,000000,0.038428,0.038428,0.038428,0.038428,0,0
RUBXAG,D,19960307,000000,0.03845,0.03845,0.03845,0.03845,0,0
RUBXAG,D,19960308,000000,0.037681,0.037681,0.037681,0.037681,0,0
RUBXAG,D,19960311,000000,0.037616,0.037616,0.037616,0.037616,0,0
RUBXAG,D,19960312,000000,0.037292,0.037292,0.037292,0.037292,0,0
RUBXAG,D,19960313,000000,0.037258,0.037258,0.037258,0.037258,0,0
RUBXAG,D,19960314,000000,0.037122,0.037122,0.037122,0.037122,0,0
RUBXAG,D,19960315,000000,0.037231,0.037231,0.037231,0.037231,0,0
RUBXAG,D,19960318,000000,0.037339,0.037339,0.037339,0.037339,0,0
RUBXAG,D,19960319,000000,0.037356,0.037356,0.037356,0.037356,0,0
RUBXAG,D,19960320,000000,0.037128,0.037128,0.037128,0.037128,0,0
RUBXAG,D,19960321,000000,0.036959,0.036959,0.036959,0.036959,0,0
RUBXAG,D,19960322,000000,0.036801,0.036801,0.036801,0.036801,0,0
RUBXAG,D,19960325,000000,0.03679,0.03679,0.03679,0.03679,0,0
RUBXAG,D,19960326,000000,0.03608,0.03608,0.03608,0.03608,0,0
RUBXAG,D,19960327,000000,0.036275,0.036275,0.036275,0.036275,0,0
RUBXAG,D,19960328,000000,0.037262,0.037262,0.037262,0.037262,0,0
RUBXAG,D,19960329,000000,0.037195,0.037195,0.037195,0.037195,0,0
RUBXAG,D,19960401,000000,0.037152,0.037152,0.037152,0.037152,0,0
RUBXAG,D,19960402,000000,0.037396,0.037396,0.037396,0.037396,0,0
RUBXAG,D,19960403,000000,0.037294,0.037294,0.037294,0.037294,0,0
RUBXAG,D,19960404,000000,0.037881,0.037881,0.037881,0.037881,0,0
RUBXAG,D,19960405,000000,0.037742,0.037742,0.037742,0.037742,0,0
RUBXAG,D,19960409,000000,0.037444,0.037444,0.037444,0.037444,0,0
RUBXAG,D,19960410,000000,0.037189,0.037189,0.037189,0.037189,0,0
RUBXAG,D,19960411,000000,0.036654,0.036654,0.036654,0.036654,0,0
RUBXAG,D,19960412,000000,0.036994,0.036994,0.036994,0.036994,0,0
RUBXAG,D,19960415,000000,0.03721,0.03721,0.03721,0.03721,0,0
RUBXAG,D,19960416,000000,0.038406,0.038406,0.038406,0.038406,0,0
RUBXAG,D,19960417,000000,0.038355,0.038355,0.038355,0.038355,0,0
RUBXAG,D,19960418,000000,0.038464,0.038464,0.038464,0.038464,0,0
RUBXAG,D,19960419,000000,0.03854,0.03854,0.03854,0.03854,0,0
RUBXAG,D,19960422,000000,0.038007,0.038007,0.038007,0.038007,0,0
RUBXAG,D,19960423,000000,0.037942,0.037942,0.037942,0.037942,0,0
RUBXAG,D,19960424,000000,0.038202,0.038202,0.038202,0.038202,0,0
RUBXAG,D,19960425,000000,0.0376,0.0376,0.0376,0.0376,0,0
RUBXAG,D,19960426,000000,0.037894,0.037894,0.037894,0.037894,0,0
RUBXAG,D,19960429,000000,0.038252,0.038252,0.038252,0.038252,0,0
RUBXAG,D,19960430,000000,0.037998,0.037998,0.037998,0.037998,0,0
RUBXAG,D,19960506,000000,0.036984,0.036984,0.036984,0.036984,0,0
RUBXAG,D,19960507,000000,0.036623,0.036623,0.036623,0.036623,0,0
RUBXAG,D,19960508,000000,0.037049,0.037049,0.037049,0.037049,0,0
RUBXAG,D,19960509,000000,0.037186,0.037186,0.037186,0.037186,0,0
RUBXAG,D,19960510,000000,0.037671,0.037671,0.037671,0.037671,0,0
RUBXAG,D,19960513,000000,0.037525,0.037525,0.037525,0.037525,0,0
RUBXAG,D,19960514,000000,0.037409,0.037409,0.037409,0.037409,0,0
RUBXAG,D,19960515,000000,0.037182,0.037182,0.037182,0.037182,0,0
RUBXAG,D,19960516,000000,0.037121,0.037121,0.037121,0.037121,0,0
RUBXAG,D,19960517,000000,0.037608,0.037608,0.037608,0.037608,0,0
RUBXAG,D,19960520,000000,0.037963,0.037963,0.037963,0.037963,0,0
RUBXAG,D,19960521,000000,0.037843,0.037843,0.037843,0.037843,0,0
RUBXAG,D,19960522,000000,0.03753,0.03753,0.03753,0.03753,0,0
RUBXAG,D,19960523,000000,0.037241,0.037241,0.037241,0.037241,0,0
RUBXAG,D,19960524,000000,0.037505,0.037505,0.037505,0.037505,0,0
RUBXAG,D,19960527,000000,0.037429,0.037429,0.037429,0.037429,0,0
RUBXAG,D,19960528,000000,0.037067,0.037067,0.037067,0.037067,0,0
RUBXAG,D,19960529,000000,0.037306,0.037306,0.037306,0.037306,0,0
RUBXAG,D,19960530,000000,0.037329,0.037329,0.037329,0.037329,0,0
RUBXAG,D,19960531,000000,0.037206,0.037206,0.037206,0.037206,0,0
RUBXAG,D,19960603,000000,0.036829,0.036829,0.036829,0.036829,0,0
RUBXAG,D,19960604,000000,0.038026,0.038026,0.038026,0.038026,0,0
RUBXAG,D,19960605,000000,0.038088,0.038088,0.038088,0.038088,0,0
RUBXAG,D,19960607,000000,0.038103,0.038103,0.038103,0.038103,0,0
RUBXAG,D,19960610,000000,0.038111,0.038111,0.038111,0.038111,0,0
RUBXAG,D,19960611,000000,0.038531,0.038531,0.038531,0.038531,0,0
RUBXAG,D,19960612,000000,0.038531,0.038531,0.038531,0.038531,0,0
RUBXAG,D,19960613,000000,0.039159,0.039159,0.039159,0.039159,0,0
RUBXAG,D,19960614,000000,0.038812,0.038812,0.038812,0.038812,0,0
RUBXAG,D,19960617,000000,0.037968,0.037968,0.037968,0.037968,0,0
RUBXAG,D,19960618,000000,0.038104,0.038104,0.038104,0.038104,0,0
RUBXAG,D,19960619,000000,0.038542,0.038542,0.038542,0.038542,0,0
RUBXAG,D,19960620,000000,0.038384,0.038384,0.038384,0.038384,0,0
RUBXAG,D,19960621,000000,0.038308,0.038308,0.038308,0.038308,0,0
RUBXAG,D,19960624,000000,0.038099,0.038099,0.038099,0.038099,0,0
RUBXAG,D,19960625,000000,0.037866,0.037866,0.037866,0.037866,0,0
RUBXAG,D,19960626,000000,0.038497,0.038497,0.038497,0.038497,0,0
RUBXAG,D,19960627,000000,0.038902,0.038902,0.038902,0.038902,0,0
RUBXAG,D,19960628,000000,0.038759,0.038759,0.038759,0.038759,0,0
RUBXAG,D,19960701,000000,0.03853,0.03853,0.03853,0.03853,0,0
RUBXAG,D,19960702,000000,0.03815,0.03815,0.03815,0.03815,0,0
RUBXAG,D,19960703,000000,0.037927,0.037927,0.037927,0.037927,0,0
RUBXAG,D,19960704,000000,0.03834,0.03834,0.03834,0.03834,0,0
RUBXAG,D,19960705,000000,0.038376,0.038376,0.038376,0.038376,0,0
RUBXAG,D,19960708,000000,0.038499,0.038499,0.038499,0.038499,0,0
RUBXAG,D,19960709,000000,0.038111,0.038111,0.038111,0.038111,0,0
RUBXAG,D,19960710,000000,0.038402,0.038402,0.038402,0.038402,0,0
RUBXAG,D,19960711,000000,0.037861,0.037861,0.037861,0.037861,0,0
RUBXAG,D,19960712,000000,0.038036,0.038036,0.038036,0.038036,0,0
RUBXAG,D,19960715,000000,0.038331,0.038331,0.038331,0.038331,0,0
RUBXAG,D,19960716,000000,0.037978,0.037978,0.037978,0.037978,0,0
RUBXAG,D,19960717,000000,0.038858,0.038858,0.038858,0.038858,0,0
RUBXAG,D,19960718,000000,0.03873,0.03873,0.03873,0.03873,0,0
RUBXAG,D,19960719,000000,0.038568,0.038568,0.038568,0.038568,0,0
RUBXAG,D,19960722,000000,0.038642,0.038642,0.038642,0.038642,0,0
RUBXAG,D,19960723,000000,0.038862,0.038862,0.038862,0.038862,0,0
RUBXAG,D,19960724,000000,0.038753,0.038753,0.038753,0.038753,0,0
RUBXAG,D,19960725,000000,0.038653,0.038653,0.038653,0.038653,0,0
RUBXAG,D,19960726,000000,0.037842,0.037842,0.037842,0.037842,0,0
RUBXAG,D,19960729,000000,0.038052,0.038052,0.038052,0.038052,0,0
RUBXAG,D,19960730,000000,0.037887,0.037887,0.037887,0.037887,0,0
RUBXAG,D,19960731,000000,0.037484,0.037484,0.037484,0.037484,0,0
RUBXAG,D,19960801,000000,0.037288,0.037288,0.037288,0.037288,0,0
RUBXAG,D,19960802,000000,0.037527,0.037527,0.037527,0.037527,0,0
RUBXAG,D,19960805,000000,0.037601,0.037601,0.037601,0.037601,0,0
RUBXAG,D,19960806,000000,0.037723,0.037723,0.037723,0.037723,0,0
RUBXAG,D,19960807,000000,0.037609,0.037609,0.037609,0.037609,0,0
RUBXAG,D,19960808,000000,0.037559,0.037559,0.037559,0.037559,0,0
RUBXAG,D,19960809,000000,0.037359,0.037359,0.037359,0.037359,0,0
RUBXAG,D,19960812,000000,0.037192,0.037192,0.037192,0.037192,0,0
RUBXAG,D,19960813,000000,0.037124,0.037124,0.037124,0.037124,0,0
RUBXAG,D,19960814,000000,0.037346,0.037346,0.037346,0.037346,0,0
RUBXAG,D,19960816,000000,0.037121,0.037121,0.037121,0.037121,0,0
RUBXAG,D,19960819,000000,0.036134,0.036134,0.036134,0.036134,0,0
RUBXAG,D,19960820,000000,0.036208,0.036208,0.036208,0.036208,0,0
RUBXAG,D,19960821,000000,0.036212,0.036212,0.036212,0.036212,0,0
RUBXAG,D,19960822,000000,0.03591,0.03591,0.03591,0.03591,0,0
RUBXAG,D,19960823,000000,0.035886,0.035886,0.035886,0.035886,0,0
RUBXAG,D,19960826,000000,0.03559,0.03559,0.03559,0.03559,0,0
RUBXAG,D,19960827,000000,0.035465,0.035465,0.035465,0.035465,0,0
RUBXAG,D,19960828,000000,0.035908,0.035908,0.035908,0.035908,0,0
RUBXAG,D,19960829,000000,0.035897,0.035897,0.035897,0.035897,0,0
RUBXAG,D,19960830,000000,0.036129,0.036129,0.036129,0.036129,0,0
RUBXAG,D,19960902,000000,0.035989,0.035989,0.035989,0.035989,0,0
RUBXAG,D,19960903,000000,0.036022,0.036022,0.036022,0.036022,0,0
RUBXAG,D,19960904,000000,0.03588,0.03588,0.03588,0.03588,0,0
RUBXAG,D,19960905,000000,0.036156,0.036156,0.036156,0.036156,0,0
RUBXAG,D,19960906,000000,0.03644,0.03644,0.03644,0.03644,0,0
RUBXAG,D,19960909,000000,0.036588,0.036588,0.036588,0.036588,0,0
RUBXAG,D,19960910,000000,0.036562,0.036562,0.036562,0.036562,0,0
RUBXAG,D,19960911,000000,0.036398,0.036398,0.036398,0.036398,0,0
RUBXAG,D,19960912,000000,0.036984,0.036984,0.036984,0.036984,0,0
