<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGDBTC,D,20100719,000000,8.9886,8.9886,8.9886,8.9886,0,0
SGDBTC,D,20100720,000000,9.7334,9.7334,9.7334,9.7334,0,0
SGDBTC,D,20100721,000000,9.1764,9.1764,9.1764,9.1764,0,0
SGDBTC,D,20100722,000000,14.42,14.42,14.42,14.42,0,0
SGDBTC,D,20100723,000000,11.6382,11.6382,11.6382,11.6382,0,0
SGDBTC,D,20100726,000000,13.1291,13.1291,13.1291,13.1291,0,0
SGDBTC,D,20100727,000000,12.2406,12.2406,12.2406,12.2406,0,0
SGDBTC,D,20100728,000000,12.4251,12.4251,12.4251,12.4251,0,0
SGDBTC,D,20100729,000000,10.4984,10.4984,10.4984,10.4984,0,0
SGDBTC,D,20100730,000000,11.7299,11.7299,11.7299,11.7299,0,0
SGDBTC,D,20100802,000000,12.3455,12.3455,12.3455,12.3455,0,0
SGDBTC,D,20100803,000000,12.3492,12.3492,12.3492,12.3492,0,0
SGDBTC,D,20100804,000000,12.9748,12.9748,12.9748,12.9748,0,0
SGDBTC,D,20100805,000000,12.1168,12.1168,12.1168,12.1168,0,0
SGDBTC,D,20100806,000000,11.9117,11.9117,11.9117,11.9117,0,0
SGDBTC,D,20100809,000000,10.4491,10.4491,10.4491,10.4491,0,0
SGDBTC,D,20100810,000000,10.5386,10.5386,10.5386,10.5386,0,0
SGDBTC,D,20100811,000000,10.9348,10.9348,10.9348,10.9348,0,0
SGDBTC,D,20100812,000000,10.4946,10.4946,10.4946,10.4946,0,0
SGDBTC,D,20100813,000000,11.3923,11.3923,11.3923,11.3923,0,0
SGDBTC,D,20100816,000000,11.2216,11.2216,11.2216,11.2216,0,0
SGDBTC,D,20100817,000000,10.5559,10.5559,10.5559,10.5559,0,0
SGDBTC,D,20100818,000000,10.8967,10.8967,10.8967,10.8967,0,0
SGDBTC,D,20100819,000000,11.0721,11.0721,11.0721,11.0721,0,0
SGDBTC,D,20100820,000000,11.2598,11.2598,11.2598,11.2598,0,0
