<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGDXAU,D,19840109,000000,0.0012746,0.0012746,0.0012746,0.0012746,0,0
SGDXAU,D,19840116,000000,0.001265,0.001265,0.001265,0.001265,0,0
SGDXAU,D,19840123,000000,0.0012823,0.0012823,0.0012823,0.0012823,0,0
SGDXAU,D,19840130,000000,0.0012499,0.0012499,0.0012499,0.0012499,0,0
SGDXAU,D,19840206,000000,0.0012137,0.0012137,0.0012137,0.0012137,0,0
SGDXAU,D,19840213,000000,0.0012302,0.0012302,0.0012302,0.0012302,0,0
SGDXAU,D,19840220,000000,0.0012294,0.0012294,0.0012294,0.0012294,0,0
SGDXAU,D,19840301,000000,0.0011838,0.0011838,0.0011838,0.0011838,0,0
SGDXAU,D,19840305,000000,0.0011826,0.0011826,0.0011826,0.0011826,0,0
SGDXAU,D,19840312,000000,0.0012019,0.0012019,0.0012019,0.0012019,0,0
SGDXAU,D,19840319,000000,0.001208,0.001208,0.001208,0.001208,0,0
SGDXAU,D,19840326,000000,0.0012351,0.0012351,0.0012351,0.0012351,0,0
SGDXAU,D,19840402,000000,0.001244,0.001244,0.001244,0.001244,0,0
SGDXAU,D,19840409,000000,0.0012319,0.0012319,0.0012319,0.0012319,0,0
SGDXAU,D,19840416,000000,0.0012479,0.0012479,0.0012479,0.0012479,0,0
SGDXAU,D,19840424,000000,0.0012409,0.0012409,0.0012409,0.0012409,0,0
SGDXAU,D,19840502,000000,0.0012565,0.0012565,0.0012565,0.0012565,0,0
SGDXAU,D,19840507,000000,0.001275,0.001275,0.001275,0.001275,0,0
SGDXAU,D,19840514,000000,0.0012668,0.0012668,0.0012668,0.0012668,0,0
SGDXAU,D,19840521,000000,0.001244,0.001244,0.001244,0.001244,0,0
SGDXAU,D,19840528,000000,0.001244,0.001244,0.001244,0.001244,0,0
SGDXAU,D,19840604,000000,0.0011872,0.0011872,0.0011872,0.0011872,0,0
SGDXAU,D,19840611,000000,0.0012524,0.0012524,0.0012524,0.0012524,0,0
SGDXAU,D,19840618,000000,0.0012565,0.0012565,0.0012565,0.0012565,0,0
SGDXAU,D,19840625,000000,0.0012601,0.0012601,0.0012601,0.0012601,0,0
SGDXAU,D,19840702,000000,0.0012523,0.0012523,0.0012523,0.0012523,0,0
SGDXAU,D,19840709,000000,0.0013298,0.0013298,0.0013298,0.0013298,0,0
SGDXAU,D,19840716,000000,0.0013375,0.0013375,0.0013375,0.0013375,0,0
SGDXAU,D,19840723,000000,0.0013728,0.0013728,0.0013728,0.0013728,0,0
SGDXAU,D,19840730,000000,0.0013084,0.0013084,0.0013084,0.0013084,0,0
SGDXAU,D,19840806,000000,0.0012901,0.0012901,0.0012901,0.0012901,0,0
SGDXAU,D,19840813,000000,0.0012834,0.0012834,0.0012834,0.0012834,0,0
SGDXAU,D,19840820,000000,0.0013145,0.0013145,0.0013145,0.0013145,0,0
SGDXAU,D,19840827,000000,0.0012995,0.0012995,0.0012995,0.0012995,0,0
SGDXAU,D,19840901,000000,0.0013003,0.0013003,0.0013003,0.0013003,0,0
SGDXAU,D,19840910,000000,0.0013333,0.0013333,0.0013333,0.0013333,0,0
SGDXAU,D,19840917,000000,0.0013415,0.0013415,0.0013415,0.0013415,0,0
SGDXAU,D,19840924,000000,0.0013156,0.0013156,0.0013156,0.0013156,0,0
SGDXAU,D,19841001,000000,0.0013141,0.0013141,0.0013141,0.0013141,0,0
SGDXAU,D,19841008,000000,0.0013272,0.0013272,0.0013272,0.0013272,0,0
SGDXAU,D,19841015,000000,0.0013335,0.0013335,0.0013335,0.0013335,0,0
SGDXAU,D,19841022,000000,0.0013492,0.0013492,0.0013492,0.0013492,0,0
SGDXAU,D,19841029,000000,0.0013666,0.0013666,0.0013666,0.0013666,0,0
SGDXAU,D,19841105,000000,0.0013273,0.0013273,0.0013273,0.0013273,0,0
SGDXAU,D,19841112,000000,0.0013302,0.0013302,0.0013302,0.0013302,0,0
SGDXAU,D,19841119,000000,0.0013531,0.0013531,0.0013531,0.0013531,0,0
SGDXAU,D,19841126,000000,0.0013901,0.0013901,0.0013901,0.0013901,0,0
SGDXAU,D,19841201,000000,0.001391,0.001391,0.001391,0.001391,0,0
SGDXAU,D,19841210,000000,0.0013999,0.0013999,0.0013999,0.0013999,0,0
SGDXAU,D,19841217,000000,0.0014501,0.0014501,0.0014501,0.0014501,0,0
SGDXAU,D,19841224,000000,0.0014501,0.0014501,0.0014501,0.0014501,0,0
SGDXAU,D,19850101,000000,0.0014497,0.0014497,0.0014497,0.0014497,0,0
SGDXAU,D,19850107,000000,0.0014924,0.0014924,0.0014924,0.0014924,0,0
SGDXAU,D,19850114,000000,0.0014927,0.0014927,0.0014927,0.0014927,0,0
SGDXAU,D,19850121,000000,0.001472,0.001472,0.001472,0.001472,0,0
SGDXAU,D,19850128,000000,0.0014797,0.0014797,0.0014797,0.0014797,0,0
SGDXAU,D,19850204,000000,0.0014676,0.0014676,0.0014676,0.0014676,0,0
SGDXAU,D,19850211,000000,0.0014355,0.0014355,0.0014355,0.0014355,0,0
SGDXAU,D,19850218,000000,0.0014346,0.0014346,0.0014346,0.0014346,0,0
SGDXAU,D,19850225,000000,0.0015453,0.0015453,0.0015453,0.0015453,0,0
SGDXAU,D,19850304,000000,0.0015064,0.0015064,0.0015064,0.0015064,0,0
SGDXAU,D,19850311,000000,0.0015211,0.0015211,0.0015211,0.0015211,0,0
SGDXAU,D,19850318,000000,0.0014497,0.0014497,0.0014497,0.0014497,0,0
SGDXAU,D,19850325,000000,0.0013845,0.0013845,0.0013845,0.0013845,0,0
SGDXAU,D,19850329,000000,0.0013578,0.0013578,0.0013578,0.0013578,0,0
SGDXAU,D,19850401,000000,0.0013922,0.0013922,0.0013922,0.0013922,0,0
SGDXAU,D,19850409,000000,0.0013624,0.0013624,0.0013624,0.0013624,0,0
SGDXAU,D,19850415,000000,0.0013636,0.0013636,0.0013636,0.0013636,0,0
SGDXAU,D,19850422,000000,0.0013766,0.0013766,0.0013766,0.0013766,0,0
SGDXAU,D,19850429,000000,0.0013731,0.0013731,0.0013731,0.0013731,0,0
SGDXAU,D,19850506,000000,0.0014387,0.0014387,0.0014387,0.0014387,0,0
SGDXAU,D,19850513,000000,0.0013802,0.0013802,0.0013802,0.0013802,0,0
SGDXAU,D,19850520,000000,0.0014472,0.0014472,0.0014472,0.0014472,0,0
SGDXAU,D,19850527,000000,0.0014472,0.0014472,0.0014472,0.0014472,0,0
SGDXAU,D,19850601,000000,0.0014461,0.0014461,0.0014461,0.0014461,0,0
SGDXAU,D,19850610,000000,0.0014147,0.0014147,0.0014147,0.0014147,0,0
SGDXAU,D,19850617,000000,0.0013955,0.0013955,0.0013955,0.0013955,0,0
SGDXAU,D,19850624,000000,0.0014036,0.0014036,0.0014036,0.0014036,0,0
SGDXAU,D,19850701,000000,0.0014438,0.0014438,0.0014438,0.0014438,0,0
SGDXAU,D,19850708,000000,0.0014174,0.0014174,0.0014174,0.0014174,0,0
SGDXAU,D,19850715,000000,0.0014223,0.0014223,0.0014223,0.0014223,0,0
SGDXAU,D,19850723,000000,0.0014269,0.0014269,0.0014269,0.0014269,0,0
SGDXAU,D,19850729,000000,0.0014001,0.0014001,0.0014001,0.0014001,0,0
SGDXAU,D,19850805,000000,0.0013788,0.0013788,0.0013788,0.0013788,0,0
SGDXAU,D,19850812,000000,0.0013589,0.0013589,0.0013589,0.0013589,0,0
SGDXAU,D,19850819,000000,0.0013023,0.0013023,0.0013023,0.0013023,0,0
SGDXAU,D,19850826,000000,0.0013076,0.0013076,0.0013076,0.0013076,0,0
SGDXAU,D,19850902,000000,0.0013076,0.0013076,0.0013076,0.0013076,0,0
SGDXAU,D,19850909,000000,0.0013398,0.0013398,0.0013398,0.0013398,0,0
SGDXAU,D,19850916,000000,0.001369,0.001369,0.001369,0.001369,0,0
SGDXAU,D,19850923,000000,0.0013998,0.0013998,0.0013998,0.0013998,0,0
SGDXAU,D,19850930,000000,0.001428,0.001428,0.001428,0.001428,0,0
SGDXAU,D,19851007,000000,0.0014107,0.0014107,0.0014107,0.0014107,0,0
SGDXAU,D,19851014,000000,0.001413,0.001413,0.001413,0.001413,0,0
SGDXAU,D,19851021,000000,0.0014234,0.0014234,0.0014234,0.0014234,0,0
SGDXAU,D,19851028,000000,0.0014209,0.0014209,0.0014209,0.0014209,0,0
SGDXAU,D,19851104,000000,0.001445,0.001445,0.001445,0.001445,0,0
SGDXAU,D,19851111,000000,0.0014566,0.0014566,0.0014566,0.0014566,0,0
SGDXAU,D,19851118,000000,0.0014557,0.0014557,0.0014557,0.0014557,0,0
SGDXAU,D,19851125,000000,0.0014407,0.0014407,0.0014407,0.0014407,0,0
SGDXAU,D,19851202,000000,0.0014327,0.0014327,0.0014327,0.0014327,0,0
SGDXAU,D,19851209,000000,0.0014726,0.0014726,0.0014726,0.0014726,0,0
SGDXAU,D,19851216,000000,0.0014495,0.0014495,0.0014495,0.0014495,0,0
SGDXAU,D,19851223,000000,0.0014386,0.0014386,0.0014386,0.0014386,0,0
SGDXAU,D,19860101,000000,0.0014386,0.0014386,0.0014386,0.0014386,0,0
SGDXAU,D,19860106,000000,0.0014276,0.0014276,0.0014276,0.0014276,0,0
SGDXAU,D,19860113,000000,0.0013745,0.0013745,0.0013745,0.0013745,0,0
SGDXAU,D,19860120,000000,0.0013219,0.0013219,0.0013219,0.0013219,0,0
SGDXAU,D,19860127,000000,0.0013248,0.0013248,0.0013248,0.0013248,0,0
SGDXAU,D,19860201,000000,0.0013249,0.0013249,0.0013249,0.0013249,0,0
SGDXAU,D,19860210,000000,0.0013791,0.0013791,0.0013791,0.0013791,0,0
SGDXAU,D,19860217,000000,0.0013803,0.0013803,0.0013803,0.0013803,0,0
SGDXAU,D,19860224,000000,0.0013267,0.0013267,0.0013267,0.0013267,0,0
SGDXAU,D,19860301,000000,0.0013267,0.0013267,0.0013267,0.0013267,0,0
SGDXAU,D,19860303,000000,0.0013641,0.0013641,0.0013641,0.0013641,0,0
SGDXAU,D,19860310,000000,0.0013452,0.0013452,0.0013452,0.0013452,0,0
SGDXAU,D,19860317,000000,0.0013178,0.0013178,0.0013178,0.0013178,0,0
SGDXAU,D,19860318,000000,0.0013214,0.0013214,0.0013214,0.0013214,0,0
SGDXAU,D,19860324,000000,0.0013118,0.0013118,0.0013118,0.0013118,0,0
SGDXAU,D,19860401,000000,0.0013629,0.0013629,0.0013629,0.0013629,0,0
SGDXAU,D,19860407,000000,0.0013226,0.0013226,0.0013226,0.0013226,0,0
SGDXAU,D,19860409,000000,0.0013289,0.0013289,0.0013289,0.0013289,0,0
SGDXAU,D,19860414,000000,0.0013272,0.0013272,0.0013272,0.0013272,0,0
SGDXAU,D,19860421,000000,0.0013275,0.0013275,0.0013275,0.0013275,0,0
SGDXAU,D,19860428,000000,0.001319,0.001319,0.001319,0.001319,0,0
SGDXAU,D,19860505,000000,0.0013233,0.0013233,0.0013233,0.0013233,0,0
SGDXAU,D,19860512,000000,0.0013121,0.0013121,0.0013121,0.0013121,0,0
SGDXAU,D,19860519,000000,0.0013172,0.0013172,0.0013172,0.0013172,0,0
SGDXAU,D,19860526,000000,0.0013181,0.0013181,0.0013181,0.0013181,0,0
SGDXAU,D,19860602,000000,0.001276,0.001276,0.001276,0.001276,0,0
SGDXAU,D,19860609,000000,0.0012654,0.0012654,0.0012654,0.0012654,0,0
SGDXAU,D,19860616,000000,0.001336,0.001336,0.001336,0.001336,0,0
SGDXAU,D,19860623,000000,0.0013082,0.0013082,0.0013082,0.0013082,0,0
SGDXAU,D,19860630,000000,0.0013143,0.0013143,0.0013143,0.0013143,0,0
SGDXAU,D,19860707,000000,0.0013239,0.0013239,0.0013239,0.0013239,0,0
SGDXAU,D,19860714,000000,0.0013167,0.0013167,0.0013167,0.0013167,0,0
SGDXAU,D,19860721,000000,0.0012878,0.0012878,0.0012878,0.0012878,0,0
SGDXAU,D,19860728,000000,0.0012906,0.0012906,0.0012906,0.0012906,0,0
SGDXAU,D,19860804,000000,0.0012548,0.0012548,0.0012548,0.0012548,0,0
SGDXAU,D,19860811,000000,0.0011649,0.0011649,0.0011649,0.0011649,0,0
SGDXAU,D,19860818,000000,0.0012121,0.0012121,0.0012121,0.0012121,0,0
SGDXAU,D,19860825,000000,0.0012021,0.0012021,0.0012021,0.0012021,0,0
SGDXAU,D,19860901,000000,0.0012018,0.0012018,0.0012018,0.0012018,0,0
SGDXAU,D,19860908,000000,0.0011054,0.0011054,0.0011054,0.0011054,0,0
SGDXAU,D,19860915,000000,0.001094,0.001094,0.001094,0.001094,0,0
SGDXAU,D,19860922,000000,0.0010344,0.0010344,0.0010344,0.0010344,0,0
SGDXAU,D,19860929,000000,0.0010782,0.0010782,0.0010782,0.0010782,0,0
SGDXAU,D,19861006,000000,0.0010411,0.0010411,0.0010411,0.0010411,0,0
SGDXAU,D,19861013,000000,0.001054,0.001054,0.001054,0.001054,0,0
SGDXAU,D,19861020,000000,0.001072,0.001072,0.001072,0.001072,0,0
SGDXAU,D,19861027,000000,0.0011152,0.0011152,0.0011152,0.0011152,0,0
SGDXAU,D,19861101,000000,0.0011163,0.0011163,0.0011163,0.0011163,0,0
SGDXAU,D,19861110,000000,0.0011208,0.0011208,0.0011208,0.0011208,0,0
SGDXAU,D,19861117,000000,0.0011713,0.0011713,0.0011713,0.0011713,0,0
SGDXAU,D,19861124,000000,0.0011912,0.0011912,0.0011912,0.0011912,0,0
SGDXAU,D,19861201,000000,0.0011479,0.0011479,0.0011479,0.0011479,0,0
SGDXAU,D,19861208,000000,0.0011584,0.0011584,0.0011584,0.0011584,0,0
SGDXAU,D,19861215,000000,0.001144,0.001144,0.001144,0.001144,0,0
SGDXAU,D,19861222,000000,0.0011532,0.0011532,0.0011532,0.0011532,0,0
SGDXAU,D,19861231,000000,0.0011308,0.0011308,0.0011308,0.0011308,0,0
SGDXAU,D,19870112,000000,0.0011273,0.0011273,0.0011273,0.0011273,0,0
SGDXAU,D,19870119,000000,0.0010928,0.0010928,0.0010928,0.0010928,0,0
SGDXAU,D,19870126,000000,0.001135,0.001135,0.001135,0.001135,0,0
SGDXAU,D,19870201,000000,0.0011356,0.0011356,0.0011356,0.0011356,0,0
