<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGDXPD,D,19840109,000000,0.0033006,0.0033006,0.0033006,0.0033006,0,0
SGDXPD,D,19840116,000000,0.003052,0.003052,0.003052,0.003052,0,0
SGDXPD,D,19840123,000000,0.0030922,0.0030922,0.0030922,0.0030922,0,0
SGDXPD,D,19840130,000000,0.0029747,0.0029747,0.0029747,0.0029747,0,0
SGDXPD,D,19840206,000000,0.0030051,0.0030051,0.0030051,0.0030051,0,0
SGDXPD,D,19840213,000000,0.0030051,0.0030051,0.0030051,0.0030051,0,0
SGDXPD,D,19840220,000000,0.0030031,0.0030031,0.0030031,0.0030031,0,0
SGDXPD,D,19840301,000000,0.0029975,0.0029975,0.0029975,0.0029975,0,0
SGDXPD,D,19840305,000000,0.002964,0.002964,0.002964,0.002964,0,0
SGDXPD,D,19840312,000000,0.0030013,0.0030013,0.0030013,0.0030013,0,0
SGDXPD,D,19840319,000000,0.0030201,0.0030201,0.0030201,0.0030201,0,0
SGDXPD,D,19840326,000000,0.0029527,0.0029527,0.0029527,0.0029527,0,0
SGDXPD,D,19840402,000000,0.0030291,0.0030291,0.0030291,0.0030291,0,0
SGDXPD,D,19840409,000000,0.0029986,0.0029986,0.0029986,0.0029986,0,0
SGDXPD,D,19840416,000000,0.0030253,0.0030253,0.0030253,0.0030253,0,0
SGDXPD,D,19840424,000000,0.0029089,0.0029089,0.0029089,0.0029089,0,0
SGDXPD,D,19840502,000000,0.0030361,0.0030361,0.0030361,0.0030361,0,0
SGDXPD,D,19840507,000000,0.0031351,0.0031351,0.0031351,0.0031351,0,0
SGDXPD,D,19840514,000000,0.0030989,0.0030989,0.0030989,0.0030989,0,0
SGDXPD,D,19840521,000000,0.0030574,0.0030574,0.0030574,0.0030574,0,0
SGDXPD,D,19840528,000000,0.0030574,0.0030574,0.0030574,0.0030574,0,0
SGDXPD,D,19840604,000000,0.0030765,0.0030765,0.0030765,0.0030765,0,0
SGDXPD,D,19840611,000000,0.0031827,0.0031827,0.0031827,0.0031827,0,0
SGDXPD,D,19840618,000000,0.0031181,0.0031181,0.0031181,0.0031181,0,0
SGDXPD,D,19840625,000000,0.0031693,0.0031693,0.0031693,0.0031693,0,0
SGDXPD,D,19840702,000000,0.0031719,0.0031719,0.0031719,0.0031719,0,0
SGDXPD,D,19840709,000000,0.0033758,0.0033758,0.0033758,0.0033758,0,0
SGDXPD,D,19840716,000000,0.0033977,0.0033977,0.0033977,0.0033977,0,0
SGDXPD,D,19840723,000000,0.0036456,0.0036456,0.0036456,0.0036456,0,0
SGDXPD,D,19840730,000000,0.0036669,0.0036669,0.0036669,0.0036669,0,0
SGDXPD,D,19840806,000000,0.003483,0.003483,0.003483,0.003483,0,0
SGDXPD,D,19840813,000000,0.0034609,0.0034609,0.0034609,0.0034609,0,0
SGDXPD,D,19840820,000000,0.0035547,0.0035547,0.0035547,0.0035547,0,0
SGDXPD,D,19840827,000000,0.0035331,0.0035331,0.0035331,0.0035331,0,0
SGDXPD,D,19840901,000000,0.0035354,0.0035354,0.0035354,0.0035354,0,0
SGDXPD,D,19840910,000000,0.0035309,0.0035309,0.0035309,0.0035309,0,0
SGDXPD,D,19840917,000000,0.0035693,0.0035693,0.0035693,0.0035693,0,0
SGDXPD,D,19840924,000000,0.003398,0.003398,0.003398,0.003398,0,0
SGDXPD,D,19841001,000000,0.003398,0.003398,0.003398,0.003398,0,0
SGDXPD,D,19841008,000000,0.0034142,0.0034142,0.0034142,0.0034142,0,0
SGDXPD,D,19841015,000000,0.0033188,0.0033188,0.0033188,0.0033188,0,0
SGDXPD,D,19841022,000000,0.0033436,0.0033436,0.0033436,0.0033436,0,0
SGDXPD,D,19841029,000000,0.0033544,0.0033544,0.0033544,0.0033544,0,0
SGDXPD,D,19841105,000000,0.0031139,0.0031139,0.0031139,0.0031139,0,0
SGDXPD,D,19841112,000000,0.0032393,0.0032393,0.0032393,0.0032393,0,0
SGDXPD,D,19841119,000000,0.0032506,0.0032506,0.0032506,0.0032506,0,0
SGDXPD,D,19841126,000000,0.0033199,0.0033199,0.0033199,0.0033199,0,0
SGDXPD,D,19841201,000000,0.0033221,0.0033221,0.0033221,0.0033221,0,0
SGDXPD,D,19841210,000000,0.0033855,0.0033855,0.0033855,0.0033855,0,0
SGDXPD,D,19841217,000000,0.0036183,0.0036183,0.0036183,0.0036183,0,0
SGDXPD,D,19841224,000000,0.0036183,0.0036183,0.0036183,0.0036183,0,0
SGDXPD,D,19850101,000000,0.0036175,0.0036175,0.0036175,0.0036175,0,0
SGDXPD,D,19850107,000000,0.0041091,0.0041091,0.0041091,0.0041091,0,0
SGDXPD,D,19850114,000000,0.003948,0.003948,0.003948,0.003948,0,0
SGDXPD,D,19850121,000000,0.003721,0.003721,0.003721,0.003721,0,0
SGDXPD,D,19850128,000000,0.003664,0.003664,0.003664,0.003664,0,0
SGDXPD,D,19850204,000000,0.0036528,0.0036528,0.0036528,0.0036528,0,0
SGDXPD,D,19850211,000000,0.0034326,0.0034326,0.0034326,0.0034326,0,0
SGDXPD,D,19850218,000000,0.0034303,0.0034303,0.0034303,0.0034303,0,0
SGDXPD,D,19850225,000000,0.0040276,0.0040276,0.0040276,0.0040276,0,0
SGDXPD,D,19850304,000000,0.0039866,0.0039866,0.0039866,0.0039866,0,0
SGDXPD,D,19850311,000000,0.0040557,0.0040557,0.0040557,0.0040557,0,0
SGDXPD,D,19850318,000000,0.0039289,0.0039289,0.0039289,0.0039289,0,0
SGDXPD,D,19850325,000000,0.0039668,0.0039668,0.0039668,0.0039668,0,0
SGDXPD,D,19850329,000000,0.0038938,0.0038938,0.0038938,0.0038938,0,0
SGDXPD,D,19850401,000000,0.0040658,0.0040658,0.0040658,0.0040658,0,0
SGDXPD,D,19850409,000000,0.0039289,0.0039289,0.0039289,0.0039289,0,0
SGDXPD,D,19850415,000000,0.0039646,0.0039646,0.0039646,0.0039646,0,0
SGDXPD,D,19850422,000000,0.0041385,0.0041385,0.0041385,0.0041385,0,0
SGDXPD,D,19850429,000000,0.0039618,0.0039618,0.0039618,0.0039618,0,0
SGDXPD,D,19850506,000000,0.0040574,0.0040574,0.0040574,0.0040574,0,0
SGDXPD,D,19850513,000000,0.0039714,0.0039714,0.0039714,0.0039714,0,0
SGDXPD,D,19850520,000000,0.004235,0.004235,0.004235,0.004235,0,0
SGDXPD,D,19850527,000000,0.004235,0.004235,0.004235,0.004235,0,0
SGDXPD,D,19850601,000000,0.004232,0.004232,0.004232,0.004232,0,0
SGDXPD,D,19850610,000000,0.0047285,0.0047285,0.0047285,0.0047285,0,0
SGDXPD,D,19850617,000000,0.0045682,0.0045682,0.0045682,0.0045682,0,0
SGDXPD,D,19850624,000000,0.0045485,0.0045485,0.0045485,0.0045485,0,0
SGDXPD,D,19850701,000000,0.0049203,0.0049203,0.0049203,0.0049203,0,0
SGDXPD,D,19850708,000000,0.0047789,0.0047789,0.0047789,0.0047789,0,0
SGDXPD,D,19850715,000000,0.0048126,0.0048126,0.0048126,0.0048126,0,0
SGDXPD,D,19850723,000000,0.0048267,0.0048267,0.0048267,0.0048267,0,0
SGDXPD,D,19850729,000000,0.0046987,0.0046987,0.0046987,0.0046987,0,0
SGDXPD,D,19850805,000000,0.0045358,0.0045358,0.0045358,0.0045358,0,0
SGDXPD,D,19850812,000000,0.0044768,0.0044768,0.0044768,0.0044768,0,0
SGDXPD,D,19850819,000000,0.004139,0.004139,0.004139,0.004139,0,0
SGDXPD,D,19850826,000000,0.0042906,0.0042906,0.0042906,0.0042906,0,0
SGDXPD,D,19850902,000000,0.0042906,0.0042906,0.0042906,0.0042906,0,0
SGDXPD,D,19850909,000000,0.0044689,0.0044689,0.0044689,0.0044689,0,0
SGDXPD,D,19850916,000000,0.0045656,0.0045656,0.0045656,0.0045656,0,0
SGDXPD,D,19850923,000000,0.0045349,0.0045349,0.0045349,0.0045349,0,0
SGDXPD,D,19850930,000000,0.004747,0.004747,0.004747,0.004747,0,0
SGDXPD,D,19851007,000000,0.0045979,0.0045979,0.0045979,0.0045979,0,0
SGDXPD,D,19851014,000000,0.0045911,0.0045911,0.0045911,0.0045911,0,0
SGDXPD,D,19851021,000000,0.004561,0.004561,0.004561,0.004561,0,0
SGDXPD,D,19851028,000000,0.0044807,0.0044807,0.0044807,0.0044807,0,0
SGDXPD,D,19851104,000000,0.0046431,0.0046431,0.0046431,0.0046431,0,0
SGDXPD,D,19851111,000000,0.0047744,0.0047744,0.0047744,0.0047744,0,0
SGDXPD,D,19851118,000000,0.0046845,0.0046845,0.0046845,0.0046845,0,0
SGDXPD,D,19851125,000000,0.0044756,0.0044756,0.0044756,0.0044756,0,0
SGDXPD,D,19851202,000000,0.0045504,0.0045504,0.0045504,0.0045504,0,0
SGDXPD,D,19851209,000000,0.0048752,0.0048752,0.0048752,0.0048752,0,0
SGDXPD,D,19851216,000000,0.0049006,0.0049006,0.0049006,0.0049006,0,0
SGDXPD,D,19851223,000000,0.0049979,0.0049979,0.0049979,0.0049979,0,0
SGDXPD,D,19860101,000000,0.0049979,0.0049979,0.0049979,0.0049979,0,0
SGDXPD,D,19860106,000000,0.0048273,0.0048273,0.0048273,0.0048273,0,0
SGDXPD,D,19860113,000000,0.0046018,0.0046018,0.0046018,0.0046018,0,0
SGDXPD,D,19860120,000000,0.0045004,0.0045004,0.0045004,0.0045004,0,0
SGDXPD,D,19860127,000000,0.0044324,0.0044324,0.0044324,0.0044324,0,0
SGDXPD,D,19860201,000000,0.0044326,0.0044326,0.0044326,0.0044326,0,0
SGDXPD,D,19860210,000000,0.0047094,0.0047094,0.0047094,0.0047094,0,0
SGDXPD,D,19860217,000000,0.0047136,0.0047136,0.0047136,0.0047136,0,0
SGDXPD,D,19860224,000000,0.0042296,0.0042296,0.0042296,0.0042296,0,0
SGDXPD,D,19860301,000000,0.0042295,0.0042295,0.0042295,0.0042295,0,0
SGDXPD,D,19860303,000000,0.0043205,0.0043205,0.0043205,0.0043205,0,0
SGDXPD,D,19860310,000000,0.0042761,0.0042761,0.0042761,0.0042761,0,0
SGDXPD,D,19860317,000000,0.0040873,0.0040873,0.0040873,0.0040873,0,0
SGDXPD,D,19860318,000000,0.0041181,0.0041181,0.0041181,0.0041181,0,0
SGDXPD,D,19860324,000000,0.004122,0.004122,0.004122,0.004122,0,0
SGDXPD,D,19860401,000000,0.0046299,0.0046299,0.0046299,0.0046299,0,0
SGDXPD,D,19860407,000000,0.0042255,0.0042255,0.0042255,0.0042255,0,0
SGDXPD,D,19860409,000000,0.0042581,0.0042581,0.0042581,0.0042581,0,0
SGDXPD,D,19860414,000000,0.0043547,0.0043547,0.0043547,0.0043547,0,0
SGDXPD,D,19860421,000000,0.0042771,0.0042771,0.0042771,0.0042771,0,0
SGDXPD,D,19860428,000000,0.0041844,0.0041844,0.0041844,0.0041844,0,0
SGDXPD,D,19860505,000000,0.0041903,0.0041903,0.0041903,0.0041903,0,0
