<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBARS,D,19960806,000000,0.03376,0.03376,0.03376,0.03376,0,0
THBARS,D,19960807,000000,0.03373,0.03373,0.03373,0.03373,0,0
THBARS,D,19960808,000000,0.03365,0.03365,0.03365,0.03365,0,0
THBARS,D,19960809,000000,0.03364,0.03364,0.03364,0.03364,0,0
THBARS,D,19960812,000000,0.03379,0.03379,0.03379,0.03379,0,0
THBARS,D,19960813,000000,0.03372,0.03372,0.03372,0.03372,0,0
THBARS,D,19960814,000000,0.03367,0.03367,0.03367,0.03367,0,0
THBARS,D,19960816,000000,0.03371,0.03371,0.03371,0.03371,0,0
THBARS,D,19960819,000000,0.0338,0.0338,0.0338,0.0338,0,0
THBARS,D,19960820,000000,0.03376,0.03376,0.03376,0.03376,0,0
THBARS,D,19960821,000000,0.03374,0.03374,0.03374,0.03374,0,0
THBARS,D,19960822,000000,0.03364,0.03364,0.03364,0.03364,0,0
THBARS,D,19960823,000000,0.03373,0.03373,0.03373,0.03373,0,0
THBARS,D,19960826,000000,0.0338,0.0338,0.0338,0.0338,0,0
THBARS,D,19960827,000000,0.03368,0.03368,0.03368,0.03368,0,0
THBARS,D,19960828,000000,0.03376,0.03376,0.03376,0.03376,0,0
THBARS,D,19960829,000000,0.03372,0.03372,0.03372,0.03372,0,0
THBARS,D,19960830,000000,0.03371,0.03371,0.03371,0.03371,0,0
THBARS,D,19960902,000000,0.03366,0.03366,0.03366,0.03366,0,0
THBARS,D,19960903,000000,0.03366,0.03366,0.03366,0.03366,0,0
THBARS,D,19960904,000000,0.03365,0.03365,0.03365,0.03365,0,0
THBARS,D,19960905,000000,0.03359,0.03359,0.03359,0.03359,0,0
THBARS,D,19960906,000000,0.03346,0.03346,0.03346,0.03346,0,0
THBARS,D,19960909,000000,0.0335,0.0335,0.0335,0.0335,0,0
THBARS,D,19960910,000000,0.03355,0.03355,0.03355,0.03355,0,0
THBARS,D,19960911,000000,0.03358,0.03358,0.03358,0.03358,0,0
THBARS,D,19960912,000000,0.0336,0.0336,0.0336,0.0336,0,0
THBARS,D,19960913,000000,0.03344,0.03344,0.03344,0.03344,0,0
THBARS,D,19960916,000000,0.03366,0.03366,0.03366,0.03366,0,0
THBARS,D,19960917,000000,0.03358,0.03358,0.03358,0.03358,0,0
THBARS,D,19960918,000000,0.03363,0.03363,0.03363,0.03363,0,0
THBARS,D,19960919,000000,0.03359,0.03359,0.03359,0.03359,0,0
THBARS,D,19960920,000000,0.03354,0.03354,0.03354,0.03354,0,0
THBARS,D,19960923,000000,0.0336,0.0336,0.0336,0.0336,0,0
THBARS,D,19960924,000000,0.03365,0.03365,0.03365,0.03365,0,0
