<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBAUD,D,19930104,000000,0.05145,0.05145,0.05145,0.05145,0,0
THBAUD,D,19930105,000000,0.051952,0.051952,0.051952,0.051952,0,0
THBAUD,D,19930106,000000,0.052433,0.052433,0.052433,0.052433,0,0
THBAUD,D,19930107,000000,0.052382,0.052382,0.052382,0.052382,0,0
THBAUD,D,19930108,000000,0.052222,0.052222,0.052222,0.052222,0,0
THBAUD,D,19930111,000000,0.052042,0.052042,0.052042,0.052042,0,0
THBAUD,D,19930112,000000,0.052121,0.052121,0.052121,0.052121,0,0
THBAUD,D,19930113,000000,0.052359,0.052359,0.052359,0.052359,0,0
THBAUD,D,19930114,000000,0.052336,0.052336,0.052336,0.052336,0,0
THBAUD,D,19930115,000000,0.052013,0.052013,0.052013,0.052013,0,0
THBAUD,D,19930118,000000,0.051801,0.051801,0.051801,0.051801,0,0
THBAUD,D,19930119,000000,0.05218,0.05218,0.05218,0.05218,0,0
THBAUD,D,19930120,000000,0.052459,0.052459,0.052459,0.052459,0,0
THBAUD,D,19930121,000000,0.052765,0.052765,0.052765,0.052765,0,0
THBAUD,D,19930122,000000,0.05218,0.05218,0.05218,0.05218,0,0
THBAUD,D,19930125,000000,0.052328,0.052328,0.052328,0.052328,0,0
THBAUD,D,19930126,000000,0.052182,0.052182,0.052182,0.052182,0,0
THBAUD,D,19930127,000000,0.052209,0.052209,0.052209,0.052209,0,0
THBAUD,D,19930128,000000,0.051593,0.051593,0.051593,0.051593,0,0
THBAUD,D,19930129,000000,0.05171,0.05171,0.05171,0.05171,0,0
THBAUD,D,19930201,000000,0.051875,0.051875,0.051875,0.051875,0,0
THBAUD,D,19930202,000000,0.051661,0.051661,0.051661,0.051661,0,0
THBAUD,D,19930203,000000,0.051578,0.051578,0.051578,0.051578,0,0
THBAUD,D,19930204,000000,0.051624,0.051624,0.051624,0.051624,0,0
THBAUD,D,19930205,000000,0.051645,0.051645,0.051645,0.051645,0,0
THBAUD,D,19930208,000000,0.052255,0.052255,0.052255,0.052255,0,0
THBAUD,D,19930209,000000,0.05226,0.05226,0.05226,0.05226,0,0
THBAUD,D,19930210,000000,0.052325,0.052325,0.052325,0.052325,0,0
THBAUD,D,19930211,000000,0.051429,0.051429,0.051429,0.051429,0,0
THBAUD,D,19930212,000000,0.051814,0.051814,0.051814,0.051814,0,0
THBAUD,D,19930215,000000,0.051864,0.051864,0.051864,0.051864,0,0
THBAUD,D,19930216,000000,0.051074,0.051074,0.051074,0.051074,0,0
THBAUD,D,19930217,000000,0.05123,0.05123,0.05123,0.05123,0,0
THBAUD,D,19930218,000000,0.051105,0.051105,0.051105,0.051105,0,0
THBAUD,D,19930219,000000,0.050981,0.050981,0.050981,0.050981,0,0
THBAUD,D,19930222,000000,0.051026,0.051026,0.051026,0.051026,0,0
THBAUD,D,19930223,000000,0.050742,0.050742,0.050742,0.050742,0,0
THBAUD,D,19930224,000000,0.05066,0.05066,0.05066,0.05066,0,0
THBAUD,D,19930225,000000,0.050715,0.050715,0.050715,0.050715,0,0
THBAUD,D,19930226,000000,0.050604,0.050604,0.050604,0.050604,0,0
THBAUD,D,19930301,000000,0.049901,0.049901,0.049901,0.049901,0,0
THBAUD,D,19930302,000000,0.049743,0.049743,0.049743,0.049743,0,0
THBAUD,D,19930303,000000,0.049949,0.049949,0.049949,0.049949,0,0
THBAUD,D,19930304,000000,0.049582,0.049582,0.049582,0.049582,0,0
THBAUD,D,19930305,000000,0.049829,0.049829,0.049829,0.049829,0,0
THBAUD,D,19930308,000000,0.049752,0.049752,0.049752,0.049752,0,0
THBAUD,D,19930309,000000,0.0503,0.0503,0.0503,0.0503,0,0
THBAUD,D,19930310,000000,0.049902,0.049902,0.049902,0.049902,0,0
THBAUD,D,19930311,000000,0.049758,0.049758,0.049758,0.049758,0,0
THBAUD,D,19930312,000000,0.04952,0.04952,0.04952,0.04952,0,0
THBAUD,D,19930315,000000,0.049983,0.049983,0.049983,0.049983,0,0
THBAUD,D,19930316,000000,0.049894,0.049894,0.049894,0.049894,0,0
THBAUD,D,19930317,000000,0.049599,0.049599,0.049599,0.049599,0,0
THBAUD,D,19930318,000000,0.049301,0.049301,0.049301,0.049301,0,0
THBAUD,D,19930319,000000,0.049266,0.049266,0.049266,0.049266,0,0
THBAUD,D,19930322,000000,0.049363,0.049363,0.049363,0.049363,0,0
THBAUD,D,19930323,000000,0.050171,0.050171,0.050171,0.050171,0,0
THBAUD,D,19930324,000000,0.050111,0.050111,0.050111,0.050111,0,0
