<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBBGN,D,19951023,000000,0.002446,0.002446,0.002446,0.002446,0,0
THBBGN,D,19951024,000000,0.0024493,0.0024493,0.0024493,0.0024493,0,0
THBBGN,D,19951025,000000,0.0024462,0.0024462,0.0024462,0.0024462,0,0
THBBGN,D,19951026,000000,0.0024457,0.0024457,0.0024457,0.0024457,0,0
THBBGN,D,19951027,000000,0.0024455,0.0024455,0.0024455,0.0024455,0,0
THBBGN,D,19951030,000000,0.002443,0.002443,0.002443,0.002443,0,0
THBBGN,D,19951031,000000,0.0024434,0.0024434,0.0024434,0.0024434,0,0
THBBGN,D,19951102,000000,0.0024388,0.0024388,0.0024388,0.0024388,0,0
THBBGN,D,19951103,000000,0.0024396,0.0024396,0.0024396,0.0024396,0,0
THBBGN,D,19951106,000000,0.0024426,0.0024426,0.0024426,0.0024426,0,0
THBBGN,D,19951107,000000,0.0024447,0.0024447,0.0024447,0.0024447,0,0
THBBGN,D,19951108,000000,0.0024462,0.0024462,0.0024462,0.0024462,0,0
THBBGN,D,19951109,000000,0.0024504,0.0024504,0.0024504,0.0024504,0,0
THBBGN,D,19951110,000000,0.0024553,0.0024553,0.0024553,0.0024553,0,0
THBBGN,D,19951113,000000,0.0024572,0.0024572,0.0024572,0.0024572,0,0
THBBGN,D,19951114,000000,0.0024592,0.0024592,0.0024592,0.0024592,0,0
THBBGN,D,19951115,000000,0.0024599,0.0024599,0.0024599,0.0024599,0,0
THBBGN,D,19951116,000000,0.002462,0.002462,0.002462,0.002462,0,0
THBBGN,D,19951117,000000,0.0024679,0.0024679,0.0024679,0.0024679,0,0
THBBGN,D,19951120,000000,0.0024703,0.0024703,0.0024703,0.0024703,0,0
THBBGN,D,19951121,000000,0.0024736,0.0024736,0.0024736,0.0024736,0,0
THBBGN,D,19951122,000000,0.0024746,0.0024746,0.0024746,0.0024746,0,0
THBBGN,D,19951123,000000,0.0024775,0.0024775,0.0024775,0.0024775,0,0
THBBGN,D,19951124,000000,0.0024806,0.0024806,0.0024806,0.0024806,0,0
THBBGN,D,19951127,000000,0.0024842,0.0024842,0.0024842,0.0024842,0,0
THBBGN,D,19951128,000000,0.0024849,0.0024849,0.0024849,0.0024849,0,0
THBBGN,D,19951129,000000,0.0024858,0.0024858,0.0024858,0.0024858,0,0
