<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBBRL,D,19950103,000000,0.030139,0.030139,0.030139,0.030139,0,0
THBBRL,D,19950104,000000,0.030125,0.030125,0.030125,0.030125,0,0
THBBRL,D,19950105,000000,0.030045,0.030045,0.030045,0.030045,0,0
THBBRL,D,19950106,000000,0.029963,0.029963,0.029963,0.029963,0,0
THBBRL,D,19950109,000000,0.030078,0.030078,0.030078,0.030078,0,0
THBBRL,D,19950110,000000,0.030204,0.030204,0.030204,0.030204,0,0
THBBRL,D,19950111,000000,0.030351,0.030351,0.030351,0.030351,0,0
THBBRL,D,19950112,000000,0.029451,0.029451,0.029451,0.029451,0,0
THBBRL,D,19950113,000000,0.030069,0.030069,0.030069,0.030069,0,0
THBBRL,D,19950116,000000,0.030052,0.030052,0.030052,0.030052,0,0
THBBRL,D,19950117,000000,0.030266,0.030266,0.030266,0.030266,0,0
THBBRL,D,19950118,000000,0.030245,0.030245,0.030245,0.030245,0,0
THBBRL,D,19950119,000000,0.030347,0.030347,0.030347,0.030347,0,0
THBBRL,D,19950120,000000,0.030283,0.030283,0.030283,0.030283,0,0
THBBRL,D,19950123,000000,0.030382,0.030382,0.030382,0.030382,0,0
THBBRL,D,19950124,000000,0.030432,0.030432,0.030432,0.030432,0,0
THBBRL,D,19950125,000000,0.030379,0.030379,0.030379,0.030379,0,0
THBBRL,D,19950126,000000,0.030172,0.030172,0.030172,0.030172,0,0
THBBRL,D,19950127,000000,0.030166,0.030166,0.030166,0.030166,0,0
THBBRL,D,19950130,000000,0.03027,0.03027,0.03027,0.03027,0,0
THBBRL,D,19950131,000000,0.030013,0.030013,0.030013,0.030013,0,0
THBBRL,D,19950201,000000,0.030087,0.030087,0.030087,0.030087,0,0
THBBRL,D,19950202,000000,0.029999,0.029999,0.029999,0.029999,0,0
THBBRL,D,19950203,000000,0.029962,0.029962,0.029962,0.029962,0,0
THBBRL,D,19950206,000000,0.029867,0.029867,0.029867,0.029867,0,0
THBBRL,D,19950207,000000,0.029879,0.029879,0.029879,0.029879,0,0
THBBRL,D,19950208,000000,0.029837,0.029837,0.029837,0.029837,0,0
THBBRL,D,19950209,000000,0.029767,0.029767,0.029767,0.029767,0,0
THBBRL,D,19950210,000000,0.029814,0.029814,0.029814,0.029814,0,0
THBBRL,D,19950213,000000,0.029783,0.029783,0.029783,0.029783,0,0
THBBRL,D,19950214,000000,0.029827,0.029827,0.029827,0.029827,0,0
THBBRL,D,19950215,000000,0.029925,0.029925,0.029925,0.029925,0,0
THBBRL,D,19950216,000000,0.030239,0.030239,0.030239,0.030239,0,0
THBBRL,D,19950217,000000,0.03046,0.03046,0.03046,0.03046,0,0
THBBRL,D,19950220,000000,0.030137,0.030137,0.030137,0.030137,0,0
THBBRL,D,19950221,000000,0.030204,0.030204,0.030204,0.030204,0,0
THBBRL,D,19950222,000000,0.03048,0.03048,0.03048,0.03048,0,0
THBBRL,D,19950223,000000,0.030446,0.030446,0.030446,0.030446,0,0
THBBRL,D,19950224,000000,0.030633,0.030633,0.030633,0.030633,0,0
THBBRL,D,19950227,000000,0.030565,0.030565,0.030565,0.030565,0,0
THBBRL,D,19950228,000000,0.030566,0.030566,0.030566,0.030566,0,0
THBBRL,D,19950301,000000,0.030595,0.030595,0.030595,0.030595,0,0
THBBRL,D,19950302,000000,0.030631,0.030631,0.030631,0.030631,0,0
THBBRL,D,19950303,000000,0.030953,0.030953,0.030953,0.030953,0,0
THBBRL,D,19950306,000000,0.031236,0.031236,0.031236,0.031236,0,0
THBBRL,D,19950307,000000,0.032059,0.032059,0.032059,0.032059,0,0
THBBRL,D,19950308,000000,0.03216,0.03216,0.03216,0.03216,0,0
THBBRL,D,19950309,000000,0.032198,0.032198,0.032198,0.032198,0,0
THBBRL,D,19950310,000000,0.031899,0.031899,0.031899,0.031899,0,0
THBBRL,D,19950313,000000,0.031893,0.031893,0.031893,0.031893,0,0
THBBRL,D,19950314,000000,0.031839,0.031839,0.031839,0.031839,0,0
THBBRL,D,19950315,000000,0.032069,0.032069,0.032069,0.032069,0,0
THBBRL,D,19950316,000000,0.032557,0.032557,0.032557,0.032557,0,0
THBBRL,D,19950317,000000,0.03254,0.03254,0.03254,0.03254,0,0
THBBRL,D,19950320,000000,0.033096,0.033096,0.033096,0.033096,0,0
THBBRL,D,19950321,000000,0.032565,0.032565,0.032565,0.032565,0,0
THBBRL,D,19950322,000000,0.032829,0.032829,0.032829,0.032829,0,0
THBBRL,D,19950323,000000,0.032932,0.032932,0.032932,0.032932,0,0
THBBRL,D,19950324,000000,0.032955,0.032955,0.032955,0.032955,0,0
THBBRL,D,19950327,000000,0.032951,0.032951,0.032951,0.032951,0,0
THBBRL,D,19950328,000000,0.033017,0.033017,0.033017,0.033017,0,0
THBBRL,D,19950329,000000,0.032893,0.032893,0.032893,0.032893,0,0
THBBRL,D,19950330,000000,0.032641,0.032641,0.032641,0.032641,0,0
THBBRL,D,19950331,000000,0.032725,0.032725,0.032725,0.032725,0,0
THBBRL,D,19950403,000000,0.032898,0.032898,0.032898,0.032898,0,0
THBBRL,D,19950404,000000,0.032715,0.032715,0.032715,0.032715,0,0
THBBRL,D,19950405,000000,0.032646,0.032646,0.032646,0.032646,0,0
THBBRL,D,19950406,000000,0.032829,0.032829,0.032829,0.032829,0,0
THBBRL,D,19950407,000000,0.03275,0.03275,0.03275,0.03275,0,0
THBBRL,D,19950410,000000,0.032763,0.032763,0.032763,0.032763,0,0
THBBRL,D,19950411,000000,0.032793,0.032793,0.032793,0.032793,0,0
THBBRL,D,19950412,000000,0.033032,0.033032,0.033032,0.033032,0,0
THBBRL,D,19950413,000000,0.033134,0.033134,0.033134,0.033134,0,0
THBBRL,D,19950414,000000,0.03316,0.03316,0.03316,0.03316,0,0
THBBRL,D,19950418,000000,0.033164,0.033164,0.033164,0.033164,0,0
THBBRL,D,19950419,000000,0.033443,0.033443,0.033443,0.033443,0,0
THBBRL,D,19950420,000000,0.033512,0.033512,0.033512,0.033512,0,0
THBBRL,D,19950421,000000,0.033135,0.033135,0.033135,0.033135,0,0
THBBRL,D,19950424,000000,0.033312,0.033312,0.033312,0.033312,0,0
THBBRL,D,19950425,000000,0.033631,0.033631,0.033631,0.033631,0,0
THBBRL,D,19950426,000000,0.033441,0.033441,0.033441,0.033441,0,0
