<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBCHF,D,19930104,000000,0.051913,0.051913,0.051913,0.051913,0,0
THBCHF,D,19930105,000000,0.051447,0.051447,0.051447,0.051447,0,0
THBCHF,D,19930106,000000,0.052164,0.052164,0.052164,0.052164,0,0
THBCHF,D,19930107,000000,0.052318,0.052318,0.052318,0.052318,0,0
THBCHF,D,19930108,000000,0.052409,0.052409,0.052409,0.052409,0,0
THBCHF,D,19930111,000000,0.052182,0.052182,0.052182,0.052182,0,0
THBCHF,D,19930112,000000,0.052632,0.052632,0.052632,0.052632,0,0
THBCHF,D,19930113,000000,0.0523,0.0523,0.0523,0.0523,0,0
THBCHF,D,19930114,000000,0.051957,0.051957,0.051957,0.051957,0,0
THBCHF,D,19930115,000000,0.052488,0.052488,0.052488,0.052488,0,0
THBCHF,D,19930118,000000,0.051883,0.051883,0.051883,0.051883,0,0
THBCHF,D,19930119,000000,0.051716,0.051716,0.051716,0.051716,0,0
THBCHF,D,19930120,000000,0.051664,0.051664,0.051664,0.051664,0,0
THBCHF,D,19930121,000000,0.052002,0.052002,0.052002,0.052002,0,0
THBCHF,D,19930122,000000,0.051191,0.051191,0.051191,0.051191,0,0
THBCHF,D,19930125,000000,0.050756,0.050756,0.050756,0.050756,0,0
THBCHF,D,19930126,000000,0.051194,0.051194,0.051194,0.051194,0,0
THBCHF,D,19930127,000000,0.051355,0.051355,0.051355,0.051355,0,0
THBCHF,D,19930128,000000,0.051308,0.051308,0.051308,0.051308,0,0
THBCHF,D,19930129,000000,0.05221,0.05221,0.05221,0.05221,0,0
THBCHF,D,19930201,000000,0.053213,0.053213,0.053213,0.053213,0,0
THBCHF,D,19930202,000000,0.053425,0.053425,0.053425,0.053425,0,0
THBCHF,D,19930203,000000,0.053475,0.053475,0.053475,0.053475,0,0
THBCHF,D,19930204,000000,0.053613,0.053613,0.053613,0.053613,0,0
THBCHF,D,19930205,000000,0.053376,0.053376,0.053376,0.053376,0,0
THBCHF,D,19930208,000000,0.053666,0.053666,0.053666,0.053666,0,0
THBCHF,D,19930209,000000,0.05354,0.05354,0.05354,0.05354,0,0
THBCHF,D,19930210,000000,0.053808,0.053808,0.053808,0.053808,0,0
THBCHF,D,19930211,000000,0.053817,0.053817,0.053817,0.053817,0,0
THBCHF,D,19930212,000000,0.054093,0.054093,0.054093,0.054093,0,0
THBCHF,D,19930215,000000,0.054161,0.054161,0.054161,0.054161,0,0
THBCHF,D,19930216,000000,0.052849,0.052849,0.052849,0.052849,0,0
THBCHF,D,19930217,000000,0.052951,0.052951,0.052951,0.052951,0,0
THBCHF,D,19930218,000000,0.053059,0.053059,0.053059,0.053059,0,0
THBCHF,D,19930219,000000,0.053033,0.053033,0.053033,0.053033,0,0
THBCHF,D,19930222,000000,0.052527,0.052527,0.052527,0.052527,0,0
THBCHF,D,19930223,000000,0.052403,0.052403,0.052403,0.052403,0,0
THBCHF,D,19930224,000000,0.052859,0.052859,0.052859,0.052859,0,0
THBCHF,D,19930225,000000,0.053404,0.053404,0.053404,0.053404,0,0
THBCHF,D,19930226,000000,0.053679,0.053679,0.053679,0.053679,0,0
THBCHF,D,19930301,000000,0.05376,0.05376,0.05376,0.05376,0,0
THBCHF,D,19930302,000000,0.053511,0.053511,0.053511,0.053511,0,0
THBCHF,D,19930303,000000,0.053759,0.053759,0.053759,0.053759,0,0
THBCHF,D,19930304,000000,0.053541,0.053541,0.053541,0.053541,0,0
THBCHF,D,19930305,000000,0.054546,0.054546,0.054546,0.054546,0,0
THBCHF,D,19930308,000000,0.054064,0.054064,0.054064,0.054064,0,0
THBCHF,D,19930309,000000,0.054414,0.054414,0.054414,0.054414,0,0
THBCHF,D,19930310,000000,0.053947,0.053947,0.053947,0.053947,0,0
THBCHF,D,19930311,000000,0.053599,0.053599,0.053599,0.053599,0,0
THBCHF,D,19930312,000000,0.053636,0.053636,0.053636,0.053636,0,0
THBCHF,D,19930315,000000,0.053521,0.053521,0.053521,0.053521,0,0
THBCHF,D,19930316,000000,0.053592,0.053592,0.053592,0.053592,0,0
THBCHF,D,19930317,000000,0.053937,0.053937,0.053937,0.053937,0,0
THBCHF,D,19930318,000000,0.053602,0.053602,0.053602,0.053602,0,0
THBCHF,D,19930319,000000,0.053204,0.053204,0.053204,0.053204,0,0
THBCHF,D,19930322,000000,0.053454,0.053454,0.053454,0.053454,0,0
THBCHF,D,19930323,000000,0.05338,0.05338,0.05338,0.05338,0,0
THBCHF,D,19930324,000000,0.053235,0.053235,0.053235,0.053235,0,0
THBCHF,D,19930325,000000,0.053674,0.053674,0.053674,0.053674,0,0
THBCHF,D,19930326,000000,0.053148,0.053148,0.053148,0.053148,0,0
THBCHF,D,19930329,000000,0.053253,0.053253,0.053253,0.053253,0,0
THBCHF,D,19930330,000000,0.052736,0.052736,0.052736,0.052736,0,0
THBCHF,D,19930331,000000,0.052628,0.052628,0.052628,0.052628,0,0
THBCHF,D,19930401,000000,0.052368,0.052368,0.052368,0.052368,0,0
THBCHF,D,19930402,000000,0.05277,0.05277,0.05277,0.05277,0,0
THBCHF,D,19930405,000000,0.052218,0.052218,0.052218,0.052218,0,0
THBCHF,D,19930406,000000,0.052769,0.052769,0.052769,0.052769,0,0
THBCHF,D,19930407,000000,0.052703,0.052703,0.052703,0.052703,0,0
THBCHF,D,19930408,000000,0.052393,0.052393,0.052393,0.052393,0,0
THBCHF,D,19930409,000000,0.052259,0.052259,0.052259,0.052259,0,0
THBCHF,D,19930413,000000,0.051182,0.051182,0.051182,0.051182,0,0
THBCHF,D,19930414,000000,0.051637,0.051637,0.051637,0.051637,0,0
THBCHF,D,19930415,000000,0.05178,0.05178,0.05178,0.05178,0,0
THBCHF,D,19930416,000000,0.052323,0.052323,0.052323,0.052323,0,0
THBCHF,D,19930419,000000,0.052052,0.052052,0.052052,0.052052,0,0
THBCHF,D,19930420,000000,0.051885,0.051885,0.051885,0.051885,0,0
THBCHF,D,19930421,000000,0.051949,0.051949,0.051949,0.051949,0,0
THBCHF,D,19930422,000000,0.051785,0.051785,0.051785,0.051785,0,0
THBCHF,D,19930423,000000,0.050886,0.050886,0.050886,0.050886,0,0
THBCHF,D,19930426,000000,0.050427,0.050427,0.050427,0.050427,0,0
THBCHF,D,19930427,000000,0.050733,0.050733,0.050733,0.050733,0,0
THBCHF,D,19930428,000000,0.050914,0.050914,0.050914,0.050914,0,0
THBCHF,D,19930429,000000,0.050758,0.050758,0.050758,0.050758,0,0
THBCHF,D,19930430,000000,0.050976,0.050976,0.050976,0.050976,0,0
THBCHF,D,19930504,000000,0.050359,0.050359,0.050359,0.050359,0,0
THBCHF,D,19930505,000000,0.050321,0.050321,0.050321,0.050321,0,0
THBCHF,D,19930506,000000,0.050481,0.050481,0.050481,0.050481,0,0
THBCHF,D,19930507,000000,0.050745,0.050745,0.050745,0.050745,0,0
THBCHF,D,19930510,000000,0.051756,0.051756,0.051756,0.051756,0,0
THBCHF,D,19930511,000000,0.051721,0.051721,0.051721,0.051721,0,0
THBCHF,D,19930512,000000,0.051824,0.051824,0.051824,0.051824,0,0
THBCHF,D,19930513,000000,0.051707,0.051707,0.051707,0.051707,0,0
THBCHF,D,19930514,000000,0.05142,0.05142,0.05142,0.05142,0,0
THBCHF,D,19930517,000000,0.052156,0.052156,0.052156,0.052156,0,0
THBCHF,D,19930518,000000,0.052412,0.052412,0.052412,0.052412,0,0
THBCHF,D,19930519,000000,0.052178,0.052178,0.052178,0.052178,0,0
THBCHF,D,19930520,000000,0.051938,0.051938,0.051938,0.051938,0,0
THBCHF,D,19930521,000000,0.052279,0.052279,0.052279,0.052279,0,0
THBCHF,D,19930524,000000,0.052185,0.052185,0.052185,0.052185,0,0
THBCHF,D,19930525,000000,0.05178,0.05178,0.05178,0.05178,0,0
THBCHF,D,19930526,000000,0.052017,0.052017,0.052017,0.052017,0,0
THBCHF,D,19930527,000000,0.051101,0.051101,0.051101,0.051101,0,0
THBCHF,D,19930528,000000,0.050597,0.050597,0.050597,0.050597,0,0
THBCHF,D,19930531,000000,0.050681,0.050681,0.050681,0.050681,0,0
THBCHF,D,19930601,000000,0.050785,0.050785,0.050785,0.050785,0,0
THBCHF,D,19930602,000000,0.05075,0.05075,0.05075,0.05075,0,0
THBCHF,D,19930603,000000,0.050906,0.050906,0.050906,0.050906,0,0
THBCHF,D,19930604,000000,0.051986,0.051986,0.051986,0.051986,0,0
THBCHF,D,19930607,000000,0.051788,0.051788,0.051788,0.051788,0,0
THBCHF,D,19930608,000000,0.051904,0.051904,0.051904,0.051904,0,0
THBCHF,D,19930609,000000,0.052482,0.052482,0.052482,0.052482,0,0
THBCHF,D,19930611,000000,0.051637,0.051637,0.051637,0.051637,0,0
THBCHF,D,19930614,000000,0.051611,0.051611,0.051611,0.051611,0,0
THBCHF,D,19930615,000000,0.052181,0.052181,0.052181,0.052181,0,0
