<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBGBP,D,19930104,000000,0.023361,0.023361,0.023361,0.023361,0,0
THBGBP,D,19930105,000000,0.022657,0.022657,0.022657,0.022657,0,0
THBGBP,D,19930106,000000,0.022754,0.022754,0.022754,0.022754,0,0
THBGBP,D,19930107,000000,0.022823,0.022823,0.022823,0.022823,0,0
THBGBP,D,19930108,000000,0.022772,0.022772,0.022772,0.022772,0,0
THBGBP,D,19930111,000000,0.022566,0.022566,0.022566,0.022566,0,0
THBGBP,D,19930112,000000,0.022808,0.022808,0.022808,0.022808,0,0
THBGBP,D,19930113,000000,0.022771,0.022771,0.022771,0.022771,0,0
THBGBP,D,19930114,000000,0.022803,0.022803,0.022803,0.022803,0,0
THBGBP,D,19930115,000000,0.022916,0.022916,0.022916,0.022916,0,0
THBGBP,D,19930118,000000,0.022617,0.022617,0.022617,0.022617,0,0
THBGBP,D,19930119,000000,0.02266,0.02266,0.02266,0.02266,0,0
THBGBP,D,19930120,000000,0.02279,0.02279,0.02279,0.02279,0,0
THBGBP,D,19930121,000000,0.023134,0.023134,0.023134,0.023134,0,0
THBGBP,D,19930122,000000,0.022896,0.022896,0.022896,0.022896,0,0
THBGBP,D,19930125,000000,0.02256,0.02256,0.02256,0.02256,0,0
THBGBP,D,19930126,000000,0.022901,0.022901,0.022901,0.022901,0,0
THBGBP,D,19930127,000000,0.023218,0.023218,0.023218,0.023218,0,0
THBGBP,D,19930128,000000,0.023188,0.023188,0.023188,0.023188,0,0
THBGBP,D,19930129,000000,0.023622,0.023622,0.023622,0.023622,0,0
THBGBP,D,19930201,000000,0.024126,0.024126,0.024126,0.024126,0,0
THBGBP,D,19930202,000000,0.024243,0.024243,0.024243,0.024243,0,0
THBGBP,D,19930203,000000,0.024451,0.024451,0.024451,0.024451,0,0
THBGBP,D,19930204,000000,0.024249,0.024249,0.024249,0.024249,0,0
THBGBP,D,19930205,000000,0.024157,0.024157,0.024157,0.024157,0,0
THBGBP,D,19930208,000000,0.024336,0.024336,0.024336,0.024336,0,0
THBGBP,D,19930209,000000,0.024478,0.024478,0.024478,0.024478,0,0
THBGBP,D,19930210,000000,0.024599,0.024599,0.024599,0.024599,0,0
THBGBP,D,19930211,000000,0.024709,0.024709,0.024709,0.024709,0,0
THBGBP,D,19930212,000000,0.024755,0.024755,0.024755,0.024755,0,0
THBGBP,D,19930215,000000,0.024779,0.024779,0.024779,0.024779,0,0
THBGBP,D,19930216,000000,0.02424,0.02424,0.02424,0.02424,0,0
THBGBP,D,19930217,000000,0.024366,0.024366,0.024366,0.024366,0,0
THBGBP,D,19930218,000000,0.024324,0.024324,0.024324,0.024324,0,0
THBGBP,D,19930219,000000,0.024231,0.024231,0.024231,0.024231,0,0
THBGBP,D,19930222,000000,0.02423,0.02423,0.02423,0.02423,0,0
THBGBP,D,19930223,000000,0.024213,0.024213,0.024213,0.024213,0,0
THBGBP,D,19930224,000000,0.024541,0.024541,0.024541,0.024541,0,0
THBGBP,D,19930225,000000,0.024628,0.024628,0.024628,0.024628,0,0
THBGBP,D,19930226,000000,0.024755,0.024755,0.024755,0.024755,0,0
THBGBP,D,19930301,000000,0.024448,0.024448,0.024448,0.024448,0,0
THBGBP,D,19930302,000000,0.02428,0.02428,0.02428,0.02428,0,0
THBGBP,D,19930303,000000,0.024304,0.024304,0.024304,0.024304,0,0
THBGBP,D,19930304,000000,0.024265,0.024265,0.024265,0.024265,0,0
THBGBP,D,19930305,000000,0.024402,0.024402,0.024402,0.024402,0,0
