<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBMYR,D,19930104,000000,0.091353,0.091353,0.091353,0.091353,0,0
THBMYR,D,19930105,000000,0.090721,0.090721,0.090721,0.090721,0,0
THBMYR,D,19930106,000000,0.090985,0.090985,0.090985,0.090985,0,0
THBMYR,D,19930107,000000,0.091077,0.091077,0.091077,0.091077,0,0
THBMYR,D,19930108,000000,0.091118,0.091118,0.091118,0.091118,0,0
THBMYR,D,19930111,000000,0.090965,0.090965,0.090965,0.090965,0,0
THBMYR,D,19930112,000000,0.091102,0.091102,0.091102,0.091102,0,0
THBMYR,D,19930113,000000,0.09115,0.09115,0.09115,0.09115,0,0
THBMYR,D,19930114,000000,0.091102,0.091102,0.091102,0.091102,0,0
THBMYR,D,19930115,000000,0.090925,0.090925,0.090925,0.090925,0,0
THBMYR,D,19930118,000000,0.090851,0.090851,0.090851,0.090851,0,0
THBMYR,D,19930119,000000,0.091013,0.091013,0.091013,0.091013,0,0
THBMYR,D,19930120,000000,0.090806,0.090806,0.090806,0.090806,0,0
THBMYR,D,19930121,000000,0.091061,0.091061,0.091061,0.091061,0,0
THBMYR,D,19930122,000000,0.090954,0.090954,0.090954,0.090954,0,0
THBMYR,D,19930125,000000,0.091069,0.091069,0.091069,0.091069,0,0
THBMYR,D,19930126,000000,0.091434,0.091434,0.091434,0.091434,0,0
THBMYR,D,19930127,000000,0.091529,0.091529,0.091529,0.091529,0,0
THBMYR,D,19930128,000000,0.092114,0.092114,0.092114,0.092114,0,0
THBMYR,D,19930129,000000,0.092347,0.092347,0.092347,0.092347,0,0
THBMYR,D,19930201,000000,0.091971,0.091971,0.091971,0.091971,0,0
THBMYR,D,19930202,000000,0.092065,0.092065,0.092065,0.092065,0,0
THBMYR,D,19930203,000000,0.091972,0.091972,0.091972,0.091972,0,0
THBMYR,D,19930204,000000,0.09236,0.09236,0.09236,0.09236,0,0
THBMYR,D,19930205,000000,0.091881,0.091881,0.091881,0.091881,0,0
THBMYR,D,19930208,000000,0.0921,0.0921,0.0921,0.0921,0,0
THBMYR,D,19930209,000000,0.092219,0.092219,0.092219,0.092219,0,0
THBMYR,D,19930210,000000,0.092311,0.092311,0.092311,0.092311,0,0
THBMYR,D,19930211,000000,0.092352,0.092352,0.092352,0.092352,0,0
THBMYR,D,19930212,000000,0.092452,0.092452,0.092452,0.092452,0,0
THBMYR,D,19930215,000000,0.09253,0.09253,0.09253,0.09253,0,0
THBMYR,D,19930216,000000,0.092271,0.092271,0.092271,0.092271,0,0
THBMYR,D,19930217,000000,0.092437,0.092437,0.092437,0.092437,0,0
THBMYR,D,19930218,000000,0.092364,0.092364,0.092364,0.092364,0,0
THBMYR,D,19930219,000000,0.092514,0.092514,0.092514,0.092514,0,0
THBMYR,D,19930222,000000,0.092645,0.092645,0.092645,0.092645,0,0
THBMYR,D,19930223,000000,0.092775,0.092775,0.092775,0.092775,0,0
THBMYR,D,19930224,000000,0.092664,0.092664,0.092664,0.092664,0,0
THBMYR,D,19930225,000000,0.092628,0.092628,0.092628,0.092628,0,0
THBMYR,D,19930226,000000,0.0927,0.0927,0.0927,0.0927,0,0
THBMYR,D,19930301,000000,0.092599,0.092599,0.092599,0.092599,0,0
THBMYR,D,19930302,000000,0.092256,0.092256,0.092256,0.092256,0,0
THBMYR,D,19930303,000000,0.092198,0.092198,0.092198,0.092198,0,0
THBMYR,D,19930304,000000,0.092286,0.092286,0.092286,0.092286,0,0
THBMYR,D,19930305,000000,0.09241,0.09241,0.09241,0.09241,0,0
THBMYR,D,19930308,000000,0.091936,0.091936,0.091936,0.091936,0,0
THBMYR,D,19930309,000000,0.092264,0.092264,0.092264,0.092264,0,0
THBMYR,D,19930310,000000,0.091837,0.091837,0.091837,0.091837,0,0
THBMYR,D,19930311,000000,0.091688,0.091688,0.091688,0.091688,0,0
THBMYR,D,19930312,000000,0.091711,0.091711,0.091711,0.091711,0,0
THBMYR,D,19930315,000000,0.091473,0.091473,0.091473,0.091473,0,0
THBMYR,D,19930316,000000,0.091383,0.091383,0.091383,0.091383,0,0
THBMYR,D,19930317,000000,0.091386,0.091386,0.091386,0.091386,0,0
THBMYR,D,19930318,000000,0.091554,0.091554,0.091554,0.091554,0,0
THBMYR,D,19930319,000000,0.091521,0.091521,0.091521,0.091521,0,0
THBMYR,D,19930322,000000,0.09165,0.09165,0.09165,0.09165,0,0
THBMYR,D,19930323,000000,0.091719,0.091719,0.091719,0.091719,0,0
THBMYR,D,19930324,000000,0.09169,0.09169,0.09169,0.09169,0,0
THBMYR,D,19930325,000000,0.091662,0.091662,0.091662,0.091662,0,0
THBMYR,D,19930326,000000,0.091561,0.091561,0.091561,0.091561,0,0
THBMYR,D,19930329,000000,0.091528,0.091528,0.091528,0.091528,0,0
THBMYR,D,19930330,000000,0.091433,0.091433,0.091433,0.091433,0,0
THBMYR,D,19930331,000000,0.091473,0.091473,0.091473,0.091473,0,0
THBMYR,D,19930401,000000,0.091621,0.091621,0.091621,0.091621,0,0
THBMYR,D,19930402,000000,0.091719,0.091719,0.091719,0.091719,0,0
THBMYR,D,19930405,000000,0.091573,0.091573,0.091573,0.091573,0,0
THBMYR,D,19930406,000000,0.091463,0.091463,0.091463,0.091463,0,0
THBMYR,D,19930407,000000,0.091347,0.091347,0.091347,0.091347,0,0
THBMYR,D,19930408,000000,0.091217,0.091217,0.091217,0.091217,0,0
THBMYR,D,19930409,000000,0.091286,0.091286,0.091286,0.091286,0,0
THBMYR,D,19930413,000000,0.091288,0.091288,0.091288,0.091288,0,0
THBMYR,D,19930414,000000,0.091607,0.091607,0.091607,0.091607,0,0
THBMYR,D,19930415,000000,0.091482,0.091482,0.091482,0.091482,0,0
THBMYR,D,19930416,000000,0.091502,0.091502,0.091502,0.091502,0,0
THBMYR,D,19930419,000000,0.091355,0.091355,0.091355,0.091355,0,0
THBMYR,D,19930420,000000,0.091182,0.091182,0.091182,0.091182,0,0
THBMYR,D,19930421,000000,0.091542,0.091542,0.091542,0.091542,0,0
THBMYR,D,19930422,000000,0.091365,0.091365,0.091365,0.091365,0,0
THBMYR,D,19930423,000000,0.091476,0.091476,0.091476,0.091476,0,0
THBMYR,D,19930426,000000,0.09145,0.09145,0.09145,0.09145,0,0
THBMYR,D,19930427,000000,0.091478,0.091478,0.091478,0.091478,0,0
THBMYR,D,19930428,000000,0.091321,0.091321,0.091321,0.091321,0,0
THBMYR,D,19930429,000000,0.091325,0.091325,0.091325,0.091325,0,0
THBMYR,D,19930430,000000,0.091229,0.091229,0.091229,0.091229,0,0
THBMYR,D,19930504,000000,0.091199,0.091199,0.091199,0.091199,0,0
THBMYR,D,19930505,000000,0.091173,0.091173,0.091173,0.091173,0,0
THBMYR,D,19930506,000000,0.091173,0.091173,0.091173,0.091173,0,0
THBMYR,D,19930507,000000,0.091212,0.091212,0.091212,0.091212,0,0
THBMYR,D,19930510,000000,0.091325,0.091325,0.091325,0.091325,0,0
THBMYR,D,19930511,000000,0.091191,0.091191,0.091191,0.091191,0,0
THBMYR,D,19930512,000000,0.091126,0.091126,0.091126,0.091126,0,0
THBMYR,D,19930513,000000,0.09107,0.09107,0.09107,0.09107,0,0
THBMYR,D,19930514,000000,0.091013,0.091013,0.091013,0.091013,0,0
THBMYR,D,19930517,000000,0.091082,0.091082,0.091082,0.091082,0,0
THBMYR,D,19930518,000000,0.09107,0.09107,0.09107,0.09107,0,0
THBMYR,D,19930519,000000,0.090912,0.090912,0.090912,0.090912,0,0
THBMYR,D,19930520,000000,0.09105,0.09105,0.09105,0.09105,0,0
THBMYR,D,19930521,000000,0.091034,0.091034,0.091034,0.091034,0,0
THBMYR,D,19930524,000000,0.091005,0.091005,0.091005,0.091005,0,0
THBMYR,D,19930525,000000,0.091121,0.091121,0.091121,0.091121,0,0
THBMYR,D,19930526,000000,0.091119,0.091119,0.091119,0.091119,0,0
THBMYR,D,19930527,000000,0.091027,0.091027,0.091027,0.091027,0,0
THBMYR,D,19930528,000000,0.09123,0.09123,0.09123,0.09123,0,0
THBMYR,D,19930531,000000,0.091293,0.091293,0.091293,0.091293,0,0
THBMYR,D,19930601,000000,0.091033,0.091033,0.091033,0.091033,0,0
THBMYR,D,19930602,000000,0.09106,0.09106,0.09106,0.09106,0,0
THBMYR,D,19930603,000000,0.091016,0.091016,0.091016,0.091016,0,0
THBMYR,D,19930604,000000,0.091056,0.091056,0.091056,0.091056,0,0
THBMYR,D,19930607,000000,0.09094,0.09094,0.09094,0.09094,0,0
THBMYR,D,19930608,000000,0.090975,0.090975,0.090975,0.090975,0,0
THBMYR,D,19930609,000000,0.091031,0.091031,0.091031,0.091031,0,0
THBMYR,D,19930611,000000,0.091678,0.091678,0.091678,0.091678,0,0
THBMYR,D,19930614,000000,0.091323,0.091323,0.091323,0.091323,0,0
THBMYR,D,19930615,000000,0.09131,0.09131,0.09131,0.09131,0,0
THBMYR,D,19930616,000000,0.091337,0.091337,0.091337,0.091337,0,0
THBMYR,D,19930617,000000,0.091283,0.091283,0.091283,0.091283,0,0
THBMYR,D,19930618,000000,0.091446,0.091446,0.091446,0.091446,0,0
THBMYR,D,19930621,000000,0.091853,0.091853,0.091853,0.091853,0,0
THBMYR,D,19930622,000000,0.091541,0.091541,0.091541,0.091541,0,0
THBMYR,D,19930623,000000,0.091396,0.091396,0.091396,0.091396,0,0
THBMYR,D,19930624,000000,0.091679,0.091679,0.091679,0.091679,0,0
THBMYR,D,19930625,000000,0.091645,0.091645,0.091645,0.091645,0,0
THBMYR,D,19930628,000000,0.09164,0.09164,0.09164,0.09164,0,0
THBMYR,D,19930629,000000,0.091457,0.091457,0.091457,0.091457,0,0
THBMYR,D,19930630,000000,0.091117,0.091117,0.091117,0.091117,0,0
THBMYR,D,19930701,000000,0.091097,0.091097,0.091097,0.091097,0,0
THBMYR,D,19930702,000000,0.091091,0.091091,0.091091,0.091091,0,0
THBMYR,D,19930705,000000,0.091026,0.091026,0.091026,0.091026,0,0
THBMYR,D,19930706,000000,0.090998,0.090998,0.090998,0.090998,0,0
THBMYR,D,19930707,000000,0.090891,0.090891,0.090891,0.090891,0,0
THBMYR,D,19930708,000000,0.09076,0.09076,0.09076,0.09076,0,0
THBMYR,D,19930709,000000,0.090943,0.090943,0.090943,0.090943,0,0
THBMYR,D,19930712,000000,0.090857,0.090857,0.090857,0.090857,0,0
THBMYR,D,19930713,000000,0.09066,0.09066,0.09066,0.09066,0,0
