<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBTRY,D,19930104,000000,0.0003017,0.0003017,0.0003017,0.0003017,0,0
THBTRY,D,19930105,000000,0.0003011,0.0003011,0.0003011,0.0003011,0,0
THBTRY,D,19930106,000000,0.0003017,0.0003017,0.0003017,0.0003017,0,0
THBTRY,D,19930107,000000,0.0003016,0.0003016,0.0003016,0.0003016,0,0
THBTRY,D,19930108,000000,0.0003018,0.0003018,0.0003018,0.0003018,0,0
THBTRY,D,19930111,000000,0.0003016,0.0003016,0.0003016,0.0003016,0,0
THBTRY,D,19930112,000000,0.000302,0.000302,0.000302,0.000302,0,0
THBTRY,D,19930113,000000,0.0003015,0.0003015,0.0003015,0.0003015,0,0
THBTRY,D,19930114,000000,0.0003016,0.0003016,0.0003016,0.0003016,0,0
THBTRY,D,19930115,000000,0.0003016,0.0003016,0.0003016,0.0003016,0,0
THBTRY,D,19930118,000000,0.0003014,0.0003014,0.0003014,0.0003014,0,0
THBTRY,D,19930119,000000,0.0003018,0.0003018,0.0003018,0.0003018,0,0
THBTRY,D,19930120,000000,0.0003056,0.0003056,0.0003056,0.0003056,0,0
THBTRY,D,19930121,000000,0.0003056,0.0003056,0.0003056,0.0003056,0,0
THBTRY,D,19930122,000000,0.0003053,0.0003053,0.0003053,0.0003053,0,0
THBTRY,D,19930125,000000,0.000306,0.000306,0.000306,0.000306,0,0
THBTRY,D,19930126,000000,0.0003029,0.0003029,0.0003029,0.0003029,0,0
THBTRY,D,19930127,000000,0.000306,0.000306,0.000306,0.000306,0,0
THBTRY,D,19930128,000000,0.0003059,0.0003059,0.0003059,0.0003059,0,0
THBTRY,D,19930129,000000,0.0003057,0.0003057,0.0003057,0.0003057,0,0
THBTRY,D,19930201,000000,0.0003086,0.0003086,0.0003086,0.0003086,0,0
THBTRY,D,19930202,000000,0.000312,0.000312,0.000312,0.000312,0,0
THBTRY,D,19930203,000000,0.0003122,0.0003122,0.0003122,0.0003122,0,0
THBTRY,D,19930204,000000,0.000312,0.000312,0.000312,0.000312,0,0
THBTRY,D,19930205,000000,0.0003147,0.0003147,0.0003147,0.0003147,0,0
THBTRY,D,19930208,000000,0.0003152,0.0003152,0.0003152,0.0003152,0,0
THBTRY,D,19930209,000000,0.0003151,0.0003151,0.0003151,0.0003151,0,0
THBTRY,D,19930210,000000,0.0003157,0.0003157,0.0003157,0.0003157,0,0
THBTRY,D,19930211,000000,0.0003154,0.0003154,0.0003154,0.0003154,0,0
THBTRY,D,19930212,000000,0.0003159,0.0003159,0.0003159,0.0003159,0,0
THBTRY,D,19930215,000000,0.0003162,0.0003162,0.0003162,0.0003162,0,0
THBTRY,D,19930216,000000,0.0003193,0.0003193,0.0003193,0.0003193,0,0
THBTRY,D,19930217,000000,0.0003168,0.0003168,0.0003168,0.0003168,0,0
THBTRY,D,19930218,000000,0.0003164,0.0003164,0.0003164,0.0003164,0,0
THBTRY,D,19930219,000000,0.0003168,0.0003168,0.0003168,0.0003168,0,0
THBTRY,D,19930222,000000,0.0003207,0.0003207,0.0003207,0.0003207,0,0
THBTRY,D,19930223,000000,0.0003215,0.0003215,0.0003215,0.0003215,0,0
THBTRY,D,19930224,000000,0.000321,0.000321,0.000321,0.000321,0,0
THBTRY,D,19930225,000000,0.0003168,0.0003168,0.0003168,0.0003168,0,0
THBTRY,D,19930226,000000,0.000317,0.000317,0.000317,0.000317,0,0
THBTRY,D,19930301,000000,0.0003204,0.0003204,0.0003204,0.0003204,0,0
THBTRY,D,19930302,000000,0.0003165,0.0003165,0.0003165,0.0003165,0,0
THBTRY,D,19930303,000000,0.0003172,0.0003172,0.0003172,0.0003172,0,0
THBTRY,D,19930304,000000,0.000321,0.000321,0.000321,0.000321,0,0
THBTRY,D,19930305,000000,0.0003211,0.0003211,0.0003211,0.0003211,0,0
THBTRY,D,19930308,000000,0.0003234,0.0003234,0.0003234,0.0003234,0,0
THBTRY,D,19930309,000000,0.0003245,0.0003245,0.0003245,0.0003245,0,0
THBTRY,D,19930310,000000,0.000327,0.000327,0.000327,0.000327,0,0
THBTRY,D,19930311,000000,0.0003271,0.0003271,0.0003271,0.0003271,0,0
THBTRY,D,19930312,000000,0.0003275,0.0003275,0.0003275,0.0003275,0,0
THBTRY,D,19930315,000000,0.000327,0.000327,0.000327,0.000327,0,0
THBTRY,D,19930316,000000,0.0003273,0.0003273,0.0003273,0.0003273,0,0
THBTRY,D,19930317,000000,0.000331,0.000331,0.000331,0.000331,0,0
THBTRY,D,19930318,000000,0.0003312,0.0003312,0.0003312,0.0003312,0,0
THBTRY,D,19930319,000000,0.0003316,0.0003316,0.0003316,0.0003316,0,0
THBTRY,D,19930322,000000,0.0003318,0.0003318,0.0003318,0.0003318,0,0
THBTRY,D,19930323,000000,0.000332,0.000332,0.000332,0.000332,0,0
