<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBUSD,D,19930104,000000,0.035087,0.035087,0.035087,0.035087,0,0
THBUSD,D,19930105,000000,0.035014,0.035014,0.035014,0.035014,0,0
THBUSD,D,19930106,000000,0.035076,0.035076,0.035076,0.035076,0,0
THBUSD,D,19930107,000000,0.035069,0.035069,0.035069,0.035069,0,0
THBUSD,D,19930108,000000,0.035094,0.035094,0.035094,0.035094,0,0
THBUSD,D,19930111,000000,0.035068,0.035068,0.035068,0.035068,0,0
THBUSD,D,19930112,000000,0.035122,0.035122,0.035122,0.035122,0,0
THBUSD,D,19930113,000000,0.035064,0.035064,0.035064,0.035064,0,0
THBUSD,D,19930114,000000,0.035071,0.035071,0.035071,0.035071,0,0
THBUSD,D,19930115,000000,0.035072,0.035072,0.035072,0.035072,0,0
THBUSD,D,19930118,000000,0.035043,0.035043,0.035043,0.035043,0,0
THBUSD,D,19930119,000000,0.035089,0.035089,0.035089,0.035089,0,0
THBUSD,D,19930120,000000,0.035122,0.035122,0.035122,0.035122,0,0
THBUSD,D,19930121,000000,0.035126,0.035126,0.035126,0.035126,0,0
THBUSD,D,19930122,000000,0.035089,0.035089,0.035089,0.035089,0,0
THBUSD,D,19930125,000000,0.035173,0.035173,0.035173,0.035173,0,0
THBUSD,D,19930126,000000,0.035221,0.035221,0.035221,0.035221,0,0
THBUSD,D,19930127,000000,0.035174,0.035174,0.035174,0.035174,0,0
THBUSD,D,19930128,000000,0.035155,0.035155,0.035155,0.035155,0,0
THBUSD,D,19930129,000000,0.035136,0.035136,0.035136,0.035136,0,0
THBUSD,D,19930201,000000,0.035067,0.035067,0.035067,0.035067,0,0
THBUSD,D,19930202,000000,0.035055,0.035055,0.035055,0.035055,0,0
THBUSD,D,19930203,000000,0.035076,0.035076,0.035076,0.035076,0,0
THBUSD,D,19930204,000000,0.035051,0.035051,0.035051,0.035051,0,0
THBUSD,D,19930205,000000,0.034965,0.034965,0.034965,0.034965,0,0
THBUSD,D,19930208,000000,0.03502,0.03502,0.03502,0.03502,0,0
THBUSD,D,19930209,000000,0.035014,0.035014,0.035014,0.035014,0,0
THBUSD,D,19930210,000000,0.035076,0.035076,0.035076,0.035076,0,0
THBUSD,D,19930211,000000,0.035048,0.035048,0.035048,0.035048,0,0
THBUSD,D,19930212,000000,0.035104,0.035104,0.035104,0.035104,0,0
THBUSD,D,19930215,000000,0.035137,0.035137,0.035137,0.035137,0,0
THBUSD,D,19930216,000000,0.035084,0.035084,0.035084,0.035084,0,0
THBUSD,D,19930217,000000,0.035196,0.035196,0.035196,0.035196,0,0
THBUSD,D,19930218,000000,0.035161,0.035161,0.035161,0.035161,0,0
THBUSD,D,19930219,000000,0.035204,0.035204,0.035204,0.035204,0,0
THBUSD,D,19930222,000000,0.035243,0.035243,0.035243,0.035243,0,0
THBUSD,D,19930223,000000,0.035327,0.035327,0.035327,0.035327,0,0
THBUSD,D,19930224,000000,0.035275,0.035275,0.035275,0.035275,0,0
THBUSD,D,19930225,000000,0.035203,0.035203,0.035203,0.035203,0,0
THBUSD,D,19930226,000000,0.035223,0.035223,0.035223,0.035223,0,0
THBUSD,D,19930301,000000,0.035207,0.035207,0.035207,0.035207,0,0
THBUSD,D,19930302,000000,0.035168,0.035168,0.035168,0.035168,0,0
THBUSD,D,19930303,000000,0.035239,0.035239,0.035239,0.035239,0,0
THBUSD,D,19930304,000000,0.035279,0.035279,0.035279,0.035279,0,0
THBUSD,D,19930305,000000,0.035283,0.035283,0.035283,0.035283,0,0
THBUSD,D,19930308,000000,0.035151,0.035151,0.035151,0.035151,0,0
THBUSD,D,19930309,000000,0.035273,0.035273,0.035273,0.035273,0,0
THBUSD,D,19930310,000000,0.035158,0.035158,0.035158,0.035158,0,0
THBUSD,D,19930311,000000,0.035174,0.035174,0.035174,0.035174,0,0
THBUSD,D,19930312,000000,0.035216,0.035216,0.035216,0.035216,0,0
THBUSD,D,19930315,000000,0.035161,0.035161,0.035161,0.035161,0,0
THBUSD,D,19930316,000000,0.035199,0.035199,0.035199,0.035199,0,0
THBUSD,D,19930317,000000,0.035215,0.035215,0.035215,0.035215,0,0
THBUSD,D,19930318,000000,0.035229,0.035229,0.035229,0.035229,0,0
THBUSD,D,19930319,000000,0.035282,0.035282,0.035282,0.035282,0,0
THBUSD,D,19930322,000000,0.035298,0.035298,0.035298,0.035298,0,0
THBUSD,D,19930323,000000,0.035319,0.035319,0.035319,0.035319,0,0
THBUSD,D,19930324,000000,0.035299,0.035299,0.035299,0.035299,0,0
THBUSD,D,19930325,000000,0.035276,0.035276,0.035276,0.035276,0,0
THBUSD,D,19930326,000000,0.035229,0.035229,0.035229,0.035229,0,0
THBUSD,D,19930329,000000,0.035327,0.035327,0.035327,0.035327,0,0
THBUSD,D,19930330,000000,0.035276,0.035276,0.035276,0.035276,0,0
THBUSD,D,19930331,000000,0.035296,0.035296,0.035296,0.035296,0,0
THBUSD,D,19930401,000000,0.035339,0.035339,0.035339,0.035339,0,0
THBUSD,D,19930402,000000,0.035389,0.035389,0.035389,0.035389,0,0
THBUSD,D,19930405,000000,0.035344,0.035344,0.035344,0.035344,0,0
THBUSD,D,19930406,000000,0.03544,0.03544,0.03544,0.03544,0,0
THBUSD,D,19930407,000000,0.035417,0.035417,0.035417,0.035417,0,0
THBUSD,D,19930408,000000,0.035401,0.035401,0.035401,0.035401,0,0
THBUSD,D,19930409,000000,0.035391,0.035391,0.035391,0.035391,0,0
THBUSD,D,19930413,000000,0.035407,0.035407,0.035407,0.035407,0,0
THBUSD,D,19930414,000000,0.035487,0.035487,0.035487,0.035487,0,0
THBUSD,D,19930415,000000,0.035429,0.035429,0.035429,0.035429,0,0
THBUSD,D,19930416,000000,0.035448,0.035448,0.035448,0.035448,0,0
THBUSD,D,19930419,000000,0.035458,0.035458,0.035458,0.035458,0,0
THBUSD,D,19930420,000000,0.03543,0.03543,0.03543,0.03543,0,0
THBUSD,D,19930421,000000,0.035579,0.035579,0.035579,0.035579,0,0
THBUSD,D,19930422,000000,0.03553,0.03553,0.03553,0.03553,0,0
THBUSD,D,19930423,000000,0.035597,0.035597,0.035597,0.035597,0,0
THBUSD,D,19930426,000000,0.035601,0.035601,0.035601,0.035601,0,0
THBUSD,D,19930427,000000,0.03559,0.03559,0.03559,0.03559,0,0
THBUSD,D,19930428,000000,0.035515,0.035515,0.035515,0.035515,0,0
THBUSD,D,19930429,000000,0.035536,0.035536,0.035536,0.035536,0,0
THBUSD,D,19930430,000000,0.035532,0.035532,0.035532,0.035532,0,0
THBUSD,D,19930504,000000,0.035576,0.035576,0.035576,0.035576,0,0
THBUSD,D,19930505,000000,0.035562,0.035562,0.035562,0.035562,0,0
THBUSD,D,19930506,000000,0.035549,0.035549,0.035549,0.035549,0,0
THBUSD,D,19930507,000000,0.035559,0.035559,0.035559,0.035559,0,0
THBUSD,D,19930510,000000,0.035583,0.035583,0.035583,0.035583,0,0
THBUSD,D,19930511,000000,0.035472,0.035472,0.035472,0.035472,0,0
THBUSD,D,19930512,000000,0.035497,0.035497,0.035497,0.035497,0,0
THBUSD,D,19930513,000000,0.035468,0.035468,0.035468,0.035468,0,0
THBUSD,D,19930514,000000,0.035449,0.035449,0.035449,0.035449,0,0
THBUSD,D,19930517,000000,0.035479,0.035479,0.035479,0.035479,0,0
THBUSD,D,19930518,000000,0.035438,0.035438,0.035438,0.035438,0,0
THBUSD,D,19930519,000000,0.035387,0.035387,0.035387,0.035387,0,0
THBUSD,D,19930520,000000,0.035454,0.035454,0.035454,0.035454,0,0
THBUSD,D,19930521,000000,0.035501,0.035501,0.035501,0.035501,0,0
THBUSD,D,19930524,000000,0.035458,0.035458,0.035458,0.035458,0,0
THBUSD,D,19930525,000000,0.035493,0.035493,0.035493,0.035493,0,0
