<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBXDR,D,19930104,000000,0.025454,0.025454,0.025454,0.025454,0,0
THBXDR,D,19930105,000000,0.025465,0.025465,0.025465,0.025465,0,0
THBXDR,D,19930106,000000,0.025619,0.025619,0.025619,0.025619,0,0
THBXDR,D,19930107,000000,0.025623,0.025623,0.025623,0.025623,0,0
THBXDR,D,19930108,000000,0.025554,0.025554,0.025554,0.025554,0,0
THBXDR,D,19930111,000000,0.025561,0.025561,0.025561,0.025561,0,0
THBXDR,D,19930112,000000,0.025696,0.025696,0.025696,0.025696,0,0
THBXDR,D,19930113,000000,0.025543,0.025543,0.025543,0.025543,0,0
THBXDR,D,19930114,000000,0.025502,0.025502,0.025502,0.025502,0,0
THBXDR,D,19930115,000000,0.025563,0.025563,0.025563,0.025563,0,0
THBXDR,D,19930118,000000,0.0255,0.0255,0.0255,0.0255,0,0
THBXDR,D,19930119,000000,0.025544,0.025544,0.025544,0.025544,0,0
THBXDR,D,19930120,000000,0.025571,0.025571,0.025571,0.025571,0,0
THBXDR,D,19930121,000000,0.025514,0.025514,0.025514,0.025514,0,0
THBXDR,D,19930122,000000,0.025487,0.025487,0.025487,0.025487,0,0
THBXDR,D,19930125,000000,0.02553,0.02553,0.02553,0.02553,0,0
THBXDR,D,19930126,000000,0.025568,0.025568,0.025568,0.025568,0,0
THBXDR,D,19930127,000000,0.025363,0.025363,0.025363,0.025363,0,0
THBXDR,D,19930128,000000,0.025258,0.025258,0.025258,0.025258,0,0
THBXDR,D,19930129,000000,0.025323,0.025323,0.025323,0.025323,0,0
THBXDR,D,19930201,000000,0.025261,0.025261,0.025261,0.025261,0,0
THBXDR,D,19930202,000000,0.02537,0.02537,0.02537,0.02537,0,0
THBXDR,D,19930203,000000,0.025625,0.025625,0.025625,0.025625,0,0
THBXDR,D,19930204,000000,0.02561,0.02561,0.02561,0.02561,0,0
THBXDR,D,19930205,000000,0.025644,0.025644,0.025644,0.025644,0,0
THBXDR,D,19930208,000000,0.025699,0.025699,0.025699,0.025699,0,0
THBXDR,D,19930209,000000,0.025731,0.025731,0.025731,0.025731,0,0
THBXDR,D,19930210,000000,0.025771,0.025771,0.025771,0.025771,0,0
THBXDR,D,19930211,000000,0.025717,0.025717,0.025717,0.025717,0,0
THBXDR,D,19930212,000000,0.025597,0.025597,0.025597,0.025597,0,0
THBXDR,D,19930215,000000,0.025683,0.025683,0.025683,0.025683,0,0
THBXDR,D,19930216,000000,0.025625,0.025625,0.025625,0.025625,0,0
THBXDR,D,19930217,000000,0.025706,0.025706,0.025706,0.025706,0,0
THBXDR,D,19930218,000000,0.025621,0.025621,0.025621,0.025621,0,0
THBXDR,D,19930219,000000,0.025538,0.025538,0.025538,0.025538,0,0
THBXDR,D,19930222,000000,0.025742,0.025742,0.025742,0.025742,0,0
THBXDR,D,19930223,000000,0.02565,0.02565,0.02565,0.02565,0,0
THBXDR,D,19930224,000000,0.025486,0.025486,0.025486,0.025486,0,0
THBXDR,D,19930225,000000,0.025394,0.025394,0.025394,0.025394,0,0
THBXDR,D,19930226,000000,0.025382,0.025382,0.025382,0.025382,0,0
THBXDR,D,19930301,000000,0.025486,0.025486,0.025486,0.025486,0,0
THBXDR,D,19930302,000000,0.025556,0.025556,0.025556,0.025556,0,0
THBXDR,D,19930303,000000,0.025645,0.025645,0.025645,0.025645,0,0
THBXDR,D,19930304,000000,0.025636,0.025636,0.025636,0.025636,0,0
THBXDR,D,19930305,000000,0.025525,0.025525,0.025525,0.025525,0,0
THBXDR,D,19930308,000000,0.025453,0.025453,0.025453,0.025453,0,0
THBXDR,D,19930309,000000,0.025541,0.025541,0.025541,0.025541,0,0
THBXDR,D,19930310,000000,0.025568,0.025568,0.025568,0.025568,0,0
THBXDR,D,19930311,000000,0.025564,0.025564,0.025564,0.025564,0,0
THBXDR,D,19930312,000000,0.025676,0.025676,0.025676,0.025676,0,0
THBXDR,D,19930315,000000,0.025651,0.025651,0.025651,0.025651,0,0
THBXDR,D,19930316,000000,0.025653,0.025653,0.025653,0.025653,0,0
THBXDR,D,19930317,000000,0.025695,0.025695,0.025695,0.025695,0,0
THBXDR,D,19930318,000000,0.025631,0.025631,0.025631,0.025631,0,0
THBXDR,D,19930319,000000,0.025645,0.025645,0.025645,0.025645,0,0
THBXDR,D,19930322,000000,0.025675,0.025675,0.025675,0.025675,0,0
THBXDR,D,19930323,000000,0.025464,0.025464,0.025464,0.025464,0,0
THBXDR,D,19930324,000000,0.025441,0.025441,0.025441,0.025441,0,0
THBXDR,D,19930325,000000,0.025402,0.025402,0.025402,0.025402,0,0
THBXDR,D,19930326,000000,0.02539,0.02539,0.02539,0.02539,0,0
THBXDR,D,19930329,000000,0.025518,0.025518,0.025518,0.025518,0,0
THBXDR,D,19930330,000000,0.025437,0.025437,0.025437,0.025437,0,0
THBXDR,D,19930331,000000,0.025426,0.025426,0.025426,0.025426,0,0
THBXDR,D,19930401,000000,0.025472,0.025472,0.025472,0.025472,0,0
THBXDR,D,19930402,000000,0.025317,0.025317,0.025317,0.025317,0,0
THBXDR,D,19930405,000000,0.025249,0.025249,0.025249,0.025249,0,0
THBXDR,D,19930406,000000,0.025178,0.025178,0.025178,0.025178,0,0
THBXDR,D,19930407,000000,0.025208,0.025208,0.025208,0.025208,0,0
THBXDR,D,19930408,000000,0.025238,0.025238,0.025238,0.025238,0,0
THBXDR,D,19930409,000000,0.025242,0.025242,0.025242,0.025242,0,0
THBXDR,D,19930413,000000,0.025222,0.025222,0.025222,0.025222,0,0
THBXDR,D,19930414,000000,0.025222,0.025222,0.025222,0.025222,0,0
THBXDR,D,19930415,000000,0.025089,0.025089,0.025089,0.025089,0,0
THBXDR,D,19930416,000000,0.02509,0.02509,0.02509,0.02509,0,0
THBXDR,D,19930419,000000,0.025166,0.025166,0.025166,0.025166,0,0
THBXDR,D,19930420,000000,0.025153,0.025153,0.025153,0.025153,0,0
THBXDR,D,19930421,000000,0.025261,0.025261,0.025261,0.025261,0,0
THBXDR,D,19930422,000000,0.025015,0.025015,0.025015,0.025015,0,0
THBXDR,D,19930423,000000,0.025199,0.025199,0.025199,0.025199,0,0
THBXDR,D,19930426,000000,0.025125,0.025125,0.025125,0.025125,0,0
THBXDR,D,19930427,000000,0.025102,0.025102,0.025102,0.025102,0,0
THBXDR,D,19930428,000000,0.024849,0.024849,0.024849,0.024849,0,0
THBXDR,D,19930429,000000,0.024879,0.024879,0.024879,0.024879,0,0
THBXDR,D,19930430,000000,0.025078,0.025078,0.025078,0.025078,0,0
THBXDR,D,19930504,000000,0.025048,0.025048,0.025048,0.025048,0,0
THBXDR,D,19930505,000000,0.025012,0.025012,0.025012,0.025012,0,0
THBXDR,D,19930506,000000,0.024918,0.024918,0.024918,0.024918,0,0
THBXDR,D,19930507,000000,0.024912,0.024912,0.024912,0.024912,0,0
THBXDR,D,19930510,000000,0.024971,0.024971,0.024971,0.024971,0,0
THBXDR,D,19930511,000000,0.024865,0.024865,0.024865,0.024865,0,0
THBXDR,D,19930512,000000,0.02503,0.02503,0.02503,0.02503,0,0
